"X1";"X56140";"X9";"X2";"X4";"X10";"X7";"X11";"X1.1";"X8";"X6";"X12";"X3";"X5"
1;56140;9;2;4;10;7;11;1;8;6;12;3;5
9;3;4;10;7;11;1;8;6;12;2;5;1;55598
1;55598;9;3;4;10;7;11;1;8;6;12;2;5
9;3;4;10;7;11;1;8;5;12;2;6;1;54356
1;54356;9;3;4;10;7;11;1;8;5;12;2;6
9;3;4;10;7;11;1;6;5;12;2;8;1;48032
1;48032;9;3;4;10;7;11;1;6;5;12;2;8
9;3;10;4;7;11;1;6;5;12;2;8;1;48206
1;48206;9;3;10;4;7;11;1;6;5;12;2;8
9;3;10;4;11;7;1;6;5;12;2;8;1;49254
1;49254;9;3;10;4;11;7;1;6;5;12;2;8
9;1;10;4;11;7;3;6;5;12;2;8;1;44718
1;44718;9;1;10;4;11;7;3;6;5;12;2;8
9;1;12;4;11;7;3;6;5;10;2;8;1;42370
1;42370;9;1;12;4;11;7;3;6;5;10;2;8
9;7;12;4;11;1;3;6;5;10;2;8;1;34558
1;34558;9;7;12;4;11;1;3;6;5;10;2;8
9;7;12;4;5;1;3;6;11;10;2;8;1;37076
1;37076;9;7;12;4;5;1;3;6;11;10;2;8
9;7;12;10;5;1;3;6;11;4;2;8;1;32326
1;32326;9;7;12;10;5;1;3;6;11;4;2;8
9;10;12;7;5;1;3;6;11;4;2;8;1;37620
1;37620;9;10;12;7;5;1;3;6;11;4;2;8
9;10;7;12;5;1;3;6;11;4;2;8;1;39292
1;39292;9;10;7;12;5;1;3;6;11;4;2;8
9;10;7;12;5;2;3;6;11;4;1;8;1;42196
1;42196;9;10;7;12;5;2;3;6;11;4;1;8
9;10;7;12;5;8;3;6;11;4;1;2;1;36066
1;36066;9;10;7;12;5;8;3;6;11;4;1;2
9;10;7;12;2;8;3;6;11;4;1;5;1;36832
1;36832;9;10;7;12;2;8;3;6;11;4;1;5
9;10;7;12;2;5;3;6;11;4;1;8;1;33594
1;33594;9;10;7;12;2;5;3;6;11;4;1;8
9;10;12;7;2;5;3;6;11;4;1;8;1;31922
1;31922;9;10;12;7;2;5;3;6;11;4;1;8
10;9;12;7;2;5;3;6;11;4;1;8;1;43212
1;43212;10;9;12;7;2;5;3;6;11;4;1;8
10;9;4;7;2;5;3;6;11;12;1;8;1;46748
1;46748;10;9;4;7;2;5;3;6;11;12;1;8
6;9;4;7;2;5;3;10;11;12;1;8;1;57598
2;57598;6;9;4;7;2;5;3;10;11;12;1;8
6;12;4;7;2;5;3;10;11;9;1;8;2;49990
2;49990;6;12;4;7;2;5;3;10;11;9;1;8
6;12;4;7;11;5;3;10;2;9;1;8;2;44592
2;44592;6;12;4;7;11;5;3;10;2;9;1;8
6;12;4;3;11;5;7;10;2;9;1;8;2;45938
2;45938;6;12;4;3;11;5;7;10;2;9;1;8
4;12;6;3;11;5;7;10;2;9;1;8;2;60262
2;60262;4;12;6;3;11;5;7;10;2;9;1;8
4;12;6;3;11;7;5;10;2;9;1;8;2;51614
2;51614;4;12;6;3;11;7;5;10;2;9;1;8
4;12;6;3;9;7;5;10;2;11;1;8;2;47954
2;47954;4;12;6;3;9;7;5;10;2;11;1;8
4;12;9;3;6;7;5;10;2;11;1;8;2;47248
2;47248;4;12;9;3;6;7;5;10;2;11;1;8
4;12;9;3;6;7;5;1;2;11;10;8;2;43584
2;43584;4;12;9;3;6;7;5;1;2;11;10;8
4;12;9;3;6;8;5;1;2;11;10;7;2;54282
2;54282;4;12;9;3;6;8;5;1;2;11;10;7
8;12;9;3;6;4;5;1;2;11;10;7;2;60084
2;60084;8;12;9;3;6;4;5;1;2;11;10;7
8;12;11;3;6;4;5;1;2;9;10;7;2;59538
2;59538;8;12;11;3;6;4;5;1;2;9;10;7
8;6;11;3;12;4;5;1;2;9;10;7;2;44340
2;44340;8;6;11;3;12;4;5;1;2;9;10;7
9;6;11;3;12;4;5;1;2;8;10;7;2;32768
2;32768;9;6;11;3;12;4;5;1;2;8;10;7
9;6;11;7;12;4;5;1;2;8;10;3;2;29946
2;29946;9;6;11;7;12;4;5;1;2;8;10;3
3;6;11;7;12;4;5;1;2;8;10;9;2;42876
2;42876;3;6;11;7;12;4;5;1;2;8;10;9
5;6;11;7;12;4;3;1;2;8;10;9;2;37184
2;37184;5;6;11;7;12;4;3;1;2;8;10;9
5;6;11;7;12;2;3;1;4;8;10;9;2;45512
2;45512;5;6;11;7;12;2;3;1;4;8;10;9
5;6;11;7;12;3;2;1;4;8;10;9;2;53648
2;53648;5;6;11;7;12;3;2;1;4;8;10;9
5;6;11;7;12;3;2;1;4;9;10;8;2;62288
2;53648;5;6;11;7;12;3;2;1;4;8;10;9
5;6;11;7;8;3;2;1;4;12;10;9;2;60504
3;60504;5;6;11;7;8;3;2;1;4;12;10;9
5;6;11;7;10;3;2;1;4;12;8;9;3;58922
3;58922;5;6;11;7;10;3;2;1;4;12;8;9
5;6;11;7;10;3;2;8;4;12;1;9;3;54238
3;54238;5;6;11;7;10;3;2;8;4;12;1;9
5;6;11;3;10;7;2;8;4;12;1;9;3;54342
3;54342;5;6;11;3;10;7;2;8;4;12;1;9
1;6;11;3;10;7;2;8;4;12;5;9;3;62598
3;62598;1;6;11;3;10;7;2;8;4;12;5;9
1;6;11;3;10;7;2;12;4;8;5;9;3;63508
3;63508;1;6;11;3;10;7;2;12;4;8;5;9
1;6;11;3;10;7;2;12;8;4;5;9;3;60312
3;60312;1;6;11;3;10;7;2;12;8;4;5;9
1;6;11;3;2;7;10;12;8;4;5;9;3;61478
3;61478;1;6;11;3;2;7;10;12;8;4;5;9
1;6;8;3;2;7;10;12;11;4;5;9;3;58760
3;58760;1;6;8;3;2;7;10;12;11;4;5;9
1;6;8;9;2;7;10;12;11;4;5;3;3;58726
3;58726;1;6;8;9;2;7;10;12;11;4;5;3
1;6;8;12;2;7;10;9;11;4;5;3;3;49094
3;49094;1;6;8;12;2;7;10;9;11;4;5;3
1;6;8;4;2;7;10;9;11;12;5;3;3;48260
3;48260;1;6;8;4;2;7;10;9;11;12;5;3
1;6;8;4;2;7;10;9;3;12;5;11;3;45224
3;45224;1;6;8;4;2;7;10;9;3;12;5;11
