"X1";"X41592";"X9";"X12";"X3";"X2";"X11";"X5";"X8";"X4";"X7";"X1.1";"X6";"X10"
1;41592;9;12;3;2;11;5;8;4;7;1;6;10
9;6;3;2;11;5;8;4;7;1;12;10;1;36958
1;36958;9;6;3;2;11;5;8;4;7;1;12;10
9;6;3;2;11;5;8;10;7;1;12;4;1;37176
1;37176;9;6;3;2;11;5;8;10;7;1;12;4
6;9;3;2;11;5;8;10;7;1;12;4;1;37552
1;37552;6;9;3;2;11;5;8;10;7;1;12;4
6;9;12;2;11;5;8;10;7;1;3;4;1;39038
1;39038;6;9;12;2;11;5;8;10;7;1;3;4
6;9;12;2;3;5;8;10;7;1;11;4;1;47264
1;39038;6;9;12;2;11;5;8;10;7;1;3;4
6;9;12;2;11;5;8;7;10;1;3;4;1;36130
1;36130;6;9;12;2;11;5;8;7;10;1;3;4
6;9;8;2;11;5;12;7;10;1;3;4;1;38022
1;38022;6;9;8;2;11;5;12;7;10;1;3;4
12;9;8;2;11;5;6;7;10;1;3;4;1;36858
1;36858;12;9;8;2;11;5;6;7;10;1;3;4
3;9;8;2;11;5;6;7;10;1;12;4;1;49306
1;49306;3;9;8;2;11;5;6;7;10;1;12;4
3;9;10;2;11;5;6;7;8;1;12;4;1;46528
1;46528;3;9;10;2;11;5;6;7;8;1;12;4
3;9;10;2;11;5;6;7;12;1;8;4;1;46622
1;46622;3;9;10;2;11;5;6;7;12;1;8;4
3;9;10;2;11;7;6;5;12;1;8;4;1;49088
1;46622;3;9;10;2;11;5;6;7;12;1;8;4
3;9;10;2;5;11;6;7;12;1;8;4;1;36210
1;36210;3;9;10;2;5;11;6;7;12;1;8;4
3;10;9;2;5;11;6;7;12;1;8;4;1;40322
1;40322;3;10;9;2;5;11;6;7;12;1;8;4
1;10;9;2;5;11;6;7;12;3;8;4;1;44152
1;44152;1;10;9;2;5;11;6;7;12;3;8;4
9;10;1;2;5;11;6;7;12;3;8;4;1;54964
1;54964;9;10;1;2;5;11;6;7;12;3;8;4
12;10;1;2;5;11;6;7;9;3;8;4;1;57244
1;57244;12;10;1;2;5;11;6;7;9;3;8;4
11;10;1;2;5;12;6;7;9;3;8;4;1;52060
1;52060;11;10;1;2;5;12;6;7;9;3;8;4
11;10;1;2;5;6;12;7;9;3;8;4;1;47634
1;47634;11;10;1;2;5;6;12;7;9;3;8;4
5;10;1;2;11;6;12;7;9;3;8;4;1;38680
2;38680;5;10;1;2;11;6;12;7;9;3;8;4
5;10;1;2;11;6;4;7;9;3;8;12;2;38200
2;38200;5;10;1;2;11;6;4;7;9;3;8;12
5;10;1;2;8;6;4;7;9;3;11;12;2;39974
2;39974;5;10;1;2;8;6;4;7;9;3;11;12
6;10;1;2;8;5;4;7;9;3;11;12;2;41226
2;41226;6;10;1;2;8;5;4;7;9;3;11;12
6;10;1;2;9;5;4;7;8;3;11;12;2;38278
2;38278;6;10;1;2;9;5;4;7;8;3;11;12
6;10;1;4;9;5;2;7;8;3;11;12;2;36682
2;36682;6;10;1;4;9;5;2;7;8;3;11;12
6;10;1;4;9;5;2;7;8;3;12;11;2;39786
2;39786;6;10;1;4;9;5;2;7;8;3;12;11
6;10;1;4;9;5;2;7;8;11;12;3;2;39402
2;39402;6;10;1;4;9;5;2;7;8;11;12;3
6;5;1;4;9;10;2;7;8;11;12;3;2;41168
2;41168;6;5;1;4;9;10;2;7;8;11;12;3
6;5;7;4;9;10;2;1;8;11;12;3;2;39416
2;39416;6;5;7;4;9;10;2;1;8;11;12;3
6;5;7;4;9;3;2;1;8;11;12;10;2;39652
2;39652;6;5;7;4;9;3;2;1;8;11;12;10
