"X1";"X43100";"X4";"X6";"X7";"X2";"X12";"X5";"X11";"X8";"X10";"X1.1";"X9";"X3"
1;43100;4;6;7;2;12;5;11;8;10;1;9;3
4;6;7;2;12;8;11;5;10;1;9;3;1;43812
1;43812;4;6;7;2;12;8;11;5;10;1;9;3
11;6;7;2;12;8;4;5;10;1;9;3;1;37594
1;37594;11;6;7;2;12;8;4;5;10;1;9;3
11;6;7;2;12;8;5;4;10;1;9;3;1;30438
1;30438;11;6;7;2;12;8;5;4;10;1;9;3
11;6;7;2;12;4;5;8;10;1;9;3;1;25662
1;25662;11;6;7;2;12;4;5;8;10;1;9;3
11;6;7;2;3;4;5;8;10;1;9;12;1;31792
1;31792;11;6;7;2;3;4;5;8;10;1;9;12
11;6;7;2;9;4;5;8;10;1;3;12;1;30328
1;30328;11;6;7;2;9;4;5;8;10;1;3;12
11;3;7;2;9;4;5;8;10;1;6;12;1;41226
1;41226;11;3;7;2;9;4;5;8;10;1;6;12
11;3;7;2;4;9;5;8;10;1;6;12;1;52200
1;52200;11;3;7;2;4;9;5;8;10;1;6;12
11;5;7;2;4;9;3;8;10;1;6;12;1;47368
1;47368;11;5;7;2;4;9;3;8;10;1;6;12
12;5;7;2;4;9;3;8;10;1;6;11;1;55626
1;55626;12;5;7;2;4;9;3;8;10;1;6;11
12;5;7;2;10;9;3;8;4;1;6;11;1;53222
1;53222;12;5;7;2;10;9;3;8;4;1;6;11
12;5;6;2;10;9;3;8;4;1;7;11;1;56266
1;56266;12;5;6;2;10;9;3;8;4;1;7;11
12;5;6;2;10;9;3;8;4;7;1;11;1;65254
1;56266;12;5;6;2;10;9;3;8;4;1;7;11
12;11;6;2;10;9;3;8;4;1;7;5;1;40276
1;40276;12;11;6;2;10;9;3;8;4;1;7;5
12;11;6;2;10;9;3;8;4;7;1;5;1;44528
1;44528;12;11;6;2;10;9;3;8;4;7;1;5
12;11;6;10;2;9;3;8;4;7;1;5;1;42528
1;42528;12;11;6;10;2;9;3;8;4;7;1;5
12;8;6;10;2;9;3;11;4;7;1;5;1;47624
1;47624;12;8;6;10;2;9;3;11;4;7;1;5
12;8;6;10;2;4;3;11;9;7;1;5;1;49994
1;49994;12;8;6;10;2;4;3;11;9;7;1;5
12;8;6;10;2;4;3;5;9;7;1;11;1;46024
1;46024;12;8;6;10;2;4;3;5;9;7;1;11
9;8;6;10;2;4;3;5;12;7;1;11;1;39550
2;39550;9;8;6;10;2;4;3;5;12;7;1;11
9;8;6;10;11;4;3;5;12;7;1;2;2;37970
2;37970;9;8;6;10;11;4;3;5;12;7;1;2
9;8;6;7;11;4;3;5;12;10;1;2;2;39784
2;39784;9;8;6;7;11;4;3;5;12;10;1;2
9;8;6;7;10;4;3;5;12;11;1;2;2;42412
2;42412;9;8;6;7;10;4;3;5;12;11;1;2
9;2;6;7;10;4;3;5;12;11;1;8;2;35176
2;35176;9;2;6;7;10;4;3;5;12;11;1;8
9;2;6;7;10;4;3;5;1;11;12;8;2;35058
2;35058;9;2;6;7;10;4;3;5;1;11;12;8
9;2;6;5;10;4;3;7;1;11;12;8;2;47760
2;47760;9;2;6;5;10;4;3;7;1;11;12;8
9;2;7;5;10;4;3;6;1;11;12;8;2;34920
2;34920;9;2;7;5;10;4;3;6;1;11;12;8
9;2;7;8;10;4;3;6;1;11;12;5;2;32708
2;32708;9;2;7;8;10;4;3;6;1;11;12;5
8;2;7;9;10;4;3;6;1;11;12;5;2;36936
2;36936;8;2;7;9;10;4;3;6;1;11;12;5
7;2;8;9;10;4;3;6;1;11;12;5;2;26900
2;26900;7;2;8;9;10;4;3;6;1;11;12;5
7;2;8;9;10;4;3;1;6;11;12;5;2;31494
2;31494;7;2;8;9;10;4;3;1;6;11;12;5
7;2;8;9;10;4;5;1;6;11;12;3;2;33196
2;33196;7;2;8;9;10;4;5;1;6;11;12;3
7;2;8;9;10;11;5;1;6;4;12;3;2;34634
2;34634;7;2;8;9;10;11;5;1;6;4;12;3
7;2;8;4;10;11;5;1;6;9;12;3;2;48868
2;34634;7;2;8;9;10;11;5;1;6;4;12;3
7;2;8;9;10;11;3;1;6;4;12;5;2;41886
2;41886;7;2;8;9;10;11;3;1;6;4;12;5
7;2;8;9;5;11;3;1;6;4;12;10;2;38040
2;38040;7;2;8;9;5;11;3;1;6;4;12;10
7;4;8;9;5;11;3;1;6;2;12;10;2;40608
2;40608;7;4;8;9;5;11;3;1;6;2;12;10
7;4;8;9;5;11;3;1;6;2;10;12;2;41176
2;41176;7;4;8;9;5;11;3;1;6;2;10;12
7;4;10;9;5;11;3;1;6;2;8;12;2;38990
2;38990;7;4;10;9;5;11;3;1;6;2;8;12
7;4;12;9;5;11;3;1;6;2;8;10;2;42702
3;38990;7;4;10;9;5;11;3;1;6;2;8;12
7;4;10;8;5;11;3;1;6;2;9;12;3;40212
3;40212;7;4;10;8;5;11;3;1;6;2;9;12
7;2;10;8;5;11;3;1;6;4;9;12;3;40974
3;40974;7;2;10;8;5;11;3;1;6;4;9;12
7;3;10;8;5;11;2;1;6;4;9;12;3;40730
3;40730;7;3;10;8;5;11;2;1;6;4;9;12
7;3;10;8;5;11;2;1;6;9;4;12;3;45550
3;40730;7;3;10;8;5;11;2;1;6;4;9;12
7;3;10;8;1;11;2;5;6;4;9;12;3;53906
3;53906;7;3;10;8;1;11;2;5;6;4;9;12
7;9;10;8;1;11;2;5;6;4;3;12;3;50548
3;50548;7;9;10;8;1;11;2;5;6;4;3;12
7;9;10;8;1;11;2;6;5;4;3;12;3;31176
3;31176;7;9;10;8;1;11;2;6;5;4;3;12
12;9;10;8;1;11;2;6;5;4;3;7;3;36688
3;36688;12;9;10;8;1;11;2;6;5;4;3;7
12;9;10;8;1;7;2;6;5;4;3;11;3;37612
3;37612;12;9;10;8;1;7;2;6;5;4;3;11
12;9;4;8;1;7;2;6;5;10;3;11;3;43992
3;37612;12;9;10;8;1;7;2;6;5;4;3;11
12;9;10;8;1;7;6;2;5;4;3;11;3;42228
3;42228;12;9;10;8;1;7;6;2;5;4;3;11
12;9;2;8;1;7;6;10;5;4;3;11;3;43932
3;43932;12;9;2;8;1;7;6;10;5;4;3;11
12;9;2;8;10;7;6;1;5;4;3;11;3;38678
3;38678;12;9;2;8;10;7;6;1;5;4;3;11
12;9;2;8;10;7;6;1;5;4;11;3;3;34910
3;34910;12;9;2;8;10;7;6;1;5;4;11;3
12;2;9;8;10;7;6;1;5;4;11;3;3;34846
3;34846;12;2;9;8;10;7;6;1;5;4;11;3
12;2;9;8;10;7;6;1;3;4;11;5;3;43122
3;43122;12;2;9;8;10;7;6;1;3;4;11;5
3;2;9;8;10;7;6;1;12;4;11;5;3;45578
3;45578;3;2;9;8;10;7;6;1;12;4;11;5
3;2;9;8;4;7;6;1;12;10;11;5;3;34712
3;34712;3;2;9;8;4;7;6;1;12;10;11;5
3;2;5;8;4;7;6;1;12;10;11;9;3;37796
3;37796;3;2;5;8;4;7;6;1;12;10;11;9
3;2;4;8;5;7;6;1;12;10;11;9;3;33310
4;33310;3;2;4;8;5;7;6;1;12;10;11;9
3;2;4;8;5;9;6;1;12;10;11;7;4;30260
4;30260;3;2;4;8;5;9;6;1;12;10;11;7
3;2;7;8;5;9;6;1;12;10;11;4;4;37562
4;37562;3;2;7;8;5;9;6;1;12;10;11;4
3;11;7;8;5;9;6;1;12;10;2;4;4;35890
4;35890;3;11;7;8;5;9;6;1;12;10;2;4
7;11;3;8;5;9;6;1;12;10;2;4;4;38094
4;38094;7;11;3;8;5;9;6;1;12;10;2;4
7;11;1;8;5;9;6;3;12;10;2;4;4;44262
4;44262;7;11;1;8;5;9;6;3;12;10;2;4
7;11;1;8;5;9;6;3;12;2;10;4;4;48504
4;48504;7;11;1;8;5;9;6;3;12;2;10;4
1;11;7;8;5;9;6;3;12;2;10;4;4;50470
4;50470;1;11;7;8;5;9;6;3;12;2;10;4
1;11;7;8;5;9;6;3;12;4;10;2;4;40486
4;40486;1;11;7;8;5;9;6;3;12;4;10;2
1;11;7;8;5;9;6;2;12;4;10;3;4;41242
4;41242;1;11;7;8;5;9;6;2;12;4;10;3
9;11;7;8;5;1;6;2;12;4;10;3;4;43780
4;41242;1;11;7;8;5;9;6;2;12;4;10;3
1;8;7;11;5;9;6;2;12;4;10;3;4;40514
4;40514;1;8;7;11;5;9;6;2;12;4;10;3
1;8;7;11;5;9;6;10;12;4;2;3;4;39502
4;39502;1;8;7;11;5;9;6;10;12;4;2;3
1;8;7;11;5;9;10;6;12;4;2;3;4;30890
4;30890;1;8;7;11;5;9;10;6;12;4;2;3
1;8;7;9;5;11;10;6;12;4;2;3;4;27274
4;27274;1;8;7;9;5;11;10;6;12;4;2;3
1;8;7;9;5;11;10;12;6;4;2;3;4;40642
4;27274;1;8;7;9;5;11;10;6;12;4;2;3
