"X24";"X3";"X17";"X23";"X22";"X2";"X21";"X1";"X7";"X16";"X15";"X12";"X11";"X19";"X14";"X5";"X20";"X26";"X18";"X9";"X8";"X6";"X25";"X4";"X10";"X13";"generation"
24;3;17;23;22;2;21;1;7;16;15;12;11;19;14;5;20;26;18;9;8;6;25;4;10;13;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;21;4;10;25;1
16;10;2;11;4;19;6;23;24;7;9;1;18;20;25;15;5;26;13;14;17;21;22;8;3;12;1
2;13;12;11;4;19;18;23;24;7;9;17;10;5;16;15;21;14;25;1;20;6;22;8;3;26;1
25;10;24;26;12;2;5;11;19;4;7;23;18;20;16;22;21;14;8;1;17;6;15;13;3;9;1
24;3;9;26;12;19;21;1;2;4;7;23;18;20;25;15;5;11;13;14;17;6;22;16;8;10;1
15;21;16;5;17;25;9;10;20;14;22;23;18;6;3;13;2;19;7;8;4;24;1;11;26;12;1
16;10;24;3;12;2;21;22;19;4;7;23;9;20;25;15;5;8;13;14;17;6;1;11;26;18;1
17;10;4;13;22;25;7;24;9;16;15;12;11;19;14;5;20;26;18;1;8;21;23;6;3;2;1
24;2;17;8;22;3;13;18;7;16;15;12;11;19;14;5;20;21;9;6;23;1;25;4;10;26;1
6;2;17;23;22;3;13;9;18;16;15;12;11;26;14;5;20;19;7;8;4;24;1;25;10;21;1
25;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;4;24;8;10;6;21;1
24;2;17;23;22;3;10;9;7;16;4;12;11;19;26;5;21;14;8;1;20;18;15;25;13;6;1
2;3;12;11;4;19;6;23;24;7;9;17;10;22;14;5;20;26;8;1;21;18;15;25;13;16;1
26;2;12;11;4;19;6;23;24;7;9;17;10;5;16;22;21;14;8;1;20;18;15;25;13;3;1
2;3;17;10;4;22;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;23;21;24;1
2;3;12;11;4;19;6;23;24;7;9;17;10;5;16;22;21;14;8;1;20;18;15;25;13;26;1
2;3;12;11;4;19;6;23;24;7;9;17;10;5;16;22;21;14;8;1;20;18;15;25;13;26;1
2;3;12;11;4;19;21;23;24;7;9;17;10;5;16;22;20;26;18;1;8;6;25;15;13;14;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;26;5;21;14;8;1;20;18;25;4;10;6;1
7;21;16;2;4;3;9;23;20;8;1;10;12;24;25;15;5;11;13;14;17;6;22;19;26;18;1
16;10;19;3;12;2;21;22;24;4;7;23;18;20;25;15;5;8;13;14;17;6;1;11;26;9;1
16;10;24;11;12;2;21;25;15;4;7;23;13;19;14;5;20;26;18;1;8;6;22;17;3;9;1
24;2;17;23;25;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;4;6;22;8;10;21;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
16;21;24;26;12;2;10;1;19;4;7;23;18;20;22;15;5;11;13;14;8;6;25;17;3;9;1
24;2;4;23;17;10;13;9;7;16;15;12;11;19;14;5;20;26;18;1;25;6;22;8;3;21;1
14;2;12;15;4;19;6;23;24;7;9;17;10;1;16;22;21;26;18;5;8;13;25;3;11;20;1
2;3;12;10;4;5;6;23;24;7;9;17;11;19;14;22;21;16;8;1;20;18;15;25;13;26;1
24;3;16;12;9;2;21;10;19;4;7;23;18;20;25;15;5;11;13;14;17;6;22;8;1;26;1
16;10;24;13;23;2;21;22;15;17;7;12;11;19;14;5;20;26;18;1;8;6;25;4;3;9;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;17;23;22;3;13;4;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;9;10;21;1
24;8;21;12;10;2;26;3;19;4;7;23;18;20;25;15;5;11;13;14;17;6;22;1;16;9;1
16;10;24;20;23;18;7;1;19;14;21;12;2;26;25;15;5;11;13;4;17;6;22;8;3;9;1
16;10;24;13;12;2;21;25;15;4;7;23;11;19;14;5;20;26;18;1;8;6;22;17;3;9;1
16;10;24;26;12;2;21;1;19;4;7;23;18;20;25;15;5;11;13;14;17;6;22;8;3;9;1
15;9;16;5;17;25;21;1;19;4;7;10;12;6;3;13;2;20;22;8;14;24;23;11;26;18;1
16;10;24;26;12;5;21;1;11;17;15;23;18;6;3;13;2;19;7;8;4;20;22;14;25;9;1
16;10;24;26;12;2;21;11;19;4;7;23;18;17;25;15;5;14;8;1;20;6;22;13;3;9;1
2;3;12;14;4;19;6;23;24;7;9;17;10;21;16;15;5;11;8;1;20;18;22;25;13;26;1
16;10;24;26;12;2;21;1;19;4;7;23;18;20;25;15;5;11;13;14;17;6;22;8;3;9;1
16;10;24;26;12;2;21;1;19;4;7;23;18;20;25;15;5;11;13;14;17;6;22;8;3;9;1
24;13;7;22;10;15;17;11;3;23;21;12;2;19;14;5;20;26;18;1;8;6;25;4;16;9;1
24;5;7;19;10;15;13;9;17;16;3;12;11;23;14;2;20;1;18;26;8;6;25;4;22;21;1
10;9;16;3;12;2;21;1;19;4;7;23;18;20;25;15;5;11;13;14;17;6;22;8;26;24;1
16;1;24;26;18;5;21;23;20;14;22;10;12;6;3;13;2;19;7;8;17;11;15;4;25;9;1
16;3;24;11;12;2;21;14;19;17;7;23;13;15;22;5;20;26;18;1;8;6;25;4;10;9;1
24;2;8;23;25;3;18;9;7;16;15;12;11;19;1;5;20;26;13;14;17;6;22;4;10;21;1
15;19;4;13;22;25;7;24;18;5;17;20;12;6;2;1;14;21;9;10;23;26;16;8;3;11;1
16;10;24;26;12;2;21;8;19;4;7;23;18;20;25;15;5;9;13;14;17;6;22;1;3;11;1
15;21;16;5;17;25;9;23;20;14;22;10;12;6;3;13;2;19;7;8;4;24;1;11;26;18;1
22;21;16;5;17;25;9;23;20;14;15;10;12;6;3;13;2;19;7;8;4;24;1;11;26;18;1
24;2;8;23;1;3;18;9;7;16;19;12;26;20;25;15;5;11;13;14;17;6;22;4;10;21;1
17;10;24;21;22;3;13;20;7;16;15;12;11;19;14;5;9;26;18;1;8;6;25;4;2;23;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;4;23;25;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;17;6;22;8;10;21;1
24;2;8;23;6;25;13;1;7;16;15;12;11;19;14;5;20;26;18;9;17;22;3;4;10;21;1
24;5;7;19;16;15;20;11;3;14;1;12;2;26;23;13;8;22;18;9;17;6;25;4;10;21;1
16;10;6;3;12;2;21;22;19;4;7;23;9;20;25;15;5;8;13;14;17;24;1;11;26;18;1
15;21;16;5;17;25;9;23;20;14;1;10;12;24;26;13;2;19;7;11;4;6;22;8;3;18;1
13;1;21;10;24;4;7;17;14;2;22;23;18;20;25;15;5;11;9;19;6;16;26;3;12;8;1
16;10;24;26;12;20;18;1;19;4;7;23;21;2;25;15;5;11;13;14;17;6;22;8;3;9;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;8;26;18;1;20;6;25;4;10;21;1
2;3;12;11;4;19;21;23;24;7;9;17;10;22;16;5;20;26;18;1;8;6;15;25;13;14;1
1;21;16;5;17;25;9;23;4;14;22;10;12;6;3;13;2;19;7;8;20;18;15;11;26;24;1
21;16;17;11;4;8;9;23;20;18;22;10;12;6;3;13;2;19;7;1;24;14;15;25;5;26;1
4;10;24;13;23;2;21;25;7;16;15;12;11;19;14;5;20;26;18;1;8;6;22;17;3;9;1
24;2;4;23;25;10;13;9;7;16;15;12;11;19;14;5;20;26;18;1;17;6;22;8;3;21;1
16;10;24;26;12;2;21;14;19;4;7;23;18;17;25;15;5;11;13;1;20;6;22;8;3;9;1
24;3;9;26;12;2;21;1;19;4;7;23;18;20;25;15;5;14;8;17;6;10;22;16;13;11;1
16;10;24;7;12;2;21;22;19;4;26;23;18;20;25;15;5;8;13;14;17;6;1;11;3;9;1
15;21;16;5;17;25;9;23;20;14;22;10;12;6;26;13;2;19;7;11;4;24;1;8;3;18;1
22;21;25;5;17;3;13;9;7;16;15;12;11;19;14;23;2;6;20;8;4;24;1;10;26;18;1
15;21;16;5;17;25;13;9;7;22;24;12;11;19;14;26;20;23;18;1;8;6;3;4;10;2;1
15;21;23;6;22;25;9;24;18;5;17;20;12;10;3;13;2;19;7;8;4;26;16;1;14;11;1
15;19;4;13;22;25;7;24;18;5;17;20;12;10;2;8;14;21;9;6;23;26;1;11;16;3;1
26;2;12;15;19;3;13;23;24;7;9;17;10;5;16;22;21;14;8;1;18;6;25;4;11;20;1
2;3;12;11;4;19;6;23;24;7;9;17;10;5;16;22;20;26;8;1;21;18;15;25;13;14;1
7;2;3;6;12;25;13;23;4;19;9;17;10;5;16;22;21;14;8;1;20;18;15;11;26;24;1
2;3;12;25;20;19;6;23;13;15;9;17;10;5;16;22;21;14;7;8;4;24;1;11;26;18;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
16;2;17;23;22;3;13;9;7;24;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
24;2;17;23;22;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;21;1
12;19;9;16;15;3;7;17;14;20;22;24;21;2;13;8;23;26;18;1;5;6;25;4;10;11;1
11;19;9;10;16;4;7;17;14;23;22;24;21;2;13;5;20;26;18;1;8;6;25;3;12;15;1
24;8;7;19;10;2;26;6;23;9;21;12;18;20;25;15;5;11;13;14;17;22;3;1;16;4;1
11;10;24;20;12;15;21;5;19;14;7;25;2;26;23;13;8;6;18;9;17;22;3;1;16;4;1
1;21;16;2;24;3;9;10;19;4;7;23;18;20;25;15;5;11;13;14;17;6;22;8;26;12;1
16;23;24;26;18;5;21;1;11;4;15;10;12;6;3;13;2;19;7;8;17;20;22;14;25;9;1
16;10;24;11;12;2;21;14;19;4;7;23;13;15;25;5;20;26;18;1;8;6;22;17;3;9;1
24;2;17;23;22;10;13;21;7;16;15;12;11;19;14;5;20;26;18;1;4;6;25;8;3;9;1
2;22;17;21;23;3;13;9;7;16;15;12;11;19;14;5;20;26;18;1;8;6;25;4;10;24;1
26;2;12;11;4;19;6;23;24;7;9;17;10;5;16;22;21;14;8;1;20;18;15;25;3;13;1
24;3;17;23;22;2;21;1;7;16;15;12;11;19;14;5;20;26;18;9;8;6;25;4;10;13;2
24;3;17;12;22;19;8;9;2;4;15;23;11;7;14;5;20;18;21;1;10;6;25;16;26;13;2
16;2;17;26;22;10;24;12;19;4;15;23;11;7;14;5;20;18;21;1;3;6;25;8;9;13;2
24;3;2;23;22;17;8;1;7;16;15;12;11;19;14;5;20;18;26;9;10;6;25;4;21;13;2
24;3;17;23;22;2;8;1;7;16;15;12;11;19;14;5;20;26;18;9;10;6;25;4;21;13;2
24;3;17;23;22;2;8;1;7;16;15;12;11;19;14;5;20;26;18;9;10;6;25;4;21;13;2
16;2;17;26;24;10;22;12;19;4;15;23;9;7;14;5;20;18;21;8;3;6;25;1;11;13;2
