"X1";"X6193533";"X2";"X25";"X14";"X21";"X26";"X19";"X23";"X10";"X13";"X7";"X5";"X4";"X24";"X12";"X22";"X11";"X3";"X17";"X16";"X9";"X18";"X1.1";"X6";"X20";"X8";"X15"
1;6193533;2;25;14;21;26;19;23;10;13;7;5;4;24;12;22;11;3;17;16;9;18;1;6;20;8;15
2;25;14;21;26;19;23;10;13;7;5;4;24;12;8;11;3;17;16;9;18;1;6;20;22;15;1;6185267
1;6185267;2;25;14;21;26;19;23;10;13;7;5;4;24;12;8;11;3;17;16;9;18;1;6;20;22;15
2;25;14;21;26;19;23;17;13;7;5;4;24;12;8;11;3;10;16;9;18;1;6;20;22;15;1;6184825
1;6184825;2;25;14;21;26;19;23;17;13;7;5;4;24;12;8;11;3;10;16;9;18;1;6;20;22;15
2;25;14;21;26;19;18;17;13;7;5;4;24;12;8;11;3;10;16;9;23;1;6;20;22;15;1;6061986
1;6061986;2;25;14;21;26;19;18;17;13;7;5;4;24;12;8;11;3;10;16;9;23;1;6;20;22;15
2;25;14;21;26;19;18;17;13;7;5;4;24;12;9;11;3;10;16;8;23;1;6;20;22;15;1;6012563
1;6012563;2;25;14;21;26;19;18;17;13;7;5;4;24;12;9;11;3;10;16;8;23;1;6;20;22;15
23;25;14;21;26;19;18;17;13;7;5;4;24;12;9;11;3;10;16;8;2;1;6;20;22;15;1;6002574
1;6002574;23;25;14;21;26;19;18;17;13;7;5;4;24;12;9;11;3;10;16;8;2;1;6;20;22;15
23;25;14;21;26;19;11;17;13;7;5;4;24;12;9;18;3;10;16;8;2;1;6;20;22;15;1;5989068
1;5989068;23;25;14;21;26;19;11;17;13;7;5;4;24;12;9;18;3;10;16;8;2;1;6;20;22;15
23;25;14;21;26;19;11;17;13;12;5;4;24;7;9;18;3;10;16;8;2;1;6;20;22;15;1;5972969
1;5972969;23;25;14;21;26;19;11;17;13;12;5;4;24;7;9;18;3;10;16;8;2;1;6;20;22;15
23;25;14;21;26;19;11;17;13;12;5;4;24;7;9;2;3;10;16;8;18;1;6;20;22;15;1;6111469
1;6111469;23;25;14;21;26;19;11;17;13;12;5;4;24;7;9;2;3;10;16;8;18;1;6;20;22;15
23;25;14;1;26;19;11;17;13;12;5;4;24;7;9;2;3;10;16;8;18;21;6;20;22;15;1;6126525
