"X1";"X49166";"X10";"X4";"X12";"X7";"X11";"X1.1";"X3";"X5";"X8";"X9";"X2";"X6"
1;49166;10;4;12;7;11;1;3;5;8;9;2;6
10;4;12;7;11;1;3;9;8;5;2;6;1;49714
1;49714;10;4;12;7;11;1;3;9;8;5;2;6
10;4;12;7;3;1;11;9;8;5;2;6;1;46600
1;46600;10;4;12;7;3;1;11;9;8;5;2;6
10;4;12;7;3;1;2;9;8;5;11;6;1;43882
1;43882;10;4;12;7;3;1;2;9;8;5;11;6
9;4;12;7;3;1;2;10;8;5;11;6;1;32810
1;32810;9;4;12;7;3;1;2;10;8;5;11;6
9;4;12;7;3;1;2;10;5;8;11;6;1;30846
1;30846;9;4;12;7;3;1;2;10;5;8;11;6
8;4;12;7;3;1;2;10;5;9;11;6;1;43002
1;43002;8;4;12;7;3;1;2;10;5;9;11;6
8;4;7;12;3;1;2;10;5;9;11;6;1;40212
1;40212;8;4;7;12;3;1;2;10;5;9;11;6
8;6;7;12;3;1;2;10;5;9;11;4;1;50934
1;50934;8;6;7;12;3;1;2;10;5;9;11;4
2;6;7;12;3;1;8;10;5;9;11;4;1;51748
1;51748;2;6;7;12;3;1;8;10;5;9;11;4
2;6;7;9;3;1;8;10;5;12;11;4;1;59478
1;59478;2;6;7;9;3;1;8;10;5;12;11;4
2;6;7;9;3;1;8;10;5;4;11;12;1;52182
1;52182;2;6;7;9;3;1;8;10;5;4;11;12
8;6;7;9;3;1;2;10;5;4;11;12;1;49758
1;49758;8;6;7;9;3;1;2;10;5;4;11;12
8;6;7;9;3;1;4;10;5;2;11;12;1;46196
1;46196;8;6;7;9;3;1;4;10;5;2;11;12
3;6;7;9;8;1;4;10;5;2;11;12;1;54406
1;54406;3;6;7;9;8;1;4;10;5;2;11;12
3;6;7;9;2;1;4;10;5;8;11;12;1;52120
1;52120;3;6;7;9;2;1;4;10;5;8;11;12
7;6;3;9;2;1;4;10;5;8;11;12;1;46978
1;46978;7;6;3;9;2;1;4;10;5;8;11;12
7;6;3;1;2;9;4;10;5;8;11;12;1;39832
1;39832;7;6;3;1;2;9;4;10;5;8;11;12
7;6;3;1;2;9;10;4;5;8;11;12;1;46008
1;46008;7;6;3;1;2;9;10;4;5;8;11;12
7;6;3;1;2;9;10;8;5;4;11;12;1;47818
