"X1";"X6243274";"X21";"X18";"X12";"X26";"X20";"X17";"X11";"X6";"X4";"X23";"X2";"X5";"X24";"X22";"X16";"X25";"X3";"X15";"X7";"X19";"X1.1";"X13";"X14";"X9";"X10";"X8"
1;6243274;21;18;12;26;20;17;11;6;4;23;2;5;24;22;16;25;3;15;7;19;1;13;14;9;10;8
21;18;25;26;20;17;11;6;4;23;2;5;24;22;16;12;3;15;7;19;1;13;14;9;10;8;1;6188549
1;6188549;21;18;25;26;20;17;11;6;4;23;2;5;24;22;16;12;3;15;7;19;1;13;14;9;10;8
21;26;25;18;20;17;11;6;4;23;2;5;24;22;16;12;3;15;7;19;1;13;14;9;10;8;1;6161322
1;6161322;21;26;25;18;20;17;11;6;4;23;2;5;24;22;16;12;3;15;7;19;1;13;14;9;10;8
21;26;25;18;20;17;11;6;4;23;2;5;24;22;1;12;3;15;7;19;16;13;14;9;10;8;1;6154851
1;6154851;21;26;25;18;20;17;11;6;4;23;2;5;24;22;1;12;3;15;7;19;16;13;14;9;10;8
2;26;25;18;20;17;11;6;4;23;21;5;24;22;1;12;3;15;7;19;16;13;14;9;10;8;1;6128248
1;6128248;2;26;25;18;20;17;11;6;4;23;21;5;24;22;1;12;3;15;7;19;16;13;14;9;10;8
2;26;25;18;20;17;11;6;4;1;21;5;24;22;23;12;3;15;7;19;16;13;14;9;10;8;1;6094421
1;6094421;2;26;25;18;20;17;11;6;4;1;21;5;24;22;23;12;3;15;7;19;16;13;14;9;10;8
2;26;25;18;20;17;11;6;4;1;21;5;24;7;23;12;3;15;22;19;16;13;14;9;10;8;1;6122597
1;6122597;2;26;25;18;20;17;11;6;4;1;21;5;24;7;23;12;3;15;22;19;16;13;14;9;10;8
2;26;25;18;20;17;11;6;4;1;21;24;5;7;23;12;3;15;22;19;16;13;14;9;10;8;1;6120705
1;6120705;2;26;25;18;20;17;11;6;4;1;21;24;5;7;23;12;3;15;22;19;16;13;14;9;10;8
2;26;25;18;20;17;11;6;7;1;21;24;5;4;23;12;3;15;22;19;16;13;14;9;10;8;1;6140917
1;6140917;2;26;25;18;20;17;11;6;7;1;21;24;5;4;23;12;3;15;22;19;16;13;14;9;10;8
2;26;25;18;20;17;11;6;7;22;21;24;5;4;23;12;3;15;1;19;16;13;14;9;10;8;1;6119748
1;6119748;2;26;25;18;20;17;11;6;7;22;21;24;5;4;23;12;3;15;1;19;16;13;14;9;10;8
2;26;25;10;20;17;11;6;7;22;21;24;5;4;23;12;3;15;1;19;16;13;14;9;18;8;1;6036821
1;6036821;2;26;25;10;20;17;11;6;7;22;21;24;5;4;23;12;3;15;1;19;16;13;14;9;18;8
2;26;17;10;20;25;11;6;7;22;21;24;5;4;23;12;3;15;1;19;16;13;14;9;18;8;1;6035583
1;6035583;2;26;17;10;20;25;11;6;7;22;21;24;5;4;23;12;3;15;1;19;16;13;14;9;18;8
2;10;17;26;20;25;11;6;7;22;21;24;5;4;23;12;3;15;1;19;16;13;14;9;18;8;1;6042071
1;6042071;2;10;17;26;20;25;11;6;7;22;21;24;5;4;23;12;3;15;1;19;16;13;14;9;18;8
2;10;17;21;20;25;11;6;7;22;26;24;5;4;23;12;3;15;1;19;16;13;14;9;18;8;1;6073925
1;6073925;2;10;17;21;20;25;11;6;7;22;26;24;5;4;23;12;3;15;1;19;16;13;14;9;18;8
2;10;17;21;20;25;11;6;7;22;26;24;5;9;23;12;3;15;1;19;16;13;14;4;18;8;1;5967794
1;5967794;2;10;17;21;20;25;11;6;7;22;26;24;5;9;23;12;3;15;1;19;16;13;14;4;18;8
2;10;17;21;20;25;11;6;7;22;26;24;5;9;23;12;3;16;1;19;15;13;14;4;18;8;1;5999364
1;5999364;2;10;17;21;20;25;11;6;7;22;26;24;5;9;23;12;3;16;1;19;15;13;14;4;18;8
2;10;17;21;20;25;11;6;7;22;26;24;5;9;13;12;3;16;1;19;15;23;14;4;18;8;1;5995786
1;5995786;2;10;17;21;20;25;11;6;7;22;26;24;5;9;13;12;3;16;1;19;15;23;14;4;18;8
2;10;17;21;20;25;11;6;7;22;26;24;5;9;13;12;3;1;16;19;15;23;14;4;18;8;1;5995746
1;5995746;2;10;17;21;20;25;11;6;7;22;26;24;5;9;13;12;3;1;16;19;15;23;14;4;18;8
2;17;10;21;20;25;11;6;7;22;26;24;5;9;13;12;3;1;16;19;15;23;14;4;18;8;1;5998190
1;5998190;2;17;10;21;20;25;11;6;7;22;26;24;5;9;13;12;3;1;16;19;15;23;14;4;18;8
2;17;10;21;20;25;11;6;7;22;26;24;5;9;15;12;3;1;16;19;13;23;14;4;18;8;1;5989576
1;5989576;2;17;10;21;20;25;11;6;7;22;26;24;5;9;15;12;3;1;16;19;13;23;14;4;18;8
2;17;10;21;20;25;11;6;23;22;26;24;5;9;15;12;3;1;16;19;13;7;14;4;18;8;1;6034179
2;6034179;2;17;10;21;20;25;11;6;23;22;26;24;5;9;15;12;3;1;16;19;13;7;14;4;18;8
2;17;10;24;20;25;11;6;23;22;26;21;5;9;15;12;3;1;16;19;13;7;14;4;18;8;2;5984734
2;5984734;2;17;10;24;20;25;11;6;23;22;26;21;5;9;15;12;3;1;16;19;13;7;14;4;18;8
2;17;10;24;20;25;11;6;4;22;26;21;5;9;15;12;3;1;16;19;13;7;14;23;18;8;2;5962131
2;5962131;2;17;10;24;20;25;11;6;4;22;26;21;5;9;15;12;3;1;16;19;13;7;14;23;18;8
2;17;10;24;20;18;11;6;4;22;26;21;5;9;15;12;3;1;16;19;13;7;14;23;25;8;2;5962353
2;5962353;2;17;10;24;20;18;11;6;4;22;26;21;5;9;15;12;3;1;16;19;13;7;14;23;25;8
2;17;4;24;20;18;11;6;10;22;26;21;5;9;15;12;3;1;16;19;13;7;14;23;25;8;2;6034266
2;6034266;2;17;4;24;20;18;11;6;10;22;26;21;5;9;15;12;3;1;16;19;13;7;14;23;25;8
2;17;4;24;14;18;11;6;10;22;26;21;5;9;15;12;3;1;16;19;13;7;20;23;25;8;2;5995240
2;5995240;2;17;4;24;14;18;11;6;10;22;26;21;5;9;15;12;3;1;16;19;13;7;20;23;25;8
2;17;4;24;14;18;11;6;10;22;26;12;5;9;15;21;3;1;16;19;13;7;20;23;25;8;2;5982564
2;5982564;2;17;4;24;14;18;11;6;10;22;26;12;5;9;15;21;3;1;16;19;13;7;20;23;25;8
2;17;4;24;14;18;11;6;10;22;19;12;5;9;15;21;3;1;16;26;13;7;20;23;25;8;2;5914768
2;5914768;2;17;4;24;14;18;11;6;10;22;19;12;5;9;15;21;3;1;16;26;13;7;20;23;25;8
2;17;4;24;14;18;11;6;7;22;19;12;5;9;15;21;3;1;16;26;13;10;20;23;25;8;2;5857290
2;5857290;2;17;4;24;14;18;11;6;7;22;19;12;5;9;15;21;3;1;16;26;13;10;20;23;25;8
7;17;4;24;14;18;11;6;2;22;19;12;5;9;15;21;3;1;16;26;13;10;20;23;25;8;2;5879284
2;5879284;7;17;4;24;14;18;11;6;2;22;19;12;5;9;15;21;3;1;16;26;13;10;20;23;25;8
23;17;4;24;14;18;11;6;2;22;19;12;5;9;15;21;3;1;16;26;13;10;20;7;25;8;2;5896638
