"X1";"X5932184";"X22";"X23";"X19";"X5";"X21";"X12";"X17";"X9";"X3";"X1.1";"X14";"X26";"X8";"X20";"X18";"X25";"X11";"X7";"X6";"X4";"X24";"X2";"X15";"X16";"X10";"X13"
1;5932184;22;23;19;5;21;12;17;9;3;1;14;26;8;20;18;25;11;7;6;4;24;2;15;16;10;13
22;23;19;5;21;12;17;9;3;1;14;7;8;20;18;25;11;26;6;4;24;2;15;16;10;13;1;5938477
1;5938477;22;23;19;5;21;12;17;9;3;1;14;7;8;20;18;25;11;26;6;4;24;2;15;16;10;13
22;23;19;14;21;12;17;9;3;1;5;7;8;20;18;25;11;26;6;4;24;2;15;16;10;13;1;5887539
1;5887539;22;23;19;14;21;12;17;9;3;1;5;7;8;20;18;25;11;26;6;4;24;2;15;16;10;13
22;23;19;14;21;12;17;4;3;1;5;7;8;20;18;25;11;26;6;9;24;2;15;16;10;13;1;5960146
1;5960146;22;23;19;14;21;12;17;4;3;1;5;7;8;20;18;25;11;26;6;9;24;2;15;16;10;13
22;23;19;14;26;12;17;4;3;1;5;7;8;20;18;25;11;21;6;9;24;2;15;16;10;13;1;5928863
1;5928863;22;23;19;14;26;12;17;4;3;1;5;7;8;20;18;25;11;21;6;9;24;2;15;16;10;13
22;23;19;14;26;12;17;4;18;1;5;7;8;20;3;25;11;21;6;9;24;2;15;16;10;13;1;5861144
1;5861144;22;23;19;14;26;12;17;4;18;1;5;7;8;20;3;25;11;21;6;9;24;2;15;16;10;13
22;23;19;14;26;12;17;4;18;1;3;7;8;20;5;25;11;21;6;9;24;2;15;16;10;13;1;5982552
1;5982552;22;23;19;14;26;12;17;4;18;1;3;7;8;20;5;25;11;21;6;9;24;2;15;16;10;13
22;23;19;14;26;12;17;4;18;1;25;7;8;20;5;3;11;21;6;9;24;2;15;16;10;13;1;5979470
1;5979470;22;23;19;14;26;12;17;4;18;1;25;7;8;20;5;3;11;21;6;9;24;2;15;16;10;13
22;23;19;14;26;12;6;4;18;1;25;7;8;20;5;3;11;21;17;9;24;2;15;16;10;13;1;5987301
1;5987301;22;23;19;14;26;12;6;4;18;1;25;7;8;20;5;3;11;21;17;9;24;2;15;16;10;13
16;23;19;14;26;12;6;4;18;1;25;7;8;20;5;3;11;21;17;9;24;2;15;22;10;13;1;5981914
1;5981914;16;23;19;14;26;12;6;4;18;1;25;7;8;20;5;3;11;21;17;9;24;2;15;22;10;13
16;23;19;14;26;12;6;4;18;1;25;7;8;20;5;9;11;21;17;3;24;2;15;22;10;13;1;5882895
1;5882895;16;23;19;14;26;12;6;4;18;1;25;7;8;20;5;9;11;21;17;3;24;2;15;22;10;13
16;23;8;14;26;12;6;4;18;1;25;7;19;20;5;9;11;21;17;3;24;2;15;22;10;13;1;5896565
1;5896565;16;23;8;14;26;12;6;4;18;1;25;7;19;20;5;9;11;21;17;3;24;2;15;22;10;13
16;23;8;14;26;12;6;4;18;1;25;7;17;20;5;9;11;21;19;3;24;2;15;22;10;13;1;5867631
1;5867631;16;23;8;14;26;12;6;4;18;1;25;7;17;20;5;9;11;21;19;3;24;2;15;22;10;13
16;23;8;14;26;12;6;4;18;1;25;7;17;20;5;9;11;21;3;19;24;2;15;22;10;13;1;5885635
1;5885635;16;23;8;14;26;12;6;4;18;1;25;7;17;20;5;9;11;21;3;19;24;2;15;22;10;13
16;23;8;26;14;12;6;4;18;1;25;7;17;20;5;9;11;21;3;19;24;2;15;22;10;13;1;5873175
1;5873175;16;23;8;26;14;12;6;4;18;1;25;7;17;20;5;9;11;21;3;19;24;2;15;22;10;13
16;23;8;26;14;12;6;4;18;20;25;7;17;1;5;9;11;21;3;19;24;2;15;22;10;13;1;5842313
1;5842313;16;23;8;26;14;12;6;4;18;20;25;7;17;1;5;9;11;21;3;19;24;2;15;22;10;13
16;23;8;26;14;12;6;4;18;20;25;9;17;1;5;7;11;21;3;19;24;2;15;22;10;13;1;5832289
1;5832289;16;23;8;26;14;12;6;4;18;20;25;9;17;1;5;7;11;21;3;19;24;2;15;22;10;13
16;23;8;26;3;12;6;4;18;20;25;9;17;1;5;7;11;21;14;19;24;2;15;22;10;13;1;5785743
1;5785743;16;23;8;26;3;12;6;4;18;20;25;9;17;1;5;7;11;21;14;19;24;2;15;22;10;13
16;23;8;26;3;12;6;4;18;20;25;9;17;1;19;7;11;21;14;5;24;2;15;22;10;13;1;5810690
