"X1";"X44988";"X12";"X9";"X2";"X7";"X6";"X1.1";"X3";"X8";"X4";"X11";"X5";"X10"
1;44988;12;9;2;7;6;1;3;8;4;11;5;10
12;9;2;7;5;1;3;8;4;11;6;10;1;43902
1;43902;12;9;2;7;5;1;3;8;4;11;6;10
12;9;2;7;3;1;5;8;4;11;6;10;1;43668
1;43668;12;9;2;7;3;1;5;8;4;11;6;10
12;9;2;7;3;1;11;8;4;5;6;10;1;41788
1;41788;12;9;2;7;3;1;11;8;4;5;6;10
12;9;2;6;3;1;11;8;4;5;7;10;1;43622
1;43622;12;9;2;6;3;1;11;8;4;5;7;10
12;9;2;6;3;1;4;8;11;5;7;10;1;41954
1;41954;12;9;2;6;3;1;4;8;11;5;7;10
12;9;2;6;3;1;7;8;11;5;4;10;1;42390
1;42390;12;9;2;6;3;1;7;8;11;5;4;10
12;9;2;6;3;1;8;7;11;5;4;10;1;38742
1;38742;12;9;2;6;3;1;8;7;11;5;4;10
12;9;2;3;6;1;8;7;11;5;4;10;1;37582
1;37582;12;9;2;3;6;1;8;7;11;5;4;10
12;9;8;3;6;1;2;7;11;5;4;10;1;40158
1;40158;12;9;8;3;6;1;2;7;11;5;4;10
11;9;8;3;6;1;2;7;12;5;4;10;1;37684
1;37684;11;9;8;3;6;1;2;7;12;5;4;10
11;3;8;9;6;1;2;7;12;5;4;10;1;35294
1;35294;11;3;8;9;6;1;2;7;12;5;4;10
11;3;8;9;6;1;2;7;10;5;4;12;1;37432
1;37432;11;3;8;9;6;1;2;7;10;5;4;12
11;4;8;9;6;1;2;7;10;5;3;12;1;35778
1;35778;11;4;8;9;6;1;2;7;10;5;3;12
8;4;11;9;6;1;2;7;10;5;3;12;1;34886
1;34886;8;4;11;9;6;1;2;7;10;5;3;12
8;2;11;9;6;1;4;7;10;5;3;12;1;42914
1;34886;8;4;11;9;6;1;2;7;10;5;3;12
8;4;11;9;6;2;1;7;10;5;3;12;1;34808
1;34808;8;4;11;9;6;2;1;7;10;5;3;12
8;4;12;9;6;2;1;7;10;5;3;11;1;32794
1;32794;8;4;12;9;6;2;1;7;10;5;3;11
8;4;7;9;6;2;1;12;10;5;3;11;1;42014
1;42014;8;4;7;9;6;2;1;12;10;5;3;11
8;4;7;9;6;1;2;12;10;5;3;11;1;41468
1;41468;8;4;7;9;6;1;2;12;10;5;3;11
8;4;7;9;6;1;2;3;10;5;12;11;1;30918
2;30918;8;4;7;9;6;1;2;3;10;5;12;11
