"X1";"X6040150";"X17";"X22";"X13";"X15";"X2";"X6";"X8";"X4";"X3";"X12";"X1.1";"X26";"X20";"X11";"X24";"X19";"X16";"X9";"X10";"X7";"X5";"X14";"X21";"X23";"X18";"X25"
1;6040150;17;22;13;15;2;6;8;4;3;12;1;26;20;11;24;19;16;9;10;7;5;14;21;23;18;25
17;22;13;15;2;23;8;4;3;12;1;26;20;11;24;19;16;9;10;7;5;14;21;6;18;25;1;6032260
1;6032260;17;22;13;15;2;23;8;4;3;12;1;26;20;11;24;19;16;9;10;7;5;14;21;6;18;25
17;22;13;15;2;23;8;6;3;12;1;26;20;11;24;19;16;9;10;7;5;14;21;4;18;25;1;6079662
1;6079662;17;22;13;15;2;23;8;6;3;12;1;26;20;11;24;19;16;9;10;7;5;14;21;4;18;25
25;22;13;15;2;23;8;6;3;12;1;26;20;11;24;19;16;9;10;7;5;14;21;4;18;17;1;6079433
1;6079433;25;22;13;15;2;23;8;6;3;12;1;26;20;11;24;19;16;9;10;7;5;14;21;4;18;17
25;22;13;15;2;23;8;6;3;11;1;26;20;12;24;19;16;9;10;7;5;14;21;4;18;17;1;6096255
1;6096255;25;22;13;15;2;23;8;6;3;11;1;26;20;12;24;19;16;9;10;7;5;14;21;4;18;17
25;22;13;15;26;23;8;6;3;11;1;2;20;12;24;19;16;9;10;7;5;14;21;4;18;17;1;6098208
1;6098208;25;22;13;15;26;23;8;6;3;11;1;2;20;12;24;19;16;9;10;7;5;14;21;4;18;17
25;22;13;15;26;23;8;6;11;3;1;2;20;12;24;19;16;9;10;7;5;14;21;4;18;17;1;6098188
1;6098188;25;22;13;15;26;23;8;6;11;3;1;2;20;12;24;19;16;9;10;7;5;14;21;4;18;17
25;22;13;15;7;23;8;6;11;3;1;2;20;12;24;19;16;9;10;26;5;14;21;4;18;17;1;6082780
1;6082780;25;22;13;15;7;23;8;6;11;3;1;2;20;12;24;19;16;9;10;26;5;14;21;4;18;17
25;22;12;15;7;23;8;6;11;3;1;2;20;13;24;19;16;9;10;26;5;14;21;4;18;17;1;6099538
1;6099538;25;22;12;15;7;23;8;6;11;3;1;2;20;13;24;19;16;9;10;26;5;14;21;4;18;17
25;22;12;15;7;23;8;6;11;3;1;14;20;13;24;19;16;9;10;26;5;2;21;4;18;17;1;6000965
1;6000965;25;22;12;15;7;23;8;6;11;3;1;14;20;13;24;19;16;9;10;26;5;2;21;4;18;17
25;22;1;15;7;23;8;6;11;3;12;14;20;13;24;19;16;9;10;26;5;2;21;4;18;17;1;6013293
1;6013293;25;22;1;15;7;23;8;6;11;3;12;14;20;13;24;19;16;9;10;26;5;2;21;4;18;17
25;22;1;9;7;23;8;6;11;3;12;14;20;13;24;19;16;15;10;26;5;2;21;4;18;17;1;6135940
1;6135940;25;22;1;9;7;23;8;6;11;3;12;14;20;13;24;19;16;15;10;26;5;2;21;4;18;17
25;22;1;9;7;23;8;6;11;3;12;14;20;17;24;19;16;15;10;26;5;2;21;4;18;13;1;6112411
1;6112411;25;22;1;9;7;23;8;6;11;3;12;14;20;17;24;19;16;15;10;26;5;2;21;4;18;13
25;22;1;9;14;23;8;6;11;3;12;7;20;17;24;19;16;15;10;26;5;2;21;4;18;13;1;6198482
1;6198482;25;22;1;9;14;23;8;6;11;3;12;7;20;17;24;19;16;15;10;26;5;2;21;4;18;13
25;22;1;9;14;23;7;6;11;3;12;8;20;17;24;19;16;15;10;26;5;2;21;4;18;13;1;6140759
1;6140759;25;22;1;9;14;23;7;6;11;3;12;8;20;17;24;19;16;15;10;26;5;2;21;4;18;13
25;22;1;9;14;23;7;6;11;3;12;8;15;17;24;19;16;20;10;26;5;2;21;4;18;13;1;6076949
1;6076949;25;22;1;9;14;23;7;6;11;3;12;8;15;17;24;19;16;20;10;26;5;2;21;4;18;13
25;20;1;9;14;23;7;6;11;3;12;8;15;17;24;19;16;22;10;26;5;2;21;4;18;13;1;6194296
1;6194296;25;20;1;9;14;23;7;6;11;3;12;8;15;17;24;19;16;22;10;26;5;2;21;4;18;13
25;20;1;9;14;23;7;6;11;3;12;8;15;17;24;19;4;22;10;26;5;2;21;16;18;13;1;6039491
1;6039491;25;20;1;9;14;23;7;6;11;3;12;8;15;17;24;19;4;22;10;26;5;2;21;16;18;13
25;20;1;9;14;23;7;6;11;3;12;8;15;17;24;19;4;22;10;26;16;2;21;5;18;13;1;6168394
1;6168394;25;20;1;9;14;23;7;6;11;3;12;8;15;17;24;19;4;22;10;26;16;2;21;5;18;13
25;20;1;11;14;23;7;6;9;3;12;8;15;17;24;19;4;22;10;26;16;2;21;5;18;13;1;6062372
1;6062372;25;20;1;11;14;23;7;6;9;3;12;8;15;17;24;19;4;22;10;26;16;2;21;5;18;13
25;20;1;11;14;23;7;6;9;4;12;8;15;17;24;19;3;22;10;26;16;2;21;5;18;13;1;6051092
2;6051092;25;20;1;11;14;23;7;6;9;4;12;8;15;17;24;19;3;22;10;26;16;2;21;5;18;13
25;20;1;11;14;23;7;6;9;4;17;8;15;12;24;19;3;22;10;26;16;2;21;5;18;13;2;6063735
2;6063735;25;20;1;11;14;23;7;6;9;4;17;8;15;12;24;19;3;22;10;26;16;2;21;5;18;13
25;20;1;11;14;23;7;6;3;4;17;8;15;12;24;19;9;22;10;26;16;2;21;5;18;13;2;6063582
2;6063582;25;20;1;11;14;23;7;6;3;4;17;8;15;12;24;19;9;22;10;26;16;2;21;5;18;13
25;20;1;11;14;23;7;6;8;4;17;3;15;12;24;19;9;22;10;26;16;2;21;5;18;13;2;6010945
2;6010945;25;20;1;11;14;23;7;6;8;4;17;3;15;12;24;19;9;22;10;26;16;2;21;5;18;13
25;20;1;11;14;23;7;6;8;4;17;3;9;12;24;19;15;22;10;26;16;2;21;5;18;13;2;6049234
2;6049234;25;20;1;11;14;23;7;6;8;4;17;3;9;12;24;19;15;22;10;26;16;2;21;5;18;13
25;20;1;11;14;23;7;6;8;3;17;4;9;12;24;19;15;22;10;26;16;2;21;5;18;13;2;6160021
2;6160021;25;20;1;11;14;23;7;6;8;3;17;4;9;12;24;19;15;22;10;26;16;2;21;5;18;13
25;20;1;11;14;23;9;6;8;3;17;4;7;12;24;19;15;22;10;26;16;2;21;5;18;13;2;6216184
2;6216184;25;20;1;11;14;23;9;6;8;3;17;4;7;12;24;19;15;22;10;26;16;2;21;5;18;13
25;11;1;20;14;23;9;6;8;3;17;4;7;12;24;19;15;22;10;26;16;2;21;5;18;13;2;6251333
2;6251333;25;11;1;20;14;23;9;6;8;3;17;4;7;12;24;19;15;22;10;26;16;2;21;5;18;13
25;11;1;20;24;23;9;6;8;3;17;4;7;12;14;19;15;22;10;26;16;2;21;5;18;13;2;6115640
2;6115640;25;11;1;20;24;23;9;6;8;3;17;4;7;12;14;19;15;22;10;26;16;2;21;5;18;13
25;11;1;20;24;23;6;9;8;3;17;4;7;12;14;19;15;22;10;26;16;2;21;5;18;13;2;6083981
