"X1";"X34752";"X5";"X3";"X8";"X2";"X7";"X10";"X9";"X6";"X12";"X4";"X1.1";"X11"
1;34752;5;3;8;2;7;10;9;6;12;4;1;11
5;3;8;2;7;10;9;12;6;4;1;11;1;48170
1;48170;5;3;8;2;7;10;9;12;6;4;1;11
4;3;8;2;7;10;9;12;6;5;1;11;1;44976
1;44976;4;3;8;2;7;10;9;12;6;5;1;11
3;4;8;2;7;10;9;12;6;5;1;11;1;45988
1;45988;3;4;8;2;7;10;9;12;6;5;1;11
3;4;8;2;7;10;9;12;6;11;1;5;1;34852
1;34852;3;4;8;2;7;10;9;12;6;11;1;5
3;4;8;12;7;10;9;2;6;11;1;5;1;46040
1;46040;3;4;8;12;7;10;9;2;6;11;1;5
3;12;8;4;7;10;9;2;6;11;1;5;1;58356
1;46040;3;4;8;12;7;10;9;2;6;11;1;5
3;4;8;12;7;10;9;2;6;5;1;11;1;48152
1;48152;3;4;8;12;7;10;9;2;6;5;1;11
3;4;8;12;7;10;9;2;6;5;11;1;1;47972
1;47972;3;4;8;12;7;10;9;2;6;5;11;1
3;4;8;12;7;10;6;2;9;5;11;1;1;50826
1;50826;3;4;8;12;7;10;6;2;9;5;11;1
3;4;11;12;7;10;6;2;9;5;8;1;1;48048
1;48048;3;4;11;12;7;10;6;2;9;5;8;1
3;4;1;12;7;10;6;2;9;5;8;11;1;46420
1;46420;3;4;1;12;7;10;6;2;9;5;8;11
3;4;1;12;7;10;11;2;9;5;8;6;1;49434
1;49434;3;4;1;12;7;10;11;2;9;5;8;6
3;4;1;12;6;10;11;2;9;5;8;7;1;48422
1;48422;3;4;1;12;6;10;11;2;9;5;8;7
3;4;1;2;6;10;11;12;9;5;8;7;1;48082
1;48082;3;4;1;2;6;10;11;12;9;5;8;7
3;4;11;2;6;10;1;12;9;5;8;7;1;45618
1;45618;3;4;11;2;6;10;1;12;9;5;8;7
3;4;11;2;1;10;6;12;9;5;8;7;1;39528
1;39528;3;4;11;2;1;10;6;12;9;5;8;7
3;4;7;2;1;10;6;12;9;5;8;11;1;45208
1;45208;3;4;7;2;1;10;6;12;9;5;8;11
3;8;7;2;1;10;6;12;9;5;4;11;1;46566
1;46566;3;8;7;2;1;10;6;12;9;5;4;11
3;8;7;2;12;10;6;1;9;5;4;11;1;43180
1;43180;3;8;7;2;12;10;6;1;9;5;4;11
3;9;7;2;12;10;6;1;8;5;4;11;1;52942
2;43180;3;8;7;2;12;10;6;1;9;5;4;11
3;5;7;2;12;10;6;1;9;8;4;11;2;29744
2;29744;3;5;7;2;12;10;6;1;9;8;4;11
3;5;7;2;4;10;6;1;9;8;12;11;2;25900
2;25900;3;5;7;2;4;10;6;1;9;8;12;11
3;5;10;2;4;7;6;1;9;8;12;11;2;22038
2;22038;3;5;10;2;4;7;6;1;9;8;12;11
