"X1";"X6210270";"X25";"X13";"X19";"X7";"X1.1";"X18";"X15";"X17";"X16";"X6";"X10";"X9";"X26";"X12";"X11";"X23";"X8";"X24";"X22";"X4";"X2";"X3";"X14";"X5";"X20";"X21"
1;6210270;25;13;19;7;1;18;15;17;16;6;10;9;26;12;11;23;8;24;22;4;2;3;14;5;20;21
25;13;19;7;1;18;15;4;16;6;10;9;26;12;11;23;8;24;22;17;2;3;14;5;20;21;1;6119115
1;6119115;25;13;19;7;1;18;15;4;16;6;10;9;26;12;11;23;8;24;22;17;2;3;14;5;20;21
25;13;19;7;1;18;15;4;16;6;10;9;26;12;11;23;8;24;21;17;2;3;14;5;20;22;1;6103259
1;6103259;25;13;19;7;1;18;15;4;16;6;10;9;26;12;11;23;8;24;21;17;2;3;14;5;20;22
25;13;19;7;1;18;15;4;16;6;10;9;26;12;11;23;8;24;21;17;2;3;14;20;5;22;1;6137126
1;6137126;25;13;19;7;1;18;15;4;16;6;10;9;26;12;11;23;8;24;21;17;2;3;14;20;5;22
25;13;19;7;1;18;15;4;16;22;10;9;26;12;11;23;8;24;21;17;2;3;14;20;5;6;1;6139428
1;6139428;25;13;19;7;1;18;15;4;16;22;10;9;26;12;11;23;8;24;21;17;2;3;14;20;5;6
25;13;19;7;1;18;15;14;16;22;10;9;26;12;11;23;8;24;21;17;2;3;4;20;5;6;1;6078389
1;6078389;25;13;19;7;1;18;15;14;16;22;10;9;26;12;11;23;8;24;21;17;2;3;4;20;5;6
25;13;19;22;1;18;15;14;16;7;10;9;26;12;11;23;8;24;21;17;2;3;4;20;5;6;1;6099726
1;6099726;25;13;19;22;1;18;15;14;16;7;10;9;26;12;11;23;8;24;21;17;2;3;4;20;5;6
25;13;19;22;10;18;15;14;16;7;1;9;26;12;11;23;8;24;21;17;2;3;4;20;5;6;1;6036787
1;6036787;25;13;19;22;10;18;15;14;16;7;1;9;26;12;11;23;8;24;21;17;2;3;4;20;5;6
25;13;19;22;10;18;15;14;4;7;1;9;26;12;11;23;8;24;21;17;2;3;16;20;5;6;1;6115267
1;6115267;25;13;19;22;10;18;15;14;4;7;1;9;26;12;11;23;8;24;21;17;2;3;16;20;5;6
25;11;19;22;10;18;15;14;4;7;1;9;26;12;13;23;8;24;21;17;2;3;16;20;5;6;1;6103021
1;6103021;25;11;19;22;10;18;15;14;4;7;1;9;26;12;13;23;8;24;21;17;2;3;16;20;5;6
25;11;19;22;10;18;15;14;4;7;1;9;26;12;13;23;8;24;2;17;21;3;16;20;5;6;1;6143062
1;6143062;25;11;19;22;10;18;15;14;4;7;1;9;26;12;13;23;8;24;2;17;21;3;16;20;5;6
25;11;19;22;10;18;12;14;4;7;1;9;26;15;13;23;8;24;2;17;21;3;16;20;5;6;1;6176338
1;6176338;25;11;19;22;10;18;12;14;4;7;1;9;26;15;13;23;8;24;2;17;21;3;16;20;5;6
25;11;19;22;10;18;12;14;4;7;1;24;26;15;13;23;8;9;2;17;21;3;16;20;5;6;1;6210328
1;6210328;25;11;19;22;10;18;12;14;4;7;1;24;26;15;13;23;8;9;2;17;21;3;16;20;5;6
25;11;19;20;10;18;12;14;4;7;1;24;26;15;13;23;8;9;2;17;21;3;16;22;5;6;1;6190266
1;6190266;25;11;19;20;10;18;12;14;4;7;1;24;26;15;13;23;8;9;2;17;21;3;16;22;5;6
25;11;19;20;10;18;12;14;8;7;1;24;26;15;13;23;4;9;2;17;21;3;16;22;5;6;1;6175183
1;6175183;25;11;19;20;10;18;12;14;8;7;1;24;26;15;13;23;4;9;2;17;21;3;16;22;5;6
