"X1";"X5934838";"X15";"X25";"X19";"X24";"X13";"X7";"X5";"X26";"X4";"X22";"X8";"X11";"X17";"X21";"X2";"X16";"X3";"X12";"X20";"X10";"X18";"X6";"X23";"X14";"X9";"X1.1"
1;5934838;15;25;19;24;13;7;5;26;4;22;8;11;17;21;2;16;3;12;20;10;18;6;23;14;9;1
15;25;19;2;13;7;5;26;4;22;8;11;17;21;24;16;3;12;20;10;18;6;23;14;9;1;1;5936870
1;5936870;15;25;19;2;13;7;5;26;4;22;8;11;17;21;24;16;3;12;20;10;18;6;23;14;9;1
15;25;19;2;13;7;5;26;4;14;8;11;17;21;24;16;3;12;20;10;18;6;23;22;9;1;1;6033327
1;6033327;15;25;19;2;13;7;5;26;4;14;8;11;17;21;24;16;3;12;20;10;18;6;23;22;9;1
15;25;19;2;13;7;16;26;4;14;8;11;17;21;24;5;3;12;20;10;18;6;23;22;9;1;1;5982925
1;5982925;15;25;19;2;13;7;16;26;4;14;8;11;17;21;24;5;3;12;20;10;18;6;23;22;9;1
15;25;19;2;13;7;16;26;4;14;10;11;17;21;24;5;3;12;20;8;18;6;23;22;9;1;1;5990495
1;5990495;15;25;19;2;13;7;16;26;4;14;10;11;17;21;24;5;3;12;20;8;18;6;23;22;9;1
15;25;19;2;13;7;16;26;3;14;10;11;17;21;24;5;4;12;20;8;18;6;23;22;9;1;1;5970386
1;5970386;15;25;19;2;13;7;16;26;3;14;10;11;17;21;24;5;4;12;20;8;18;6;23;22;9;1
15;25;19;2;13;7;16;26;3;14;10;11;6;21;24;5;4;12;20;8;18;17;23;22;9;1;1;5957111
1;5957111;15;25;19;2;13;7;16;26;3;14;10;11;6;21;24;5;4;12;20;8;18;17;23;22;9;1
15;25;19;7;13;2;16;26;3;14;10;11;6;21;24;5;4;12;20;8;18;17;23;22;9;1;1;5919103
1;5919103;15;25;19;7;13;2;16;26;3;14;10;11;6;21;24;5;4;12;20;8;18;17;23;22;9;1
15;21;19;7;13;2;16;26;3;14;10;11;6;25;24;5;4;12;20;8;18;17;23;22;9;1;1;5940652
1;5940652;15;21;19;7;13;2;16;26;3;14;10;11;6;25;24;5;4;12;20;8;18;17;23;22;9;1
15;21;19;7;13;2;16;26;3;14;10;11;6;25;4;5;24;12;20;8;18;17;23;22;9;1;1;5879262
1;5879262;15;21;19;7;13;2;16;26;3;14;10;11;6;25;4;5;24;12;20;8;18;17;23;22;9;1
15;21;19;7;13;2;16;26;3;14;17;11;6;25;4;5;24;12;20;8;18;10;23;22;9;1;1;5880196
