"X13";"X16";"X15";"X17";"X7";"X4";"X20";"X23";"X21";"X26";"X18";"X11";"X9";"X8";"X1";"X25";"X22";"X5";"X12";"X19";"X24";"X10";"X2";"X3";"X6";"X14";"generation"
13;16;22;17;7;4;20;23;21;26;18;11;9;8;1;25;15;5;12;19;24;10;2;3;6;14;1
13;16;15;17;7;4;20;23;21;26;18;11;9;8;1;25;22;5;12;19;24;10;2;3;6;14;1
13;24;15;10;7;5;20;23;6;26;12;2;9;8;1;25;3;4;18;21;16;17;11;19;22;14;1
7;17;13;14;16;4;20;23;21;26;18;11;9;8;1;25;22;5;12;19;24;10;2;3;6;15;1
13;16;15;17;12;4;20;23;21;26;18;11;9;8;1;25;22;5;7;19;24;10;2;3;6;14;1
13;16;15;17;7;4;20;23;21;26;18;11;9;8;1;25;22;5;12;19;24;10;2;3;6;14;1
7;17;23;14;16;4;18;26;13;6;20;15;9;8;1;25;22;5;12;19;24;10;2;21;3;11;1
7;10;9;14;24;5;12;25;21;26;18;11;15;8;1;23;22;4;20;19;13;16;2;3;6;17;1
15;12;17;4;24;19;2;26;14;10;21;9;5;8;1;25;7;16;18;6;11;22;3;23;20;13;1
13;16;15;17;7;4;20;23;18;10;21;9;5;12;1;25;22;11;8;19;24;26;2;3;6;14;1
7;10;26;14;24;5;12;25;13;22;20;15;1;2;23;9;19;4;18;21;16;17;11;3;6;8;1
13;24;15;10;7;5;20;23;22;25;12;2;9;8;1;26;3;4;18;21;16;17;11;19;6;14;1
15;1;17;4;24;19;2;26;14;10;21;9;5;12;8;25;7;16;18;6;11;22;3;23;20;13;1
15;1;17;4;24;19;2;26;14;10;21;9;5;12;8;25;7;16;18;6;11;22;3;23;20;13;1
13;16;15;17;7;4;20;23;21;26;18;24;9;8;1;25;10;5;12;19;11;22;2;3;6;14;1
15;1;17;4;24;19;23;26;14;22;21;9;5;12;8;25;7;16;18;20;11;10;2;3;6;13;1
10;9;7;5;12;24;14;25;13;6;20;15;1;2;23;26;3;4;18;21;16;17;11;19;22;8;1
7;10;9;14;24;5;15;25;13;6;11;12;16;1;26;3;23;4;18;21;2;17;20;19;22;8;1
7;10;15;14;24;1;2;25;13;6;20;9;5;12;23;26;3;4;18;21;16;17;11;19;22;8;1
