"X1";"X5904425";"X25";"X15";"X8";"X7";"X1.1";"X13";"X18";"X17";"X6";"X9";"X20";"X24";"X5";"X14";"X12";"X4";"X10";"X16";"X2";"X19";"X22";"X3";"X23";"X21";"X26";"X11"
1;5904425;25;15;8;7;1;13;18;17;6;9;20;24;5;14;12;4;10;16;2;19;22;3;23;21;26;11
25;15;8;7;1;13;6;17;18;9;20;24;5;14;12;4;10;16;2;19;22;3;23;21;26;11;1;5899566
1;5899566;25;15;8;7;1;13;6;17;18;9;20;24;5;14;12;4;10;16;2;19;22;3;23;21;26;11
25;15;8;7;1;13;6;17;18;16;20;24;5;14;12;4;10;9;2;19;22;3;23;21;26;11;1;5863673
1;5863673;25;15;8;7;1;13;6;17;18;16;20;24;5;14;12;4;10;9;2;19;22;3;23;21;26;11
25;15;4;7;1;13;6;17;18;16;20;24;5;14;12;8;10;9;2;19;22;3;23;21;26;11;1;5807337
1;5807337;25;15;4;7;1;13;6;17;18;16;20;24;5;14;12;8;10;9;2;19;22;3;23;21;26;11
25;15;4;7;1;13;6;22;18;16;20;24;5;14;12;8;10;9;2;19;17;3;23;21;26;11;1;5789862
1;5789862;25;15;4;7;1;13;6;22;18;16;20;24;5;14;12;8;10;9;2;19;17;3;23;21;26;11
25;15;4;7;1;13;6;22;18;19;20;24;5;14;12;8;10;9;2;16;17;3;23;21;26;11;1;5692925
1;5692925;25;15;4;7;1;13;6;22;18;19;20;24;5;14;12;8;10;9;2;16;17;3;23;21;26;11
25;15;4;7;1;13;6;22;18;19;9;24;5;14;12;8;10;20;2;16;17;3;23;21;26;11;1;5703512
1;5703512;25;15;4;7;1;13;6;22;18;19;9;24;5;14;12;8;10;20;2;16;17;3;23;21;26;11
25;10;4;7;1;13;6;22;18;19;9;24;5;14;12;8;15;20;2;16;17;3;23;21;26;11;1;5706546
1;5706546;25;10;4;7;1;13;6;22;18;19;9;24;5;14;12;8;15;20;2;16;17;3;23;21;26;11
25;10;4;7;1;13;6;22;5;19;9;24;18;14;12;8;15;20;2;16;17;3;23;21;26;11;1;5744219
1;5744219;25;10;4;7;1;13;6;22;5;19;9;24;18;14;12;8;15;20;2;16;17;3;23;21;26;11
19;10;4;7;1;13;6;22;5;25;9;24;18;14;12;8;15;20;2;16;17;3;23;21;26;11;1;5796185
1;5796185;19;10;4;7;1;13;6;22;5;25;9;24;18;14;12;8;15;20;2;16;17;3;23;21;26;11
19;2;4;7;1;13;6;22;5;25;9;24;18;14;12;8;15;20;10;16;17;3;23;21;26;11;1;5791430
1;5791430;19;2;4;7;1;13;6;22;5;25;9;24;18;14;12;8;15;20;10;16;17;3;23;21;26;11
19;2;4;7;1;13;6;22;5;25;9;24;18;14;12;8;16;20;10;15;17;3;23;21;26;11;1;5814573
1;5814573;19;2;4;7;1;13;6;22;5;25;9;24;18;14;12;8;16;20;10;15;17;3;23;21;26;11
19;2;4;7;1;23;6;22;5;25;9;24;18;14;12;8;16;20;10;15;17;3;13;21;26;11;1;5840964
1;5840964;19;2;4;7;1;23;6;22;5;25;9;24;18;14;12;8;16;20;10;15;17;3;13;21;26;11
19;2;4;7;1;23;21;22;5;25;9;24;18;14;12;8;16;20;10;15;17;3;13;6;26;11;1;5794836
1;5794836;19;2;4;7;1;23;21;22;5;25;9;24;18;14;12;8;16;20;10;15;17;3;13;6;26;11
19;2;8;7;1;23;21;22;5;25;9;24;18;14;12;4;16;20;10;15;17;3;13;6;26;11;1;5906265
1;5906265;19;2;8;7;1;23;21;22;5;25;9;24;18;14;12;4;16;20;10;15;17;3;13;6;26;11
19;2;8;7;1;23;21;22;5;25;16;24;18;14;12;4;9;20;10;15;17;3;13;6;26;11;1;5905246
1;5905246;19;2;8;7;1;23;21;22;5;25;16;24;18;14;12;4;9;20;10;15;17;3;13;6;26;11
19;2;8;7;1;6;21;22;5;25;16;24;18;14;12;4;9;20;10;15;17;3;13;23;26;11;1;5889298
1;5889298;19;2;8;7;1;6;21;22;5;25;16;24;18;14;12;4;9;20;10;15;17;3;13;23;26;11
19;2;8;7;1;6;4;22;5;25;16;24;18;14;12;21;9;20;10;15;17;3;13;23;26;11;1;5885893
1;5885893;19;2;8;7;1;6;4;22;5;25;16;24;18;14;12;21;9;20;10;15;17;3;13;23;26;11
19;2;8;7;1;6;16;22;5;25;4;24;18;14;12;21;9;20;10;15;17;3;13;23;26;11;1;5825178
1;5825178;19;2;8;7;1;6;16;22;5;25;4;24;18;14;12;21;9;20;10;15;17;3;13;23;26;11
19;2;8;7;1;12;16;22;5;25;4;24;18;14;6;21;9;20;10;15;17;3;13;23;26;11;1;5832136
1;5832136;19;2;8;7;1;12;16;22;5;25;4;24;18;14;6;21;9;20;10;15;17;3;13;23;26;11
19;2;8;7;1;12;16;22;5;25;4;24;18;14;6;21;9;17;10;15;20;3;13;23;26;11;1;5904205
2;5904205;19;2;8;7;1;12;16;22;5;25;4;24;18;14;6;21;9;17;10;15;20;3;13;23;26;11
19;2;8;7;26;12;16;22;5;25;4;24;18;14;6;21;9;17;10;15;20;3;13;23;1;11;2;5856876
2;5856876;19;2;8;7;26;12;16;22;5;25;4;24;18;14;6;21;9;17;10;15;20;3;13;23;1;11
19;2;8;7;25;12;16;22;5;26;4;24;18;14;6;21;9;17;10;15;20;3;13;23;1;11;2;5858715
2;5858715;19;2;8;7;25;12;16;22;5;26;4;24;18;14;6;21;9;17;10;15;20;3;13;23;1;11
19;2;8;14;25;12;16;22;5;26;4;24;18;7;6;21;9;17;10;15;20;3;13;23;1;11;2;5878493
2;5878493;19;2;8;14;25;12;16;22;5;26;4;24;18;7;6;21;9;17;10;15;20;3;13;23;1;11
19;2;8;14;15;12;16;22;5;26;4;24;18;7;6;21;9;17;10;25;20;3;13;23;1;11;2;5865634
2;5865634;19;2;8;14;15;12;16;22;5;26;4;24;18;7;6;21;9;17;10;25;20;3;13;23;1;11
19;2;8;14;15;12;16;22;5;26;4;24;18;7;6;21;17;9;10;25;20;3;13;23;1;11;2;5848420
2;5848420;19;2;8;14;15;12;16;22;5;26;4;24;18;7;6;21;17;9;10;25;20;3;13;23;1;11
19;2;8;14;15;12;16;22;5;13;4;24;18;7;6;21;17;9;10;25;20;3;26;23;1;11;2;5868046
2;5868046;19;2;8;14;15;12;16;22;5;13;4;24;18;7;6;21;17;9;10;25;20;3;26;23;1;11
19;2;8;14;24;12;16;22;5;13;4;15;18;7;6;21;17;9;10;25;20;3;26;23;1;11;2;5843509
