"X1";"X50656";"X5";"X1.1";"X6";"X8";"X4";"X12";"X2";"X10";"X3";"X7";"X11";"X9"
1;50656;5;1;6;8;4;12;2;10;3;7;11;9
5;10;6;8;4;12;2;1;3;7;11;9;1;41524
1;41524;5;10;6;8;4;12;2;1;3;7;11;9
5;10;6;8;4;12;11;1;3;7;2;9;1;39610
1;39610;5;10;6;8;4;12;11;1;3;7;2;9
5;10;6;8;7;12;11;1;3;4;2;9;1;35454
1;35454;5;10;6;8;7;12;11;1;3;4;2;9
5;7;6;8;10;12;11;1;3;4;2;9;1;25796
1;25796;5;7;6;8;10;12;11;1;3;4;2;9
5;3;6;8;10;12;11;1;7;4;2;9;1;28726
1;28726;5;3;6;8;10;12;11;1;7;4;2;9
5;3;6;8;1;12;11;10;7;4;2;9;1;36072
1;36072;5;3;6;8;1;12;11;10;7;4;2;9
10;3;6;8;1;12;11;5;7;4;2;9;1;49618
1;49618;10;3;6;8;1;12;11;5;7;4;2;9
10;3;6;8;2;12;11;5;7;4;1;9;1;50722
1;50722;10;3;6;8;2;12;11;5;7;4;1;9
4;3;6;8;2;12;11;5;7;10;1;9;1;30410
1;30410;4;3;6;8;2;12;11;5;7;10;1;9
4;3;6;8;10;12;11;5;7;2;1;9;1;43590
1;43590;4;3;6;8;10;12;11;5;7;2;1;9
4;3;6;8;12;10;11;5;7;2;1;9;1;46368
1;46368;4;3;6;8;12;10;11;5;7;2;1;9
2;3;6;8;12;10;11;5;7;4;1;9;1;54906
1;54906;2;3;6;8;12;10;11;5;7;4;1;9
2;3;6;8;12;10;11;4;7;5;1;9;1;56128
1;56128;2;3;6;8;12;10;11;4;7;5;1;9
2;3;1;8;12;10;11;4;7;5;6;9;1;63574
1;63574;2;3;1;8;12;10;11;4;7;5;6;9
2;7;1;8;12;10;11;4;3;5;6;9;1;47192
1;47192;2;7;1;8;12;10;11;4;3;5;6;9
2;7;1;8;12;10;5;4;3;11;6;9;1;40330
1;40330;2;7;1;8;12;10;5;4;3;11;6;9
2;7;1;8;12;10;5;4;9;11;6;3;1;38024
1;38024;2;7;1;8;12;10;5;4;9;11;6;3
2;7;1;4;12;10;5;8;9;11;6;3;1;26126
1;26126;2;7;1;4;12;10;5;8;9;11;6;3
2;9;1;4;12;10;5;8;7;11;6;3;1;39612
1;39612;2;9;1;4;12;10;5;8;7;11;6;3
2;7;1;4;12;10;5;8;9;11;6;3;1;26126
2;26126;2;7;1;4;12;10;5;8;9;11;6;3
2;7;1;6;12;10;5;8;9;11;4;3;2;27126
2;27126;2;7;1;6;12;10;5;8;9;11;4;3
2;5;1;6;12;10;7;8;9;11;4;3;2;36206
2;36206;2;5;1;6;12;10;7;8;9;11;4;3
1;5;2;6;12;10;7;8;9;11;4;3;2;38844
2;38844;1;5;2;6;12;10;7;8;9;11;4;3
11;5;2;6;12;10;7;8;9;1;4;3;2;23698
2;23698;11;5;2;6;12;10;7;8;9;1;4;3
2;5;11;6;12;10;7;8;9;1;4;3;2;42550
2;42550;2;5;11;6;12;10;7;8;9;1;4;3
2;5;11;6;7;10;12;8;9;1;4;3;2;40058
2;40058;2;5;11;6;7;10;12;8;9;1;4;3
2;5;11;6;7;8;12;10;9;1;4;3;2;40802
2;40802;2;5;11;6;7;8;12;10;9;1;4;3
2;5;11;6;7;10;12;8;9;1;4;3;2;40058
2;40058;2;5;11;6;7;10;12;8;9;1;4;3
2;5;11;10;7;6;12;8;9;1;4;3;2;47810
2;47810;2;5;11;10;7;6;12;8;9;1;4;3
2;5;11;10;9;6;12;8;7;1;4;3;2;48878
2;48878;2;5;11;10;9;6;12;8;7;1;4;3
12;5;11;10;9;6;2;8;7;1;4;3;2;50070
2;50070;12;5;11;10;9;6;2;8;7;1;4;3
12;5;11;10;8;6;2;9;7;1;4;3;2;63520
2;63520;12;5;11;10;8;6;2;9;7;1;4;3
12;5;11;8;10;6;2;9;7;1;4;3;2;63760
2;63760;12;5;11;8;10;6;2;9;7;1;4;3
12;5;11;8;10;4;2;9;7;1;6;3;2;71664
2;71664;12;5;11;8;10;4;2;9;7;1;6;3
12;5;3;8;10;4;2;9;7;1;6;11;2;72620
2;72620;12;5;3;8;10;4;2;9;7;1;6;11
12;5;3;8;10;4;2;11;7;1;6;9;2;68246
2;68246;12;5;3;8;10;4;2;11;7;1;6;9
12;5;10;8;3;4;2;11;7;1;6;9;2;65732
2;65732;12;5;10;8;3;4;2;11;7;1;6;9
12;1;10;8;3;4;2;11;7;5;6;9;2;49266
2;49266;12;1;10;8;3;4;2;11;7;5;6;9
12;1;10;8;3;4;9;11;7;5;6;2;2;51342
2;51342;12;1;10;8;3;4;9;11;7;5;6;2
1;12;10;8;3;4;9;11;7;5;6;2;2;57456
3;57456;1;12;10;8;3;4;9;11;7;5;6;2
11;12;10;8;3;4;9;1;7;5;6;2;3;52454
3;52454;11;12;10;8;3;4;9;1;7;5;6;2
11;2;10;8;3;4;9;1;7;5;6;12;3;53598
3;53598;11;2;10;8;3;4;9;1;7;5;6;12
11;2;10;8;4;3;9;1;7;5;6;12;3;61514
3;61514;11;2;10;8;4;3;9;1;7;5;6;12
11;2;10;3;4;8;9;1;7;5;6;12;3;64238
3;64238;11;2;10;3;4;8;9;1;7;5;6;12
11;2;5;3;4;8;9;1;7;10;6;12;3;57582
3;57582;11;2;5;3;4;8;9;1;7;10;6;12
10;2;5;3;4;8;9;1;7;11;6;12;3;50640
3;50640;10;2;5;3;4;8;9;1;7;11;6;12
9;2;5;3;4;8;10;1;7;11;6;12;3;46522
3;46522;9;2;5;3;4;8;10;1;7;11;6;12
9;7;5;3;4;8;10;1;2;11;6;12;3;45188
3;45188;9;7;5;3;4;8;10;1;2;11;6;12
9;8;5;3;4;7;10;1;2;11;6;12;3;46712
3;46712;9;8;5;3;4;7;10;1;2;11;6;12
9;8;2;3;4;7;10;1;5;11;6;12;3;46910
3;46910;9;8;2;3;4;7;10;1;5;11;6;12
7;8;2;3;4;9;10;1;5;11;6;12;3;47376
3;47376;7;8;2;3;4;9;10;1;5;11;6;12
7;8;11;3;4;9;10;1;5;2;6;12;3;48980
3;48980;7;8;11;3;4;9;10;1;5;2;6;12
1;8;11;3;4;9;10;7;5;2;6;12;3;37224
3;37224;1;8;11;3;4;9;10;7;5;2;6;12
1;8;11;7;4;9;10;3;5;2;6;12;3;43346
3;43346;1;8;11;7;4;9;10;3;5;2;6;12
1;8;10;7;4;9;11;3;5;2;6;12;3;42990
3;42990;1;8;10;7;4;9;11;3;5;2;6;12
1;8;10;7;3;9;11;4;5;2;6;12;3;37686
3;37686;1;8;10;7;3;9;11;4;5;2;6;12
1;8;10;7;3;5;11;4;9;2;6;12;3;33538
3;33538;1;8;10;7;3;5;11;4;9;2;6;12
1;8;10;7;4;5;11;3;9;2;6;12;3;38842
3;38842;1;8;10;7;4;5;11;3;9;2;6;12
1;8;10;6;4;5;11;3;9;2;7;12;3;41566
3;41566;1;8;10;6;4;5;11;3;9;2;7;12
1;8;5;6;4;10;11;3;9;2;7;12;3;34378
4;34378;1;8;5;6;4;10;11;3;9;2;7;12
1;11;5;6;4;10;8;3;9;2;7;12;4;47994
4;47994;1;11;5;6;4;10;8;3;9;2;7;12
6;11;5;1;4;10;8;3;9;2;7;12;4;38610
4;38610;6;11;5;1;4;10;8;3;9;2;7;12
6;11;5;1;4;10;8;3;9;2;12;7;4;38050
4;38050;6;11;5;1;4;10;8;3;9;2;12;7
6;5;11;1;4;10;8;3;9;2;12;7;4;39466
4;39466;6;5;11;1;4;10;8;3;9;2;12;7
3;5;11;1;4;10;8;6;9;2;12;7;4;26164
4;26164;3;5;11;1;4;10;8;6;9;2;12;7
3;5;11;1;4;10;8;6;9;7;12;2;4;33460
4;33460;3;5;11;1;4;10;8;6;9;7;12;2
3;2;11;1;4;10;8;6;9;7;12;5;4;47878
4;47878;3;2;11;1;4;10;8;6;9;7;12;5
3;9;11;1;4;10;8;6;2;7;12;5;4;50812
4;50812;3;9;11;1;4;10;8;6;2;7;12;5
3;8;11;1;4;10;9;6;2;7;12;5;4;42368
4;42368;3;8;11;1;4;10;9;6;2;7;12;5
3;8;6;1;4;10;9;11;2;7;12;5;4;35496
4;35496;3;8;6;1;4;10;9;11;2;7;12;5
3;11;6;1;4;10;9;8;2;7;12;5;4;50488
4;35496;3;8;6;1;4;10;9;11;2;7;12;5
3;8;6;1;4;10;9;11;5;7;12;2;4;39610
4;35496;3;8;6;1;4;10;9;11;2;7;12;5
3;8;4;1;6;10;9;11;2;7;12;5;4;42636
4;35496;3;8;6;1;4;10;9;11;2;7;12;5
3;8;4;1;6;10;9;11;2;7;12;5;4;42636
4;42636;3;8;4;1;6;10;9;11;2;7;12;5
3;8;4;11;6;10;9;1;2;7;12;5;4;32268
4;32268;3;8;4;11;6;10;9;1;2;7;12;5
3;8;4;5;6;10;9;1;2;7;12;11;4;34018
4;34018;3;8;4;5;6;10;9;1;2;7;12;11
3;8;7;5;6;10;9;1;2;4;12;11;4;38262
4;38262;3;8;7;5;6;10;9;1;2;4;12;11
7;8;3;5;6;10;9;1;2;4;12;11;4;44214
4;44214;7;8;3;5;6;10;9;1;2;4;12;11
7;8;3;5;4;10;9;1;2;6;12;11;4;43714
4;43714;7;8;3;5;4;10;9;1;2;6;12;11
7;8;3;5;4;10;9;2;1;6;12;11;4;45002
5;45002;7;8;3;5;4;10;9;2;1;6;12;11
7;8;3;5;4;10;9;2;11;6;12;1;5;45970
5;45970;7;8;3;5;4;10;9;2;11;6;12;1
7;8;3;5;1;10;9;2;11;6;12;4;5;38348
5;38348;7;8;3;5;1;10;9;2;11;6;12;4
7;8;3;5;1;10;12;2;11;6;9;4;5;39254
5;39254;7;8;3;5;1;10;12;2;11;6;9;4
7;8;3;5;9;10;12;2;11;6;1;4;5;41896
5;41896;7;8;3;5;9;10;12;2;11;6;1;4
7;8;12;5;9;10;3;2;11;6;1;4;5;40292
5;40292;7;8;12;5;9;10;3;2;11;6;1;4
3;8;12;5;9;10;7;2;11;6;1;4;5;39554
5;39554;3;8;12;5;9;10;7;2;11;6;1;4
3;8;2;5;9;10;7;12;11;6;1;4;5;34782
5;34782;3;8;2;5;9;10;7;12;11;6;1;4
3;8;11;5;9;10;7;12;2;6;1;4;5;34546
5;34546;3;8;11;5;9;10;7;12;2;6;1;4
3;8;11;2;9;10;7;12;5;6;1;4;5;38722
5;38722;3;8;11;2;9;10;7;12;5;6;1;4
3;8;11;2;12;10;7;9;5;6;1;4;5;39646
5;38722;3;8;11;2;9;10;7;12;5;6;1;4
