"X1";"X32600";"X11";"X5";"X10";"X1.1";"X9";"X6";"X8";"X7";"X2";"X4";"X12";"X3"
1;32600;11;5;10;1;9;6;8;7;2;4;12;3
9;5;10;1;11;6;8;7;2;4;12;3;1;46778
1;46778;9;5;10;1;11;6;8;7;2;4;12;3
4;5;10;1;11;6;8;7;2;9;12;3;1;51014
1;51014;4;5;10;1;11;6;8;7;2;9;12;3
4;2;10;1;11;6;8;7;5;9;12;3;1;41850
1;41850;4;2;10;1;11;6;8;7;5;9;12;3
4;2;10;1;11;3;8;7;5;9;12;6;1;42088
1;42088;4;2;10;1;11;3;8;7;5;9;12;6
4;2;10;7;11;3;8;1;5;9;12;6;1;51648
1;51648;4;2;10;7;11;3;8;1;5;9;12;6
4;2;10;3;11;7;8;1;5;9;12;6;1;42920
1;42920;4;2;10;3;11;7;8;1;5;9;12;6
4;12;10;3;11;7;8;1;5;9;2;6;1;53964
1;53964;4;12;10;3;11;7;8;1;5;9;2;6
1;12;10;3;11;7;8;4;5;9;2;6;1;47698
1;47698;1;12;10;3;11;7;8;4;5;9;2;6
1;12;10;3;11;8;7;4;5;9;2;6;1;55262
1;55262;1;12;10;3;11;8;7;4;5;9;2;6
1;12;10;3;2;8;7;4;5;9;11;6;1;49472
1;49472;1;12;10;3;2;8;7;4;5;9;11;6
1;5;10;3;2;8;7;4;12;9;11;6;1;34872
1;34872;1;5;10;3;2;8;7;4;12;9;11;6
1;5;10;3;2;12;7;4;8;9;11;6;1;42970
1;42970;1;5;10;3;2;12;7;4;8;9;11;6
1;5;10;4;2;12;7;3;8;9;11;6;1;48242
1;48242;1;5;10;4;2;12;7;3;8;9;11;6
5;1;10;4;2;12;7;3;8;9;11;6;1;59292
1;59292;5;1;10;4;2;12;7;3;8;9;11;6
5;1;10;9;2;12;7;3;8;4;11;6;1;47370
1;47370;5;1;10;9;2;12;7;3;8;4;11;6
5;1;10;9;7;12;2;3;8;4;11;6;1;41776
1;41776;5;1;10;9;7;12;2;3;8;4;11;6
8;1;10;9;7;12;2;3;5;4;11;6;1;41844
1;41844;8;1;10;9;7;12;2;3;5;4;11;6
7;1;10;9;8;12;2;3;5;4;11;6;1;36910
1;36910;7;1;10;9;8;12;2;3;5;4;11;6
7;1;12;9;8;10;2;3;5;4;11;6;1;23230
1;23230;7;1;12;9;8;10;2;3;5;4;11;6
7;3;12;9;8;10;2;1;5;4;11;6;1;41778
2;23230;7;1;12;9;8;10;2;3;5;4;11;6
7;1;12;5;8;10;2;3;9;4;11;6;2;23918
2;23918;7;1;12;5;8;10;2;3;9;4;11;6
7;1;12;5;8;10;2;3;9;4;6;11;2;28004
2;28004;7;1;12;5;8;10;2;3;9;4;6;11
10;1;12;5;8;7;2;3;9;4;6;11;2;23358
2;23358;10;1;12;5;8;7;2;3;9;4;6;11
10;3;12;5;8;7;2;1;9;4;6;11;2;41886
2;23358;10;1;12;5;8;7;2;3;9;4;6;11
10;6;12;5;8;7;2;3;9;4;1;11;2;47708
2;47708;10;6;12;5;8;7;2;3;9;4;1;11
10;6;12;5;8;7;4;3;9;2;1;11;2;61054
2;61054;10;6;12;5;8;7;4;3;9;2;1;11
10;6;12;5;2;7;4;3;9;8;1;11;2;57726
2;57726;10;6;12;5;2;7;4;3;9;8;1;11
10;6;1;5;2;7;4;3;9;8;12;11;2;50322
2;50322;10;6;1;5;2;7;4;3;9;8;12;11
3;6;1;5;2;7;4;10;9;8;12;11;2;49468
2;49468;3;6;1;5;2;7;4;10;9;8;12;11
3;6;1;5;2;8;4;10;9;7;12;11;2;45112
2;45112;3;6;1;5;2;8;4;10;9;7;12;11
3;6;1;5;10;8;4;2;9;7;12;11;2;48336
2;48336;3;6;1;5;10;8;4;2;9;7;12;11
3;6;1;5;10;12;4;2;9;7;8;11;2;45256
2;45256;3;6;1;5;10;12;4;2;9;7;8;11
12;6;1;5;10;3;4;2;9;7;8;11;2;51082
2;51082;12;6;1;5;10;3;4;2;9;7;8;11
12;8;1;5;10;3;4;2;9;7;6;11;2;53558
2;53558;12;8;1;5;10;3;4;2;9;7;6;11
12;8;10;5;1;3;4;2;9;7;6;11;2;55552
2;55552;12;8;10;5;1;3;4;2;9;7;6;11
12;8;10;5;1;3;4;7;9;2;6;11;2;56198
2;56198;12;8;10;5;1;3;4;7;9;2;6;11
12;8;10;5;1;4;3;7;9;2;6;11;2;52234
2;52234;12;8;10;5;1;4;3;7;9;2;6;11
12;8;1;5;10;4;3;7;9;2;6;11;2;51212
2;51212;12;8;1;5;10;4;3;7;9;2;6;11
12;8;1;5;10;4;3;7;9;2;11;6;2;49716
2;49716;12;8;1;5;10;4;3;7;9;2;11;6
12;8;1;4;10;5;3;7;9;2;11;6;2;48272
3;48272;12;8;1;4;10;5;3;7;9;2;11;6
3;8;1;4;10;5;12;7;9;2;11;6;3;41970
3;41970;3;8;1;4;10;5;12;7;9;2;11;6
3;8;1;4;10;5;12;7;9;11;2;6;3;42438
3;42438;3;8;1;4;10;5;12;7;9;11;2;6
3;8;1;4;10;5;11;7;9;12;2;6;3;38758
3;38758;3;8;1;4;10;5;11;7;9;12;2;6
3;7;1;4;10;5;11;8;9;12;2;6;3;42150
3;42150;3;7;1;4;10;5;11;8;9;12;2;6
4;7;1;3;10;5;11;8;9;12;2;6;3;38312
3;38312;4;7;1;3;10;5;11;8;9;12;2;6
4;7;1;11;10;5;3;8;9;12;2;6;3;40890
3;40890;4;7;1;11;10;5;3;8;9;12;2;6
11;7;1;4;10;5;3;8;9;12;2;6;3;44982
3;44982;11;7;1;4;10;5;3;8;9;12;2;6
11;7;1;4;12;5;3;8;9;10;2;6;3;28934
3;28934;11;7;1;4;12;5;3;8;9;10;2;6
11;7;1;4;12;3;5;8;9;10;2;6;3;38508
3;38508;11;7;1;4;12;3;5;8;9;10;2;6
11;7;1;4;12;3;5;8;2;10;9;6;3;38516
3;38516;11;7;1;4;12;3;5;8;2;10;9;6
11;5;1;4;12;3;7;8;2;10;9;6;3;18288
3;18288;11;5;1;4;12;3;7;8;2;10;9;6
11;5;1;4;12;10;7;8;2;3;9;6;3;32836
3;32836;11;5;1;4;12;10;7;8;2;3;9;6
11;5;7;4;12;10;1;8;2;3;9;6;3;34604
3;34604;11;5;7;4;12;10;1;8;2;3;9;6
11;5;7;1;12;10;4;8;2;3;9;6;3;35516
3;35516;11;5;7;1;12;10;4;8;2;3;9;6
11;5;7;1;12;10;2;8;4;3;9;6;3;34808
3;34808;11;5;7;1;12;10;2;8;4;3;9;6
11;8;7;1;12;10;2;5;4;3;9;6;3;22656
3;22656;11;8;7;1;12;10;2;5;4;3;9;6
11;8;7;1;12;10;6;5;4;3;9;2;3;24312
3;24312;11;8;7;1;12;10;6;5;4;3;9;2
10;8;7;1;12;11;6;5;4;3;9;2;3;27954
3;27954;10;8;7;1;12;11;6;5;4;3;9;2
10;8;5;1;12;11;6;7;4;3;9;2;3;35606
3;35606;10;8;5;1;12;11;6;7;4;3;9;2
10;8;6;1;12;11;5;7;4;3;9;2;3;39278
4;39278;10;8;6;1;12;11;5;7;4;3;9;2
10;8;6;1;12;11;3;7;4;5;9;2;4;32076
4;32076;10;8;6;1;12;11;3;7;4;5;9;2
3;8;6;1;12;11;10;7;4;5;9;2;4;40144
4;40144;3;8;6;1;12;11;10;7;4;5;9;2
1;8;6;3;12;11;10;7;4;5;9;2;4;36636
4;36636;1;8;6;3;12;11;10;7;4;5;9;2
1;8;6;3;12;11;10;9;4;5;7;2;4;48934
4;36636;1;8;6;3;12;11;10;7;4;5;9;2
1;8;7;3;12;11;10;6;4;5;9;2;4;44468
4;44468;1;8;7;3;12;11;10;6;4;5;9;2
12;8;7;3;1;11;10;6;4;5;9;2;4;53722
4;53722;12;8;7;3;1;11;10;6;4;5;9;2
12;4;7;3;1;11;10;6;8;5;9;2;4;64250
4;53722;12;8;7;3;1;11;10;6;4;5;9;2
12;8;7;3;1;10;11;6;4;5;9;2;4;55494
4;55494;12;8;7;3;1;10;11;6;4;5;9;2
12;7;8;3;1;10;11;6;4;5;9;2;4;44994
4;44994;12;7;8;3;1;10;11;6;4;5;9;2
11;7;8;3;1;10;12;6;4;5;9;2;4;45866
4;45866;11;7;8;3;1;10;12;6;4;5;9;2
11;7;8;3;1;10;2;6;4;5;9;12;4;44726
4;44726;11;7;8;3;1;10;2;6;4;5;9;12
11;7;8;2;1;10;3;6;4;5;9;12;4;45252
4;45252;11;7;8;2;1;10;3;6;4;5;9;12
11;7;8;2;1;4;3;6;10;5;9;12;4;52978
4;52978;11;7;8;2;1;4;3;6;10;5;9;12
11;6;8;2;1;4;3;7;10;5;9;12;4;26482
4;26482;11;6;8;2;1;4;3;7;10;5;9;12
2;6;8;11;1;4;3;7;10;5;9;12;4;37322
4;37322;2;6;8;11;1;4;3;7;10;5;9;12
4;6;8;11;1;2;3;7;10;5;9;12;4;35004
4;35004;4;6;8;11;1;2;3;7;10;5;9;12
4;6;8;1;11;2;3;7;10;5;9;12;4;36684
4;36684;4;6;8;1;11;2;3;7;10;5;9;12
3;6;8;1;11;2;4;7;10;5;9;12;4;51236
4;51236;3;6;8;1;11;2;4;7;10;5;9;12
8;6;3;1;11;2;4;7;10;5;9;12;4;37614
4;37614;8;6;3;1;11;2;4;7;10;5;9;12
8;6;1;3;11;2;4;7;10;5;9;12;4;37138
5;37138;8;6;1;3;11;2;4;7;10;5;9;12
8;6;1;4;11;2;3;7;10;5;9;12;5;37398
5;37398;8;6;1;4;11;2;3;7;10;5;9;12
8;6;7;4;11;2;3;1;10;5;9;12;5;48954
5;48954;8;6;7;4;11;2;3;1;10;5;9;12
3;6;7;4;11;2;8;1;10;5;9;12;5;59794
5;48954;8;6;7;4;11;2;3;1;10;5;9;12
3;6;7;4;11;2;8;1;10;5;9;12;5;59794
5;59794;3;6;7;4;11;2;8;1;10;5;9;12
3;6;9;4;11;2;8;1;10;5;7;12;5;57152
5;57152;3;6;9;4;11;2;8;1;10;5;7;12
3;6;9;4;11;2;8;5;10;1;7;12;5;58462
5;58462;3;6;9;4;11;2;8;5;10;1;7;12
6;3;9;4;11;2;8;5;10;1;7;12;5;55424
5;55424;6;3;9;4;11;2;8;5;10;1;7;12
6;3;9;4;11;5;8;2;10;1;7;12;5;38552
5;38552;6;3;9;4;11;5;8;2;10;1;7;12
6;3;9;4;2;5;8;11;10;1;7;12;5;45588
5;38552;6;3;9;4;11;5;8;2;10;1;7;12
6;3;9;4;11;5;8;1;10;2;7;12;5;35594
5;35594;6;3;9;4;11;5;8;1;10;2;7;12
6;3;9;4;11;12;8;1;10;2;7;5;5;49058
5;35594;6;3;9;4;11;5;8;1;10;2;7;12
6;3;9;4;11;5;8;1;10;12;7;2;5;46922
5;35594;6;3;9;4;11;5;8;1;10;2;7;12
6;8;9;4;11;5;3;1;10;2;7;12;5;32678
5;32678;6;8;9;4;11;5;3;1;10;2;7;12
6;8;9;4;11;5;7;1;10;2;3;12;5;33810
5;33810;6;8;9;4;11;5;7;1;10;2;3;12
6;8;9;4;11;5;12;1;10;2;3;7;5;33262
5;33262;6;8;9;4;11;5;12;1;10;2;3;7
6;8;9;11;4;5;12;1;10;2;3;7;5;33742
