"X1";"X5887065";"X18";"X12";"X3";"X21";"X17";"X11";"X9";"X22";"X15";"X19";"X25";"X13";"X20";"X14";"X5";"X23";"X8";"X24";"X7";"X10";"X26";"X16";"X6";"X2";"X1.1";"X4"
1;5887065;18;12;3;21;17;11;9;22;15;19;25;13;20;14;5;23;8;24;7;10;26;16;6;2;1;4
18;12;3;21;17;11;6;22;15;19;25;13;20;14;5;23;8;24;7;10;26;16;9;2;1;4;1;5974369
1;5974369;18;12;3;21;17;11;6;22;15;19;25;13;20;14;5;23;8;24;7;10;26;16;9;2;1;4
18;12;3;21;17;11;6;22;15;19;25;8;20;14;5;23;13;24;7;10;26;16;9;2;1;4;1;5977456
1;5977456;18;12;3;21;17;11;6;22;15;19;25;8;20;14;5;23;13;24;7;10;26;16;9;2;1;4
18;12;3;21;17;11;6;22;15;19;25;8;20;14;5;23;13;24;7;10;4;16;9;2;1;26;1;6054225
1;6054225;18;12;3;21;17;11;6;22;15;19;25;8;20;14;5;23;13;24;7;10;4;16;9;2;1;26
18;12;3;21;17;11;6;22;15;19;25;8;20;14;5;23;13;24;7;10;4;16;9;1;2;26;1;6102744
1;6102744;18;12;3;21;17;11;6;22;15;19;25;8;20;14;5;23;13;24;7;10;4;16;9;1;2;26
18;12;3;21;17;11;6;22;15;19;25;8;20;14;5;23;13;2;7;10;4;16;9;1;24;26;1;6098345
1;6098345;18;12;3;21;17;11;6;22;15;19;25;8;20;14;5;23;13;2;7;10;4;16;9;1;24;26
25;12;3;21;17;11;6;22;15;19;18;8;20;14;5;23;13;2;7;10;4;16;9;1;24;26;1;6004034
1;6004034;25;12;3;21;17;11;6;22;15;19;18;8;20;14;5;23;13;2;7;10;4;16;9;1;24;26
25;12;3;21;17;26;6;22;15;19;18;8;20;14;5;23;13;2;7;10;4;16;9;1;24;11;1;6004484
1;6004484;25;12;3;21;17;26;6;22;15;19;18;8;20;14;5;23;13;2;7;10;4;16;9;1;24;11
25;12;3;21;17;26;6;22;15;19;18;8;20;14;5;23;13;2;7;10;9;16;4;1;24;11;1;5993170
1;5993170;25;12;3;21;17;26;6;22;15;19;18;8;20;14;5;23;13;2;7;10;9;16;4;1;24;11
21;12;3;25;17;26;6;22;15;19;18;8;20;14;5;23;13;2;7;10;9;16;4;1;24;11;1;5946787
1;5946787;21;12;3;25;17;26;6;22;15;19;18;8;20;14;5;23;13;2;7;10;9;16;4;1;24;11
21;12;19;25;17;26;6;22;15;3;18;8;20;14;5;23;13;2;7;10;9;16;4;1;24;11;1;6049674
1;6049674;21;12;19;25;17;26;6;22;15;3;18;8;20;14;5;23;13;2;7;10;9;16;4;1;24;11
21;12;19;25;17;26;6;22;15;3;18;8;20;14;5;23;13;2;7;10;9;16;1;4;24;11;1;6049674
1;6049674;21;12;19;25;17;26;6;22;15;3;18;8;20;14;5;23;13;2;7;10;9;16;1;4;24;11
21;12;19;25;16;26;6;22;15;3;18;8;20;14;5;23;13;2;7;10;9;17;1;4;24;11;1;6046283
1;6046283;21;12;19;25;16;26;6;22;15;3;18;8;20;14;5;23;13;2;7;10;9;17;1;4;24;11
21;12;19;25;16;26;6;22;15;3;17;8;20;14;5;23;13;2;7;10;9;18;1;4;24;11;1;6201617
1;6201617;21;12;19;25;16;26;6;22;15;3;17;8;20;14;5;23;13;2;7;10;9;18;1;4;24;11
21;12;19;25;16;26;6;22;15;3;17;8;20;7;5;23;13;2;14;10;9;18;1;4;24;11;1;6124221
1;6124221;21;12;19;25;16;26;6;22;15;3;17;8;20;7;5;23;13;2;14;10;9;18;1;4;24;11
21;12;19;25;16;26;6;22;15;3;10;8;20;7;5;23;13;2;14;17;9;18;1;4;24;11;1;6123301
1;6123301;21;12;19;25;16;26;6;22;15;3;10;8;20;7;5;23;13;2;14;17;9;18;1;4;24;11
21;12;13;25;16;26;6;22;15;3;10;8;20;7;5;23;19;2;14;17;9;18;1;4;24;11;1;6064892
1;6064892;21;12;13;25;16;26;6;22;15;3;10;8;20;7;5;23;19;2;14;17;9;18;1;4;24;11
21;12;13;25;16;26;6;22;15;3;10;8;20;7;14;23;19;2;5;17;9;18;1;4;24;11;1;5847038
