"X1";"X5886471";"X13";"X1.1";"X23";"X3";"X17";"X4";"X11";"X16";"X6";"X2";"X8";"X25";"X19";"X20";"X24";"X12";"X15";"X22";"X14";"X7";"X21";"X5";"X26";"X10";"X9";"X18"
1;5886471;13;1;23;3;17;4;11;16;6;2;8;25;19;20;24;12;15;22;14;7;21;5;26;10;9;18
13;1;16;3;17;4;11;23;6;2;8;25;19;20;24;12;15;22;14;7;21;5;26;10;9;18;1;5867933
1;5867933;13;1;16;3;17;4;11;23;6;2;8;25;19;20;24;12;15;22;14;7;21;5;26;10;9;18
13;1;16;3;17;4;11;23;6;2;8;25;19;20;24;12;21;22;14;7;15;5;26;10;9;18;1;5815646
1;5815646;13;1;16;3;17;4;11;23;6;2;8;25;19;20;24;12;21;22;14;7;15;5;26;10;9;18
13;1;16;3;17;23;11;4;6;2;8;25;19;20;24;12;21;22;14;7;15;5;26;10;9;18;1;5794377
1;5794377;13;1;16;3;17;23;11;4;6;2;8;25;19;20;24;12;21;22;14;7;15;5;26;10;9;18
13;1;16;3;17;23;11;4;6;2;24;25;19;20;8;12;21;22;14;7;15;5;26;10;9;18;1;5876154
1;5876154;13;1;16;3;17;23;11;4;6;2;24;25;19;20;8;12;21;22;14;7;15;5;26;10;9;18
13;1;16;3;17;23;11;4;6;2;24;12;19;20;8;25;21;22;14;7;15;5;26;10;9;18;1;5885731
1;5885731;13;1;16;3;17;23;11;4;6;2;24;12;19;20;8;25;21;22;14;7;15;5;26;10;9;18
13;1;16;3;17;23;11;4;6;2;24;12;19;20;8;5;21;22;14;7;15;25;26;10;9;18;1;5972275
1;5972275;13;1;16;3;17;23;11;4;6;2;24;12;19;20;8;5;21;22;14;7;15;25;26;10;9;18
13;1;16;3;17;23;11;4;6;2;24;12;19;20;8;5;7;22;14;21;15;25;26;10;9;18;1;6033430
1;6033430;13;1;16;3;17;23;11;4;6;2;24;12;19;20;8;5;7;22;14;21;15;25;26;10;9;18
13;1;16;3;17;24;11;4;6;2;23;12;19;20;8;5;7;22;14;21;15;25;26;10;9;18;1;6011072
1;6011072;13;1;16;3;17;24;11;4;6;2;23;12;19;20;8;5;7;22;14;21;15;25;26;10;9;18
13;1;22;3;17;24;11;4;6;2;23;12;19;20;8;5;7;16;14;21;15;25;26;10;9;18;1;6012437
1;6012437;13;1;22;3;17;24;11;4;6;2;23;12;19;20;8;5;7;16;14;21;15;25;26;10;9;18
13;12;22;3;17;24;11;4;6;2;23;1;19;20;8;5;7;16;14;21;15;25;26;10;9;18;1;5996059
1;5996059;13;12;22;3;17;24;11;4;6;2;23;1;19;20;8;5;7;16;14;21;15;25;26;10;9;18
13;12;22;3;17;24;11;4;6;2;23;1;19;20;8;5;7;16;14;21;15;25;26;18;9;10;1;5921524
1;5921524;13;12;22;3;17;24;11;4;6;2;23;1;19;20;8;5;7;16;14;21;15;25;26;18;9;10
13;12;22;3;17;24;11;4;1;2;23;6;19;20;8;5;7;16;14;21;15;25;26;18;9;10;1;5911955
1;5911955;13;12;22;3;17;24;11;4;1;2;23;6;19;20;8;5;7;16;14;21;15;25;26;18;9;10
13;12;22;3;17;24;11;4;1;19;23;6;2;20;8;5;7;16;14;21;15;25;26;18;9;10;1;5936872
1;5936872;13;12;22;3;17;24;11;4;1;19;23;6;2;20;8;5;7;16;14;21;15;25;26;18;9;10
13;12;22;3;17;24;11;4;1;19;23;6;2;20;8;5;7;16;14;21;10;25;26;18;9;15;1;5897630
1;5897630;13;12;22;3;17;24;11;4;1;19;23;6;2;20;8;5;7;16;14;21;10;25;26;18;9;15
13;14;22;3;17;24;11;4;1;19;23;6;2;20;8;5;7;16;12;21;10;25;26;18;9;15;1;5887977
1;5887977;13;14;22;3;17;24;11;4;1;19;23;6;2;20;8;5;7;16;12;21;10;25;26;18;9;15
13;14;22;3;17;24;11;4;1;19;23;8;2;20;6;5;7;16;12;21;10;25;26;18;9;15;1;5825182
1;5825182;13;14;22;3;17;24;11;4;1;19;23;8;2;20;6;5;7;16;12;21;10;25;26;18;9;15
13;14;22;3;17;24;11;4;1;19;23;8;2;20;6;5;7;16;12;21;10;25;15;18;9;26;1;5845404
1;5845404;13;14;22;3;17;24;11;4;1;19;23;8;2;20;6;5;7;16;12;21;10;25;15;18;9;26
13;14;22;3;17;24;11;4;1;8;23;19;2;20;6;5;7;16;12;21;10;25;15;18;9;26;1;5827628
1;5827628;13;14;22;3;17;24;11;4;1;8;23;19;2;20;6;5;7;16;12;21;10;25;15;18;9;26
13;14;15;3;17;24;11;4;1;8;23;19;2;20;6;5;7;16;12;21;10;25;22;18;9;26;1;5816644
1;5816644;13;14;15;3;17;24;11;4;1;8;23;19;2;20;6;5;7;16;12;21;10;25;22;18;9;26
19;14;15;3;17;24;11;4;1;8;23;13;2;20;6;5;7;16;12;21;10;25;22;18;9;26;1;5830480
2;5830480;19;14;15;3;17;24;11;4;1;8;23;13;2;20;6;5;7;16;12;21;10;25;22;18;9;26
19;5;15;3;17;24;11;4;1;8;23;13;2;20;6;14;7;16;12;21;10;25;22;18;9;26;2;5924198
2;5924198;19;5;15;3;17;24;11;4;1;8;23;13;2;20;6;14;7;16;12;21;10;25;22;18;9;26
24;5;15;3;17;19;11;4;1;8;23;13;2;20;6;14;7;16;12;21;10;25;22;18;9;26;2;5919745
2;5919745;24;5;15;3;17;19;11;4;1;8;23;13;2;20;6;14;7;16;12;21;10;25;22;18;9;26
24;5;15;3;17;19;11;4;1;8;23;9;2;20;6;14;7;16;12;21;10;25;22;18;13;26;2;5855063
2;5855063;24;5;15;3;17;19;11;4;1;8;23;9;2;20;6;14;7;16;12;21;10;25;22;18;13;26
24;5;15;8;17;19;11;4;1;3;23;9;2;20;6;14;7;16;12;21;10;25;22;18;13;26;2;5898260
2;5898260;24;5;15;8;17;19;11;4;1;3;23;9;2;20;6;14;7;16;12;21;10;25;22;18;13;26
24;5;15;8;17;19;11;9;1;3;23;4;2;20;6;14;7;16;12;21;10;25;22;18;13;26;2;5932891
2;5932891;24;5;15;8;17;19;11;9;1;3;23;4;2;20;6;14;7;16;12;21;10;25;22;18;13;26
24;5;15;8;17;19;11;10;1;3;23;4;2;20;6;14;7;16;12;21;9;25;22;18;13;26;2;6048618
2;6048618;24;5;15;8;17;19;11;10;1;3;23;4;2;20;6;14;7;16;12;21;9;25;22;18;13;26
24;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;7;16;5;21;9;25;22;18;13;26;2;5795088
2;5795088;24;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;7;16;5;21;9;25;22;18;13;26
9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;7;16;5;21;24;25;22;18;13;26;2;5748114
2;5748114;9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;7;16;5;21;24;25;22;18;13;26
9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;24;16;5;21;7;25;22;18;13;26;2;5759554
2;5759554;9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;24;16;5;21;7;25;22;18;13;26
9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;24;16;25;21;7;5;22;18;13;26;2;6121055
2;6121055;9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;24;16;25;21;7;5;22;18;13;26
9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;24;16;25;26;7;5;22;18;13;21;2;6167076
2;6167076;9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;24;16;25;26;7;5;22;18;13;21
9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;21;16;25;26;7;5;22;18;13;24;2;6134846
2;6134846;9;12;15;8;17;19;11;10;1;3;23;4;2;20;6;14;21;16;25;26;7;5;22;18;13;24
9;12;15;8;17;19;11;10;1;3;21;4;2;20;6;14;23;16;25;26;7;5;22;18;13;24;2;6102217
2;6102217;9;12;15;8;17;19;11;10;1;3;21;4;2;20;6;14;23;16;25;26;7;5;22;18;13;24
14;12;15;8;17;19;11;10;1;3;21;4;2;20;6;9;23;16;25;26;7;5;22;18;13;24;2;6141873
2;6141873;14;12;15;8;17;19;11;10;1;3;21;4;2;20;6;9;23;16;25;26;7;5;22;18;13;24
14;12;10;8;17;19;11;15;1;3;21;4;2;20;6;9;23;16;25;26;7;5;22;18;13;24;2;6112435
2;6112435;14;12;10;8;17;19;11;15;1;3;21;4;2;20;6;9;23;16;25;26;7;5;22;18;13;24
14;12;10;8;17;19;11;15;13;3;21;4;2;20;6;9;23;16;25;26;7;5;22;18;1;24;2;6131571
2;6131571;14;12;10;8;17;19;11;15;13;3;21;4;2;20;6;9;23;16;25;26;7;5;22;18;1;24
14;12;10;8;17;19;11;15;13;3;21;4;2;20;6;9;23;24;25;26;7;5;22;18;1;16;2;6142719
2;6142719;14;12;10;8;17;19;11;15;13;3;21;4;2;20;6;9;23;24;25;26;7;5;22;18;1;16
14;12;10;20;17;19;11;15;13;3;21;4;2;8;6;9;23;24;25;26;7;5;22;18;1;16;2;6165718
2;6165718;14;12;10;20;17;19;11;15;13;3;21;4;2;8;6;9;23;24;25;26;7;5;22;18;1;16
