"X1";"X5876293";"X18";"X1.1";"X24";"X9";"X14";"X13";"X19";"X11";"X3";"X16";"X2";"X22";"X17";"X20";"X4";"X21";"X6";"X5";"X25";"X10";"X8";"X23";"X12";"X7";"X15";"X26"
1;5876293;18;1;24;9;14;13;19;11;3;16;2;22;17;20;4;21;6;5;25;10;8;23;12;7;15;26
18;1;24;9;14;13;19;11;3;16;2;22;17;20;4;21;10;5;25;6;8;23;12;7;15;26;1;5887867
1;5887867;18;1;24;9;14;13;19;11;3;16;2;22;17;20;4;21;10;5;25;6;8;23;12;7;15;26
18;13;24;9;14;1;19;11;3;16;2;22;17;20;4;21;10;5;25;6;8;23;12;7;15;26;1;5806002
1;5806002;18;13;24;9;14;1;19;11;3;16;2;22;17;20;4;21;10;5;25;6;8;23;12;7;15;26
18;24;13;9;14;1;19;11;3;16;2;22;17;20;4;21;10;5;25;6;8;23;12;7;15;26;1;5803538
1;5803538;18;24;13;9;14;1;19;11;3;16;2;22;17;20;4;21;10;5;25;6;8;23;12;7;15;26
18;24;13;9;14;1;19;11;17;16;2;22;3;20;4;21;10;5;25;6;8;23;12;7;15;26;1;5836538
1;5836538;18;24;13;9;14;1;19;11;17;16;2;22;3;20;4;21;10;5;25;6;8;23;12;7;15;26
18;24;13;23;14;1;19;11;17;16;2;22;3;20;4;21;10;5;25;6;8;9;12;7;15;26;1;5849392
1;5849392;18;24;13;23;14;1;19;11;17;16;2;22;3;20;4;21;10;5;25;6;8;9;12;7;15;26
18;24;13;23;14;1;19;11;17;16;2;22;3;20;4;21;10;5;25;6;26;9;12;7;15;8;1;5809614
1;5809614;18;24;13;23;14;1;19;11;17;16;2;22;3;20;4;21;10;5;25;6;26;9;12;7;15;8
18;24;13;23;5;1;19;11;17;16;2;22;3;20;4;21;10;14;25;6;26;9;12;7;15;8;1;6076248
1;6076248;18;24;13;23;5;1;19;11;17;16;2;22;3;20;4;21;10;14;25;6;26;9;12;7;15;8
18;24;13;23;5;1;19;11;17;16;20;22;3;2;4;21;10;14;25;6;26;9;12;7;15;8;1;6082543
1;6082543;18;24;13;23;5;1;19;11;17;16;20;22;3;2;4;21;10;14;25;6;26;9;12;7;15;8
15;24;13;23;5;1;19;11;17;16;20;22;3;2;4;21;10;14;25;6;26;9;12;7;18;8;1;6044449
1;6044449;15;24;13;23;5;1;19;11;17;16;20;22;3;2;4;21;10;14;25;6;26;9;12;7;18;8
15;24;13;23;5;1;19;26;17;16;20;22;3;2;4;21;10;14;25;6;11;9;12;7;18;8;1;6041788
1;6041788;15;24;13;23;5;1;19;26;17;16;20;22;3;2;4;21;10;14;25;6;11;9;12;7;18;8
15;24;14;23;5;1;19;26;17;16;20;22;3;2;4;21;10;13;25;6;11;9;12;7;18;8;1;6207536
1;6207536;15;24;14;23;5;1;19;26;17;16;20;22;3;2;4;21;10;13;25;6;11;9;12;7;18;8
10;24;14;23;5;1;19;26;17;16;20;22;3;2;4;21;15;13;25;6;11;9;12;7;18;8;1;6187230
1;6187230;10;24;14;23;5;1;19;26;17;16;20;22;3;2;4;21;15;13;25;6;11;9;12;7;18;8
10;15;14;23;5;1;19;26;17;16;20;22;3;2;4;21;24;13;25;6;11;9;12;7;18;8;1;6206959
1;6206959;10;15;14;23;5;1;19;26;17;16;20;22;3;2;4;21;24;13;25;6;11;9;12;7;18;8
10;15;14;23;20;1;19;26;17;16;5;22;3;2;4;21;24;13;25;6;11;9;12;7;18;8;1;6017357
1;6017357;10;15;14;23;20;1;19;26;17;16;5;22;3;2;4;21;24;13;25;6;11;9;12;7;18;8
10;15;14;23;20;1;19;26;17;16;5;22;3;2;4;12;24;13;25;6;11;9;21;7;18;8;1;5992529
1;5992529;10;15;14;23;20;1;19;26;17;16;5;22;3;2;4;12;24;13;25;6;11;9;21;7;18;8
10;15;14;23;20;1;19;26;17;16;5;22;3;2;9;12;24;13;25;6;11;4;21;7;18;8;1;5933288
1;5933288;10;15;14;23;20;1;19;26;17;16;5;22;3;2;9;12;24;13;25;6;11;4;21;7;18;8
10;15;14;23;20;1;19;26;21;16;5;22;3;2;9;12;24;13;25;6;11;4;17;7;18;8;1;5908213
