"X1";"X51502";"X11";"X3";"X4";"X12";"X7";"X10";"X9";"X1.1";"X6";"X5";"X8";"X2"
1;51502;11;3;4;12;7;10;9;1;6;5;8;2
11;3;4;12;9;10;7;1;6;5;8;2;1;50508
1;50508;11;3;4;12;9;10;7;1;6;5;8;2
11;6;4;12;9;10;7;1;3;5;8;2;1;40208
1;40208;11;6;4;12;9;10;7;1;3;5;8;2
11;6;2;12;9;10;7;1;3;5;8;4;1;40138
1;40138;11;6;2;12;9;10;7;1;3;5;8;4
9;6;2;12;11;10;7;1;3;5;8;4;1;46788
1;46788;9;6;2;12;11;10;7;1;3;5;8;4
9;11;2;12;6;10;7;1;3;5;8;4;1;49698
1;49698;9;11;2;12;6;10;7;1;3;5;8;4
1;11;2;12;6;10;7;9;3;5;8;4;1;59986
1;59986;1;11;2;12;6;10;7;9;3;5;8;4
3;11;2;12;6;10;7;9;1;5;8;4;1;60900
1;60900;3;11;2;12;6;10;7;9;1;5;8;4
3;11;2;12;9;10;7;6;1;5;8;4;1;56924
1;56924;3;11;2;12;9;10;7;6;1;5;8;4
3;12;2;11;9;10;7;6;1;5;8;4;1;60946
1;60946;3;12;2;11;9;10;7;6;1;5;8;4
3;12;2;11;10;9;7;6;1;5;8;4;1;51054
1;51054;3;12;2;11;10;9;7;6;1;5;8;4
3;12;2;11;10;9;8;6;1;5;7;4;1;52100
1;52100;3;12;2;11;10;9;8;6;1;5;7;4
3;7;2;11;10;9;8;6;1;5;12;4;1;56540
1;56540;3;7;2;11;10;9;8;6;1;5;12;4
3;12;2;11;10;9;8;6;1;5;7;4;1;52100
1;52100;3;12;2;11;10;9;8;6;1;5;7;4
3;12;2;11;10;8;9;6;1;5;7;4;1;58046
1;58046;3;12;2;11;10;8;9;6;1;5;7;4
3;12;9;11;10;8;2;6;1;5;7;4;1;57326
1;57326;3;12;9;11;10;8;2;6;1;5;7;4
7;12;9;11;10;8;2;6;1;5;3;4;1;50368
1;50368;7;12;9;11;10;8;2;6;1;5;3;4
7;12;9;11;10;8;5;6;1;2;3;4;1;47056
1;47056;7;12;9;11;10;8;5;6;1;2;3;4
7;12;9;11;10;8;5;2;1;6;3;4;1;45258
1;45258;7;12;9;11;10;8;5;2;1;6;3;4
7;12;9;11;10;8;5;6;1;2;3;4;1;47056
1;47056;7;12;9;11;10;8;5;6;1;2;3;4
7;12;9;11;10;6;5;8;1;2;3;4;1;43068
2;43068;7;12;9;11;10;6;5;8;1;2;3;4
9;12;7;11;10;6;5;8;1;2;3;4;2;43680
2;43680;9;12;7;11;10;6;5;8;1;2;3;4
9;12;7;11;5;6;10;8;1;2;3;4;2;45024
2;45024;9;12;7;11;5;6;10;8;1;2;3;4
9;12;7;11;5;1;10;8;6;2;3;4;2;58254
2;58254;9;12;7;11;5;1;10;8;6;2;3;4
9;5;7;11;12;1;10;8;6;2;3;4;2;55960
2;55960;9;5;7;11;12;1;10;8;6;2;3;4
6;5;7;11;12;1;10;8;9;2;3;4;2;51702
2;51702;6;5;7;11;12;1;10;8;9;2;3;4
6;2;7;11;12;1;10;8;9;5;3;4;2;41458
2;41458;6;2;7;11;12;1;10;8;9;5;3;4
6;2;4;11;12;1;10;8;9;5;3;7;2;33814
2;33814;6;2;4;11;12;1;10;8;9;5;3;7
6;2;4;11;7;1;10;8;9;5;3;12;2;44400
2;33814;6;2;4;11;12;1;10;8;9;5;3;7
10;2;4;11;12;1;6;8;9;5;3;7;2;37834
2;37834;10;2;4;11;12;1;6;8;9;5;3;7
10;2;11;4;12;1;6;8;9;5;3;7;2;35838
2;35838;10;2;11;4;12;1;6;8;9;5;3;7
6;2;11;4;12;1;10;8;9;5;3;7;2;34470
2;34470;6;2;11;4;12;1;10;8;9;5;3;7
6;2;11;4;12;1;8;10;9;5;3;7;2;30874
2;30874;6;2;11;4;12;1;8;10;9;5;3;7
6;2;11;10;12;1;8;4;9;5;3;7;2;47526
2;47526;6;2;11;10;12;1;8;4;9;5;3;7
6;2;11;10;12;1;5;4;9;8;3;7;2;42602
2;42602;6;2;11;10;12;1;5;4;9;8;3;7
6;11;2;10;12;1;5;4;9;8;3;7;2;38446
2;38446;6;11;2;10;12;1;5;4;9;8;3;7
6;9;2;10;12;1;5;4;11;8;3;7;2;50158
2;38446;6;11;2;10;12;1;5;4;9;8;3;7
6;11;2;10;12;1;5;9;4;8;3;7;2;36324
2;36324;6;11;2;10;12;1;5;9;4;8;3;7
2;11;6;10;12;1;5;9;4;8;3;7;2;49000
2;49000;2;11;6;10;12;1;5;9;4;8;3;7
2;11;6;10;12;3;5;9;4;8;1;7;2;50688
2;50688;2;11;6;10;12;3;5;9;4;8;1;7
2;11;6;10;12;3;5;9;7;8;1;4;2;46594
3;46594;2;11;6;10;12;3;5;9;7;8;1;4
2;11;6;10;12;3;1;9;7;8;5;4;3;46778
3;46778;2;11;6;10;12;3;1;9;7;8;5;4
2;11;5;10;12;3;1;9;7;8;6;4;3;53236
3;53236;2;11;5;10;12;3;1;9;7;8;6;4
2;11;5;10;12;9;1;3;7;8;6;4;3;52662
3;52662;2;11;5;10;12;9;1;3;7;8;6;4
2;3;5;10;12;9;1;11;7;8;6;4;3;46910
3;46910;2;3;5;10;12;9;1;11;7;8;6;4
2;10;5;3;12;9;1;11;7;8;6;4;3;42144
3;42144;2;10;5;3;12;9;1;11;7;8;6;4
2;10;7;3;12;9;1;11;5;8;6;4;3;38202
3;38202;2;10;7;3;12;9;1;11;5;8;6;4
2;10;7;3;12;9;4;11;5;8;6;1;3;39682
3;39682;2;10;7;3;12;9;4;11;5;8;6;1
2;10;7;3;9;12;4;11;5;8;6;1;3;43468
3;43468;2;10;7;3;9;12;4;11;5;8;6;1
2;10;7;3;1;12;4;11;5;8;6;9;3;44294
3;44294;2;10;7;3;1;12;4;11;5;8;6;9
1;10;7;3;2;12;4;11;5;8;6;9;3;38140
3;38140;1;10;7;3;2;12;4;11;5;8;6;9
1;10;7;11;2;12;4;3;5;8;6;9;3;47628
3;47628;1;10;7;11;2;12;4;3;5;8;6;9
1;10;7;11;2;12;9;3;5;8;6;4;3;46760
3;46760;1;10;7;11;2;12;9;3;5;8;6;4
1;7;10;11;2;12;9;3;5;8;6;4;3;38460
3;38460;1;7;10;11;2;12;9;3;5;8;6;4
1;7;10;11;2;12;9;3;6;8;5;4;3;38376
3;38376;1;7;10;11;2;12;9;3;6;8;5;4
5;7;10;11;2;12;9;3;6;8;1;4;3;40858
3;40858;5;7;10;11;2;12;9;3;6;8;1;4
5;7;4;11;2;12;9;3;6;8;1;10;3;37642
3;37642;5;7;4;11;2;12;9;3;6;8;1;10
5;7;4;11;2;9;12;3;6;8;1;10;3;39794
3;39794;5;7;4;11;2;9;12;3;6;8;1;10
