"X1";"X5733282";"X7";"X2";"X11";"X25";"X8";"X16";"X22";"X19";"X24";"X10";"X9";"X21";"X6";"X23";"X18";"X26";"X3";"X5";"X14";"X15";"X20";"X4";"X13";"X1.1";"X17";"X12"
1;5733282;7;2;11;25;8;16;22;19;24;10;9;21;6;23;18;26;3;5;14;15;20;4;13;1;17;12
7;2;11;25;8;16;22;19;24;10;9;21;6;23;15;26;3;5;14;18;20;4;13;1;17;12;1;5754710
1;5754710;7;2;11;25;8;16;22;19;24;10;9;21;6;23;15;26;3;5;14;18;20;4;13;1;17;12
7;2;11;25;8;16;22;19;15;10;9;21;6;23;24;26;3;5;14;18;20;4;13;1;17;12;1;5752451
1;5752451;7;2;11;25;8;16;22;19;15;10;9;21;6;23;24;26;3;5;14;18;20;4;13;1;17;12
7;2;11;25;8;16;22;19;18;10;9;21;6;23;24;26;3;5;14;15;20;4;13;1;17;12;1;5711879
1;5711879;7;2;11;25;8;16;22;19;18;10;9;21;6;23;24;26;3;5;14;15;20;4;13;1;17;12
7;2;11;25;3;16;22;19;18;10;9;21;6;23;24;26;8;5;14;15;20;4;13;1;17;12;1;5704377
1;5704377;7;2;11;25;3;16;22;19;18;10;9;21;6;23;24;26;8;5;14;15;20;4;13;1;17;12
7;2;11;25;21;16;22;19;18;10;9;3;6;23;24;26;8;5;14;15;20;4;13;1;17;12;1;5719237
1;5719237;7;2;11;25;21;16;22;19;18;10;9;3;6;23;24;26;8;5;14;15;20;4;13;1;17;12
7;2;11;25;21;16;13;19;18;10;9;3;6;23;24;26;8;5;14;15;20;4;22;1;17;12;1;5706908
1;5706908;7;2;11;25;21;16;13;19;18;10;9;3;6;23;24;26;8;5;14;15;20;4;22;1;17;12
7;2;11;25;3;16;13;19;18;10;9;21;6;23;24;26;8;5;14;15;20;4;22;1;17;12;1;5698200
1;5698200;7;2;11;25;3;16;13;19;18;10;9;21;6;23;24;26;8;5;14;15;20;4;22;1;17;12
7;2;11;25;9;16;13;19;18;10;3;21;6;23;24;26;8;5;14;15;20;4;22;1;17;12;1;5710903
1;5710903;7;2;11;25;9;16;13;19;18;10;3;21;6;23;24;26;8;5;14;15;20;4;22;1;17;12
7;2;11;25;9;22;13;19;18;10;3;21;6;23;24;26;8;5;14;15;20;4;16;1;17;12;1;5695605
1;5695605;7;2;11;25;9;22;13;19;18;10;3;21;6;23;24;26;8;5;14;15;20;4;16;1;17;12
15;2;11;25;9;22;13;19;18;10;3;21;6;23;24;26;8;5;14;7;20;4;16;1;17;12;1;5695688
1;5695688;15;2;11;25;9;22;13;19;18;10;3;21;6;23;24;26;8;5;14;7;20;4;16;1;17;12
15;16;11;25;9;22;13;19;18;10;3;21;6;23;24;26;8;5;14;7;20;4;2;1;17;12;1;5695227
1;5695227;15;16;11;25;9;22;13;19;18;10;3;21;6;23;24;26;8;5;14;7;20;4;2;1;17;12
10;16;11;25;9;22;13;19;18;15;3;21;6;23;24;26;8;5;14;7;20;4;2;1;17;12;1;5712879
1;5712879;10;16;11;25;9;22;13;19;18;15;3;21;6;23;24;26;8;5;14;7;20;4;2;1;17;12
10;16;11;25;9;22;13;19;18;15;3;21;6;23;14;26;8;5;24;7;20;4;2;1;17;12;1;5857432
1;5857432;10;16;11;25;9;22;13;19;18;15;3;21;6;23;14;26;8;5;24;7;20;4;2;1;17;12
10;16;11;25;9;22;13;19;18;20;3;21;6;23;14;26;8;5;24;7;15;4;2;1;17;12;1;5838925
1;5838925;10;16;11;25;9;22;13;19;18;20;3;21;6;23;14;26;8;5;24;7;15;4;2;1;17;12
10;16;15;25;9;22;13;19;18;20;3;21;6;23;14;26;8;5;24;7;11;4;2;1;17;12;1;5837133
1;5837133;10;16;15;25;9;22;13;19;18;20;3;21;6;23;14;26;8;5;24;7;11;4;2;1;17;12
10;16;15;19;9;22;13;25;18;20;3;21;6;23;14;26;8;5;24;7;11;4;2;1;17;12;1;5844941
1;5844941;10;16;15;19;9;22;13;25;18;20;3;21;6;23;14;26;8;5;24;7;11;4;2;1;17;12
10;16;15;7;9;22;13;25;18;20;3;21;6;23;14;26;8;5;24;19;11;4;2;1;17;12;1;5860218
1;5860218;10;16;15;7;9;22;13;25;18;20;3;21;6;23;14;26;8;5;24;19;11;4;2;1;17;12
10;16;15;7;9;22;13;25;21;20;3;18;6;23;14;26;8;5;24;19;11;4;2;1;17;12;1;5828255
1;5828255;10;16;15;7;9;22;13;25;21;20;3;18;6;23;14;26;8;5;24;19;11;4;2;1;17;12
10;16;15;7;9;22;8;25;21;20;3;18;6;23;14;26;13;5;24;19;11;4;2;1;17;12;1;5827627
