"X1";"X5853533";"X6";"X4";"X1.1";"X15";"X3";"X17";"X8";"X2";"X5";"X23";"X7";"X9";"X16";"X24";"X20";"X19";"X14";"X22";"X26";"X21";"X10";"X18";"X12";"X11";"X25";"X13"
1;5853533;6;4;1;15;3;17;8;2;5;23;7;9;16;24;20;19;14;22;26;21;10;18;12;11;25;13
6;4;1;15;3;17;8;2;5;23;18;9;16;24;20;19;14;22;26;21;10;7;12;11;25;13;1;5810920
1;5810920;6;4;1;15;3;17;8;2;5;23;18;9;16;24;20;19;14;22;26;21;10;7;12;11;25;13
6;4;1;15;3;17;8;2;5;23;18;9;16;24;20;19;14;26;22;21;10;7;12;11;25;13;1;5810260
1;5810260;6;4;1;15;3;17;8;2;5;23;18;9;16;24;20;19;14;26;22;21;10;7;12;11;25;13
6;4;1;15;3;17;8;2;5;23;12;9;16;24;20;19;14;26;22;21;10;7;18;11;25;13;1;5829915
1;5829915;6;4;1;15;3;17;8;2;5;23;12;9;16;24;20;19;14;26;22;21;10;7;18;11;25;13
6;4;7;15;3;17;8;2;5;23;12;9;16;24;20;19;14;26;22;21;10;1;18;11;25;13;1;5843390
1;5843390;6;4;7;15;3;17;8;2;5;23;12;9;16;24;20;19;14;26;22;21;10;1;18;11;25;13
6;4;7;15;3;17;8;2;5;23;20;9;16;24;12;19;14;26;22;21;10;1;18;11;25;13;1;5835103
1;5835103;6;4;7;15;3;17;8;2;5;23;20;9;16;24;12;19;14;26;22;21;10;1;18;11;25;13
6;4;7;15;3;17;8;2;5;23;20;12;16;24;9;19;14;26;22;21;10;1;18;11;25;13;1;5826673
1;5826673;6;4;7;15;3;17;8;2;5;23;20;12;16;24;9;19;14;26;22;21;10;1;18;11;25;13
6;4;7;15;16;17;8;2;5;23;20;12;3;24;9;19;14;26;22;21;10;1;18;11;25;13;1;5811910
1;5811910;6;4;7;15;16;17;8;2;5;23;20;12;3;24;9;19;14;26;22;21;10;1;18;11;25;13
6;4;7;15;16;17;10;2;5;23;20;12;3;24;9;19;14;26;22;21;8;1;18;11;25;13;1;5889164
1;5889164;6;4;7;15;16;17;10;2;5;23;20;12;3;24;9;19;14;26;22;21;8;1;18;11;25;13
6;4;7;15;16;17;13;2;5;23;20;12;3;24;9;19;14;26;22;21;8;1;18;11;25;10;1;5886227
1;5886227;6;4;7;15;16;17;13;2;5;23;20;12;3;24;9;19;14;26;22;21;8;1;18;11;25;10
6;4;7;15;25;17;13;2;5;23;20;12;3;24;9;19;14;26;22;21;8;1;18;11;16;10;1;5869466
1;5869466;6;4;7;15;25;17;13;2;5;23;20;12;3;24;9;19;14;26;22;21;8;1;18;11;16;10
6;4;7;15;25;17;13;2;5;23;20;12;3;21;9;19;14;26;22;24;8;1;18;11;16;10;1;5819628
1;5819628;6;4;7;15;25;17;13;2;5;23;20;12;3;21;9;19;14;26;22;24;8;1;18;11;16;10
6;4;7;15;25;17;13;2;5;23;20;12;3;21;24;19;14;26;22;9;8;1;18;11;16;10;1;5860004
1;5860004;6;4;7;15;25;17;13;2;5;23;20;12;3;21;24;19;14;26;22;9;8;1;18;11;16;10
6;4;7;18;25;17;13;2;5;23;20;12;3;21;24;19;14;26;22;9;8;1;15;11;16;10;1;5850012
