"X1";"X6031130";"X9";"X2";"X5";"X18";"X6";"X10";"X4";"X1.1";"X17";"X26";"X20";"X7";"X23";"X19";"X25";"X13";"X22";"X21";"X8";"X16";"X14";"X24";"X3";"X11";"X12";"X15"
1;6031130;9;2;5;18;6;10;4;1;17;26;20;7;23;19;25;13;22;21;8;16;14;24;3;11;12;15
9;2;5;18;23;10;4;1;17;26;20;7;6;19;25;13;22;21;8;16;14;24;3;11;12;15;1;6029220
1;6029220;9;2;5;18;23;10;4;1;17;26;20;7;6;19;25;13;22;21;8;16;14;24;3;11;12;15
9;2;5;18;23;10;3;1;17;26;20;7;6;19;25;13;22;21;8;16;14;24;4;11;12;15;1;6077885
1;6077885;9;2;5;18;23;10;3;1;17;26;20;7;6;19;25;13;22;21;8;16;14;24;4;11;12;15
9;2;5;8;23;10;3;1;17;26;20;7;6;19;25;13;22;21;18;16;14;24;4;11;12;15;1;5973975
1;5973975;9;2;5;8;23;10;3;1;17;26;20;7;6;19;25;13;22;21;18;16;14;24;4;11;12;15
9;2;12;8;23;10;3;1;17;26;20;7;6;19;25;13;22;21;18;16;14;24;4;11;5;15;1;5709976
1;5709976;9;2;12;8;23;10;3;1;17;26;20;7;6;19;25;13;22;21;18;16;14;24;4;11;5;15
9;2;12;8;23;10;3;1;16;26;20;7;6;19;25;13;22;21;18;17;14;24;4;11;5;15;1;5717384
1;5717384;9;2;12;8;23;10;3;1;16;26;20;7;6;19;25;13;22;21;18;17;14;24;4;11;5;15
9;2;12;8;23;10;3;1;16;26;20;7;6;19;25;13;21;22;18;17;14;24;4;11;5;15;1;5704554
1;5704554;9;2;12;8;23;10;3;1;16;26;20;7;6;19;25;13;21;22;18;17;14;24;4;11;5;15
9;2;12;4;23;10;3;1;16;26;20;7;6;19;25;13;21;22;18;17;14;24;8;11;5;15;1;5695033
1;5695033;9;2;12;4;23;10;3;1;16;26;20;7;6;19;25;13;21;22;18;17;14;24;8;11;5;15
9;2;12;4;23;10;3;1;16;26;20;7;14;19;25;13;21;22;18;17;6;24;8;11;5;15;1;5637684
1;5637684;9;2;12;4;23;10;3;1;16;26;20;7;14;19;25;13;21;22;18;17;6;24;8;11;5;15
9;2;12;4;23;10;3;1;16;26;20;7;14;19;25;13;21;22;18;17;6;24;8;11;15;5;1;5637684
1;5637684;9;2;12;4;23;10;3;1;16;26;20;7;14;19;25;13;21;22;18;17;6;24;8;11;15;5
9;2;12;4;23;10;3;1;16;25;20;7;14;19;26;13;21;22;18;17;6;24;8;11;15;5;1;5635605
1;5635605;9;2;12;4;23;10;3;1;16;25;20;7;14;19;26;13;21;22;18;17;6;24;8;11;15;5
9;2;12;4;23;10;3;1;16;25;20;7;26;19;14;13;21;22;18;17;6;24;8;11;15;5;1;5667201
1;5667201;9;2;12;4;23;10;3;1;16;25;20;7;26;19;14;13;21;22;18;17;6;24;8;11;15;5
9;2;12;4;23;10;3;1;16;25;20;7;26;15;14;13;21;22;18;17;6;24;8;11;19;5;1;5742828
1;5742828;9;2;12;4;23;10;3;1;16;25;20;7;26;15;14;13;21;22;18;17;6;24;8;11;19;5
9;14;12;4;23;10;3;1;16;25;20;7;26;15;2;13;21;22;18;17;6;24;8;11;19;5;1;5764937
1;5742828;9;2;12;4;23;10;3;1;16;25;20;7;26;15;14;13;21;22;18;17;6;24;8;11;19;5
9;2;12;20;23;10;3;1;16;25;4;7;26;15;14;13;21;22;18;17;6;24;8;11;19;5;1;5764924
1;5764924;9;2;12;20;23;10;3;1;16;25;4;7;26;15;14;13;21;22;18;17;6;24;8;11;19;5
9;2;12;20;23;10;3;1;16;25;4;7;26;15;14;13;19;22;18;17;6;24;8;11;21;5;1;5759657
1;5759657;9;2;12;20;23;10;3;1;16;25;4;7;26;15;14;13;19;22;18;17;6;24;8;11;21;5
9;2;12;20;23;10;3;1;16;4;25;7;26;15;14;13;19;22;18;17;6;24;8;11;21;5;1;5814900
1;5814900;9;2;12;20;23;10;3;1;16;4;25;7;26;15;14;13;19;22;18;17;6;24;8;11;21;5
9;2;12;20;23;10;3;1;16;4;25;7;26;15;14;13;19;22;5;17;6;24;8;11;21;18;1;5788172
1;5788172;9;2;12;20;23;10;3;1;16;4;25;7;26;15;14;13;19;22;5;17;6;24;8;11;21;18
9;2;12;20;23;10;3;1;16;4;25;7;26;15;14;13;19;22;5;18;6;24;8;11;21;17;1;5734765
1;5734765;9;2;12;20;23;10;3;1;16;4;25;7;26;15;14;13;19;22;5;18;6;24;8;11;21;17
9;2;12;20;23;10;3;22;16;4;25;7;26;15;14;13;19;1;5;18;6;24;8;11;21;17;1;5713710
1;5713710;9;2;12;20;23;10;3;22;16;4;25;7;26;15;14;13;19;1;5;18;6;24;8;11;21;17
9;2;12;20;23;10;3;22;16;4;25;7;5;15;14;13;19;1;26;18;6;24;8;11;21;17;1;5931168
2;5931168;9;2;12;20;23;10;3;22;16;4;25;7;5;15;14;13;19;1;26;18;6;24;8;11;21;17
9;2;12;20;23;10;3;22;16;4;25;7;5;15;14;24;19;1;26;18;6;13;8;11;21;17;2;5962109
2;5962109;9;2;12;20;23;10;3;22;16;4;25;7;5;15;14;24;19;1;26;18;6;13;8;11;21;17
9;2;12;20;23;10;3;22;16;4;25;7;5;15;18;24;19;1;26;14;6;13;8;11;21;17;2;5997585
2;5997585;9;2;12;20;23;10;3;22;16;4;25;7;5;15;18;24;19;1;26;14;6;13;8;11;21;17
9;2;12;20;23;10;16;22;3;4;25;7;5;15;18;24;19;1;26;14;6;13;8;11;21;17;2;5995338
