"X1";"X47220";"X9";"X2";"X8";"X11";"X3";"X5";"X4";"X7";"X1.1";"X10";"X12";"X6"
1;47220;9;2;8;11;3;5;4;7;1;10;12;6
9;2;8;11;3;5;4;7;1;12;10;6;1;46208
1;46208;9;2;8;11;3;5;4;7;1;12;10;6
9;2;7;11;3;5;4;8;1;12;10;6;1;54596
1;54596;9;2;7;11;3;5;4;8;1;12;10;6
9;2;7;11;10;5;4;8;1;12;3;6;1;56312
1;56312;9;2;7;11;10;5;4;8;1;12;3;6
9;8;7;11;10;5;4;2;1;12;3;6;1;37052
1;37052;9;8;7;11;10;5;4;2;1;12;3;6
9;10;7;11;8;5;4;2;1;12;3;6;1;36644
1;36644;9;10;7;11;8;5;4;2;1;12;3;6
12;10;7;11;8;5;4;2;1;9;3;6;1;42878
1;42878;12;10;7;11;8;5;4;2;1;9;3;6
12;10;7;3;8;5;4;2;1;9;11;6;1;44484
1;44484;12;10;7;3;8;5;4;2;1;9;11;6
9;10;7;3;8;5;4;2;1;12;11;6;1;37560
1;37560;9;10;7;3;8;5;4;2;1;12;11;6
9;10;7;3;5;8;4;2;1;12;11;6;1;39558
1;39558;9;10;7;3;5;8;4;2;1;12;11;6
9;10;12;3;5;8;4;2;1;7;11;6;1;45174
1;45174;9;10;12;3;5;8;4;2;1;7;11;6
9;10;12;3;5;8;4;2;1;11;7;6;1;45332
1;45332;9;10;12;3;5;8;4;2;1;11;7;6
9;10;12;3;1;8;4;2;5;11;7;6;1;45348
1;45348;9;10;12;3;1;8;4;2;5;11;7;6
9;10;12;1;3;8;4;2;5;11;7;6;1;44948
1;44948;9;10;12;1;3;8;4;2;5;11;7;6
9;10;12;1;11;8;4;2;5;3;7;6;1;48394
1;48394;9;10;12;1;11;8;4;2;5;3;7;6
9;10;12;1;11;8;4;6;5;3;7;2;1;51162
1;51162;9;10;12;1;11;8;4;6;5;3;7;2
4;10;12;1;11;8;9;6;5;3;7;2;1;46674
1;46674;4;10;12;1;11;8;9;6;5;3;7;2
4;10;6;1;11;8;9;12;5;3;7;2;1;38946
1;38946;4;10;6;1;11;8;9;12;5;3;7;2
4;10;6;1;11;3;9;12;5;8;7;2;1;51166
1;51166;4;10;6;1;11;3;9;12;5;8;7;2
12;10;6;1;11;3;9;4;5;8;7;2;1;48936
1;48936;12;10;6;1;11;3;9;4;5;8;7;2
7;10;6;1;11;3;9;4;5;8;12;2;1;40106
2;40106;7;10;6;1;11;3;9;4;5;8;12;2
12;10;6;1;11;3;9;4;5;8;7;2;2;48936
2;48936;12;10;6;1;11;3;9;4;5;8;7;2
12;10;6;1;11;3;2;4;5;8;7;9;2;47460
2;47460;12;10;6;1;11;3;2;4;5;8;7;9
12;10;9;1;11;3;2;4;5;8;7;6;2;47858
2;47858;12;10;9;1;11;3;2;4;5;8;7;6
12;10;9;1;4;3;2;11;5;8;7;6;2;48884
2;48884;12;10;9;1;4;3;2;11;5;8;7;6
12;10;9;1;4;5;2;11;3;8;7;6;2;44038
2;44038;12;10;9;1;4;5;2;11;3;8;7;6
12;10;9;1;7;5;2;11;3;8;4;6;2;37764
2;37764;12;10;9;1;7;5;2;11;3;8;4;6
12;10;9;7;1;5;2;11;3;8;4;6;2;40084
2;40084;12;10;9;7;1;5;2;11;3;8;4;6
12;10;9;7;1;6;2;11;3;8;4;5;2;45022
2;40084;12;10;9;7;1;5;2;11;3;8;4;6
12;9;10;7;1;5;2;11;3;8;4;6;2;43624
2;43624;12;9;10;7;1;5;2;11;3;8;4;6
12;9;10;7;1;3;2;11;5;8;4;6;2;46568
2;46568;12;9;10;7;1;3;2;11;5;8;4;6
7;9;10;12;1;3;2;11;5;8;4;6;2;38032
2;38032;7;9;10;12;1;3;2;11;5;8;4;6
7;9;10;6;1;3;2;11;5;8;4;12;2;42596
2;42596;7;9;10;6;1;3;2;11;5;8;4;12
7;9;10;3;1;6;2;11;5;8;4;12;2;35500
2;35500;7;9;10;3;1;6;2;11;5;8;4;12
7;9;4;3;1;6;2;11;5;8;10;12;2;31202
2;31202;7;9;4;3;1;6;2;11;5;8;10;12
7;9;4;3;1;6;2;5;11;8;10;12;2;37694
2;37694;7;9;4;3;1;6;2;5;11;8;10;12
7;9;8;3;1;6;2;5;11;4;10;12;2;51280
2;37694;7;9;4;3;1;6;2;5;11;8;10;12
7;9;4;3;5;6;2;1;11;8;10;12;2;36166
2;36166;7;9;4;3;5;6;2;1;11;8;10;12
7;9;4;3;5;6;2;1;8;11;10;12;2;30628
2;30628;7;9;4;3;5;6;2;1;8;11;10;12
7;9;4;3;5;11;2;1;8;6;10;12;2;36900
2;36900;7;9;4;3;5;11;2;1;8;6;10;12
7;9;2;3;5;11;4;1;8;6;10;12;2;36900
3;36900;7;9;2;3;5;11;4;1;8;6;10;12
7;9;5;3;2;11;4;1;8;6;10;12;3;42302
3;42302;7;9;5;3;2;11;4;1;8;6;10;12
