"X1";"X5923696";"X17";"X22";"X20";"X14";"X9";"X1.1";"X24";"X5";"X23";"X13";"X19";"X6";"X25";"X10";"X8";"X11";"X4";"X26";"X18";"X2";"X15";"X7";"X12";"X3";"X21";"X16"
1;5923696;17;22;20;14;9;1;24;5;23;13;19;6;25;10;8;11;4;26;18;2;15;7;12;3;21;16
17;22;20;14;9;1;24;5;23;13;25;6;19;10;8;11;4;26;18;2;15;7;12;3;21;16;1;5933359
1;5933359;17;22;20;14;9;1;24;5;23;13;25;6;19;10;8;11;4;26;18;2;15;7;12;3;21;16
17;22;19;14;9;1;24;5;23;13;25;6;20;10;8;11;4;26;18;2;15;7;12;3;21;16;1;5930207
1;5930207;17;22;19;14;9;1;24;5;23;13;25;6;20;10;8;11;4;26;18;2;15;7;12;3;21;16
17;22;19;14;9;1;24;5;7;13;25;6;20;10;8;11;4;26;18;2;15;23;12;3;21;16;1;5925313
1;5925313;17;22;19;14;9;1;24;5;7;13;25;6;20;10;8;11;4;26;18;2;15;23;12;3;21;16
17;22;6;14;9;1;24;5;7;13;25;19;20;10;8;11;4;26;18;2;15;23;12;3;21;16;1;5873572
1;5873572;17;22;6;14;9;1;24;5;7;13;25;19;20;10;8;11;4;26;18;2;15;23;12;3;21;16
17;5;6;14;9;1;24;22;7;13;25;19;20;10;8;11;4;26;18;2;15;23;12;3;21;16;1;6026461
1;6026461;17;5;6;14;9;1;24;22;7;13;25;19;20;10;8;11;4;26;18;2;15;23;12;3;21;16
17;2;6;14;9;1;24;22;7;13;25;19;20;10;8;11;4;26;18;5;15;23;12;3;21;16;1;6074409
1;6074409;17;2;6;14;9;1;24;22;7;13;25;19;20;10;8;11;4;26;18;5;15;23;12;3;21;16
17;2;6;14;9;1;15;22;7;13;25;19;20;10;8;11;4;26;18;5;24;23;12;3;21;16;1;6046419
1;6046419;17;2;6;14;9;1;15;22;7;13;25;19;20;10;8;11;4;26;18;5;24;23;12;3;21;16
17;2;6;14;9;15;1;22;7;13;25;19;20;10;8;11;4;26;18;5;24;23;12;3;21;16;1;6046419
1;6046419;17;2;6;14;9;15;1;22;7;13;25;19;20;10;8;11;4;26;18;5;24;23;12;3;21;16
