"X1";"X48622";"X4";"X11";"X8";"X2";"X10";"X5";"X12";"X6";"X7";"X1.1";"X3";"X9"
1;48622;4;11;8;2;10;5;12;6;7;1;3;9
4;1;8;2;10;5;12;6;7;11;3;9;1;33782
1;33782;4;1;8;2;10;5;12;6;7;11;3;9
4;1;8;2;10;5;7;6;12;11;3;9;1;34370
1;34370;4;1;8;2;10;5;7;6;12;11;3;9
4;1;8;2;10;5;7;6;11;12;3;9;1;39790
1;39790;4;1;8;2;10;5;7;6;11;12;3;9
4;1;8;5;10;2;7;6;11;12;3;9;1;38558
1;38558;4;1;8;5;10;2;7;6;11;12;3;9
4;1;8;5;10;11;7;6;2;12;3;9;1;41420
1;41420;4;1;8;5;10;11;7;6;2;12;3;9
4;1;8;6;10;11;7;5;2;12;3;9;1;44926
1;41420;4;1;8;5;10;11;7;6;2;12;3;9
4;1;8;5;10;9;7;6;2;12;3;11;1;46030
1;46030;4;1;8;5;10;9;7;6;2;12;3;11
4;1;8;5;10;7;9;6;2;12;3;11;1;31672
1;31672;4;1;8;5;10;7;9;6;2;12;3;11
4;1;8;5;10;7;9;6;3;12;2;11;1;31728
1;31728;4;1;8;5;10;7;9;6;3;12;2;11
4;1;8;7;10;5;9;6;3;12;2;11;1;38270
1;38270;4;1;8;7;10;5;9;6;3;12;2;11
4;11;8;7;10;5;9;6;3;12;2;1;1;42024
1;42024;4;11;8;7;10;5;9;6;3;12;2;1
4;11;8;7;10;5;12;6;3;9;2;1;1;43480
1;43480;4;11;8;7;10;5;12;6;3;9;2;1
4;11;8;3;10;5;12;6;7;9;2;1;1;39826
1;39826;4;11;8;3;10;5;12;6;7;9;2;1
4;12;8;3;10;5;11;6;7;9;2;1;1;52002
1;52002;4;12;8;3;10;5;11;6;7;9;2;1
4;12;8;3;10;1;11;6;7;9;2;5;1;55132
1;55132;4;12;8;3;10;1;11;6;7;9;2;5
4;12;2;3;10;1;11;6;7;9;8;5;1;61530
1;55132;4;12;8;3;10;1;11;6;7;9;2;5
4;12;8;3;9;1;11;6;7;10;2;5;1;52818
1;52818;4;12;8;3;9;1;11;6;7;10;2;5
4;12;8;3;9;1;11;6;7;10;5;2;1;53440
1;53440;4;12;8;3;9;1;11;6;7;10;5;2
4;10;8;3;9;1;11;6;7;12;5;2;1;28620
1;28620;4;10;8;3;9;1;11;6;7;12;5;2
4;10;8;3;9;1;2;6;7;12;5;11;1;30564
2;30564;4;10;8;3;9;1;2;6;7;12;5;11
4;10;8;12;9;1;2;6;7;3;5;11;2;48268
2;30564;4;10;8;3;9;1;2;6;7;12;5;11
4;10;8;3;9;1;2;6;7;12;11;5;2;37814
2;37814;4;10;8;3;9;1;2;6;7;12;11;5
4;10;2;3;9;1;8;6;7;12;11;5;2;37810
2;37810;4;10;2;3;9;1;8;6;7;12;11;5
4;10;2;3;9;5;8;6;7;12;11;1;2;39032
2;39032;4;10;2;3;9;5;8;6;7;12;11;1
4;10;2;3;5;9;8;6;7;12;11;1;2;52356
2;52356;4;10;2;3;5;9;8;6;7;12;11;1
4;10;2;3;5;9;8;11;7;12;6;1;2;52276
2;52276;4;10;2;3;5;9;8;11;7;12;6;1
4;10;11;3;5;9;8;2;7;12;6;1;2;53116
2;53116;4;10;11;3;5;9;8;2;7;12;6;1
4;10;11;12;5;9;8;2;7;3;6;1;2;60130
2;60130;4;10;11;12;5;9;8;2;7;3;6;1
4;10;11;12;5;9;8;2;6;3;7;1;2;60136
2;60136;4;10;11;12;5;9;8;2;6;3;7;1
8;10;11;12;5;9;4;2;6;3;7;1;2;49618
2;49618;8;10;11;12;5;9;4;2;6;3;7;1
8;10;7;12;5;9;4;2;6;3;11;1;2;42698
2;42698;8;10;7;12;5;9;4;2;6;3;11;1
8;10;7;12;5;9;4;2;3;6;11;1;2;44344
2;44344;8;10;7;12;5;9;4;2;3;6;11;1
8;5;7;12;10;9;4;2;3;6;11;1;2;48054
2;48054;8;5;7;12;10;9;4;2;3;6;11;1
8;4;7;12;10;9;5;2;3;6;11;1;2;41038
2;41038;8;4;7;12;10;9;5;2;3;6;11;1
8;4;7;12;11;9;5;2;3;6;10;1;2;41702
2;41702;8;4;7;12;11;9;5;2;3;6;10;1
8;4;7;2;11;9;5;12;3;6;10;1;2;37226
2;37226;8;4;7;2;11;9;5;12;3;6;10;1
8;9;7;2;11;4;5;12;3;6;10;1;2;37850
2;37850;8;9;7;2;11;4;5;12;3;6;10;1
8;9;3;2;11;4;5;12;7;6;10;1;2;35752
2;35752;8;9;3;2;11;4;5;12;7;6;10;1
8;9;3;2;11;4;1;12;7;6;10;5;2;37448
2;37448;8;9;3;2;11;4;1;12;7;6;10;5
8;9;3;2;10;4;1;12;7;6;11;5;2;39800
3;37448;8;9;3;2;11;4;1;12;7;6;10;5
8;9;3;5;11;4;1;12;7;6;10;2;3;34750
3;34750;8;9;3;5;11;4;1;12;7;6;10;2
8;9;3;5;4;11;1;12;7;6;10;2;3;37272
3;37272;8;9;3;5;4;11;1;12;7;6;10;2
8;9;3;5;4;7;1;12;11;6;10;2;3;39990
3;39990;8;9;3;5;4;7;1;12;11;6;10;2
8;9;3;5;4;7;1;12;10;6;11;2;3;39900
3;39900;8;9;3;5;4;7;1;12;10;6;11;2
8;9;3;5;4;7;11;12;10;6;1;2;3;36826
3;36826;8;9;3;5;4;7;11;12;10;6;1;2
8;9;3;5;1;7;11;12;10;6;4;2;3;38108
3;38108;8;9;3;5;1;7;11;12;10;6;4;2
8;9;3;5;1;7;4;12;10;6;11;2;3;37668
3;37668;8;9;3;5;1;7;4;12;10;6;11;2
8;9;3;5;1;7;4;10;12;6;11;2;3;38480
3;38480;8;9;3;5;1;7;4;10;12;6;11;2
8;9;3;5;1;7;4;11;12;6;10;2;3;31832
3;31832;8;9;3;5;1;7;4;11;12;6;10;2
8;9;6;5;1;7;4;11;12;3;10;2;3;40894
3;40894;8;9;6;5;1;7;4;11;12;3;10;2
8;9;6;5;1;11;4;7;12;3;10;2;3;45400
3;45400;8;9;6;5;1;11;4;7;12;3;10;2
8;9;6;5;1;11;4;7;12;10;3;2;3;32896
3;32896;8;9;6;5;1;11;4;7;12;10;3;2
1;9;6;5;8;11;4;7;12;10;3;2;3;40916
3;40916;1;9;6;5;8;11;4;7;12;10;3;2
1;9;6;5;8;11;3;7;12;10;4;2;3;46612
3;46612;1;9;6;5;8;11;3;7;12;10;4;2
2;9;6;5;8;11;3;7;12;10;4;1;3;41624
3;41624;2;9;6;5;8;11;3;7;12;10;4;1
2;9;6;5;8;11;3;7;12;1;4;10;3;41240
3;41240;2;9;6;5;8;11;3;7;12;1;4;10
2;9;6;12;8;11;3;7;5;1;4;10;3;39194
3;39194;2;9;6;12;8;11;3;7;5;1;4;10
2;9;6;12;8;11;10;7;5;1;4;3;3;39696
3;39696;2;9;6;12;8;11;10;7;5;1;4;3
2;10;6;12;8;11;9;7;5;1;4;3;3;45940
3;39696;2;9;6;12;8;11;10;7;5;1;4;3
5;9;6;12;8;11;10;7;2;1;4;3;3;41606
4;41606;5;9;6;12;8;11;10;7;2;1;4;3
5;9;6;11;8;12;10;7;2;1;4;3;4;37198
4;37198;5;9;6;11;8;12;10;7;2;1;4;3
5;9;6;11;1;12;10;7;2;8;4;3;4;54874
4;37198;5;9;6;11;8;12;10;7;2;1;4;3
5;9;6;11;8;12;10;1;2;7;4;3;4;36726
4;36726;5;9;6;11;8;12;10;1;2;7;4;3
5;1;6;11;8;12;10;9;2;7;4;3;4;48482
4;48482;5;1;6;11;8;12;10;9;2;7;4;3
5;1;6;8;11;12;10;9;2;7;4;3;4;47522
4;47522;5;1;6;8;11;12;10;9;2;7;4;3
5;1;6;8;11;12;10;9;3;7;4;2;4;44692
4;44692;5;1;6;8;11;12;10;9;3;7;4;2
5;1;6;8;11;12;4;9;3;7;10;2;4;44828
4;44828;5;1;6;8;11;12;4;9;3;7;10;2
5;1;6;8;11;12;10;9;3;7;4;2;4;44692
4;44692;5;1;6;8;11;12;10;9;3;7;4;2
5;1;6;8;11;12;2;9;3;7;4;10;4;43494
4;43494;5;1;6;8;11;12;2;9;3;7;4;10
10;1;6;8;11;12;2;9;3;7;4;5;4;40098
4;40098;10;1;6;8;11;12;2;9;3;7;4;5
10;1;6;8;11;12;9;2;3;7;4;5;4;38738
4;38738;10;1;6;8;11;12;9;2;3;7;4;5
10;1;6;8;11;12;5;2;3;7;4;9;4;42310
4;42310;10;1;6;8;11;12;5;2;3;7;4;9
10;1;6;8;11;12;5;3;2;7;4;9;4;49692
4;42310;10;1;6;8;11;12;5;2;3;7;4;9
10;1;6;3;11;12;5;2;8;7;4;9;4;45700
4;45700;10;1;6;3;11;12;5;2;8;7;4;9
10;1;6;3;8;12;5;2;11;7;4;9;4;42212
4;42212;10;1;6;3;8;12;5;2;11;7;4;9
10;1;6;3;2;12;5;8;11;7;4;9;4;55044
4;55044;10;1;6;3;2;12;5;8;11;7;4;9
10;9;6;3;2;12;5;8;11;7;4;1;4;50668
4;50668;10;9;6;3;2;12;5;8;11;7;4;1
10;9;6;3;2;12;5;1;11;7;4;8;4;42480
4;42480;10;9;6;3;2;12;5;1;11;7;4;8
10;3;6;9;2;12;5;1;11;7;4;8;4;47358
4;42480;10;9;6;3;2;12;5;1;11;7;4;8
10;9;6;3;2;12;1;5;11;7;4;8;4;41872
5;41872;10;9;6;3;2;12;1;5;11;7;4;8
10;8;6;3;2;12;1;5;11;7;4;9;5;37232
5;37232;10;8;6;3;2;12;1;5;11;7;4;9
5;8;6;3;2;12;1;10;11;7;4;9;5;42934
5;42934;5;8;6;3;2;12;1;10;11;7;4;9
5;8;6;3;12;2;1;10;11;7;4;9;5;41500
5;41500;5;8;6;3;12;2;1;10;11;7;4;9
5;8;6;3;12;7;1;10;11;2;4;9;5;48670
