"X1";"X58014";"X3";"X10";"X2";"X7";"X9";"X4";"X6";"X5";"X11";"X12";"X8";"X1.1"
1;58014;3;10;2;7;9;4;6;5;11;12;8;1
3;10;2;7;9;4;6;8;11;12;5;1;1;57818
1;57818;3;10;2;7;9;4;6;8;11;12;5;1
3;10;2;7;9;4;8;6;11;12;5;1;1;49386
1;49386;3;10;2;7;9;4;8;6;11;12;5;1
3;10;2;7;9;1;8;6;11;12;5;4;1;43146
1;43146;3;10;2;7;9;1;8;6;11;12;5;4
3;12;2;7;9;1;8;6;11;10;5;4;1;58336
1;58336;3;12;2;7;9;1;8;6;11;10;5;4
3;12;2;7;6;1;8;9;11;10;5;4;1;61928
1;58336;3;12;2;7;9;1;8;6;11;10;5;4
3;12;2;7;9;10;8;6;11;1;5;4;1;58628
1;58628;3;12;2;7;9;10;8;6;11;1;5;4
3;7;2;12;9;10;8;6;11;1;5;4;1;44758
1;44758;3;7;2;12;9;10;8;6;11;1;5;4
3;12;2;7;9;10;8;6;11;1;5;4;1;58628
1;58628;3;12;2;7;9;10;8;6;11;1;5;4
3;5;2;7;9;10;8;6;11;1;12;4;1;37522
1;37522;3;5;2;7;9;10;8;6;11;1;12;4
3;5;9;7;2;10;8;6;11;1;12;4;1;35378
1;35378;3;5;9;7;2;10;8;6;11;1;12;4
3;6;9;7;2;10;8;5;11;1;12;4;1;56446
1;35378;3;5;9;7;2;10;8;6;11;1;12;4
3;5;9;7;2;10;8;4;11;1;12;6;1;29918
1;29918;3;5;9;7;2;10;8;4;11;1;12;6
3;5;9;7;6;10;8;4;11;1;12;2;1;29318
1;29318;3;5;9;7;6;10;8;4;11;1;12;2
12;5;9;7;6;10;8;4;11;1;3;2;1;36182
1;36182;12;5;9;7;6;10;8;4;11;1;3;2
12;5;4;7;6;10;8;9;11;1;3;2;1;47190
1;47190;12;5;4;7;6;10;8;9;11;1;3;2
12;5;4;7;6;8;10;9;11;1;3;2;1;49784
1;49784;12;5;4;7;6;8;10;9;11;1;3;2
12;5;6;7;4;8;10;9;11;1;3;2;1;53494
1;53494;12;5;6;7;4;8;10;9;11;1;3;2
12;5;6;7;8;4;10;9;11;1;3;2;1;64434
1;64434;12;5;6;7;8;4;10;9;11;1;3;2
12;5;6;7;8;4;9;10;11;1;3;2;1;52210
1;52210;12;5;6;7;8;4;9;10;11;1;3;2
12;10;6;7;8;4;9;5;11;1;3;2;1;54474
2;54474;12;10;6;7;8;4;9;5;11;1;3;2
12;10;6;7;8;2;9;5;11;1;3;4;2;53052
2;53052;12;10;6;7;8;2;9;5;11;1;3;4
12;10;6;7;1;2;9;5;11;8;3;4;2;49618
2;49618;12;10;6;7;1;2;9;5;11;8;3;4
4;10;6;7;1;2;9;5;11;8;3;12;2;39778
2;39778;4;10;6;7;1;2;9;5;11;8;3;12
4;10;6;7;5;2;9;1;11;8;3;12;2;46756
2;46756;4;10;6;7;5;2;9;1;11;8;3;12
4;7;6;10;5;2;9;1;11;8;3;12;2;44024
2;44024;4;7;6;10;5;2;9;1;11;8;3;12
11;7;6;10;5;2;9;1;4;8;3;12;2;37026
2;37026;11;7;6;10;5;2;9;1;4;8;3;12
11;7;6;8;5;2;9;1;4;10;3;12;2;31676
2;31676;11;7;6;8;5;2;9;1;4;10;3;12
4;7;6;8;5;2;9;1;11;10;3;12;2;40836
2;40836;4;7;6;8;5;2;9;1;11;10;3;12
8;7;6;4;5;2;9;1;11;10;3;12;2;42852
2;42852;8;7;6;4;5;2;9;1;11;10;3;12
8;9;6;4;5;2;7;1;11;10;3;12;2;39728
2;39728;8;9;6;4;5;2;7;1;11;10;3;12
8;9;6;4;5;7;2;1;11;10;3;12;2;37706
2;37706;8;9;6;4;5;7;2;1;11;10;3;12
8;1;6;4;5;7;2;9;11;10;3;12;2;39266
2;39266;8;1;6;4;5;7;2;9;11;10;3;12
8;5;6;4;1;7;2;9;11;10;3;12;2;38092
