"X1";"X5950996";"X26";"X4";"X1.1";"X19";"X25";"X13";"X21";"X23";"X14";"X9";"X6";"X7";"X10";"X12";"X24";"X5";"X16";"X17";"X20";"X18";"X8";"X11";"X3";"X22";"X15";"X2"
1;5950996;26;4;1;19;25;13;21;23;14;9;6;7;10;12;24;5;16;17;20;18;8;11;3;22;15;2
26;4;1;19;25;13;21;23;14;9;6;7;20;12;24;5;16;17;10;18;8;11;3;22;15;2;1;5928586
1;5928586;26;4;1;19;25;13;21;23;14;9;6;7;20;12;24;5;16;17;10;18;8;11;3;22;15;2
26;4;1;19;25;13;21;23;14;9;6;7;20;12;24;5;10;17;16;18;8;11;3;22;15;2;1;5924575
1;5924575;26;4;1;19;25;13;21;23;14;9;6;7;20;12;24;5;10;17;16;18;8;11;3;22;15;2
26;4;1;19;25;13;21;23;14;9;6;7;20;12;24;5;10;17;16;15;8;11;3;22;18;2;1;6025611
1;6025611;26;4;1;19;25;13;21;23;14;9;6;7;20;12;24;5;10;17;16;15;8;11;3;22;18;2
26;4;1;19;25;12;21;23;14;9;6;7;20;13;24;5;10;17;16;15;8;11;3;22;18;2;1;6036679
1;6036679;26;4;1;19;25;12;21;23;14;9;6;7;20;13;24;5;10;17;16;15;8;11;3;22;18;2
26;4;1;23;25;12;21;19;14;9;6;7;20;13;24;5;10;17;16;15;8;11;3;22;18;2;1;6037031
1;6037031;26;4;1;23;25;12;21;19;14;9;6;7;20;13;24;5;10;17;16;15;8;11;3;22;18;2
1;4;26;23;25;12;21;19;14;9;6;7;20;13;24;5;10;17;16;15;8;11;3;22;18;2;1;6023540
1;6023540;1;4;26;23;25;12;21;19;14;9;6;7;20;13;24;5;10;17;16;15;8;11;3;22;18;2
1;4;26;23;17;12;21;19;14;9;6;7;20;13;24;5;10;25;16;15;8;11;3;22;18;2;1;6023469
1;6023469;1;4;26;23;17;12;21;19;14;9;6;7;20;13;24;5;10;25;16;15;8;11;3;22;18;2
1;4;26;23;17;12;21;19;14;13;6;7;20;9;24;5;10;25;16;15;8;11;3;22;18;2;1;5941673
1;5941673;1;4;26;23;17;12;21;19;14;13;6;7;20;9;24;5;10;25;16;15;8;11;3;22;18;2
1;4;26;23;17;12;21;19;14;13;6;7;20;9;24;5;10;25;16;15;8;11;22;3;18;2;1;5941673
1;5941673;1;4;26;23;17;12;21;19;14;13;6;7;20;9;24;5;10;25;16;15;8;11;22;3;18;2
1;4;26;23;17;12;21;19;14;13;6;7;20;9;24;5;16;25;10;15;8;11;22;3;18;2;1;5943783
1;5943783;1;4;26;23;17;12;21;19;14;13;6;7;20;9;24;5;16;25;10;15;8;11;22;3;18;2
1;4;26;23;17;12;21;19;14;13;6;7;20;22;24;5;16;25;10;15;8;11;9;3;18;2;1;5990888
1;5990888;1;4;26;23;17;12;21;19;14;13;6;7;20;22;24;5;16;25;10;15;8;11;9;3;18;2
1;4;26;23;17;12;21;18;14;13;6;7;20;22;24;5;16;25;10;15;8;11;9;3;19;2;1;5973846
1;5973846;1;4;26;23;17;12;21;18;14;13;6;7;20;22;24;5;16;25;10;15;8;11;9;3;19;2
1;4;26;23;17;12;21;18;14;24;6;7;20;22;13;5;16;25;10;15;8;11;9;3;19;2;1;5982436
1;5982436;1;4;26;23;17;12;21;18;14;24;6;7;20;22;13;5;16;25;10;15;8;11;9;3;19;2
1;4;26;23;17;12;7;18;14;24;6;21;20;22;13;5;16;25;10;15;8;11;9;3;19;2;1;5995088
1;5995088;1;4;26;23;17;12;7;18;14;24;6;21;20;22;13;5;16;25;10;15;8;11;9;3;19;2
1;4;26;23;17;12;7;18;14;24;6;21;9;22;13;5;16;25;10;15;8;11;20;3;19;2;1;5990676
1;5990676;1;4;26;23;17;12;7;18;14;24;6;21;9;22;13;5;16;25;10;15;8;11;20;3;19;2
1;4;26;23;7;12;17;18;14;24;6;21;9;22;13;5;16;25;10;15;8;11;20;3;19;2;1;5939225
1;5939225;1;4;26;23;7;12;17;18;14;24;6;21;9;22;13;5;16;25;10;15;8;11;20;3;19;2
1;4;26;23;17;12;7;18;14;24;6;21;9;22;13;5;16;25;10;15;8;11;20;3;19;2;1;5990676
1;5990676;1;4;26;23;17;12;7;18;14;24;6;21;9;22;13;5;16;25;10;15;8;11;20;3;19;2
1;4;26;6;17;12;7;18;14;24;23;21;9;22;13;5;16;25;10;15;8;11;20;3;19;2;1;5993937
1;5993937;1;4;26;6;17;12;7;18;14;24;23;21;9;22;13;5;16;25;10;15;8;11;20;3;19;2
1;4;26;6;17;12;7;18;14;24;23;21;9;22;13;5;16;25;10;15;8;11;3;20;19;2;1;5993937
1;5993937;1;4;26;6;17;12;7;18;14;24;23;21;9;22;13;5;16;25;10;15;8;11;3;20;19;2
1;4;26;6;17;12;7;18;14;24;19;21;9;22;13;5;16;25;10;15;8;11;3;20;23;2;1;5993361
2;5993361;1;4;26;6;17;12;7;18;14;24;19;21;9;22;13;5;16;25;10;15;8;11;3;20;23;2
1;4;26;6;17;12;18;7;14;24;19;21;9;22;13;5;16;25;10;15;8;11;3;20;23;2;2;5994826
2;5994826;1;4;26;6;17;12;18;7;14;24;19;21;9;22;13;5;16;25;10;15;8;11;3;20;23;2
1;10;26;6;17;12;18;7;14;24;19;21;9;22;13;5;16;25;4;15;8;11;3;20;23;2;2;6043912
2;6043912;1;10;26;6;17;12;18;7;14;24;19;21;9;22;13;5;16;25;4;15;8;11;3;20;23;2
1;10;26;6;17;12;18;7;14;24;19;21;9;22;13;20;16;25;4;15;8;11;3;5;23;2;2;5851963
2;5851963;1;10;26;6;17;12;18;7;14;24;19;21;9;22;13;20;16;25;4;15;8;11;3;5;23;2
1;10;26;6;17;21;18;7;14;24;19;12;9;22;13;20;16;25;4;15;8;11;3;5;23;2;2;5897072
2;5897072;1;10;26;6;17;21;18;7;14;24;19;12;9;22;13;20;16;25;4;15;8;11;3;5;23;2
1;10;26;14;17;21;18;7;6;24;19;12;9;22;13;20;16;25;4;15;8;11;3;5;23;2;2;6068918
2;6068918;1;10;26;14;17;21;18;7;6;24;19;12;9;22;13;20;16;25;4;15;8;11;3;5;23;2
1;10;26;14;15;21;18;7;6;24;19;12;9;22;13;20;16;25;4;17;8;11;3;5;23;2;2;6057270
2;6057270;1;10;26;14;15;21;18;7;6;24;19;12;9;22;13;20;16;25;4;17;8;11;3;5;23;2
1;10;26;14;15;21;3;7;6;24;19;12;9;22;13;20;16;25;4;17;8;11;18;5;23;2;2;6043229
2;6043229;1;10;26;14;15;21;3;7;6;24;19;12;9;22;13;20;16;25;4;17;8;11;18;5;23;2
1;10;26;14;2;21;3;7;6;24;19;12;9;22;13;20;16;25;4;17;8;11;18;5;23;15;2;6055431
2;6055431;1;10;26;14;2;21;3;7;6;24;19;12;9;22;13;20;16;25;4;17;8;11;18;5;23;15
1;10;26;14;2;21;3;7;6;8;19;12;9;22;13;20;16;25;4;17;24;11;18;5;23;15;2;6037703
2;6037703;1;10;26;14;2;21;3;7;6;8;19;12;9;22;13;20;16;25;4;17;24;11;18;5;23;15
1;10;14;26;2;21;3;7;6;8;19;12;9;22;13;20;16;25;4;17;24;11;18;5;23;15;2;5945058
2;5945058;1;10;14;26;2;21;3;7;6;8;19;12;9;22;13;20;16;25;4;17;24;11;18;5;23;15
