"X1";"X5906931";"X19";"X13";"X10";"X21";"X3";"X11";"X2";"X1.1";"X12";"X14";"X20";"X16";"X22";"X6";"X17";"X23";"X8";"X4";"X5";"X15";"X7";"X26";"X9";"X24";"X18";"X25"
1;5906931;19;13;10;21;3;11;2;1;12;14;20;16;22;6;17;23;8;4;5;15;7;26;9;24;18;25
19;13;10;21;3;11;2;1;15;14;20;16;22;6;17;23;8;4;5;12;7;26;9;24;18;25;1;5892594
1;5892594;19;13;10;21;3;11;2;1;15;14;20;16;22;6;17;23;8;4;5;12;7;26;9;24;18;25
19;13;10;15;3;11;2;1;21;14;20;16;22;6;17;23;8;4;5;12;7;26;9;24;18;25;1;5921974
1;5921974;19;13;10;15;3;11;2;1;21;14;20;16;22;6;17;23;8;4;5;12;7;26;9;24;18;25
19;13;10;15;3;24;2;1;21;14;20;16;22;6;17;23;8;4;5;12;7;26;9;11;18;25;1;5925460
1;5925460;19;13;10;15;3;24;2;1;21;14;20;16;22;6;17;23;8;4;5;12;7;26;9;11;18;25
19;13;10;15;3;24;2;1;17;14;20;16;22;6;21;23;8;4;5;12;7;26;9;11;18;25;1;5902931
1;5902931;19;13;10;15;3;24;2;1;17;14;20;16;22;6;21;23;8;4;5;12;7;26;9;11;18;25
19;13;10;15;3;24;25;1;17;14;20;16;22;6;21;23;8;4;5;12;7;26;9;11;18;2;1;5901196
1;5901196;19;13;10;15;3;24;25;1;17;14;20;16;22;6;21;23;8;4;5;12;7;26;9;11;18;2
19;13;10;15;3;24;25;1;17;5;20;16;22;6;21;23;8;4;14;12;7;26;9;11;18;2;1;5926110
1;5926110;19;13;10;15;3;24;25;1;17;5;20;16;22;6;21;23;8;4;14;12;7;26;9;11;18;2
19;13;10;15;25;24;3;1;17;5;20;16;22;6;21;23;8;4;14;12;7;26;9;11;18;2;1;5938040
1;5938040;19;13;10;15;25;24;3;1;17;5;20;16;22;6;21;23;8;4;14;12;7;26;9;11;18;2
19;13;10;15;25;24;3;1;17;18;20;16;22;6;21;23;8;4;14;12;7;26;9;11;5;2;1;5951285
1;5951285;19;13;10;15;25;24;3;1;17;18;20;16;22;6;21;23;8;4;14;12;7;26;9;11;5;2
19;13;10;15;25;24;12;1;17;18;20;16;22;6;21;23;8;4;14;3;7;26;9;11;5;2;1;5961891
1;5961891;19;13;10;15;25;24;12;1;17;18;20;16;22;6;21;23;8;4;14;3;7;26;9;11;5;2
19;13;10;15;25;24;12;1;17;18;20;16;22;6;7;23;8;4;14;3;21;26;9;11;5;2;1;5967640
1;5967640;19;13;10;15;25;24;12;1;17;18;20;16;22;6;7;23;8;4;14;3;21;26;9;11;5;2
19;13;10;9;25;24;12;1;17;18;20;16;22;6;7;23;8;4;14;3;21;26;15;11;5;2;1;5962304
1;5962304;19;13;10;9;25;24;12;1;17;18;20;16;22;6;7;23;8;4;14;3;21;26;15;11;5;2
19;13;10;9;25;24;12;1;17;18;20;16;22;6;7;23;21;4;14;3;8;26;15;11;5;2;1;5967596
1;5967596;19;13;10;9;25;24;12;1;17;18;20;16;22;6;7;23;21;4;14;3;8;26;15;11;5;2
19;13;10;9;25;24;12;1;17;18;20;16;22;6;7;11;21;4;14;3;8;26;15;23;5;2;1;5976849
1;5976849;19;13;10;9;25;24;12;1;17;18;20;16;22;6;7;11;21;4;14;3;8;26;15;23;5;2
19;13;10;9;26;24;12;1;17;18;20;16;22;6;7;11;21;4;14;3;8;25;15;23;5;2;1;5977457
1;5977457;19;13;10;9;26;24;12;1;17;18;20;16;22;6;7;11;21;4;14;3;8;25;15;23;5;2
19;13;9;10;26;24;12;1;17;18;20;16;22;6;7;11;21;4;14;3;8;25;15;23;5;2;1;5963045
1;5963045;19;13;9;10;26;24;12;1;17;18;20;16;22;6;7;11;21;4;14;3;8;25;15;23;5;2
19;1;9;10;26;24;12;13;17;18;20;16;22;6;7;11;21;4;14;3;8;25;15;23;5;2;1;5976945
1;5976945;19;1;9;10;26;24;12;13;17;18;20;16;22;6;7;11;21;4;14;3;8;25;15;23;5;2
19;1;9;10;26;24;12;13;17;18;20;16;22;6;11;7;21;4;14;3;8;25;15;23;5;2;1;6023251
1;6023251;19;1;9;10;26;24;12;13;17;18;20;16;22;6;11;7;21;4;14;3;8;25;15;23;5;2
19;1;9;10;26;24;4;13;17;18;20;16;22;6;11;7;21;12;14;3;8;25;15;23;5;2;1;6045693
1;6045693;19;1;9;10;26;24;4;13;17;18;20;16;22;6;11;7;21;12;14;3;8;25;15;23;5;2
19;1;9;10;26;24;4;13;17;18;20;16;22;6;11;8;21;12;14;3;7;25;15;23;5;2;1;5950722
1;5950722;19;1;9;10;26;24;4;13;17;18;20;16;22;6;11;8;21;12;14;3;7;25;15;23;5;2
7;1;9;10;26;24;4;13;17;18;20;16;22;6;11;8;21;12;14;3;19;25;15;23;5;2;1;5926901
2;5926901;7;1;9;10;26;24;4;13;17;18;20;16;22;6;11;8;21;12;14;3;19;25;15;23;5;2
7;1;9;10;26;24;4;13;17;18;20;16;22;6;11;8;21;12;2;3;19;25;15;23;5;14;2;6048589
2;6048589;7;1;9;10;26;24;4;13;17;18;20;16;22;6;11;8;21;12;2;3;19;25;15;23;5;14
7;1;9;10;26;24;4;13;17;18;20;16;15;6;11;8;21;12;2;3;19;25;22;23;5;14;2;6012972
2;6012972;7;1;9;10;26;24;4;13;17;18;20;16;15;6;11;8;21;12;2;3;19;25;22;23;5;14
13;1;9;10;26;24;4;7;17;18;20;16;15;6;11;8;21;12;2;3;19;25;22;23;5;14;2;6057000
2;6057000;13;1;9;10;26;24;4;7;17;18;20;16;15;6;11;8;21;12;2;3;19;25;22;23;5;14
13;1;9;10;26;24;4;7;17;20;18;16;15;6;11;8;21;12;2;3;19;25;22;23;5;14;2;6022671
2;6022671;13;1;9;10;26;24;4;7;17;20;18;16;15;6;11;8;21;12;2;3;19;25;22;23;5;14
12;1;9;10;26;24;4;7;17;20;18;16;15;6;11;8;21;13;2;3;19;25;22;23;5;14;2;6031275
2;6031275;12;1;9;10;26;24;4;7;17;20;18;16;15;6;11;8;21;13;2;3;19;25;22;23;5;14
12;1;5;10;26;24;4;7;17;20;18;16;15;6;11;8;21;13;2;3;19;25;22;23;9;14;2;5844803
2;5844803;12;1;5;10;26;24;4;7;17;20;18;16;15;6;11;8;21;13;2;3;19;25;22;23;9;14
12;1;5;10;26;24;4;7;17;20;18;16;15;3;11;8;21;13;2;6;19;25;22;23;9;14;2;5823258
2;5823258;12;1;5;10;26;24;4;7;17;20;18;16;15;3;11;8;21;13;2;6;19;25;22;23;9;14
