"X30";"X9";"X1";"X21";"X10";"X17";"X26";"X25";"X7";"X29";"X4";"X15";"X28";"X11";"X2";"X13";"X22";"X31";"X18";"X27";"X3";"X24";"X12";"X19";"X20";"X8";"X14";"X16";"X32";"X5";"X6";"X23";"generation"
30;9;1;21;10;17;26;25;7;29;4;15;28;11;2;13;22;31;18;27;3;24;12;19;20;8;14;16;32;5;6;23;1
26;22;17;18;1;21;19;6;3;29;4;32;28;11;2;13;7;27;5;24;31;10;20;30;15;8;14;16;23;9;12;25;1
10;28;14;25;11;20;15;3;1;13;9;17;16;4;31;30;8;2;29;26;24;27;18;32;7;19;23;6;5;22;12;21;1
7;25;21;28;11;30;9;8;4;13;31;26;5;1;14;20;10;19;32;17;24;27;18;29;3;2;23;6;16;22;12;15;1
2;28;17;25;11;26;18;19;4;23;9;29;32;1;3;15;7;27;5;24;31;10;20;30;13;8;14;16;6;22;12;21;1
26;11;6;8;28;25;15;7;4;13;9;30;5;1;14;20;10;19;32;17;24;27;18;29;3;2;23;31;16;22;12;21;1
30;9;1;21;10;27;26;25;14;29;4;18;28;11;2;13;22;19;32;17;24;3;12;16;20;7;8;31;15;5;6;23;1
8;5;31;25;1;26;15;7;9;29;4;32;28;11;2;13;22;16;18;17;24;27;30;20;3;14;23;6;19;10;12;21;1
30;9;1;21;10;17;26;25;14;29;4;32;28;11;2;13;22;16;18;27;6;24;12;19;20;7;8;31;15;5;3;23;1
30;9;1;21;10;17;26;25;14;29;4;32;28;11;2;24;22;16;18;27;3;13;12;19;20;7;8;31;15;5;6;23;1
26;7;17;5;28;21;19;4;2;9;6;23;1;12;31;13;22;16;18;27;3;10;20;30;15;8;14;24;32;29;11;25;1
19;9;1;21;27;17;26;23;7;18;4;15;28;6;2;12;22;3;5;24;31;10;20;30;13;8;14;16;32;29;11;25;1
8;18;13;29;11;9;2;16;4;19;22;28;1;12;3;15;7;27;5;24;31;10;20;30;6;14;17;25;26;21;23;32;1
26;22;17;18;28;21;19;4;2;9;6;23;11;29;3;16;7;27;5;24;31;10;20;30;13;8;14;15;32;12;1;25;1
30;9;1;11;10;17;26;23;7;5;4;15;28;6;2;20;22;31;18;27;3;24;12;19;13;8;14;16;32;29;21;25;1
26;22;17;18;1;21;19;4;2;9;6;23;20;11;3;15;7;27;5;24;31;10;28;30;13;8;14;16;32;29;12;25;1
19;9;1;21;10;17;26;25;2;22;6;15;18;12;3;23;7;27;5;24;31;28;20;30;13;8;14;16;32;29;11;4;1
30;9;28;21;10;17;26;25;14;29;4;23;1;12;3;15;22;16;18;27;2;24;11;19;20;7;8;31;13;5;6;32;1
7;25;27;28;11;26;2;18;4;13;9;30;20;1;14;5;10;19;32;17;24;12;3;22;8;31;6;23;16;29;21;15;1
8;28;31;25;11;26;15;7;4;22;9;30;16;1;14;20;10;19;32;17;24;27;18;29;3;2;6;23;5;13;12;21;1
8;28;31;25;11;26;15;7;4;13;9;30;5;1;14;20;10;19;32;17;24;27;18;29;3;2;23;6;16;22;12;21;1
8;28;31;25;11;26;15;7;4;13;9;30;5;1;14;20;10;19;32;17;24;27;18;29;3;2;23;6;16;22;12;21;1
26;29;17;18;28;25;19;4;8;9;32;14;1;11;3;15;7;27;5;24;31;10;20;30;13;2;23;6;16;22;12;21;1
