"X1";"X37484";"X11";"X4";"X3";"X2";"X7";"X6";"X12";"X8";"X1.1";"X10";"X9";"X5"
1;37484;11;4;3;2;7;6;12;8;1;10;9;5
11;4;3;7;2;6;12;8;1;10;9;5;1;38404
1;38404;11;4;3;7;2;6;12;8;1;10;9;5
11;10;3;7;2;6;12;8;1;4;9;5;1;57230
1;57230;11;10;3;7;2;6;12;8;1;4;9;5
11;10;4;7;2;6;12;8;1;3;9;5;1;56672
1;56672;11;10;4;7;2;6;12;8;1;3;9;5
11;10;4;7;6;2;12;8;1;3;9;5;1;48046
1;48046;11;10;4;7;6;2;12;8;1;3;9;5
11;10;4;7;6;3;12;8;1;2;9;5;1;59298
1;59298;11;10;4;7;6;3;12;8;1;2;9;5
11;10;4;7;2;3;12;8;1;6;9;5;1;59752
1;59752;11;10;4;7;2;3;12;8;1;6;9;5
11;10;4;7;2;9;12;8;1;6;3;5;1;58880
1;58880;11;10;4;7;2;9;12;8;1;6;3;5
11;10;4;5;2;9;12;8;1;6;3;7;1;58902
1;58902;11;10;4;5;2;9;12;8;1;6;3;7
10;11;4;5;2;9;12;8;1;6;3;7;1;51598
1;51598;10;11;4;5;2;9;12;8;1;6;3;7
10;11;4;5;7;9;12;8;1;6;3;2;1;45948
1;45948;10;11;4;5;7;9;12;8;1;6;3;2
10;11;4;5;7;8;12;9;1;6;3;2;1;38274
1;38274;10;11;4;5;7;8;12;9;1;6;3;2
10;11;4;5;7;1;12;9;8;6;3;2;1;44426
1;44426;10;11;4;5;7;1;12;9;8;6;3;2
8;11;4;5;7;1;12;9;10;6;3;2;1;40832
1;40832;8;11;4;5;7;1;12;9;10;6;3;2
8;11;4;5;7;1;12;9;10;2;3;6;1;40256
1;40256;8;11;4;5;7;1;12;9;10;2;3;6
8;11;4;5;2;1;12;9;10;7;3;6;1;42638
1;42638;8;11;4;5;2;1;12;9;10;7;3;6
8;11;4;12;2;1;5;9;10;7;3;6;1;45400
1;45400;8;11;4;12;2;1;5;9;10;7;3;6
