"X4";"X11";"X7";"X1";"X6";"X8";"X2";"X9";"X5";"X10";"X3";"X12";"generation"
4;11;7;1;6;8;2;9;5;10;3;12;1
8;4;7;6;11;1;2;3;10;5;9;12;1
11;1;7;8;4;2;6;3;10;5;9;12;1
6;12;5;8;4;2;3;7;10;1;9;11;1
6;4;7;12;11;1;2;9;5;10;3;8;1
12;11;2;1;6;8;3;7;10;5;9;4;1
12;10;2;1;6;8;3;7;4;5;9;11;1
4;11;2;1;12;8;9;7;10;5;3;6;1
4;11;2;1;6;8;3;7;10;5;9;12;1
4;11;2;1;6;8;3;7;10;5;9;12;1
9;12;5;8;4;2;6;3;10;1;7;11;1
4;11;5;8;9;2;6;3;10;7;12;1;1
8;1;11;9;2;12;3;7;10;4;6;5;1
5;11;2;1;6;8;3;7;4;10;9;12;1
9;3;5;8;2;7;6;12;4;10;11;1;1
8;1;11;9;2;7;6;3;4;10;12;5;1
8;7;5;12;4;2;6;3;10;9;11;1;1
4;8;7;6;11;1;2;9;5;10;3;12;1
4;11;2;9;6;8;3;7;10;5;1;12;1
4;11;2;1;6;8;3;7;10;5;9;12;1
5;11;10;1;6;8;9;7;4;2;3;12;1
8;1;11;6;2;4;3;7;10;5;9;12;1
4;11;2;1;6;8;3;7;10;5;9;12;1
4;5;2;1;6;8;3;7;10;11;9;12;1
8;4;7;1;6;11;3;2;10;5;9;12;1
4;11;2;12;8;1;7;9;5;10;3;6;1
4;6;7;12;11;1;2;9;5;10;3;8;1
4;11;7;12;8;1;2;9;5;10;3;6;1
8;1;11;6;2;12;3;7;10;5;9;4;1
7;11;2;1;6;8;9;12;4;10;3;5;1
8;1;11;9;2;7;6;12;4;10;3;5;1
8;1;11;9;2;7;6;12;4;10;3;5;1
4;9;10;1;5;8;6;3;2;7;11;12;1
9;11;2;1;6;5;4;3;10;7;12;8;1
4;11;2;1;6;8;3;7;10;5;9;12;1
4;11;2;1;6;8;3;7;10;5;9;12;1
12;4;2;1;6;8;3;7;10;5;9;11;1
4;11;2;1;6;8;3;9;5;10;7;12;1
6;11;5;8;4;2;3;7;10;1;9;12;1
9;12;5;2;4;8;3;6;10;7;11;1;1
8;4;7;12;11;1;2;9;5;10;3;6;1
8;7;6;12;11;10;2;9;5;1;3;4;1
8;1;11;3;2;7;6;10;4;5;9;12;1
8;3;11;9;2;7;6;12;4;5;1;10;1
4;11;2;1;6;8;3;7;10;5;9;12;1
4;11;2;1;6;8;3;7;10;5;9;12;1
8;1;11;3;6;7;2;12;10;5;9;4;1
5;11;2;1;3;7;6;12;4;10;9;8;1
11;12;7;8;4;2;6;9;5;10;3;1;1
8;4;7;12;11;2;6;3;10;5;9;1;1
4;11;2;1;6;8;3;7;10;5;9;12;1
4;11;12;1;6;8;3;7;10;5;9;2;1
8;11;2;6;4;12;7;9;5;10;3;1;1
4;11;3;8;6;1;2;9;5;10;7;12;1
8;4;7;12;11;1;2;9;5;10;3;6;1
8;4;7;12;11;1;2;9;5;10;3;6;1
9;3;5;8;7;2;6;12;4;10;11;1;1
8;1;12;9;4;2;6;3;10;7;11;5;1
4;12;1;8;6;5;3;7;10;2;9;11;1
11;12;6;8;4;2;3;7;10;5;9;1;1
6;4;7;10;3;12;9;2;5;1;11;8;1
3;7;10;6;4;1;2;9;5;12;11;8;1
6;11;2;8;4;1;3;7;10;5;9;12;1
9;12;7;8;4;2;6;3;10;5;11;1;1
4;6;7;12;11;1;3;2;10;5;9;8;1
7;4;2;1;6;8;3;12;10;5;9;11;1
8;4;3;12;11;1;2;7;10;5;9;6;1
4;11;7;1;6;8;2;9;5;10;3;12;1
8;2;7;12;9;3;4;11;5;10;1;6;1
1;7;10;6;4;3;2;9;5;12;11;8;1
4;11;2;1;6;8;3;7;10;5;9;12;1
4;11;2;1;6;8;3;7;10;5;9;12;1
4;11;2;1;6;8;3;7;5;12;9;10;1
4;11;2;1;8;6;3;10;5;12;7;9;1
4;9;8;1;5;2;6;3;10;7;11;12;1
9;11;2;1;6;8;3;7;10;4;12;5;1
8;4;7;12;11;1;2;9;10;5;3;6;1
4;11;7;8;6;1;2;9;5;10;3;12;1
7;4;10;12;3;6;2;9;5;8;11;1;1
8;4;7;12;11;1;2;9;5;10;3;6;1
9;12;6;8;4;2;3;7;10;5;11;1;1
4;9;2;1;5;8;6;3;10;7;11;12;1
4;9;2;1;6;8;3;7;10;5;11;12;1
4;11;2;1;6;8;3;7;10;5;9;12;1
4;11;2;1;6;8;7;3;10;5;9;12;1
4;11;2;1;6;8;3;7;10;5;9;12;1
8;4;7;6;11;1;2;3;10;5;9;12;1
4;11;2;1;12;8;9;7;5;10;3;6;1
5;11;2;1;6;8;3;12;4;10;9;7;1
8;9;11;1;6;7;2;12;4;10;3;5;1
4;11;2;1;8;6;3;7;10;5;9;12;1
5;11;2;1;6;8;3;7;10;4;9;12;1
7;11;2;1;6;8;3;12;4;10;9;5;1
8;11;1;9;2;7;6;12;4;10;3;5;1
4;11;2;1;6;7;9;12;8;10;3;5;1
5;1;11;9;2;7;6;12;4;10;3;8;1
8;1;11;9;2;7;4;12;6;10;5;3;1
8;1;6;9;4;2;11;3;10;7;12;5;1
6;4;7;12;11;1;2;9;5;10;3;8;1
12;11;2;1;6;8;7;9;5;10;3;4;1
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;9;6;8;2;1;5;10;3;12;2
9;4;2;12;1;8;7;3;10;5;11;6;2
9;8;2;12;4;6;7;11;5;10;3;1;2
3;6;4;8;2;12;9;7;10;5;11;1;2
9;6;2;8;4;12;3;7;10;5;11;1;2
6;11;7;1;5;8;2;10;4;9;3;12;2
4;6;7;12;11;8;2;9;5;10;3;1;2
10;11;7;1;6;8;2;3;4;5;9;12;2
1;2;11;7;8;12;6;9;5;10;3;4;2
11;6;2;8;5;12;3;7;4;10;9;1;2
11;6;10;8;5;12;3;7;4;2;9;1;2
11;4;2;1;6;12;3;7;10;5;9;8;2
12;4;5;1;6;11;3;7;10;2;9;8;2
12;3;5;1;6;4;2;9;7;10;11;8;2
12;4;10;3;6;11;2;9;5;1;7;8;2
12;9;1;7;6;11;2;4;5;10;3;8;2
12;4;5;2;6;11;3;7;10;1;9;8;2
11;4;1;2;8;12;7;3;10;5;9;6;2
11;4;2;1;8;12;7;3;10;5;9;6;2
5;6;10;8;11;12;3;7;4;2;9;1;2
11;6;2;8;5;12;3;7;4;10;9;1;2
4;11;7;8;6;1;3;9;5;10;2;12;2
4;11;7;1;6;8;2;9;5;10;3;12;2
1;5;11;7;8;12;6;10;4;2;3;9;2
11;3;8;7;2;12;6;10;4;5;9;1;2
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;9;6;8;2;1;5;10;3;12;2
11;4;2;1;6;12;3;7;10;5;9;8;2
11;4;2;1;6;12;3;7;10;5;9;8;2
11;4;2;1;6;8;9;7;5;10;3;12;2
4;11;2;1;6;8;3;7;10;5;9;12;2
12;6;5;8;4;11;3;7;10;2;9;1;2
11;6;2;8;5;12;3;7;10;1;9;4;2
4;8;7;5;6;11;2;3;10;1;9;12;2
12;4;10;3;6;11;2;9;5;1;7;8;2
11;6;10;8;5;12;9;7;4;2;3;1;2
11;6;10;8;5;12;9;7;4;2;3;1;2
5;6;10;8;11;12;9;7;4;2;3;1;2
11;6;2;8;4;12;9;7;5;10;3;1;2
12;6;7;8;11;4;9;2;5;10;3;1;2
4;5;10;8;6;12;9;7;11;2;3;1;2
4;11;3;8;1;12;9;7;10;5;2;6;2
6;11;4;1;7;12;2;3;10;5;9;8;2
4;11;7;1;6;8;2;3;10;5;12;9;2
11;4;2;1;6;12;9;7;5;10;3;8;2
4;6;2;1;11;8;7;12;5;10;3;9;2
4;6;7;8;11;9;3;2;10;5;1;12;2
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;1;6;8;2;9;5;10;3;12;2
11;6;10;8;5;12;9;7;4;3;2;1;2
9;6;2;8;4;12;11;7;5;10;3;1;2
9;6;5;8;4;12;11;7;10;2;3;1;2
1;6;10;12;11;8;2;9;5;7;3;4;2
11;6;2;12;4;8;7;9;5;10;3;1;2
11;4;6;1;2;12;3;7;10;5;9;8;2
11;7;2;8;10;12;9;6;4;5;3;1;2
11;4;10;2;5;12;3;7;6;1;9;8;2
11;4;5;1;6;12;8;7;10;2;3;9;2
4;6;7;2;11;3;8;10;1;5;9;12;2
3;11;1;7;2;12;6;10;4;5;9;8;2
10;11;9;1;8;12;5;7;4;2;3;6;2
11;6;4;8;2;12;7;3;10;5;9;1;2
4;11;7;6;1;8;2;9;5;10;3;12;2
4;11;7;1;6;9;2;8;5;10;3;12;2
11;6;2;8;5;12;3;7;10;4;9;1;2
12;6;2;8;5;11;3;7;10;1;9;4;2
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;1;6;8;2;9;5;10;3;12;2
11;2;10;7;5;6;9;8;4;12;1;3;2
1;6;11;8;7;12;9;10;4;5;2;3;2
11;6;2;8;4;12;3;7;10;5;9;1;2
9;4;2;1;6;12;3;7;10;5;11;8;2
4;11;2;1;6;12;3;7;10;5;9;8;2
11;4;2;1;6;8;9;7;5;10;3;12;2
11;6;2;8;4;12;1;7;5;10;3;9;2
4;11;7;10;6;12;2;9;3;5;1;8;2
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;1;6;8;2;9;5;10;3;12;2
11;6;8;2;4;12;3;7;10;1;5;9;2
12;6;5;8;4;11;3;7;10;1;2;9;2
8;2;1;7;11;12;6;10;4;5;9;3;2
7;11;6;1;8;3;2;9;4;5;10;12;2
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;8;6;1;2;9;5;10;3;12;2
4;11;7;5;6;8;2;9;10;1;3;12;2
4;11;2;1;6;8;3;7;10;5;9;12;2
11;6;10;8;5;12;9;7;2;4;3;1;2
11;6;4;8;2;12;3;7;10;5;9;1;2
11;4;1;2;6;12;3;7;10;5;9;8;2
11;4;1;2;6;12;3;7;9;5;10;8;2
11;6;2;8;5;12;9;7;4;10;3;1;2
4;11;7;1;6;12;2;9;5;10;3;8;2
5;11;9;1;6;8;2;7;4;10;3;12;2
6;11;7;1;4;8;2;9;5;10;3;12;2
11;6;10;8;5;12;9;7;4;2;3;1;2
11;6;10;8;5;12;9;7;4;2;3;1;2
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;1;6;8;2;9;5;10;3;12;2
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;2;10;5;9;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
5;11;7;1;6;8;2;9;4;10;3;12;3
11;6;2;1;4;12;9;8;5;10;3;7;3
11;4;2;1;6;8;9;7;5;12;3;10;3
11;4;7;9;6;8;2;1;5;10;3;12;3
4;11;2;7;6;8;9;1;10;5;3;12;3
11;4;2;7;6;8;9;1;10;5;3;12;3
4;11;7;9;6;8;2;1;5;10;3;12;3
4;11;7;9;6;8;2;1;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
4;11;2;7;6;8;9;1;5;10;3;12;3
4;11;7;2;3;8;9;1;5;10;6;12;3
4;11;1;7;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
11;4;12;1;6;8;7;9;5;10;3;2;3
11;4;2;8;6;1;9;7;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
4;11;9;1;12;8;2;7;5;10;3;6;3
4;11;5;1;8;6;2;9;10;7;3;12;3
4;11;2;7;6;8;9;1;5;10;3;12;3
4;11;2;7;6;8;3;1;5;10;9;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
4;11;7;2;6;8;9;1;5;10;3;12;3
4;11;9;7;6;8;12;1;5;10;2;3;3
4;11;7;2;6;8;3;1;10;5;9;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
11;4;9;1;6;8;2;7;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
4;11;7;8;6;9;2;1;5;10;3;12;3
4;6;10;12;11;9;2;8;5;7;3;1;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
2;11;9;7;6;8;5;1;4;10;3;12;3
10;11;7;1;8;12;2;9;4;5;3;6;3
11;4;2;7;6;8;9;1;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
4;11;7;8;6;9;2;1;5;10;3;12;3
4;11;7;8;6;9;2;1;5;10;3;12;3
4;11;10;8;6;9;2;1;5;7;3;12;3
4;11;7;8;6;9;2;1;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;9;2;5;10;3;12;3
4;1;7;11;6;8;2;9;5;10;3;12;3
11;4;2;7;6;8;9;1;5;10;3;12;3
12;11;3;1;6;8;2;9;10;5;7;4;3
4;11;12;1;6;8;2;3;10;5;9;7;3
5;6;1;7;11;2;9;8;4;10;3;12;3
4;11;7;1;6;10;2;9;5;8;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;2;1;6;8;7;9;5;10;3;12;3
5;11;7;8;6;1;2;9;4;10;3;12;3
4;11;7;8;6;1;2;9;5;10;3;12;3
11;6;2;7;4;8;9;12;5;10;3;1;3
5;11;1;7;6;8;10;9;4;2;3;12;3
5;11;1;7;6;12;9;10;4;2;3;8;3
11;6;10;1;4;12;9;8;5;2;3;7;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;2;7;6;8;9;1;5;10;3;12;3
4;6;12;8;11;9;2;7;5;10;3;1;3
5;11;7;8;6;9;10;1;4;2;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
4;11;7;1;6;8;2;9;5;10;3;12;3
