"X24";"X26";"X3";"X15";"X11";"X13";"X25";"X6";"X12";"X1";"X8";"X7";"X5";"X20";"X2";"X14";"X9";"X16";"X18";"X22";"X21";"X17";"X19";"X23";"X10";"X4";"generation"
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;14;6;12;1;8;7;5;20;2;25;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;14;11;13;3;2;21;9;26;16;5;23;12;22;15;6;8;1;18;19;25;17;20;7;10;4;1
11;20;4;17;3;2;25;6;12;1;8;7;5;22;15;9;26;19;14;21;13;23;18;24;16;10;1
11;25;4;17;3;15;13;26;12;1;8;7;5;20;2;14;9;16;18;22;21;23;6;24;19;10;1
11;20;4;17;3;2;21;9;26;16;5;23;12;22;15;6;8;19;14;25;13;7;18;24;1;10;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;11;3;15;26;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
3;18;13;16;21;10;24;1;12;15;19;20;8;2;22;26;9;23;5;4;7;17;14;25;11;6;1
18;6;16;10;21;20;11;19;14;13;12;15;22;3;8;26;9;23;5;4;7;17;1;25;2;24;1
24;20;4;17;3;2;21;9;26;16;5;23;12;22;15;6;8;14;7;19;10;18;1;25;11;13;1
11;20;4;7;3;13;21;9;26;25;5;23;12;22;14;6;8;19;15;16;2;17;18;24;1;10;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
11;20;4;7;3;2;13;9;26;16;5;23;12;22;15;6;8;18;14;25;21;17;19;24;1;10;1
24;26;3;2;11;13;25;14;9;1;5;23;12;22;15;6;8;16;18;20;21;17;19;7;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
8;26;17;15;21;6;13;25;20;24;7;11;1;3;23;16;19;5;12;2;14;18;9;22;10;4;1
8;18;22;9;21;6;13;25;20;24;7;11;1;3;15;16;26;5;12;2;14;17;19;23;10;4;1
18;6;9;2;21;20;15;19;1;13;12;11;25;3;8;26;16;22;5;24;7;17;14;23;10;4;1
24;26;3;25;11;12;15;19;1;13;8;7;5;20;2;14;9;16;18;22;21;17;6;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;4;16;18;22;21;17;19;23;10;9;1
6;18;4;8;22;25;21;13;20;24;7;11;1;3;23;16;19;5;12;2;14;17;26;15;9;10;1
8;18;4;10;3;2;21;9;26;16;5;23;12;22;15;6;19;7;1;24;14;17;20;11;25;13;1
11;20;4;17;3;2;13;9;26;16;5;23;12;25;15;6;19;8;14;22;21;7;18;24;1;10;1
23;26;3;15;11;21;25;6;12;1;8;17;5;20;2;14;9;16;19;22;13;7;18;24;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;6;13;25;11;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
10;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;4;17;19;24;21;23;1
24;26;3;15;10;13;23;4;12;19;8;7;5;20;21;14;9;22;18;16;2;17;1;25;11;6;1
23;26;3;15;11;13;25;6;12;10;8;7;5;20;2;14;9;16;19;22;21;17;18;24;1;4;1
11;20;4;17;3;2;13;9;26;16;5;23;12;10;15;6;8;19;18;22;21;7;14;24;1;25;1
17;10;3;2;11;20;21;9;26;16;5;23;12;22;15;6;8;19;14;25;13;7;18;24;1;4;1
3;22;4;17;11;13;25;6;12;1;8;7;5;20;2;9;26;19;14;21;15;23;18;24;16;10;1
11;20;4;7;3;2;13;9;26;19;5;23;12;25;15;6;8;16;18;22;21;17;14;24;1;10;1
23;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;19;22;21;17;18;24;10;4;1
23;26;3;15;11;21;22;6;12;4;8;17;5;20;2;16;9;19;14;25;13;7;18;24;1;10;1
11;20;4;17;3;15;21;8;26;16;5;23;12;22;2;14;9;19;6;25;13;7;18;24;1;10;1
3;18;13;26;21;10;24;9;20;19;5;16;12;22;15;6;8;14;7;23;2;17;1;25;11;4;1
11;8;6;17;3;13;21;9;26;25;5;23;12;19;22;4;20;14;15;16;2;7;18;24;1;10;1
3;15;13;26;21;10;24;23;12;5;19;20;8;7;2;14;9;16;18;4;22;17;1;25;11;6;1
24;26;3;15;11;13;25;6;12;5;19;9;8;7;22;4;20;14;18;2;21;17;1;23;10;16;1
24;14;11;17;3;2;21;9;26;16;5;23;12;22;15;6;8;19;18;20;25;13;1;7;10;4;1
4;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;22;21;17;23;18;24;19;10;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
23;26;3;15;11;13;25;6;12;10;8;7;5;20;2;14;9;16;19;22;21;17;18;24;1;4;1
11;25;4;24;3;15;13;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;26;10;1
11;25;4;17;3;15;21;26;12;1;8;7;5;20;2;14;9;16;18;22;13;23;6;24;19;10;1
23;26;3;15;11;13;25;6;12;4;8;7;5;20;2;14;9;16;18;22;21;17;19;24;1;10;1
11;20;4;17;3;2;21;9;26;16;5;24;12;22;15;6;8;18;14;25;13;7;19;23;1;10;1
23;26;3;15;11;13;25;6;12;4;8;7;5;20;2;14;9;16;18;22;21;17;19;24;1;10;1
25;6;4;12;11;3;15;26;1;13;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;24;1
24;26;3;15;11;13;25;6;12;1;8;21;18;20;2;19;9;23;5;4;7;17;14;22;10;16;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;12;1;8;7;5;20;2;14;9;16;18;22;21;17;19;23;10;4;1
24;26;3;15;11;13;25;6;18;1;8;7;14;20;23;16;19;5;12;22;21;17;9;2;10;4;1
