"X1";"X5781148";"X18";"X11";"X22";"X16";"X1.1";"X15";"X7";"X2";"X13";"X10";"X19";"X6";"X5";"X12";"X17";"X26";"X25";"X14";"X3";"X23";"X8";"X24";"X9";"X4";"X20";"X21"
1;5781148;18;11;22;16;1;15;7;2;13;10;19;6;5;12;17;26;25;14;3;23;8;24;9;4;20;21
18;11;22;16;1;15;7;2;13;10;19;6;5;12;17;26;25;14;3;23;24;8;9;4;20;21;1;5796466
1;5796466;18;11;22;16;1;15;7;2;13;10;19;6;5;12;17;26;25;14;3;23;24;8;9;4;20;21
18;11;22;16;1;15;7;2;13;10;19;6;9;12;17;26;25;14;3;23;24;8;5;4;20;21;1;5852991
1;5852991;18;11;22;16;1;15;7;2;13;10;19;6;9;12;17;26;25;14;3;23;24;8;5;4;20;21
18;11;22;16;1;15;7;2;13;10;19;6;9;12;25;26;17;14;3;23;24;8;5;4;20;21;1;5853861
1;5853861;18;11;22;16;1;15;7;2;13;10;19;6;9;12;25;26;17;14;3;23;24;8;5;4;20;21
18;11;22;16;1;15;7;2;13;10;19;6;9;12;25;26;17;14;3;23;24;8;20;4;5;21;1;5815128
1;5815128;18;11;22;16;1;15;7;2;13;10;19;6;9;12;25;26;17;14;3;23;24;8;20;4;5;21
18;11;22;16;1;15;7;2;14;10;19;6;9;12;25;26;17;13;3;23;24;8;20;4;5;21;1;5896223
1;5896223;18;11;22;16;1;15;7;2;14;10;19;6;9;12;25;26;17;13;3;23;24;8;20;4;5;21
18;11;22;16;1;15;7;2;14;10;19;6;26;12;25;9;17;13;3;23;24;8;20;4;5;21;1;5966108
1;5966108;18;11;22;16;1;15;7;2;14;10;19;6;26;12;25;9;17;13;3;23;24;8;20;4;5;21
8;11;22;16;1;15;7;2;14;10;19;6;26;12;25;9;17;13;3;23;24;18;20;4;5;21;1;5973175
1;5973175;8;11;22;16;1;15;7;2;14;10;19;6;26;12;25;9;17;13;3;23;24;18;20;4;5;21
8;11;22;16;1;15;17;2;14;10;19;6;26;12;25;9;7;13;3;23;24;18;20;4;5;21;1;5925583
1;5925583;8;11;22;16;1;15;17;2;14;10;19;6;26;12;25;9;7;13;3;23;24;18;20;4;5;21
8;11;22;16;1;15;17;2;14;10;19;24;26;12;25;9;7;13;3;23;6;18;20;4;5;21;1;5935433
1;5935433;8;11;22;16;1;15;17;2;14;10;19;24;26;12;25;9;7;13;3;23;6;18;20;4;5;21
8;11;22;16;1;15;20;2;14;10;19;24;26;12;25;9;7;13;3;23;6;18;17;4;5;21;1;5965287
1;5965287;8;11;22;16;1;15;20;2;14;10;19;24;26;12;25;9;7;13;3;23;6;18;17;4;5;21
8;3;22;16;1;15;20;2;14;10;19;24;26;12;25;9;7;13;11;23;6;18;17;4;5;21;1;6031157
1;6031157;8;3;22;16;1;15;20;2;14;10;19;24;26;12;25;9;7;13;11;23;6;18;17;4;5;21
8;3;22;16;21;15;20;2;14;10;19;24;26;12;25;9;7;13;11;23;6;18;17;4;5;1;1;6022505
1;6022505;8;3;22;16;21;15;20;2;14;10;19;24;26;12;25;9;7;13;11;23;6;18;17;4;5;1
8;3;22;16;21;15;20;2;14;6;19;24;26;12;25;9;7;13;11;23;10;18;17;4;5;1;1;6023714
1;6023714;8;3;22;16;21;15;20;2;14;6;19;24;26;12;25;9;7;13;11;23;10;18;17;4;5;1
8;3;22;16;21;15;20;6;14;2;19;24;26;12;25;9;7;13;11;23;10;18;17;4;5;1;1;6023714
1;6023714;8;3;22;16;21;15;20;6;14;2;19;24;26;12;25;9;7;13;11;23;10;18;17;4;5;1
8;3;22;16;5;15;20;6;14;2;19;24;26;12;25;9;7;13;11;23;10;18;17;4;21;1;1;5990745
1;5990745;8;3;22;16;5;15;20;6;14;2;19;24;26;12;25;9;7;13;11;23;10;18;17;4;21;1
8;3;22;16;5;15;20;6;14;1;19;24;26;12;25;9;7;13;11;23;10;18;17;4;21;2;1;5971408
1;5971408;8;3;22;16;5;15;20;6;14;1;19;24;26;12;25;9;7;13;11;23;10;18;17;4;21;2
8;3;22;16;5;15;12;6;14;1;19;24;26;20;25;9;7;13;11;23;10;18;17;4;21;2;1;5980151
1;5980151;8;3;22;16;5;15;12;6;14;1;19;24;26;20;25;9;7;13;11;23;10;18;17;4;21;2
8;3;22;16;5;15;12;19;14;1;6;24;26;20;25;9;7;13;11;23;10;18;17;4;21;2;1;5996082
1;5996082;8;3;22;16;5;15;12;19;14;1;6;24;26;20;25;9;7;13;11;23;10;18;17;4;21;2
17;3;22;16;5;15;12;19;14;1;6;24;26;20;25;9;7;13;11;23;10;18;8;4;21;2;1;6057357
1;5996082;8;3;22;16;5;15;12;19;14;1;6;24;26;20;25;9;7;13;11;23;10;18;17;4;21;2
8;3;22;16;5;9;12;19;14;1;6;24;26;20;25;15;7;13;11;23;10;18;17;4;21;2;1;5997675
2;5997675;8;3;22;16;5;9;12;19;14;1;6;24;26;20;25;15;7;13;11;23;10;18;17;4;21;2
