"X1";"X43896";"X9";"X8";"X7";"X5";"X3";"X6";"X10";"X12";"X1.1";"X2";"X4";"X11"
1;43896;9;8;7;5;3;6;10;12;1;2;4;11
6;8;7;5;3;9;10;12;1;2;4;11;1;47030
1;43896;9;8;7;5;3;6;10;12;1;2;4;11
9;1;7;5;3;6;10;12;8;2;4;11;1;53966
1;53966;9;1;7;5;3;6;10;12;8;2;4;11
9;1;5;7;3;6;10;12;8;2;4;11;1;54408
1;54408;9;1;5;7;3;6;10;12;8;2;4;11
9;1;5;7;4;6;10;12;8;2;3;11;1;53164
1;53164;9;1;5;7;4;6;10;12;8;2;3;11
9;1;5;8;4;6;10;12;7;2;3;11;1;53196
1;53196;9;1;5;8;4;6;10;12;7;2;3;11
9;1;4;8;5;6;10;12;7;2;3;11;1;57722
1;57722;9;1;4;8;5;6;10;12;7;2;3;11
9;1;4;8;6;5;10;12;7;2;3;11;1;51984
1;51984;9;1;4;8;6;5;10;12;7;2;3;11
9;1;8;4;6;5;10;12;7;2;3;11;1;49770
1;49770;9;1;8;4;6;5;10;12;7;2;3;11
9;1;2;4;6;5;10;12;7;8;3;11;1;53558
1;53558;9;1;2;4;6;5;10;12;7;8;3;11
9;1;2;4;6;12;10;5;7;8;3;11;1;51894
1;51894;9;1;2;4;6;12;10;5;7;8;3;11
9;1;2;10;6;12;4;5;7;8;3;11;1;52668
1;52668;9;1;2;10;6;12;4;5;7;8;3;11
9;1;10;2;6;12;4;5;7;8;3;11;1;50222
1;50222;9;1;10;2;6;12;4;5;7;8;3;11
9;1;10;2;6;12;4;11;7;8;3;5;1;50298
1;50298;9;1;10;2;6;12;4;11;7;8;3;5
9;7;10;2;6;12;4;11;1;8;3;5;1;32054
1;32054;9;7;10;2;6;12;4;11;1;8;3;5
9;3;10;2;6;12;4;11;1;8;7;5;1;40140
1;40140;9;3;10;2;6;12;4;11;1;8;7;5
9;11;10;2;6;12;4;3;1;8;7;5;1;36324
1;36324;9;11;10;2;6;12;4;3;1;8;7;5
7;11;10;2;6;12;4;3;1;8;9;5;1;47142
1;47142;7;11;10;2;6;12;4;3;1;8;9;5
7;11;10;2;6;12;4;3;8;1;9;5;1;44998
1;44998;7;11;10;2;6;12;4;3;8;1;9;5
7;10;11;2;6;12;4;3;8;1;9;5;1;50582
1;50582;7;10;11;2;6;12;4;3;8;1;9;5
1;10;11;2;6;12;4;3;8;7;9;5;1;46446
2;46446;1;10;11;2;6;12;4;3;8;7;9;5
1;10;11;3;6;12;4;2;8;7;9;5;2;42698
2;42698;1;10;11;3;6;12;4;2;8;7;9;5
1;10;11;3;6;12;4;2;5;7;9;8;2;50318
