"X1";"X52560";"X1.1";"X2";"X9";"X4";"X6";"X10";"X3";"X8";"X11";"X12";"X7";"X5"
1;52560;1;2;9;4;6;10;3;8;11;12;7;5
1;12;9;4;6;10;3;8;11;2;7;5;1;71224
1;71224;1;12;9;4;6;10;3;8;11;2;7;5
1;12;6;4;9;10;3;8;11;2;7;5;1;73494
1;73494;1;12;6;4;9;10;3;8;11;2;7;5
1;12;11;4;9;10;3;8;6;2;7;5;1;71746
1;71746;1;12;11;4;9;10;3;8;6;2;7;5
1;12;11;4;9;10;3;8;7;2;6;5;1;71660
1;71660;1;12;11;4;9;10;3;8;7;2;6;5
1;12;11;10;9;4;3;8;7;2;6;5;1;71140
1;71140;1;12;11;10;9;4;3;8;7;2;6;5
1;12;10;11;9;4;3;8;7;2;6;5;1;72162
1;72162;1;12;10;11;9;4;3;8;7;2;6;5
1;12;10;2;9;4;3;8;7;11;6;5;1;53316
1;53316;1;12;10;2;9;4;3;8;7;11;6;5
1;12;10;2;9;5;3;8;7;11;6;4;1;56312
1;56312;1;12;10;2;9;5;3;8;7;11;6;4
1;12;10;2;9;5;3;8;7;4;6;11;1;61112
1;61112;1;12;10;2;9;5;3;8;7;4;6;11
1;12;10;8;9;5;3;2;7;4;6;11;1;61084
1;61084;1;12;10;8;9;5;3;2;7;4;6;11
1;12;10;3;9;5;8;2;7;4;6;11;1;59456
1;59456;1;12;10;3;9;5;8;2;7;4;6;11
1;9;10;3;12;5;8;2;7;4;6;11;1;57952
1;57952;1;9;10;3;12;5;8;2;7;4;6;11
1;9;10;3;12;5;8;2;6;4;7;11;1;58070
1;58070;1;9;10;3;12;5;8;2;6;4;7;11
11;9;10;3;12;5;8;2;6;4;7;1;1;42200
1;42200;11;9;10;3;12;5;8;2;6;4;7;1
11;9;6;3;12;5;8;2;10;4;7;1;1;38458
1;38458;11;9;6;3;12;5;8;2;10;4;7;1
11;9;6;3;12;5;4;2;10;8;7;1;1;45070
1;45070;11;9;6;3;12;5;4;2;10;8;7;1
11;9;6;3;12;5;8;2;10;4;7;1;1;38458
1;38458;11;9;6;3;12;5;8;2;10;4;7;1
11;9;6;3;10;5;8;2;12;4;7;1;1;44558
1;44558;11;9;6;3;10;5;8;2;12;4;7;1
11;9;6;3;10;5;8;2;12;7;4;1;1;45124
1;45124;11;9;6;3;10;5;8;2;12;7;4;1
11;9;6;1;10;5;8;2;12;7;4;3;1;48382
2;48382;11;9;6;1;10;5;8;2;12;7;4;3
11;9;6;1;10;5;8;12;2;7;4;3;2;46086
2;46086;11;9;6;1;10;5;8;12;2;7;4;3
11;9;6;1;10;5;8;12;2;3;4;7;2;51078
2;51078;11;9;6;1;10;5;8;12;2;3;4;7
11;9;6;1;8;5;10;12;2;3;4;7;2;46296
2;46296;11;9;6;1;8;5;10;12;2;3;4;7
11;2;6;1;8;5;10;12;9;3;4;7;2;56048
2;46296;11;9;6;1;8;5;10;12;2;3;4;7
9;11;6;1;8;5;10;12;2;3;4;7;2;38572
2;38572;9;11;6;1;8;5;10;12;2;3;4;7
9;11;6;1;8;5;12;10;2;3;4;7;2;37788
2;37788;9;11;6;1;8;5;12;10;2;3;4;7
9;11;6;8;1;5;12;10;2;3;4;7;2;39188
2;39188;9;11;6;8;1;5;12;10;2;3;4;7
9;11;2;8;1;5;12;10;6;3;4;7;2;37526
2;37526;9;11;2;8;1;5;12;10;6;3;4;7
2;11;9;8;1;5;12;10;6;3;4;7;2;43076
2;43076;2;11;9;8;1;5;12;10;6;3;4;7
2;11;9;8;1;12;5;10;6;3;4;7;2;47540
2;47540;2;11;9;8;1;12;5;10;6;3;4;7
2;11;1;8;9;12;5;10;6;3;4;7;2;45086
2;45086;2;11;1;8;9;12;5;10;6;3;4;7
2;11;1;8;9;12;5;10;7;3;4;6;2;49950
2;49950;2;11;1;8;9;12;5;10;7;3;4;6
2;11;8;1;9;12;5;10;7;3;4;6;2;47138
2;47138;2;11;8;1;9;12;5;10;7;3;4;6
2;11;7;1;9;12;5;10;8;3;4;6;2;44636
2;44636;2;11;7;1;9;12;5;10;8;3;4;6
2;6;7;1;9;12;5;10;8;3;4;11;2;40490
2;40490;2;6;7;1;9;12;5;10;8;3;4;11
2;1;7;6;9;12;5;10;8;3;4;11;2;48278
2;48278;2;1;7;6;9;12;5;10;8;3;4;11
2;1;8;6;9;12;5;10;7;3;4;11;2;50780
2;50780;2;1;8;6;9;12;5;10;7;3;4;11
2;1;8;6;9;12;5;10;7;11;4;3;2;52508
2;52508;2;1;8;6;9;12;5;10;7;11;4;3
2;1;8;6;5;12;9;10;7;11;4;3;2;58018
2;52508;2;1;8;6;9;12;5;10;7;11;4;3
2;1;8;6;9;12;4;10;7;11;5;3;2;50702
3;50702;2;1;8;6;9;12;4;10;7;11;5;3
2;1;8;6;9;12;4;10;11;7;5;3;3;39632
3;39632;2;1;8;6;9;12;4;10;11;7;5;3
5;1;8;6;9;12;4;10;11;7;2;3;3;50886
3;39632;2;1;8;6;9;12;4;10;11;7;5;3
2;1;8;6;9;12;4;10;11;7;3;5;3;38552
3;38552;2;1;8;6;9;12;4;10;11;7;3;5
2;1;8;6;9;3;4;10;11;7;12;5;3;29320
3;29320;2;1;8;6;9;3;4;10;11;7;12;5
3;1;8;6;9;2;4;10;11;7;12;5;3;33920
3;33920;3;1;8;6;9;2;4;10;11;7;12;5
3;1;8;6;11;2;4;10;9;7;12;5;3;33412
3;33412;3;1;8;6;11;2;4;10;9;7;12;5
3;1;8;9;11;2;4;10;6;7;12;5;3;32228
3;32228;3;1;8;9;11;2;4;10;6;7;12;5
3;1;8;9;11;12;4;10;6;7;2;5;3;43956
3;43956;3;1;8;9;11;12;4;10;6;7;2;5
3;1;11;9;8;12;4;10;6;7;2;5;3;48060
3;43956;3;1;8;9;11;12;4;10;6;7;2;5
3;1;8;9;11;12;4;10;2;7;6;5;3;43960
3;43960;3;1;8;9;11;12;4;10;2;7;6;5
3;1;8;9;11;6;4;10;2;7;12;5;3;38680
3;38680;3;1;8;9;11;6;4;10;2;7;12;5
3;1;11;9;8;6;4;10;2;7;12;5;3;42784
3;42784;3;1;11;9;8;6;4;10;2;7;12;5
3;5;11;9;8;6;4;10;2;7;12;1;3;33752
3;33752;3;5;11;9;8;6;4;10;2;7;12;1
3;1;11;9;8;6;4;10;2;7;12;5;3;42784
3;42784;3;1;11;9;8;6;4;10;2;7;12;5
3;1;8;9;11;6;4;10;2;7;12;5;3;38680
3;38680;3;1;8;9;11;6;4;10;2;7;12;5
3;1;4;9;11;6;8;10;2;7;12;5;3;38932
3;38932;3;1;4;9;11;6;8;10;2;7;12;5
3;1;4;9;5;6;8;10;2;7;12;11;3;38922
3;38922;3;1;4;9;5;6;8;10;2;7;12;11
3;1;4;9;8;6;5;10;2;7;12;11;3;46494
3;46494;3;1;4;9;8;6;5;10;2;7;12;11
3;1;4;9;8;6;11;10;2;7;12;5;3;41420
3;41420;3;1;4;9;8;6;11;10;2;7;12;5
3;1;4;12;8;6;11;10;2;7;9;5;3;41086
4;41086;3;1;4;12;8;6;11;10;2;7;9;5
3;1;4;12;8;6;11;10;2;5;9;7;4;42046
4;42046;3;1;4;12;8;6;11;10;2;5;9;7
3;1;4;12;8;11;6;10;2;5;9;7;4;34600
4;34600;3;1;4;12;8;11;6;10;2;5;9;7
3;1;4;12;8;9;6;10;2;5;11;7;4;42872
4;42872;3;1;4;12;8;9;6;10;2;5;11;7
3;2;4;12;8;9;6;10;1;5;11;7;4;36722
4;36722;3;2;4;12;8;9;6;10;1;5;11;7
3;5;4;12;8;9;6;10;1;2;11;7;4;39824
4;39824;3;5;4;12;8;9;6;10;1;2;11;7
3;7;4;12;8;9;6;10;1;2;11;5;4;45688
4;45688;3;7;4;12;8;9;6;10;1;2;11;5
10;7;4;12;8;9;6;3;1;2;11;5;4;38886
4;38886;10;7;4;12;8;9;6;3;1;2;11;5
11;7;4;12;8;9;6;3;1;2;10;5;4;42834
4;42834;11;7;4;12;8;9;6;3;1;2;10;5
11;7;4;12;8;9;6;3;1;5;10;2;4;30738
4;30738;11;7;4;12;8;9;6;3;1;5;10;2
5;7;4;12;8;9;6;3;1;11;10;2;4;33564
4;33564;5;7;4;12;8;9;6;3;1;11;10;2
5;7;4;12;8;9;1;3;6;11;10;2;4;36356
4;36356;5;7;4;12;8;9;1;3;6;11;10;2
5;7;4;12;8;2;1;3;6;11;10;9;4;32556
4;32556;5;7;4;12;8;2;1;3;6;11;10;9
5;7;4;12;8;3;1;2;6;11;10;9;4;42810
4;42810;5;7;4;12;8;3;1;2;6;11;10;9
5;7;4;12;8;3;1;2;6;11;9;10;4;44176
4;44176;5;7;4;12;8;3;1;2;6;11;9;10
3;7;4;12;8;5;1;2;6;11;9;10;4;45466
4;45466;3;7;4;12;8;5;1;2;6;11;9;10
11;7;4;12;8;5;1;2;6;3;9;10;4;37772
4;37772;11;7;4;12;8;5;1;2;6;3;9;10
11;10;4;12;8;5;1;2;6;3;9;7;4;42006
4;42006;11;10;4;12;8;5;1;2;6;3;9;7
11;10;4;12;3;5;1;2;6;8;9;7;4;48170
4;48170;11;10;4;12;3;5;1;2;6;8;9;7
3;10;4;12;11;5;1;2;6;8;9;7;4;47680
4;47680;3;10;4;12;11;5;1;2;6;8;9;7
3;10;4;11;12;5;1;2;6;8;9;7;4;48040
5;48040;3;10;4;11;12;5;1;2;6;8;9;7
3;10;8;11;12;5;1;2;6;4;9;7;5;39738
5;39738;3;10;8;11;12;5;1;2;6;4;9;7
3;10;8;11;12;5;7;2;6;4;9;1;5;40806
5;40806;3;10;8;11;12;5;7;2;6;4;9;1
3;10;8;5;12;11;7;2;6;4;9;1;5;48158
5;48158;3;10;8;5;12;11;7;2;6;4;9;1
3;10;8;5;12;11;7;4;6;2;9;1;5;47682
5;47682;3;10;8;5;12;11;7;4;6;2;9;1
7;10;8;5;12;11;3;4;6;2;9;1;5;35672
5;35672;7;10;8;5;12;11;3;4;6;2;9;1
7;10;8;3;12;11;5;4;6;2;9;1;5;36186
5;36186;7;10;8;3;12;11;5;4;6;2;9;1
7;10;8;3;9;11;5;4;6;2;12;1;5;35782
5;35782;7;10;8;3;9;11;5;4;6;2;12;1
7;10;8;3;5;11;9;4;6;2;12;1;5;33982
5;33982;7;10;8;3;5;11;9;4;6;2;12;1
7;10;8;2;5;11;9;4;6;3;12;1;5;31338
5;31338;7;10;8;2;5;11;9;4;6;3;12;1
7;10;12;2;5;11;9;4;6;3;8;1;5;32504
5;32504;7;10;12;2;5;11;9;4;6;3;8;1
7;12;10;2;5;11;9;4;6;3;8;1;5;27940
5;27940;7;12;10;2;5;11;9;4;6;3;8;1
6;12;10;2;5;11;9;4;7;3;8;1;5;36358
5;36358;6;12;10;2;5;11;9;4;7;3;8;1
6;12;7;2;5;11;9;4;10;3;8;1;5;31536
5;31536;6;12;7;2;5;11;9;4;10;3;8;1
6;11;7;2;5;12;9;4;10;3;8;1;5;25448
5;25448;6;11;7;2;5;12;9;4;10;3;8;1
11;6;7;2;5;12;9;4;10;3;8;1;5;23356
5;23356;11;6;7;2;5;12;9;4;10;3;8;1
11;6;7;2;5;12;3;4;10;9;8;1;5;29474
5;29474;11;6;7;2;5;12;3;4;10;9;8;1
11;6;7;2;5;10;3;4;12;9;8;1;5;36938
5;36938;11;6;7;2;5;10;3;4;12;9;8;1
1;6;7;2;5;10;3;4;12;9;8;11;5;48664
5;48664;1;6;7;2;5;10;3;4;12;9;8;11
1;6;7;2;11;10;3;4;12;9;8;5;5;50284
5;50284;1;6;7;2;11;10;3;4;12;9;8;5
1;6;3;2;11;10;7;4;12;9;8;5;5;50384
6;50384;1;6;3;2;11;10;7;4;12;9;8;5
12;6;3;2;11;10;7;4;1;9;8;5;6;38510
6;38510;12;6;3;2;11;10;7;4;1;9;8;5
10;6;3;2;11;12;7;4;1;9;8;5;6;43546
6;43546;10;6;3;2;11;12;7;4;1;9;8;5
10;6;3;2;11;12;4;7;1;9;8;5;6;42422
6;42422;10;6;3;2;11;12;4;7;1;9;8;5
10;6;3;2;11;4;12;7;1;9;8;5;6;40596
6;40596;10;6;3;2;11;4;12;7;1;9;8;5
10;5;3;2;11;4;12;7;1;9;8;6;6;45200
6;45200;10;5;3;2;11;4;12;7;1;9;8;6
10;5;3;2;11;4;12;7;1;9;6;8;6;47848
