"X1";"X52098";"X2";"X6";"X9";"X8";"X5";"X1.1";"X10";"X12";"X3";"X7";"X4";"X11"
1;52098;2;6;9;8;5;1;10;12;3;7;4;11
2;6;9;8;5;1;7;12;3;10;4;11;1;61034
1;61034;2;6;9;8;5;1;7;12;3;10;4;11
2;6;9;5;8;1;7;12;3;10;4;11;1;60554
1;60554;2;6;9;5;8;1;7;12;3;10;4;11
2;6;10;5;8;1;7;12;3;9;4;11;1;48712
1;48712;2;6;10;5;8;1;7;12;3;9;4;11
2;6;10;5;8;11;7;12;3;9;4;1;1;39000
1;39000;2;6;10;5;8;11;7;12;3;9;4;1
8;6;10;5;2;11;7;12;3;9;4;1;1;35014
1;35014;8;6;10;5;2;11;7;12;3;9;4;1
8;6;9;5;2;11;7;12;3;10;4;1;1;40794
1;40794;8;6;9;5;2;11;7;12;3;10;4;1
8;6;9;5;2;11;7;12;3;4;10;1;1;43588
1;43588;8;6;9;5;2;11;7;12;3;4;10;1
8;6;5;9;2;11;7;12;3;4;10;1;1;43794
1;43794;8;6;5;9;2;11;7;12;3;4;10;1
8;10;5;9;2;11;7;12;3;4;6;1;1;50462
1;43794;8;6;5;9;2;11;7;12;3;4;10;1
3;6;5;9;2;11;7;12;8;4;10;1;1;48774
1;48774;3;6;5;9;2;11;7;12;8;4;10;1
8;6;5;9;2;11;7;12;3;4;10;1;1;43794
1;43794;8;6;5;9;2;11;7;12;3;4;10;1
8;6;5;7;2;11;9;12;3;4;10;1;1;49280
1;49280;8;6;5;7;2;11;9;12;3;4;10;1
8;9;5;7;2;11;6;12;3;4;10;1;1;53540
1;53540;8;9;5;7;2;11;6;12;3;4;10;1
8;12;5;7;2;11;6;9;3;4;10;1;1;47108
1;47108;8;12;5;7;2;11;6;9;3;4;10;1
8;5;12;7;2;11;6;9;3;4;10;1;1;33724
1;33724;8;5;12;7;2;11;6;9;3;4;10;1
4;5;12;7;2;11;6;9;3;8;10;1;1;41880
1;41880;4;5;12;7;2;11;6;9;3;8;10;1
4;5;12;7;2;6;11;9;3;8;10;1;1;51518
1;51518;4;5;12;7;2;6;11;9;3;8;10;1
4;5;12;7;2;3;11;9;6;8;10;1;1;41608
1;41608;4;5;12;7;2;3;11;9;6;8;10;1
4;5;12;2;7;3;11;9;6;8;10;1;1;42048
1;42048;4;5;12;2;7;3;11;9;6;8;10;1
4;5;2;12;7;3;11;9;6;8;10;1;1;46584
2;46584;4;5;2;12;7;3;11;9;6;8;10;1
4;5;2;12;7;3;11;9;1;8;10;6;2;45906
2;45906;4;5;2;12;7;3;11;9;1;8;10;6
4;5;11;12;7;3;2;9;1;8;10;6;2;46694
2;46694;4;5;11;12;7;3;2;9;1;8;10;6
4;2;11;12;7;3;5;9;1;8;10;6;2;43494
2;43494;4;2;11;12;7;3;5;9;1;8;10;6
11;2;4;12;7;3;5;9;1;8;10;6;2;53704
2;43494;4;2;11;12;7;3;5;9;1;8;10;6
4;2;10;12;7;3;5;9;1;8;11;6;2;46148
2;43494;4;2;11;12;7;3;5;9;1;8;10;6
