"X1";"X43586";"X12";"X2";"X9";"X4";"X8";"X7";"X10";"X1.1";"X3";"X6";"X5";"X11"
1;43586;12;2;9;4;8;7;10;1;3;6;5;11
3;2;9;4;8;7;10;1;12;6;5;11;1;50604
1;50604;3;2;9;4;8;7;10;1;12;6;5;11
3;2;9;10;8;7;4;1;12;6;5;11;1;51040
1;51040;3;2;9;10;8;7;4;1;12;6;5;11
3;2;9;10;12;7;4;1;8;6;5;11;1;48148
1;48148;3;2;9;10;12;7;4;1;8;6;5;11
3;2;9;10;1;7;4;12;8;6;5;11;1;38606
1;38606;3;2;9;10;1;7;4;12;8;6;5;11
3;2;8;10;1;7;4;12;9;6;5;11;1;42836
1;42836;3;2;8;10;1;7;4;12;9;6;5;11
3;2;8;10;1;7;5;12;9;6;4;11;1;40002
1;40002;3;2;8;10;1;7;5;12;9;6;4;11
3;2;8;10;12;7;5;1;9;6;4;11;1;46600
1;46600;3;2;8;10;12;7;5;1;9;6;4;11
3;12;8;10;2;7;5;1;9;6;4;11;1;46892
1;46892;3;12;8;10;2;7;5;1;9;6;4;11
3;12;4;10;2;7;5;1;9;6;8;11;1;49470
1;49470;3;12;4;10;2;7;5;1;9;6;8;11
3;12;4;6;2;7;5;1;9;10;8;11;1;45746
1;45746;3;12;4;6;2;7;5;1;9;10;8;11
1;12;4;6;2;7;5;3;9;10;8;11;1;55562
1;45746;3;12;4;6;2;7;5;1;9;10;8;11
3;12;4;6;2;7;5;11;9;10;8;1;1;53344
1;53344;3;12;4;6;2;7;5;11;9;10;8;1
3;12;4;1;2;7;5;11;9;10;8;6;1;54104
1;54104;3;12;4;1;2;7;5;11;9;10;8;6
3;12;4;1;2;11;5;7;9;10;8;6;1;38736
1;38736;3;12;4;1;2;11;5;7;9;10;8;6
3;12;4;8;2;11;5;7;9;10;1;6;1;41318
1;41318;3;12;4;8;2;11;5;7;9;10;1;6
3;4;12;8;2;11;5;7;9;10;1;6;1;42226
1;41318;3;12;4;8;2;11;5;7;9;10;1;6
3;12;4;6;2;11;5;7;9;10;1;8;1;39636
1;39636;3;12;4;6;2;11;5;7;9;10;1;8
3;12;4;6;2;11;5;9;7;10;1;8;1;45498
1;45498;3;12;4;6;2;11;5;9;7;10;1;8
3;1;4;6;2;11;5;9;7;10;12;8;1;50430
1;50430;3;1;4;6;2;11;5;9;7;10;12;8
3;1;4;6;2;11;5;8;7;10;12;9;1;44390
2;44390;3;1;4;6;2;11;5;8;7;10;12;9
3;1;4;6;2;11;7;8;5;10;12;9;2;44106
2;44106;3;1;4;6;2;11;7;8;5;10;12;9
3;1;4;9;2;11;7;8;5;10;12;6;2;42078
2;42078;3;1;4;9;2;11;7;8;5;10;12;6
3;1;4;9;8;11;7;2;5;10;12;6;2;47460
2;47460;3;1;4;9;8;11;7;2;5;10;12;6
11;1;4;9;8;3;7;2;5;10;12;6;2;42612
2;42612;11;1;4;9;8;3;7;2;5;10;12;6
11;1;4;2;8;3;7;9;5;10;12;6;2;48356
2;48356;11;1;4;2;8;3;7;9;5;10;12;6
11;10;4;2;8;3;7;9;5;1;12;6;2;58120
