"X1";"X40202";"X11";"X10";"X12";"X5";"X9";"X7";"X6";"X2";"X4";"X8";"X3";"X1.1"
1;40202;11;10;12;5;9;7;6;2;4;8;3;1
11;10;12;5;4;7;6;2;9;8;3;1;1;45458
1;45458;11;10;12;5;4;7;6;2;9;8;3;1
11;10;12;5;4;7;6;2;8;9;3;1;1;40454
1;40454;11;10;12;5;4;7;6;2;8;9;3;1
11;10;12;5;2;7;6;4;8;9;3;1;1;43352
1;43352;11;10;12;5;2;7;6;4;8;9;3;1
11;10;7;5;2;12;6;4;8;9;3;1;1;59282
1;59282;11;10;7;5;2;12;6;4;8;9;3;1
11;10;7;5;2;12;6;4;1;9;3;8;1;56026
1;56026;11;10;7;5;2;12;6;4;1;9;3;8
11;10;7;5;2;12;8;4;1;9;3;6;1;54906
1;54906;11;10;7;5;2;12;8;4;1;9;3;6
11;10;2;5;7;12;8;4;1;9;3;6;1;52776
1;52776;11;10;2;5;7;12;8;4;1;9;3;6
11;10;2;5;1;12;8;4;7;9;3;6;1;52032
1;52032;11;10;2;5;1;12;8;4;7;9;3;6
9;10;2;5;1;12;8;4;7;11;3;6;1;59316
1;59316;9;10;2;5;1;12;8;4;7;11;3;6
9;10;2;5;7;12;8;4;1;11;3;6;1;55416
1;55416;9;10;2;5;7;12;8;4;1;11;3;6
9;10;5;2;7;12;8;4;1;11;3;6;1;53658
1;53658;9;10;5;2;7;12;8;4;1;11;3;6
11;10;5;2;7;12;8;4;1;9;3;6;1;54008
1;54008;11;10;5;2;7;12;8;4;1;9;3;6
7;10;5;2;11;12;8;4;1;9;3;6;1;41134
1;41134;7;10;5;2;11;12;8;4;1;9;3;6
7;10;3;2;11;12;8;4;1;9;5;6;1;42104
1;42104;7;10;3;2;11;12;8;4;1;9;5;6
7;10;3;2;11;5;8;4;1;9;12;6;1;31800
1;31800;7;10;3;2;11;5;8;4;1;9;12;6
7;10;3;2;11;5;9;4;1;8;12;6;1;33790
1;33790;7;10;3;2;11;5;9;4;1;8;12;6
7;11;3;2;10;5;9;4;1;8;12;6;1;36084
1;36084;7;11;3;2;10;5;9;4;1;8;12;6
7;9;3;2;10;5;11;4;1;8;12;6;1;44020
1;44020;7;9;3;2;10;5;11;4;1;8;12;6
7;9;3;2;10;5;11;4;1;6;12;8;1;38644
1;38644;7;9;3;2;10;5;11;4;1;6;12;8
7;6;3;2;10;5;11;4;1;9;12;8;1;51498
2;51498;7;6;3;2;10;5;11;4;1;9;12;8
7;6;3;2;10;5;11;1;4;9;12;8;2;60106
2;51498;7;6;3;2;10;5;11;4;1;9;12;8
5;6;3;2;10;7;11;4;1;9;12;8;2;53500
2;53500;5;6;3;2;10;7;11;4;1;9;12;8
5;6;12;2;10;7;11;4;1;9;3;8;2;52618
2;52618;5;6;12;2;10;7;11;4;1;9;3;8
5;6;9;2;10;7;11;4;1;12;3;8;2;64054
2;64054;5;6;9;2;10;7;11;4;1;12;3;8
5;6;9;2;1;7;11;4;10;12;3;8;2;68162
2;68162;5;6;9;2;1;7;11;4;10;12;3;8
5;6;9;2;4;7;11;1;10;12;3;8;2;74350
2;74350;5;6;9;2;4;7;11;1;10;12;3;8
5;12;9;2;4;7;11;1;10;6;3;8;2;59860
2;59860;5;12;9;2;4;7;11;1;10;6;3;8
5;12;9;2;4;7;11;10;1;6;3;8;2;55514
2;55514;5;12;9;2;4;7;11;10;1;6;3;8
5;12;9;2;4;7;11;3;1;6;10;8;2;61784
2;61784;5;12;9;2;4;7;11;3;1;6;10;8
5;11;9;2;4;7;12;3;1;6;10;8;2;52036
2;52036;5;11;9;2;4;7;12;3;1;6;10;8
5;11;6;2;4;7;12;3;1;9;10;8;2;46554
2;46554;5;11;6;2;4;7;12;3;1;9;10;8
5;11;6;10;4;7;12;3;1;9;2;8;2;44252
2;44252;5;11;6;10;4;7;12;3;1;9;2;8
5;11;6;10;4;8;12;3;1;9;2;7;2;36420
2;36420;5;11;6;10;4;8;12;3;1;9;2;7
5;11;7;10;4;8;12;3;1;9;2;6;2;34370
2;34370;5;11;7;10;4;8;12;3;1;9;2;6
5;11;4;10;7;8;12;3;1;9;2;6;2;29874
2;29874;5;11;4;10;7;8;12;3;1;9;2;6
9;11;4;10;7;8;12;3;1;5;2;6;2;30258
2;30258;9;11;4;10;7;8;12;3;1;5;2;6
9;11;4;10;5;8;12;3;1;7;2;6;2;45368
2;30258;9;11;4;10;7;8;12;3;1;5;2;6
9;11;6;10;7;8;12;3;1;5;2;4;2;32204
2;32204;9;11;6;10;7;8;12;3;1;5;2;4
9;11;6;10;5;8;12;3;1;7;2;4;2;41468
2;41468;9;11;6;10;5;8;12;3;1;7;2;4
9;2;6;10;5;8;12;3;1;7;11;4;2;52416
3;41468;9;11;6;10;5;8;12;3;1;7;2;4
9;11;6;10;5;8;2;3;1;7;12;4;3;46138
3;46138;9;11;6;10;5;8;2;3;1;7;12;4
9;8;6;10;5;11;2;3;1;7;12;4;3;47062
3;47062;9;8;6;10;5;11;2;3;1;7;12;4
9;8;6;10;12;11;2;3;1;7;5;4;3;41276
3;41276;9;8;6;10;12;11;2;3;1;7;5;4
9;5;6;10;12;11;2;3;1;7;8;4;3;43826
3;43826;9;5;6;10;12;11;2;3;1;7;8;4
9;2;6;10;12;11;5;3;1;7;8;4;3;49782
3;49782;9;2;6;10;12;11;5;3;1;7;8;4
5;2;6;10;12;11;9;3;1;7;8;4;3;60340
3;60340;5;2;6;10;12;11;9;3;1;7;8;4
5;2;6;10;12;11;9;3;8;7;1;4;3;60278
3;60278;5;2;6;10;12;11;9;3;8;7;1;4
7;2;6;10;12;11;9;3;8;5;1;4;3;40796
3;40796;7;2;6;10;12;11;9;3;8;5;1;4
3;2;6;10;12;11;9;7;8;5;1;4;3;52100
3;52100;3;2;6;10;12;11;9;7;8;5;1;4
3;2;6;10;4;11;9;7;8;5;1;12;3;47230
3;47230;3;2;6;10;4;11;9;7;8;5;1;12
3;2;6;11;4;10;9;7;8;5;1;12;3;40742
3;40742;3;2;6;11;4;10;9;7;8;5;1;12
3;1;6;11;4;10;9;7;8;5;2;12;3;35122
3;35122;3;1;6;11;4;10;9;7;8;5;2;12
3;1;5;11;4;10;9;7;8;6;2;12;3;46810
3;46810;3;1;5;11;4;10;9;7;8;6;2;12
3;1;5;11;4;10;6;7;8;9;2;12;3;34400
3;34400;3;1;5;11;4;10;6;7;8;9;2;12
10;1;5;11;4;3;6;7;8;9;2;12;3;37538
3;37538;10;1;5;11;4;3;6;7;8;9;2;12
10;1;5;11;4;3;6;7;8;9;12;2;3;37802
3;37538;10;1;5;11;4;3;6;7;8;9;2;12
10;1;5;11;4;3;6;12;8;9;2;7;3;39574
3;39574;10;1;5;11;4;3;6;12;8;9;2;7
10;1;5;11;4;3;7;12;8;9;2;6;3;36728
3;36728;10;1;5;11;4;3;7;12;8;9;2;6
1;10;5;11;4;3;7;12;8;9;2;6;3;35824
3;35824;1;10;5;11;4;3;7;12;8;9;2;6
4;10;5;11;1;3;7;12;8;9;2;6;3;43096
4;35824;1;10;5;11;4;3;7;12;8;9;2;6
1;10;6;11;4;3;7;12;8;9;2;5;4;42284
4;42284;1;10;6;11;4;3;7;12;8;9;2;5
1;10;6;11;4;3;8;12;7;9;2;5;4;37352
4;37352;1;10;6;11;4;3;8;12;7;9;2;5
2;10;6;11;4;3;8;12;7;9;1;5;4;43006
4;43006;2;10;6;11;4;3;8;12;7;9;1;5
2;7;6;11;4;3;8;12;10;9;1;5;4;40428
4;40428;2;7;6;11;4;3;8;12;10;9;1;5
2;7;6;11;4;3;8;9;10;12;1;5;4;40556
4;40556;2;7;6;11;4;3;8;9;10;12;1;5
