"X1";"X5717409";"X24";"X19";"X17";"X23";"X15";"X21";"X6";"X16";"X22";"X20";"X5";"X18";"X11";"X26";"X13";"X9";"X14";"X12";"X10";"X3";"X2";"X4";"X7";"X1.1";"X25";"X8"
1;5717409;24;19;17;23;15;21;6;16;22;20;5;18;11;26;13;9;14;12;10;3;2;4;7;1;25;8
24;8;17;23;15;21;6;16;22;20;5;18;11;26;13;9;14;12;10;3;2;4;7;1;25;19;1;5794176
1;5794176;24;8;17;23;15;21;6;16;22;20;5;18;11;26;13;9;14;12;10;3;2;4;7;1;25;19
24;8;7;23;15;21;6;16;22;20;5;18;11;26;13;9;14;12;10;3;2;4;17;1;25;19;1;5789660
1;5789660;24;8;7;23;15;21;6;16;22;20;5;18;11;26;13;9;14;12;10;3;2;4;17;1;25;19
24;8;7;23;15;21;6;16;22;20;4;18;11;26;13;9;14;12;10;3;2;5;17;1;25;19;1;6009144
1;6009144;24;8;7;23;15;21;6;16;22;20;4;18;11;26;13;9;14;12;10;3;2;5;17;1;25;19
24;8;7;23;15;21;6;1;22;20;4;18;11;26;13;9;14;12;10;3;2;5;17;16;25;19;1;5990164
1;5990164;24;8;7;23;15;21;6;1;22;20;4;18;11;26;13;9;14;12;10;3;2;5;17;16;25;19
24;8;22;23;15;21;6;1;7;20;4;18;11;26;13;9;14;12;10;3;2;5;17;16;25;19;1;5971907
1;5971907;24;8;22;23;15;21;6;1;7;20;4;18;11;26;13;9;14;12;10;3;2;5;17;16;25;19
24;8;22;23;15;21;6;1;7;9;4;18;11;26;13;20;14;12;10;3;2;5;17;16;25;19;1;5947999
1;5947999;24;8;22;23;15;21;6;1;7;9;4;18;11;26;13;20;14;12;10;3;2;5;17;16;25;19
24;8;22;23;15;21;6;1;7;9;4;18;20;26;13;11;14;12;10;3;2;5;17;16;25;19;1;5917601
1;5917601;24;8;22;23;15;21;6;1;7;9;4;18;20;26;13;11;14;12;10;3;2;5;17;16;25;19
24;8;22;23;15;21;14;1;7;9;4;18;20;26;13;11;6;12;10;3;2;5;17;16;25;19;1;5955470
1;5955470;24;8;22;23;15;21;14;1;7;9;4;18;20;26;13;11;6;12;10;3;2;5;17;16;25;19
24;8;22;23;11;21;14;1;7;9;4;18;20;26;13;15;6;12;10;3;2;5;17;16;25;19;1;5943844
1;5943844;24;8;22;23;11;21;14;1;7;9;4;18;20;26;13;15;6;12;10;3;2;5;17;16;25;19
24;8;22;23;11;21;14;1;7;19;4;18;20;26;13;15;6;12;10;3;2;5;17;16;25;9;1;5972028
1;5972028;24;8;22;23;11;21;14;1;7;19;4;18;20;26;13;15;6;12;10;3;2;5;17;16;25;9
24;8;22;23;11;21;18;1;7;19;4;14;20;26;13;15;6;12;10;3;2;5;17;16;25;9;1;5871153
1;5871153;24;8;22;23;11;21;18;1;7;19;4;14;20;26;13;15;6;12;10;3;2;5;17;16;25;9
24;8;22;23;12;21;18;1;7;19;4;14;20;26;13;15;6;11;10;3;2;5;17;16;25;9;1;5865499
1;5865499;24;8;22;23;12;21;18;1;7;19;4;14;20;26;13;15;6;11;10;3;2;5;17;16;25;9
24;8;22;23;13;21;18;1;7;19;4;14;20;26;12;15;6;11;10;3;2;5;17;16;25;9;1;5865185
1;5865185;24;8;22;23;13;21;18;1;7;19;4;14;20;26;12;15;6;11;10;3;2;5;17;16;25;9
24;8;22;23;13;21;18;1;7;19;4;14;20;2;12;15;6;11;10;3;26;5;17;16;25;9;1;5866073
1;5866073;24;8;22;23;13;21;18;1;7;19;4;14;20;2;12;15;6;11;10;3;26;5;17;16;25;9
24;8;22;23;13;21;18;1;7;19;4;14;20;2;16;15;6;11;10;3;26;5;17;12;25;9;1;5875219
1;5875219;24;8;22;23;13;21;18;1;7;19;4;14;20;2;16;15;6;11;10;3;26;5;17;12;25;9
24;8;22;23;13;21;18;1;7;19;4;14;20;2;16;15;6;11;10;25;26;5;17;12;3;9;1;5886466
1;5886466;24;8;22;23;13;21;18;1;7;19;4;14;20;2;16;15;6;11;10;25;26;5;17;12;3;9
24;8;22;23;13;21;18;1;7;19;4;9;20;2;16;15;6;11;10;25;26;5;17;12;3;14;1;5966217
1;5966217;24;8;22;23;13;21;18;1;7;19;4;9;20;2;16;15;6;11;10;25;26;5;17;12;3;14
24;8;22;23;13;21;18;1;7;19;4;9;20;25;16;15;6;11;10;2;26;5;17;12;3;14;1;5974416
1;5974416;24;8;22;23;13;21;18;1;7;19;4;9;20;25;16;15;6;11;10;2;26;5;17;12;3;14
24;8;22;23;13;21;5;1;7;19;4;9;20;25;16;15;6;11;10;2;26;18;17;12;3;14;1;5939195
1;5939195;24;8;22;23;13;21;5;1;7;19;4;9;20;25;16;15;6;11;10;2;26;18;17;12;3;14
24;8;22;23;13;15;5;1;7;19;4;9;20;25;16;21;6;11;10;2;26;18;17;12;3;14;1;5928891
2;5928891;24;8;22;23;13;15;5;1;7;19;4;9;20;25;16;21;6;11;10;2;26;18;17;12;3;14
24;8;22;23;13;15;5;1;7;19;4;9;20;25;2;21;6;11;10;16;26;18;17;12;3;14;2;5927314
2;5927314;24;8;22;23;13;15;5;1;7;19;4;9;20;25;2;21;6;11;10;16;26;18;17;12;3;14
24;8;22;20;13;15;5;1;7;19;4;9;23;25;2;21;6;11;10;16;26;18;17;12;3;14;2;5961085
2;5961085;24;8;22;20;13;15;5;1;7;19;4;9;23;25;2;21;6;11;10;16;26;18;17;12;3;14
24;3;22;20;13;15;5;1;7;19;4;9;23;25;2;21;6;11;10;16;26;18;17;12;8;14;2;5976180
2;5976180;24;3;22;20;13;15;5;1;7;19;4;9;23;25;2;21;6;11;10;16;26;18;17;12;8;14
24;3;25;20;13;15;5;1;7;19;4;9;23;22;2;21;6;11;10;16;26;18;17;12;8;14;2;5974742
2;5974742;24;3;25;20;13;15;5;1;7;19;4;9;23;22;2;21;6;11;10;16;26;18;17;12;8;14
24;3;25;20;2;15;5;1;7;19;4;9;23;22;13;21;6;11;10;16;26;18;17;12;8;14;2;5976293
2;5976293;24;3;25;20;2;15;5;1;7;19;4;9;23;22;13;21;6;11;10;16;26;18;17;12;8;14
24;3;25;26;2;15;5;1;7;19;4;9;23;22;13;21;6;11;10;16;20;18;17;12;8;14;2;5986782
2;5986782;24;3;25;26;2;15;5;1;7;19;4;9;23;22;13;21;6;11;10;16;20;18;17;12;8;14
24;3;25;26;13;15;5;1;7;19;4;9;23;22;2;21;6;11;10;16;20;18;17;12;8;14;2;5985112
2;5985112;24;3;25;26;13;15;5;1;7;19;4;9;23;22;2;21;6;11;10;16;20;18;17;12;8;14
24;3;25;20;13;15;5;1;7;19;4;9;23;22;2;21;6;11;10;16;26;18;17;12;8;14;2;5974742
2;5974742;24;3;25;20;13;15;5;1;7;19;4;9;23;22;2;21;6;11;10;16;26;18;17;12;8;14
24;3;18;20;13;15;5;1;7;19;4;9;23;22;2;21;6;11;10;16;26;25;17;12;8;14;2;5967084
2;5967084;24;3;18;20;13;15;5;1;7;19;4;9;23;22;2;21;6;11;10;16;26;25;17;12;8;14
24;3;18;20;13;15;5;1;22;19;4;9;23;7;2;21;6;11;10;16;26;25;17;12;8;14;2;5933450
2;5933450;24;3;18;20;13;15;5;1;22;19;4;9;23;7;2;21;6;11;10;16;26;25;17;12;8;14
24;3;18;20;13;15;5;1;22;19;4;9;23;7;2;21;6;25;10;16;26;11;17;12;8;14;2;5942771
2;5942771;24;3;18;20;13;15;5;1;22;19;4;9;23;7;2;21;6;25;10;16;26;11;17;12;8;14
24;3;18;20;13;15;5;1;22;19;4;23;9;7;2;21;6;25;10;16;26;11;17;12;8;14;2;5951820
2;5942771;24;3;18;20;13;15;5;1;22;19;4;9;23;7;2;21;6;25;10;16;26;11;17;12;8;14
24;3;18;20;13;15;23;1;22;19;4;9;5;7;2;21;6;25;10;16;26;11;17;12;8;14;2;5783062
2;5783062;24;3;18;20;13;15;23;1;22;19;4;9;5;7;2;21;6;25;10;16;26;11;17;12;8;14
24;3;18;20;13;15;23;1;22;19;4;9;5;7;2;21;6;25;10;16;26;14;17;12;8;11;2;5842440
2;5842440;24;3;18;20;13;15;23;1;22;19;4;9;5;7;2;21;6;25;10;16;26;14;17;12;8;11
24;3;18;20;13;15;23;1;25;19;4;9;5;7;2;21;6;22;10;16;26;14;17;12;8;11;2;5842033
2;5842033;24;3;18;20;13;15;23;1;25;19;4;9;5;7;2;21;6;22;10;16;26;14;17;12;8;11
24;3;18;20;13;11;23;1;25;19;4;9;5;7;2;21;6;22;10;16;26;14;17;12;8;15;2;5847682
2;5847682;24;3;18;20;13;11;23;1;25;19;4;9;5;7;2;21;6;22;10;16;26;14;17;12;8;15
24;3;18;20;13;11;23;1;6;19;4;9;5;7;2;21;25;22;10;16;26;14;17;12;8;15;2;5850252
2;5850252;24;3;18;20;13;11;23;1;6;19;4;9;5;7;2;21;25;22;10;16;26;14;17;12;8;15
24;3;18;20;13;11;23;1;6;19;4;9;5;7;2;21;25;22;10;16;26;14;8;12;17;15;2;5944360
2;5944360;24;3;18;20;13;11;23;1;6;19;4;9;5;7;2;21;25;22;10;16;26;14;8;12;17;15
24;3;18;20;13;11;23;1;6;19;4;9;5;7;25;21;2;22;10;16;26;14;8;12;17;15;2;5938757
2;5938757;24;3;18;20;13;11;23;1;6;19;4;9;5;7;25;21;2;22;10;16;26;14;8;12;17;15
24;3;18;20;13;11;23;1;6;19;4;9;5;7;25;21;2;22;10;8;26;14;16;12;17;15;2;5926700
3;5926700;24;3;18;20;13;11;23;1;6;19;4;9;5;7;25;21;2;22;10;8;26;14;16;12;17;15
24;3;18;20;13;11;23;1;6;19;4;17;5;7;25;21;2;22;10;8;26;14;16;12;9;15;3;5899825
3;5899825;24;3;18;20;13;11;23;1;6;19;4;17;5;7;25;21;2;22;10;8;26;14;16;12;9;15
19;3;18;20;13;11;23;1;6;24;4;17;5;7;25;21;2;22;10;8;26;14;16;12;9;15;3;5933497
3;5933497;19;3;18;20;13;11;23;1;6;24;4;17;5;7;25;21;2;22;10;8;26;14;16;12;9;15
19;3;14;20;13;11;23;1;6;24;4;17;5;7;25;21;2;22;10;8;26;18;16;12;9;15;3;5940280
3;5940280;19;3;14;20;13;11;23;1;6;24;4;17;5;7;25;21;2;22;10;8;26;18;16;12;9;15
19;3;14;20;13;11;23;1;6;24;4;17;21;7;25;5;2;22;10;8;26;18;16;12;9;15;3;5852132
3;5852132;19;3;14;20;13;11;23;1;6;24;4;17;21;7;25;5;2;22;10;8;26;18;16;12;9;15
19;3;14;20;13;11;23;1;2;24;4;17;21;7;25;5;6;22;10;8;26;18;16;12;9;15;3;5854321
3;5854321;19;3;14;20;13;11;23;1;2;24;4;17;21;7;25;5;6;22;10;8;26;18;16;12;9;15
19;3;14;20;21;11;23;1;2;24;4;17;13;7;25;5;6;22;10;8;26;18;16;12;9;15;3;5869698
3;5869698;19;3;14;20;21;11;23;1;2;24;4;17;13;7;25;5;6;22;10;8;26;18;16;12;9;15
19;3;14;20;21;11;23;1;2;24;4;17;13;7;15;5;6;22;10;8;26;18;16;12;9;25;3;5898884
3;5898884;19;3;14;20;21;11;23;1;2;24;4;17;13;7;15;5;6;22;10;8;26;18;16;12;9;25
