"X1";"X54900";"X10";"X9";"X12";"X5";"X2";"X1.1";"X4";"X7";"X6";"X11";"X3";"X8"
1;54900;10;9;12;5;2;1;4;7;6;11;3;8
10;9;12;5;2;1;4;11;6;7;3;8;1;59324
1;59324;10;9;12;5;2;1;4;11;6;7;3;8
10;7;12;5;2;1;4;11;6;9;3;8;1;31314
1;31314;10;7;12;5;2;1;4;11;6;9;3;8
10;7;12;5;2;8;4;11;6;9;3;1;1;46894
1;46894;10;7;12;5;2;8;4;11;6;9;3;1
10;9;12;5;2;8;4;11;6;7;3;1;1;47654
1;47654;10;9;12;5;2;8;4;11;6;7;3;1
10;9;4;5;2;8;12;11;6;7;3;1;1;48494
1;48494;10;9;4;5;2;8;12;11;6;7;3;1
10;6;4;5;2;8;12;11;9;7;3;1;1;46984
1;46984;10;6;4;5;2;8;12;11;9;7;3;1
10;6;4;5;2;8;1;11;9;7;3;12;1;45988
1;45988;10;6;4;5;2;8;1;11;9;7;3;12
10;4;6;5;2;8;1;11;9;7;3;12;1;42604
1;42604;10;4;6;5;2;8;1;11;9;7;3;12
12;4;6;5;2;8;1;11;9;7;3;10;1;49012
1;49012;12;4;6;5;2;8;1;11;9;7;3;10
12;4;6;7;2;8;1;11;9;5;3;10;1;37796
1;37796;12;4;6;7;2;8;1;11;9;5;3;10
12;4;11;7;2;8;1;6;9;5;3;10;1;47452
1;47452;12;4;11;7;2;8;1;6;9;5;3;10
12;4;7;11;2;8;1;6;9;5;3;10;1;48106
1;48106;12;4;7;11;2;8;1;6;9;5;3;10
12;4;2;11;7;8;1;6;9;5;3;10;1;48360
1;48360;12;4;2;11;7;8;1;6;9;5;3;10
12;4;2;11;7;3;1;6;9;5;8;10;1;43616
1;43616;12;4;2;11;7;3;1;6;9;5;8;10
12;4;2;7;11;3;1;6;9;5;8;10;1;42856
1;42856;12;4;2;7;11;3;1;6;9;5;8;10
12;4;2;7;11;6;1;3;9;5;8;10;1;31322
1;31322;12;4;2;7;11;6;1;3;9;5;8;10
12;5;2;7;11;6;1;3;9;4;8;10;1;43334
1;43334;12;5;2;7;11;6;1;3;9;4;8;10
12;5;2;6;11;7;1;3;9;4;8;10;1;32806
1;32806;12;5;2;6;11;7;1;3;9;4;8;10
12;5;2;6;11;7;1;3;8;4;9;10;1;32902
1;32902;12;5;2;6;11;7;1;3;8;4;9;10
12;2;5;6;11;7;1;3;8;4;9;10;1;30082
2;30082;12;2;5;6;11;7;1;3;8;4;9;10
12;7;5;6;11;2;1;3;8;4;9;10;2;30252
2;30252;12;7;5;6;11;2;1;3;8;4;9;10
11;7;5;6;12;2;1;3;8;4;9;10;2;30688
2;30688;11;7;5;6;12;2;1;3;8;4;9;10
10;7;5;6;12;2;1;3;8;4;9;11;2;32620
2;32620;10;7;5;6;12;2;1;3;8;4;9;11
10;7;3;6;12;2;1;5;8;4;9;11;2;47084
2;47084;10;7;3;6;12;2;1;5;8;4;9;11
10;7;3;6;12;9;1;5;8;4;2;11;2;49868
2;49868;10;7;3;6;12;9;1;5;8;4;2;11
2;7;3;6;12;9;1;5;8;4;10;11;2;45584
2;45584;2;7;3;6;12;9;1;5;8;4;10;11
2;7;4;6;12;9;1;5;8;3;10;11;2;29052
2;29052;2;7;4;6;12;9;1;5;8;3;10;11
12;7;4;6;2;9;1;5;8;3;10;11;2;30208
2;30208;12;7;4;6;2;9;1;5;8;3;10;11
12;7;5;6;2;9;1;4;8;3;10;11;2;33856
2;33856;12;7;5;6;2;9;1;4;8;3;10;11
12;7;8;6;2;9;1;4;5;3;10;11;2;31236
2;31236;12;7;8;6;2;9;1;4;5;3;10;11
12;7;11;6;2;9;1;4;5;3;10;8;2;32404
2;32404;12;7;11;6;2;9;1;4;5;3;10;8
12;8;11;6;2;9;1;4;5;3;10;7;2;41136
2;32404;12;7;11;6;2;9;1;4;5;3;10;8
12;7;1;6;2;9;11;4;5;3;10;8;2;32600
2;32600;12;7;1;6;2;9;11;4;5;3;10;8
12;7;1;6;2;9;11;10;5;3;4;8;2;44458
2;44458;12;7;1;6;2;9;11;10;5;3;4;8
12;7;4;6;2;9;11;10;5;3;1;8;2;44422
2;44422;12;7;4;6;2;9;11;10;5;3;1;8
9;7;4;6;2;12;11;10;5;3;1;8;2;43552
2;43552;9;7;4;6;2;12;11;10;5;3;1;8
7;9;4;6;2;12;11;10;5;3;1;8;2;45266
2;45266;7;9;4;6;2;12;11;10;5;3;1;8
7;9;4;6;10;12;11;2;5;3;1;8;2;45520
2;45520;7;9;4;6;10;12;11;2;5;3;1;8
7;9;5;6;10;12;11;2;4;3;1;8;2;41288
2;41288;7;9;5;6;10;12;11;2;4;3;1;8
7;9;5;6;10;12;11;2;4;1;3;8;2;31526
3;31526;7;9;5;6;10;12;11;2;4;1;3;8
7;9;5;11;10;12;6;2;4;1;3;8;3;32754
3;32754;7;9;5;11;10;12;6;2;4;1;3;8
7;9;5;11;10;12;6;3;4;1;2;8;3;34462
3;34462;7;9;5;11;10;12;6;3;4;1;2;8
7;11;5;9;10;12;6;3;4;1;2;8;3;34636
3;34636;7;11;5;9;10;12;6;3;4;1;2;8
7;11;5;9;10;2;6;3;4;1;12;8;3;48172
3;34636;7;11;5;9;10;12;6;3;4;1;2;8
7;11;5;9;10;1;6;3;4;12;2;8;3;44578
3;44578;7;11;5;9;10;1;6;3;4;12;2;8
7;11;5;9;10;1;8;3;4;12;2;6;3;39354
3;39354;7;11;5;9;10;1;8;3;4;12;2;6
11;7;5;9;10;1;8;3;4;12;2;6;3;38100
3;38100;11;7;5;9;10;1;8;3;4;12;2;6
11;7;5;3;10;1;8;9;4;12;2;6;3;35142
3;35142;11;7;5;3;10;1;8;9;4;12;2;6
11;7;8;3;10;1;5;9;4;12;2;6;3;34318
3;34318;11;7;8;3;10;1;5;9;4;12;2;6
8;7;11;3;10;1;5;9;4;12;2;6;3;33334
3;33334;8;7;11;3;10;1;5;9;4;12;2;6
8;7;11;5;10;1;3;9;4;12;2;6;3;34180
3;34180;8;7;11;5;10;1;3;9;4;12;2;6
8;4;11;5;10;1;3;9;7;12;2;6;3;29108
3;29108;8;4;11;5;10;1;3;9;7;12;2;6
8;4;11;5;10;1;3;12;7;9;2;6;3;28732
3;28732;8;4;11;5;10;1;3;12;7;9;2;6
8;4;11;5;10;2;3;12;7;9;1;6;3;29140
3;29140;8;4;11;5;10;2;3;12;7;9;1;6
8;4;3;5;10;2;11;12;7;9;1;6;3;31600
3;31600;8;4;3;5;10;2;11;12;7;9;1;6
8;4;3;5;1;2;11;12;7;9;10;6;3;33608
3;33608;8;4;3;5;1;2;11;12;7;9;10;6
8;4;3;5;7;2;11;12;1;9;10;6;3;38182
3;38182;8;4;3;5;7;2;11;12;1;9;10;6
8;4;3;5;7;10;11;12;1;9;2;6;3;41534
3;41534;8;4;3;5;7;10;11;12;1;9;2;6
8;4;3;5;7;10;12;11;1;9;2;6;3;42866
3;42866;8;4;3;5;7;10;12;11;1;9;2;6
8;4;3;5;10;7;12;11;1;9;2;6;3;36392
4;36392;8;4;3;5;10;7;12;11;1;9;2;6
8;4;3;1;10;7;12;11;5;9;2;6;4;39746
4;39746;8;4;3;1;10;7;12;11;5;9;2;6
8;4;3;1;10;7;12;11;5;2;9;6;4;48094
4;39746;8;4;3;1;10;7;12;11;5;9;2;6
8;4;3;12;10;7;1;11;5;9;2;6;4;41394
4;39746;8;4;3;1;10;7;12;11;5;9;2;6
8;4;3;11;10;7;12;1;5;9;2;6;4;46552
4;46552;8;4;3;11;10;7;12;1;5;9;2;6
7;4;3;11;10;8;12;1;5;9;2;6;4;48264
4;48264;7;4;3;11;10;8;12;1;5;9;2;6
7;4;3;11;10;1;12;8;5;9;2;6;4;39524
4;39524;7;4;3;11;10;1;12;8;5;9;2;6
9;4;3;11;10;1;12;8;5;7;2;6;4;53680
4;53680;9;4;3;11;10;1;12;8;5;7;2;6
9;4;7;11;10;1;12;8;5;3;2;6;4;49002
4;49002;9;4;7;11;10;1;12;8;5;3;2;6
9;4;7;11;10;1;12;8;6;3;2;5;4;40734
4;40734;9;4;7;11;10;1;12;8;6;3;2;5
8;4;7;11;10;1;12;9;6;3;2;5;4;35698
4;35698;8;4;7;11;10;1;12;9;6;3;2;5
8;6;7;11;10;1;12;9;4;3;2;5;4;45068
