"X27L";"X58L";"X25L";"X13L";"X34L";"X23L";"X40L";"X29L";"X64L";"X49L";"X60L";"X6L";"X20L";"X7L";"X9L";"X43L";"X44L";"X33L";"X39L";"X10L";"X19L";"X16L";"X24L";"X57L";"X47L";"X59L";"X61L";"X62L";"X4L";"X63L";"X42L";"X30L";"X15L";"X2L";"X45L";"X37L";"X21L";"X11L";"X46L";"X50L";"X35L";"X52L";"X56L";"X8L";"X48L";"X14L";"X1L";"X53L";"X51L";"X38L";"X36L";"X32L";"X55L";"X3L";"X12L";"X17L";"X18L";"X41L";"X54L";"X31L";"X28L";"X26L";"X22L";"X5L"
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;43;44;33;39;10;19;16;24;57;47;59;61;62;4;63;42;30;15;2;45;37;21;11;46;50;35;52;56;8;48;14;1;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;43;44;33;39;10;19;16;24;57;47;59;61;62;4;63;42;30;15;2;45;37;21;11;46;50;35;52;56;8;48;1;14;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;43;44;33;39;10;19;16;24;57;47;59;61;62;4;63;42;30;15;2;45;37;21;11;46;50;35;52;56;8;48;1;14;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;43;44;33;39;10;19;16;24;1;47;59;61;62;4;63;42;30;15;2;45;37;21;11;46;50;35;52;56;8;48;57;14;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;43;44;33;39;10;19;16;24;1;47;59;61;62;4;63;42;30;15;2;45;37;21;11;46;50;35;52;56;8;48;57;14;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;43;44;33;39;10;19;16;24;1;47;59;61;62;4;63;42;30;15;2;45;37;21;11;46;50;35;52;56;8;14;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;43;44;33;39;10;19;16;24;1;47;59;61;62;4;63;42;30;15;2;45;37;21;11;46;50;35;52;56;8;14;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;4;63;42;30;15;43;45;37;21;11;46;50;35;52;56;8;14;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;58;25;13;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;4;63;42;30;15;43;45;37;21;11;46;50;35;52;56;8;14;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;4;25;13;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;63;42;30;15;43;45;37;21;11;46;50;35;52;56;8;14;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;4;25;13;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;63;42;30;15;43;45;37;21;11;46;50;35;52;56;8;14;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;4;25;8;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;63;42;30;15;43;45;37;21;11;46;50;35;52;56;13;14;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
27;4;25;8;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;63;42;30;15;43;45;37;21;11;46;50;35;52;56;13;14;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
14;4;25;8;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;63;42;30;15;43;45;37;21;11;46;50;35;52;56;13;27;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
14;4;25;8;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;63;42;30;15;43;45;37;21;11;46;50;35;52;56;13;27;57;48;53;51;38;36;32;55;3;12;17;18;41;54;31;28;26;22;5
14;4;25;8;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;17;42;30;15;43;45;37;21;11;46;50;35;52;56;13;27;57;48;53;51;38;36;32;55;3;12;63;18;41;54;31;28;26;22;5
14;4;25;8;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;17;42;30;15;43;45;37;21;11;46;50;35;52;56;13;27;57;48;53;51;38;36;32;55;3;12;63;18;41;54;31;28;26;22;5
14;21;25;8;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;17;42;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;48;53;51;38;36;32;55;3;12;63;18;41;54;31;28;26;22;5
14;21;25;8;34;23;40;29;64;49;60;6;20;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;17;42;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;48;53;51;38;36;32;55;3;12;63;18;41;54;31;28;26;22;5
14;21;25;8;34;23;40;29;64;49;20;6;60;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;17;42;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;48;53;51;38;36;32;55;3;12;63;18;41;54;31;28;26;22;5
14;21;25;8;34;23;40;29;64;49;20;6;60;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;17;42;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;48;53;51;38;36;32;55;3;12;63;18;41;54;31;28;26;22;5
14;21;25;8;34;23;40;29;64;48;20;6;60;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;17;42;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;3;12;63;18;41;54;31;28;26;22;5
14;21;25;8;34;23;40;29;64;48;20;6;60;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;58;17;42;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;3;12;63;18;41;54;31;28;26;22;5
14;21;25;8;34;23;40;29;64;48;20;6;60;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;26;17;42;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;3;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;6;60;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;26;17;42;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;3;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;26;17;6;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;3;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;9;2;44;33;39;10;19;16;24;1;47;59;61;62;26;17;6;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;3;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;9;2;44;33;39;10;19;16;24;1;47;6;61;62;26;17;59;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;3;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;9;2;44;33;39;10;19;16;24;1;47;6;61;62;26;17;59;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;3;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;6;61;62;26;17;59;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;9;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;6;61;62;26;17;59;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;32;55;9;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;32;61;62;26;17;59;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;6;55;9;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;32;61;62;26;17;59;30;15;43;45;37;4;11;46;50;35;52;56;13;27;57;49;53;51;38;36;6;55;9;12;63;18;41;54;31;28;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;32;61;62;26;17;59;30;15;43;45;37;4;11;46;50;35;52;28;13;27;57;49;53;51;38;36;6;55;9;12;63;18;41;54;31;56;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;32;61;62;26;17;59;30;15;43;45;37;4;11;46;50;35;52;28;13;27;57;49;53;51;38;36;6;55;9;12;63;18;41;54;31;56;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;32;61;62;26;17;59;30;15;43;45;37;4;53;46;50;35;52;28;13;27;57;49;11;51;38;36;6;55;9;12;63;18;41;54;31;56;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;32;61;62;26;17;59;30;15;43;45;37;4;53;46;50;35;52;28;13;27;57;49;11;51;38;36;6;55;9;12;63;18;41;54;31;56;58;22;5
14;21;25;8;34;23;40;29;64;48;20;42;60;7;3;2;44;33;39;10;19;16;24;1;47;32;61;62;26;17;59;30;15;43;45;54;4;53;46;50;35;52;28;13;27;57;49;11;51;38;36;6;55;9;12;63;18;41;37;31;56;58;22;5
