"X1";"X48892";"X1.1";"X2";"X7";"X3";"X11";"X8";"X4";"X6";"X12";"X9";"X5";"X10"
1;48892;1;2;7;3;11;8;4;6;12;9;5;10
1;2;7;12;11;8;4;6;3;9;5;10;1;46922
1;46922;1;2;7;12;11;8;4;6;3;9;5;10
1;2;7;5;11;8;4;6;3;9;12;10;1;48340
1;48340;1;2;7;5;11;8;4;6;3;9;12;10
12;2;7;5;11;8;4;6;3;9;1;10;1;46752
1;46752;12;2;7;5;11;8;4;6;3;9;1;10
12;2;1;5;11;8;4;6;3;9;7;10;1;46336
1;46336;12;2;1;5;11;8;4;6;3;9;7;10
12;2;1;6;11;8;4;5;3;9;7;10;1;51284
1;51284;12;2;1;6;11;8;4;5;3;9;7;10
9;2;1;6;11;8;4;5;3;12;7;10;1;54402
1;54402;9;2;1;6;11;8;4;5;3;12;7;10
9;2;1;6;11;4;8;5;3;12;7;10;1;47160
1;47160;9;2;1;6;11;4;8;5;3;12;7;10
9;2;7;6;11;4;8;5;3;12;1;10;1;46868
1;46868;9;2;7;6;11;4;8;5;3;12;1;10
6;2;7;9;11;4;8;5;3;12;1;10;1;48874
1;48874;6;2;7;9;11;4;8;5;3;12;1;10
6;2;7;9;11;4;8;5;3;10;1;12;1;37354
1;37354;6;2;7;9;11;4;8;5;3;10;1;12
6;2;7;9;3;4;8;5;11;10;1;12;1;45326
1;45326;6;2;7;9;3;4;8;5;11;10;1;12
6;2;7;9;3;11;8;5;4;10;1;12;1;51910
1;51910;6;2;7;9;3;11;8;5;4;10;1;12
6;2;12;9;3;11;8;5;4;10;1;7;1;47236
1;47236;6;2;12;9;3;11;8;5;4;10;1;7
12;2;6;9;3;11;8;5;4;10;1;7;1;38438
1;38438;12;2;6;9;3;11;8;5;4;10;1;7
12;2;8;9;3;11;6;5;4;10;1;7;1;38238
1;38238;12;2;8;9;3;11;6;5;4;10;1;7
12;2;8;9;3;11;6;5;4;10;7;1;1;39842
1;39842;12;2;8;9;3;11;6;5;4;10;7;1
12;2;8;1;3;11;6;5;4;10;7;9;1;46172
1;46172;12;2;8;1;3;11;6;5;4;10;7;9
1;2;8;12;3;11;6;5;4;10;7;9;1;44478
1;44478;1;2;8;12;3;11;6;5;4;10;7;9
1;2;8;12;3;11;6;4;5;10;7;9;1;48470
1;48470;1;2;8;12;3;11;6;4;5;10;7;9
3;2;8;12;1;11;6;4;5;10;7;9;1;54298
2;54298;3;2;8;12;1;11;6;4;5;10;7;9
3;2;8;12;6;11;1;4;5;10;7;9;2;56904
2;56904;3;2;8;12;6;11;1;4;5;10;7;9
3;2;12;8;6;11;1;4;5;10;7;9;2;61594
2;56904;3;2;8;12;6;11;1;4;5;10;7;9
3;5;8;12;6;11;1;4;2;10;7;9;2;34138
2;34138;3;5;8;12;6;11;1;4;2;10;7;9
3;5;8;12;6;2;1;4;11;10;7;9;2;50606
2;50606;3;5;8;12;6;2;1;4;11;10;7;9
3;5;7;12;6;2;1;4;11;10;8;9;2;46960
2;46960;3;5;7;12;6;2;1;4;11;10;8;9
6;5;7;12;3;2;1;4;11;10;8;9;2;56106
2;56106;6;5;7;12;3;2;1;4;11;10;8;9
6;5;3;12;7;2;1;4;11;10;8;9;2;57580
2;57580;6;5;3;12;7;2;1;4;11;10;8;9
6;5;3;12;8;2;1;4;11;10;7;9;2;56432
2;56432;6;5;3;12;8;2;1;4;11;10;7;9
6;5;3;12;7;2;1;4;11;10;8;9;2;57580
2;57580;6;5;3;12;7;2;1;4;11;10;8;9
6;5;2;12;7;3;1;4;11;10;8;9;2;42182
2;42182;6;5;2;12;7;3;1;4;11;10;8;9
6;5;2;12;7;3;1;4;11;9;8;10;2;40070
2;40070;6;5;2;12;7;3;1;4;11;9;8;10
6;11;2;12;7;3;1;4;5;9;8;10;2;37018
2;37018;6;11;2;12;7;3;1;4;5;9;8;10
6;11;2;12;7;3;1;10;5;9;8;4;2;40492
2;37018;6;11;2;12;7;3;1;4;5;9;8;10
6;11;2;12;7;4;1;3;5;9;8;10;2;47008
2;47008;6;11;2;12;7;4;1;3;5;9;8;10
6;11;2;12;7;4;9;3;5;1;8;10;2;40598
2;40598;6;11;2;12;7;4;9;3;5;1;8;10
6;11;10;12;7;4;9;3;5;1;8;2;2;43048
2;40598;6;11;2;12;7;4;9;3;5;1;8;10
1;11;2;12;7;4;9;3;5;6;8;10;2;54756
2;54756;1;11;2;12;7;4;9;3;5;6;8;10
1;11;2;12;7;4;9;3;5;10;8;6;2;47844
