"X1";"X49046";"X12";"X3";"X1.1";"X2";"X6";"X8";"X11";"X7";"X4";"X9";"X5";"X10"
1;49046;12;3;1;2;6;8;11;7;4;9;5;10
12;3;7;2;6;8;11;1;4;9;5;10;1;56854
1;56854;12;3;7;2;6;8;11;1;4;9;5;10
12;3;4;2;6;8;11;1;7;9;5;10;1;53964
1;53964;12;3;4;2;6;8;11;1;7;9;5;10
12;9;4;2;6;8;11;1;7;3;5;10;1;39670
1;39670;12;9;4;2;6;8;11;1;7;3;5;10
12;11;4;2;6;8;9;1;7;3;5;10;1;30254
1;30254;12;11;4;2;6;8;9;1;7;3;5;10
1;11;4;2;6;8;9;12;7;3;5;10;1;40998
1;40998;1;11;4;2;6;8;9;12;7;3;5;10
1;11;4;2;6;8;9;12;3;7;5;10;1;32562
1;32562;1;11;4;2;6;8;9;12;3;7;5;10
1;11;4;9;6;8;2;12;3;7;5;10;1;34436
1;34436;1;11;4;9;6;8;2;12;3;7;5;10
1;11;4;3;6;8;2;12;9;7;5;10;1;37070
1;37070;1;11;4;3;6;8;2;12;9;7;5;10
1;11;5;3;6;8;2;12;9;7;4;10;1;38040
1;38040;1;11;5;3;6;8;2;12;9;7;4;10
1;11;5;3;6;8;2;12;9;10;4;7;1;47448
1;47448;1;11;5;3;6;8;2;12;9;10;4;7
1;11;6;3;5;8;2;12;9;10;4;7;1;43582
1;43582;1;11;6;3;5;8;2;12;9;10;4;7
1;11;7;3;5;8;2;12;9;10;4;6;1;44144
1;44144;1;11;7;3;5;8;2;12;9;10;4;6
11;1;7;3;5;8;2;12;9;10;4;6;1;43784
1;43784;11;1;7;3;5;8;2;12;9;10;4;6
11;1;9;3;5;8;2;12;7;10;4;6;1;44176
1;44176;11;1;9;3;5;8;2;12;7;10;4;6
11;1;9;12;5;8;2;3;7;10;4;6;1;38872
1;38872;11;1;9;12;5;8;2;3;7;10;4;6
11;12;9;1;5;8;2;3;7;10;4;6;1;43216
1;43216;11;12;9;1;5;8;2;3;7;10;4;6
11;10;9;1;5;8;2;3;7;12;4;6;1;39512
1;39512;11;10;9;1;5;8;2;3;7;12;4;6
11;10;9;1;5;4;2;3;7;12;8;6;1;47920
1;47920;11;10;9;1;5;4;2;3;7;12;8;6
11;10;9;1;5;3;2;4;7;12;8;6;1;53432
1;53432;11;10;9;1;5;3;2;4;7;12;8;6
5;10;9;1;11;3;2;4;7;12;8;6;1;45050
2;45050;5;10;9;1;11;3;2;4;7;12;8;6
5;10;9;1;11;3;2;6;7;12;8;4;2;39064
2;39064;5;10;9;1;11;3;2;6;7;12;8;4
5;10;9;1;11;3;6;2;7;12;8;4;2;39508
2;39508;5;10;9;1;11;3;6;2;7;12;8;4
5;10;9;1;12;3;6;2;7;11;8;4;2;52612
2;52612;5;10;9;1;12;3;6;2;7;11;8;4
12;10;9;1;5;3;6;2;7;11;8;4;2;66008
2;52612;5;10;9;1;12;3;6;2;7;11;8;4
5;10;9;1;12;3;6;11;7;2;8;4;2;50298
2;50298;5;10;9;1;12;3;6;11;7;2;8;4
5;3;9;1;12;10;6;11;7;2;8;4;2;49124
2;49124;5;3;9;1;12;10;6;11;7;2;8;4
5;3;9;1;2;10;6;11;7;12;8;4;2;42316
2;42316;5;3;9;1;2;10;6;11;7;12;8;4
5;3;9;1;2;10;6;11;7;8;12;4;2;35742
2;35742;5;3;9;1;2;10;6;11;7;8;12;4
5;3;9;1;2;10;6;11;4;8;12;7;2;41782
2;41782;5;3;9;1;2;10;6;11;4;8;12;7
5;3;9;1;6;10;2;11;4;8;12;7;2;39390
2;39390;5;3;9;1;6;10;2;11;4;8;12;7
5;3;2;1;6;10;9;11;4;8;12;7;2;40950
2;40950;5;3;2;1;6;10;9;11;4;8;12;7
5;9;2;1;6;10;3;11;4;8;12;7;2;55334
2;40950;5;3;2;1;6;10;9;11;4;8;12;7
