"X1";"X31528";"X8";"X9";"X10";"X7";"X3";"X12";"X5";"X6";"X2";"X11";"X4";"X1.1"
1;31528;8;9;10;7;3;12;5;6;2;11;4;1
8;9;10;7;3;2;5;6;12;11;4;1;1;34780
1;34780;8;9;10;7;3;2;5;6;12;11;4;1
8;7;10;9;3;2;5;6;12;11;4;1;1;39126
1;39126;8;7;10;9;3;2;5;6;12;11;4;1
8;7;10;9;3;2;5;6;4;11;12;1;1;39124
1;39124;8;7;10;9;3;2;5;6;4;11;12;1
8;5;10;9;3;2;7;6;4;11;12;1;1;39704
1;39704;8;5;10;9;3;2;7;6;4;11;12;1
8;5;10;9;3;2;7;1;4;11;12;6;1;43948
1;43948;8;5;10;9;3;2;7;1;4;11;12;6
8;5;10;9;3;2;7;6;4;11;12;1;1;39704
1;39704;8;5;10;9;3;2;7;6;4;11;12;1
8;5;10;9;3;11;7;6;4;2;12;1;1;35206
1;35206;8;5;10;9;3;11;7;6;4;2;12;1
8;5;10;9;12;11;7;6;4;2;3;1;1;32698
1;32698;8;5;10;9;12;11;7;6;4;2;3;1
10;5;8;9;12;11;7;6;4;2;3;1;1;35570
1;35570;10;5;8;9;12;11;7;6;4;2;3;1
10;5;12;9;8;11;7;6;4;2;3;1;1;27622
1;27622;10;5;12;9;8;11;7;6;4;2;3;1
9;5;12;10;8;11;7;6;4;2;3;1;1;40114
1;27622;10;5;12;9;8;11;7;6;4;2;3;1
10;5;12;9;8;11;7;2;4;6;3;1;1;30350
1;30350;10;5;12;9;8;11;7;2;4;6;3;1
10;5;12;6;8;11;7;2;4;9;3;1;1;25992
1;25992;10;5;12;6;8;11;7;2;4;9;3;1
10;3;12;6;8;11;7;2;4;9;5;1;1;46892
1;46892;10;3;12;6;8;11;7;2;4;9;5;1
10;3;12;6;8;9;7;2;4;11;5;1;1;55476
1;55476;10;3;12;6;8;9;7;2;4;11;5;1
10;3;6;12;8;9;7;2;4;11;5;1;1;60080
1;60080;10;3;6;12;8;9;7;2;4;11;5;1
10;9;6;12;8;3;7;2;4;11;5;1;1;60588
1;60588;10;9;6;12;8;3;7;2;4;11;5;1
10;9;6;12;8;3;7;11;4;2;5;1;1;57992
1;57992;10;9;6;12;8;3;7;11;4;2;5;1
10;9;6;12;8;3;7;4;11;2;5;1;1;44890
1;44890;10;9;6;12;8;3;7;4;11;2;5;1
10;2;6;12;8;3;7;4;11;9;5;1;1;45560
