"X1";"X5976923";"X19";"X4";"X18";"X14";"X6";"X23";"X25";"X16";"X9";"X12";"X11";"X7";"X10";"X5";"X20";"X1.1";"X17";"X3";"X13";"X21";"X15";"X26";"X2";"X8";"X22";"X24"
1;5976923;19;4;18;14;6;23;25;16;9;12;11;7;10;5;20;1;17;3;13;21;15;26;2;8;22;24
19;4;18;16;6;23;25;14;9;12;11;7;10;5;20;1;17;3;13;21;15;26;2;8;22;24;1;5863883
1;5863883;19;4;18;16;6;23;25;14;9;12;11;7;10;5;20;1;17;3;13;21;15;26;2;8;22;24
19;5;18;16;6;23;25;14;9;12;11;7;10;4;20;1;17;3;13;21;15;26;2;8;22;24;1;5962957
1;5962957;19;5;18;16;6;23;25;14;9;12;11;7;10;4;20;1;17;3;13;21;15;26;2;8;22;24
19;5;18;16;6;23;25;14;9;12;11;7;10;4;13;1;17;3;20;21;15;26;2;8;22;24;1;5901076
1;5901076;19;5;18;16;6;23;25;14;9;12;11;7;10;4;13;1;17;3;20;21;15;26;2;8;22;24
19;5;18;16;11;23;25;14;9;12;6;7;10;4;13;1;17;3;20;21;15;26;2;8;22;24;1;5901381
1;5901381;19;5;18;16;11;23;25;14;9;12;6;7;10;4;13;1;17;3;20;21;15;26;2;8;22;24
19;14;18;16;11;23;25;5;9;12;6;7;10;4;13;1;17;3;20;21;15;26;2;8;22;24;1;5807627
1;5807627;19;14;18;16;11;23;25;5;9;12;6;7;10;4;13;1;17;3;20;21;15;26;2;8;22;24
19;8;18;16;11;23;25;5;9;12;6;7;10;4;13;1;17;3;20;21;15;26;2;14;22;24;1;5812726
1;5812726;19;8;18;16;11;23;25;5;9;12;6;7;10;4;13;1;17;3;20;21;15;26;2;14;22;24
19;8;18;16;11;23;25;5;9;12;6;7;10;4;13;21;17;3;20;1;15;26;2;14;22;24;1;5841314
1;5841314;19;8;18;16;11;23;25;5;9;12;6;7;10;4;13;21;17;3;20;1;15;26;2;14;22;24
19;8;18;16;11;23;25;5;9;12;6;7;10;4;13;21;17;3;20;1;15;24;2;14;22;26;1;5854274
