"X1";"X39520";"X4";"X3";"X9";"X6";"X8";"X2";"X1.1";"X10";"X7";"X5";"X11";"X12"
1;39520;4;3;9;6;8;2;1;10;7;5;11;12
4;3;9;2;8;6;1;10;7;5;11;12;1;44934
1;44934;4;3;9;2;8;6;1;10;7;5;11;12
4;7;9;2;8;6;1;10;3;5;11;12;1;49144
1;49144;4;7;9;2;8;6;1;10;3;5;11;12
4;2;9;7;8;6;1;10;3;5;11;12;1;40982
1;40982;4;2;9;7;8;6;1;10;3;5;11;12
4;2;9;7;8;6;1;10;3;5;12;11;1;36250
1;36250;4;2;9;7;8;6;1;10;3;5;12;11
4;2;9;1;8;6;7;10;3;5;12;11;1;33042
1;33042;4;2;9;1;8;6;7;10;3;5;12;11
4;2;8;1;9;6;7;10;3;5;12;11;1;33676
1;33676;4;2;8;1;9;6;7;10;3;5;12;11
4;2;5;1;9;6;7;10;3;8;12;11;1;30780
1;30780;4;2;5;1;9;6;7;10;3;8;12;11
4;2;5;1;9;6;7;11;3;8;12;10;1;30782
1;30782;4;2;5;1;9;6;7;11;3;8;12;10
4;2;6;1;9;5;7;11;3;8;12;10;1;39192
1;39192;4;2;6;1;9;5;7;11;3;8;12;10
4;2;12;1;9;5;7;11;3;8;6;10;1;40132
1;40132;4;2;12;1;9;5;7;11;3;8;6;10
4;1;12;2;9;5;7;11;3;8;6;10;1;33470
1;33470;4;1;12;2;9;5;7;11;3;8;6;10
4;1;2;12;9;5;7;11;3;8;6;10;1;36358
1;36358;4;1;2;12;9;5;7;11;3;8;6;10
4;1;2;12;6;5;7;11;3;8;9;10;1;32584
1;32584;4;1;2;12;6;5;7;11;3;8;9;10
4;1;2;12;6;5;7;11;3;10;9;8;1;43144
1;43144;4;1;2;12;6;5;7;11;3;10;9;8
4;12;2;1;6;5;7;11;3;10;9;8;1;54042
1;54042;4;12;2;1;6;5;7;11;3;10;9;8
4;12;6;1;2;5;7;11;3;10;9;8;1;56464
1;56464;4;12;6;1;2;5;7;11;3;10;9;8
4;12;6;1;2;5;7;11;3;8;9;10;1;45904
1;45904;4;12;6;1;2;5;7;11;3;8;9;10
4;8;6;1;2;5;7;11;3;12;9;10;1;35584
