"X1";"X6167068";"X14";"X1.1";"X5";"X6";"X12";"X2";"X25";"X10";"X7";"X11";"X19";"X18";"X23";"X17";"X22";"X3";"X16";"X26";"X20";"X9";"X4";"X13";"X15";"X24";"X21";"X8"
1;6167068;14;1;5;6;12;2;25;10;7;11;19;18;23;17;22;3;16;26;20;9;4;13;15;24;21;8
14;1;5;6;12;2;25;10;7;11;19;8;23;17;22;3;16;26;20;9;4;13;15;24;21;18;1;6117830
1;6117830;14;1;5;6;12;2;25;10;7;11;19;8;23;17;22;3;16;26;20;9;4;13;15;24;21;18
14;1;5;6;12;2;25;10;7;11;19;8;23;21;22;3;16;26;20;9;4;13;15;24;17;18;1;6113022
1;6113022;14;1;5;6;12;2;25;10;7;11;19;8;23;21;22;3;16;26;20;9;4;13;15;24;17;18
14;1;5;6;12;21;25;10;7;11;19;8;23;2;22;3;16;26;20;9;4;13;15;24;17;18;1;6135740
1;6135740;14;1;5;6;12;21;25;10;7;11;19;8;23;2;22;3;16;26;20;9;4;13;15;24;17;18
14;1;5;15;12;21;25;10;7;11;19;8;23;2;22;3;16;26;20;9;4;13;6;24;17;18;1;6120488
1;6120488;14;1;5;15;12;21;25;10;7;11;19;8;23;2;22;3;16;26;20;9;4;13;6;24;17;18
14;1;5;15;12;21;25;10;7;11;19;8;23;18;22;3;16;26;20;9;4;13;6;24;17;2;1;6122576
1;6122576;14;1;5;15;12;21;25;10;7;11;19;8;23;18;22;3;16;26;20;9;4;13;6;24;17;2
14;1;5;15;12;21;25;10;7;13;19;8;23;18;22;3;16;26;20;9;4;11;6;24;17;2;1;6085240
1;6085240;14;1;5;15;12;21;25;10;7;13;19;8;23;18;22;3;16;26;20;9;4;11;6;24;17;2
14;1;5;15;12;21;25;10;7;13;16;8;23;18;22;3;19;26;20;9;4;11;6;24;17;2;1;6062714
1;6062714;14;1;5;15;12;21;25;10;7;13;16;8;23;18;22;3;19;26;20;9;4;11;6;24;17;2
14;1;5;15;12;21;25;10;7;13;20;8;23;18;22;3;19;26;16;9;4;11;6;24;17;2;1;6123083
1;6123083;14;1;5;15;12;21;25;10;7;13;20;8;23;18;22;3;19;26;16;9;4;11;6;24;17;2
14;1;5;15;21;12;25;10;7;13;20;8;23;18;22;3;19;26;16;9;4;11;6;24;17;2;1;6094206
1;6094206;14;1;5;15;21;12;25;10;7;13;20;8;23;18;22;3;19;26;16;9;4;11;6;24;17;2
14;1;5;15;21;12;25;10;24;13;20;8;23;18;22;3;19;26;16;9;4;11;6;7;17;2;1;6181807
1;6181807;14;1;5;15;21;12;25;10;24;13;20;8;23;18;22;3;19;26;16;9;4;11;6;7;17;2
14;1;5;15;21;12;25;10;24;22;20;8;23;18;13;3;19;26;16;9;4;11;6;7;17;2;1;6216959
1;6216959;14;1;5;15;21;12;25;10;24;22;20;8;23;18;13;3;19;26;16;9;4;11;6;7;17;2
14;26;5;15;21;12;25;10;24;22;20;8;23;18;13;3;19;1;16;9;4;11;6;7;17;2;1;6149716
1;6149716;14;26;5;15;21;12;25;10;24;22;20;8;23;18;13;3;19;1;16;9;4;11;6;7;17;2
14;26;5;15;21;24;25;10;12;22;20;8;23;18;13;3;19;1;16;9;4;11;6;7;17;2;1;6141824
