"X1";"X5796087";"X12";"X2";"X5";"X17";"X10";"X23";"X18";"X4";"X16";"X9";"X13";"X14";"X7";"X20";"X24";"X11";"X26";"X21";"X19";"X15";"X22";"X3";"X8";"X6";"X1.1";"X25"
1;5796087;12;2;5;17;10;23;18;4;16;9;13;14;7;20;24;11;26;21;19;15;22;3;8;6;1;25
3;2;5;17;10;23;18;4;16;9;13;14;7;20;24;11;26;21;19;15;22;12;8;6;1;25;1;5824388
1;5824388;3;2;5;17;10;23;18;4;16;9;13;14;7;20;24;11;26;21;19;15;22;12;8;6;1;25
3;2;15;17;10;23;18;4;16;9;13;14;7;20;24;11;26;21;19;5;22;12;8;6;1;25;1;5863273
1;5863273;3;2;15;17;10;23;18;4;16;9;13;14;7;20;24;11;26;21;19;5;22;12;8;6;1;25
3;2;15;17;6;23;18;4;16;9;13;14;7;20;24;11;26;21;19;5;22;12;8;10;1;25;1;5857483
1;5857483;3;2;15;17;6;23;18;4;16;9;13;14;7;20;24;11;26;21;19;5;22;12;8;10;1;25
3;2;22;17;6;23;18;4;16;9;13;14;7;20;24;11;26;21;19;5;15;12;8;10;1;25;1;5872151
1;5872151;3;2;22;17;6;23;18;4;16;9;13;14;7;20;24;11;26;21;19;5;15;12;8;10;1;25
3;12;22;17;6;23;18;4;16;9;13;14;7;20;24;11;26;21;19;5;15;2;8;10;1;25;1;5868988
1;5868988;3;12;22;17;6;23;18;4;16;9;13;14;7;20;24;11;26;21;19;5;15;2;8;10;1;25
3;12;22;17;6;23;18;4;16;9;13;14;7;20;24;11;25;21;19;5;15;2;8;10;1;26;1;5872710
1;5872710;3;12;22;17;6;23;18;4;16;9;13;14;7;20;24;11;25;21;19;5;15;2;8;10;1;26
3;12;22;17;6;23;18;4;16;5;13;14;7;20;24;11;25;21;19;9;15;2;8;10;1;26;1;5848508
1;5848508;3;12;22;17;6;23;18;4;16;5;13;14;7;20;24;11;25;21;19;9;15;2;8;10;1;26
3;11;22;17;6;23;18;4;16;5;13;14;7;20;24;12;25;21;19;9;15;2;8;10;1;26;1;5846207
1;5846207;3;11;22;17;6;23;18;4;16;5;13;14;7;20;24;12;25;21;19;9;15;2;8;10;1;26
3;11;22;17;6;23;18;4;16;5;13;1;7;20;24;12;25;21;19;9;15;2;8;10;14;26;1;5925673
1;5925673;3;11;22;17;6;23;18;4;16;5;13;1;7;20;24;12;25;21;19;9;15;2;8;10;14;26
3;11;22;17;6;8;18;4;16;5;13;1;7;20;24;12;25;21;19;9;15;2;23;10;14;26;1;5881027
1;5881027;3;11;22;17;6;8;18;4;16;5;13;1;7;20;24;12;25;21;19;9;15;2;23;10;14;26
3;11;22;17;6;20;18;4;16;5;13;1;7;8;24;12;25;21;19;9;15;2;23;10;14;26;1;5936754
1;5936754;3;11;22;17;6;20;18;4;16;5;13;1;7;8;24;12;25;21;19;9;15;2;23;10;14;26
3;11;22;19;6;20;18;4;16;5;13;1;7;8;24;12;25;21;17;9;15;2;23;10;14;26;1;5969621
1;5969621;3;11;22;19;6;20;18;4;16;5;13;1;7;8;24;12;25;21;17;9;15;2;23;10;14;26
3;7;22;19;6;20;18;4;16;5;13;1;11;8;24;12;25;21;17;9;15;2;23;10;14;26;1;5970250
1;5970250;3;7;22;19;6;20;18;4;16;5;13;1;11;8;24;12;25;21;17;9;15;2;23;10;14;26
23;7;22;19;6;20;18;4;16;5;13;1;11;8;24;12;25;21;17;9;15;2;3;10;14;26;1;6027141
1;6027141;23;7;22;19;6;20;18;4;16;5;13;1;11;8;24;12;25;21;17;9;15;2;3;10;14;26
23;7;22;19;6;20;18;4;16;5;13;1;12;8;24;11;25;21;17;9;15;2;3;10;14;26;1;6026386
1;6026386;23;7;22;19;6;20;18;4;16;5;13;1;12;8;24;11;25;21;17;9;15;2;3;10;14;26
18;7;22;19;6;20;23;4;16;5;13;1;12;8;24;11;25;21;17;9;15;2;3;10;14;26;1;5982117
1;5982117;18;7;22;19;6;20;23;4;16;5;13;1;12;8;24;11;25;21;17;9;15;2;3;10;14;26
18;7;22;2;6;20;23;4;16;5;13;1;12;8;24;11;25;21;17;9;15;19;3;10;14;26;1;5981183
1;5981183;18;7;22;2;6;20;23;4;16;5;13;1;12;8;24;11;25;21;17;9;15;19;3;10;14;26
