"X1";"X35656";"X6";"X9";"X12";"X4";"X8";"X1.1";"X7";"X11";"X2";"X5";"X3";"X10"
1;35656;6;9;12;4;8;1;7;11;2;5;3;10
6;9;12;4;8;10;7;11;2;5;3;1;1;36214
1;36214;6;9;12;4;8;10;7;11;2;5;3;1
6;10;12;4;8;9;7;11;2;5;3;1;1;39076
1;39076;6;10;12;4;8;9;7;11;2;5;3;1
6;10;12;5;8;9;7;11;2;4;3;1;1;51122
1;39076;6;10;12;4;8;9;7;11;2;5;3;1
6;10;12;4;8;9;3;11;2;5;7;1;1;37934
1;37934;6;10;12;4;8;9;3;11;2;5;7;1
6;10;12;7;8;9;3;11;2;5;4;1;1;42088
1;42088;6;10;12;7;8;9;3;11;2;5;4;1
6;10;12;9;8;7;3;11;2;5;4;1;1;30082
1;30082;6;10;12;9;8;7;3;11;2;5;4;1
6;10;12;7;8;9;3;11;2;5;4;1;1;42088
1;42088;6;10;12;7;8;9;3;11;2;5;4;1
6;5;12;7;8;9;3;11;2;10;4;1;1;55372
1;55372;6;5;12;7;8;9;3;11;2;10;4;1
10;5;12;7;8;9;3;11;2;6;4;1;1;30794
1;30794;10;5;12;7;8;9;3;11;2;6;4;1
10;5;12;7;2;9;3;11;8;6;4;1;1;33854
1;33854;10;5;12;7;2;9;3;11;8;6;4;1
10;5;12;7;8;9;3;11;2;6;4;1;1;30794
1;30794;10;5;12;7;8;9;3;11;2;6;4;1
10;11;12;7;8;9;3;5;2;6;4;1;1;48146
1;48146;10;11;12;7;8;9;3;5;2;6;4;1
10;11;3;7;8;9;12;5;2;6;4;1;1;45534
1;45534;10;11;3;7;8;9;12;5;2;6;4;1
10;7;3;11;8;9;12;5;2;6;4;1;1;36924
1;36924;10;7;3;11;8;9;12;5;2;6;4;1
10;7;4;11;8;9;12;5;2;6;3;1;1;42668
1;42668;10;7;4;11;8;9;12;5;2;6;3;1
10;7;4;11;8;9;2;5;12;6;3;1;1;39484
1;39484;10;7;4;11;8;9;2;5;12;6;3;1
10;7;6;11;8;9;2;5;12;4;3;1;1;42036
1;42036;10;7;6;11;8;9;2;5;12;4;3;1
10;8;6;11;7;9;2;5;12;4;3;1;1;43714
1;43714;10;8;6;11;7;9;2;5;12;4;3;1
7;8;6;11;10;9;2;5;12;4;3;1;1;56690
