"X1";"X35088";"X8";"X3";"X1.1";"X11";"X4";"X5";"X2";"X9";"X10";"X12";"X6";"X7"
1;35088;8;3;1;11;4;5;2;9;10;12;6;7
8;3;1;6;4;5;2;9;10;12;11;7;1;37856
1;37856;8;3;1;6;4;5;2;9;10;12;11;7
8;3;1;6;5;4;2;9;10;12;11;7;1;38910
1;38910;8;3;1;6;5;4;2;9;10;12;11;7
8;7;1;6;5;4;2;9;10;12;11;3;1;48294
1;38910;8;3;1;6;5;4;2;9;10;12;11;7
8;3;4;6;5;1;2;9;10;12;11;7;1;43380
1;43380;8;3;4;6;5;1;2;9;10;12;11;7
8;3;4;6;7;1;2;9;10;12;11;5;1;50910
1;50910;8;3;4;6;7;1;2;9;10;12;11;5
8;3;4;6;5;1;2;9;10;12;11;7;1;43380
1;43380;8;3;4;6;5;1;2;9;10;12;11;7
8;3;4;7;5;1;2;9;10;12;11;6;1;44446
1;44446;8;3;4;7;5;1;2;9;10;12;11;6
8;3;4;7;5;2;1;9;10;12;11;6;1;47376
1;47376;8;3;4;7;5;2;1;9;10;12;11;6
8;3;4;7;5;2;1;10;9;12;11;6;1;56088
1;47376;8;3;4;7;5;2;1;9;10;12;11;6
8;3;4;7;10;2;1;9;5;12;11;6;1;42236
1;42236;8;3;4;7;10;2;1;9;5;12;11;6
8;3;4;7;2;10;1;9;5;12;11;6;1;45652
1;45652;8;3;4;7;2;10;1;9;5;12;11;6
8;3;4;7;5;10;1;9;2;12;11;6;1;45786
1;45786;8;3;4;7;5;10;1;9;2;12;11;6
8;3;4;7;5;10;1;9;2;12;6;11;1;43384
1;43384;8;3;4;7;5;10;1;9;2;12;6;11
8;3;4;7;9;10;1;5;2;12;6;11;1;54722
1;43384;8;3;4;7;5;10;1;9;2;12;6;11
8;3;4;11;5;10;1;9;2;12;6;7;1;41662
1;41662;8;3;4;11;5;10;1;9;2;12;6;7
8;3;11;4;5;10;1;9;2;12;6;7;1;43416
1;43416;8;3;11;4;5;10;1;9;2;12;6;7
8;3;11;4;7;10;1;9;2;12;6;5;1;50946
1;50946;8;3;11;4;7;10;1;9;2;12;6;5
8;3;11;4;7;10;1;9;12;2;6;5;1;51058
1;51058;8;3;11;4;7;10;1;9;12;2;6;5
8;3;11;4;7;10;1;6;12;2;9;5;1;54168
1;54168;8;3;11;4;7;10;1;6;12;2;9;5
8;3;11;4;7;10;2;6;12;1;9;5;1;56278
2;56278;8;3;11;4;7;10;2;6;12;1;9;5
8;10;11;4;7;3;2;6;12;1;9;5;2;46512
2;46512;8;10;11;4;7;3;2;6;12;1;9;5
4;10;11;8;7;3;2;6;12;1;9;5;2;50870
2;50870;4;10;11;8;7;3;2;6;12;1;9;5
4;10;11;1;7;3;2;6;12;8;9;5;2;44742
2;44742;4;10;11;1;7;3;2;6;12;8;9;5
4;7;11;1;10;3;2;6;12;8;9;5;2;44026
2;44026;4;7;11;1;10;3;2;6;12;8;9;5
4;7;11;1;10;3;2;6;5;8;9;12;2;50188
2;50188;4;7;11;1;10;3;2;6;5;8;9;12
4;7;11;1;10;8;2;6;5;3;9;12;2;61432
2;61432;4;7;11;1;10;8;2;6;5;3;9;12
4;7;11;1;10;8;5;6;2;3;9;12;2;55304
2;55304;4;7;11;1;10;8;5;6;2;3;9;12
