"X1";"X5993080";"X19";"X23";"X17";"X11";"X14";"X9";"X7";"X5";"X26";"X22";"X1.1";"X24";"X25";"X12";"X6";"X15";"X20";"X16";"X21";"X10";"X4";"X3";"X8";"X2";"X13";"X18"
1;5993080;19;23;17;11;14;9;7;5;26;22;1;24;25;12;6;15;20;16;21;10;4;3;8;2;13;18
19;17;23;11;14;9;7;5;26;22;1;24;25;12;6;15;20;16;21;10;4;3;8;2;13;18;1;5992794
1;5992794;19;17;23;11;14;9;7;5;26;22;1;24;25;12;6;15;20;16;21;10;4;3;8;2;13;18
19;17;23;11;14;9;7;5;26;22;12;24;25;1;6;15;20;16;21;10;4;3;8;2;13;18;1;5997010
1;5997010;19;17;23;11;14;9;7;5;26;22;12;24;25;1;6;15;20;16;21;10;4;3;8;2;13;18
26;17;23;11;14;9;7;5;19;22;12;24;25;1;6;15;20;16;21;10;4;3;8;2;13;18;1;6011788
1;6011788;26;17;23;11;14;9;7;5;19;22;12;24;25;1;6;15;20;16;21;10;4;3;8;2;13;18
26;14;23;11;17;9;7;5;19;22;12;24;25;1;6;15;20;16;21;10;4;3;8;2;13;18;1;6023589
1;6023589;26;14;23;11;17;9;7;5;19;22;12;24;25;1;6;15;20;16;21;10;4;3;8;2;13;18
26;14;23;11;17;9;7;5;19;22;12;24;25;8;6;15;20;16;21;10;4;3;1;2;13;18;1;6005041
1;6005041;26;14;23;11;17;9;7;5;19;22;12;24;25;8;6;15;20;16;21;10;4;3;1;2;13;18
26;14;23;11;17;25;7;5;19;22;12;24;9;8;6;15;20;16;21;10;4;3;1;2;13;18;1;5897187
1;5897187;26;14;23;11;17;25;7;5;19;22;12;24;9;8;6;15;20;16;21;10;4;3;1;2;13;18
26;14;23;25;17;11;7;5;19;22;12;24;9;8;6;15;20;16;21;10;4;3;1;2;13;18;1;5904232
1;5904232;26;14;23;25;17;11;7;5;19;22;12;24;9;8;6;15;20;16;21;10;4;3;1;2;13;18
26;14;23;19;17;11;7;5;25;22;12;24;9;8;6;15;20;16;21;10;4;3;1;2;13;18;1;5920325
1;5920325;26;14;23;19;17;11;7;5;25;22;12;24;9;8;6;15;20;16;21;10;4;3;1;2;13;18
26;14;23;19;17;11;9;5;25;22;12;24;7;8;6;15;20;16;21;10;4;3;1;2;13;18;1;5948525
1;5948525;26;14;23;19;17;11;9;5;25;22;12;24;7;8;6;15;20;16;21;10;4;3;1;2;13;18
26;10;23;19;17;11;9;5;25;22;12;24;7;8;6;15;20;16;21;14;4;3;1;2;13;18;1;5944559
1;5944559;26;10;23;19;17;11;9;5;25;22;12;24;7;8;6;15;20;16;21;14;4;3;1;2;13;18
26;10;23;19;17;11;9;5;25;6;12;24;7;8;22;15;20;16;21;14;4;3;1;2;13;18;1;5940180
1;5940180;26;10;23;19;17;11;9;5;25;6;12;24;7;8;22;15;20;16;21;14;4;3;1;2;13;18
5;10;23;19;17;11;9;26;25;6;12;24;7;8;22;15;20;16;21;14;4;3;1;2;13;18;1;6086447
1;6086447;5;10;23;19;17;11;9;26;25;6;12;24;7;8;22;15;20;16;21;14;4;3;1;2;13;18
5;10;23;19;17;11;9;26;25;6;12;8;7;24;22;15;20;16;21;14;4;3;1;2;13;18;1;6081358
1;6081358;5;10;23;19;17;11;9;26;25;6;12;8;7;24;22;15;20;16;21;14;4;3;1;2;13;18
5;10;23;19;17;11;9;26;25;6;12;8;7;24;22;15;20;4;21;14;16;3;1;2;13;18;1;6016941
1;6016941;5;10;23;19;17;11;9;26;25;6;12;8;7;24;22;15;20;4;21;14;16;3;1;2;13;18
5;10;26;19;17;11;9;23;25;6;12;8;7;24;22;15;20;4;21;14;16;3;1;2;13;18;1;6011716
1;6011716;5;10;26;19;17;11;9;23;25;6;12;8;7;24;22;15;20;4;21;14;16;3;1;2;13;18
5;10;26;19;17;11;9;23;25;6;12;8;7;24;22;15;3;4;21;14;16;20;1;2;13;18;1;6092199
1;6092199;5;10;26;19;17;11;9;23;25;6;12;8;7;24;22;15;3;4;21;14;16;20;1;2;13;18
5;10;26;18;17;11;9;23;25;6;12;8;7;24;22;15;3;4;21;14;16;20;1;2;13;19;1;6166164
1;6166164;5;10;26;18;17;11;9;23;25;6;12;8;7;24;22;15;3;4;21;14;16;20;1;2;13;19
5;10;26;18;17;11;9;23;25;6;12;8;7;24;22;15;3;4;21;14;13;20;1;2;16;19;1;6163957
1;6163957;5;10;26;18;17;11;9;23;25;6;12;8;7;24;22;15;3;4;21;14;13;20;1;2;16;19
5;10;26;18;17;25;9;23;11;6;12;8;7;24;22;15;3;4;21;14;13;20;1;2;16;19;1;6163336
1;6163336;5;10;26;18;17;25;9;23;11;6;12;8;7;24;22;15;3;4;21;14;13;20;1;2;16;19
5;10;26;19;17;25;9;23;11;6;12;8;7;24;22;15;3;4;21;14;13;20;1;2;16;18;1;6086064
2;6086064;5;10;26;19;17;25;9;23;11;6;12;8;7;24;22;15;3;4;21;14;13;20;1;2;16;18
5;10;26;19;17;25;9;23;8;6;12;11;7;24;22;15;3;4;21;14;13;20;1;2;16;18;2;6100462
2;6100462;5;10;26;19;17;25;9;23;8;6;12;11;7;24;22;15;3;4;21;14;13;20;1;2;16;18
5;10;26;19;17;25;9;23;8;6;12;15;7;24;22;11;3;4;21;14;13;20;1;2;16;18;2;6090549
2;6090549;5;10;26;19;17;25;9;23;8;6;12;15;7;24;22;11;3;4;21;14;13;20;1;2;16;18
5;10;26;19;17;25;9;23;8;6;12;15;7;24;22;11;16;4;21;14;13;20;1;2;3;18;2;6106264
2;6106264;5;10;26;19;17;25;9;23;8;6;12;15;7;24;22;11;16;4;21;14;13;20;1;2;3;18
5;10;26;19;17;25;9;23;8;6;12;15;7;24;22;11;16;4;13;14;21;20;1;2;3;18;2;6157306
2;6157306;5;10;26;19;17;25;9;23;8;6;12;15;7;24;22;11;16;4;13;14;21;20;1;2;3;18
5;10;26;19;17;25;9;23;8;6;12;15;7;4;22;11;16;24;13;14;21;20;1;2;3;18;2;6192544
2;6192544;5;10;26;19;17;25;9;23;8;6;12;15;7;4;22;11;16;24;13;14;21;20;1;2;3;18
5;10;26;19;17;25;9;23;8;6;12;15;7;4;22;11;16;24;13;14;21;20;3;2;1;18;2;6102308
2;6102308;5;10;26;19;17;25;9;23;8;6;12;15;7;4;22;11;16;24;13;14;21;20;3;2;1;18
5;10;26;15;17;25;9;23;8;6;12;19;7;4;22;11;16;24;13;14;21;20;3;2;1;18;2;6075900
2;6075900;5;10;26;15;17;25;9;23;8;6;12;19;7;4;22;11;16;24;13;14;21;20;3;2;1;18
5;10;26;19;17;25;9;23;8;6;12;15;7;4;22;11;16;24;13;14;21;20;3;2;1;18;2;6102308
2;6102308;5;10;26;19;17;25;9;23;8;6;12;15;7;4;22;11;16;24;13;14;21;20;3;2;1;18
5;10;7;19;17;25;9;23;8;6;12;15;26;4;22;11;16;24;13;14;21;20;3;2;1;18;2;6116941
2;6116941;5;10;7;19;17;25;9;23;8;6;12;15;26;4;22;11;16;24;13;14;21;20;3;2;1;18
5;10;7;19;17;25;9;23;8;3;12;15;26;4;22;11;16;24;13;14;21;20;6;2;1;18;2;6145315
2;6145315;5;10;7;19;17;25;9;23;8;3;12;15;26;4;22;11;16;24;13;14;21;20;6;2;1;18
5;10;7;19;17;25;9;23;8;3;12;15;26;2;22;11;16;24;13;14;21;20;6;4;1;18;2;6171343
2;6171343;5;10;7;19;17;25;9;23;8;3;12;15;26;2;22;11;16;24;13;14;21;20;6;4;1;18
5;10;7;19;17;25;11;23;8;3;12;15;26;2;22;9;16;24;13;14;21;20;6;4;1;18;2;6165589
2;6165589;5;10;7;19;17;25;11;23;8;3;12;15;26;2;22;9;16;24;13;14;21;20;6;4;1;18
5;10;7;19;17;25;11;23;24;3;12;15;26;2;22;9;16;8;13;14;21;20;6;4;1;18;2;6114769
2;6114769;5;10;7;19;17;25;11;23;24;3;12;15;26;2;22;9;16;8;13;14;21;20;6;4;1;18
5;14;7;19;17;25;11;23;24;3;12;15;26;2;22;9;16;8;13;10;21;20;6;4;1;18;2;6027106
2;6027106;5;14;7;19;17;25;11;23;24;3;12;15;26;2;22;9;16;8;13;10;21;20;6;4;1;18
5;14;7;19;11;25;17;23;24;3;12;15;26;2;22;9;16;8;13;10;21;20;6;4;1;18;2;6017039
2;6017039;5;14;7;19;11;25;17;23;24;3;12;15;26;2;22;9;16;8;13;10;21;20;6;4;1;18
5;4;7;19;11;25;17;23;24;3;12;15;26;2;22;9;16;8;13;10;21;20;6;14;1;18;2;6029474
2;6029474;5;4;7;19;11;25;17;23;24;3;12;15;26;2;22;9;16;8;13;10;21;20;6;14;1;18
5;4;7;19;13;25;17;23;24;3;12;15;26;2;22;9;16;8;11;10;21;20;6;14;1;18;2;6029063
2;6029063;5;4;7;19;13;25;17;23;24;3;12;15;26;2;22;9;16;8;11;10;21;20;6;14;1;18
5;4;7;19;13;25;17;23;24;3;12;15;26;2;22;9;16;8;11;6;21;20;10;14;1;18;2;6034918
2;6034918;5;4;7;19;13;25;17;23;24;3;12;15;26;2;22;9;16;8;11;6;21;20;10;14;1;18
5;4;7;19;13;9;17;23;24;3;12;15;26;2;22;25;16;8;11;6;21;20;10;14;1;18;2;6050109
2;6050109;5;4;7;19;13;9;17;23;24;3;12;15;26;2;22;25;16;8;11;6;21;20;10;14;1;18
5;4;7;19;13;9;17;23;24;3;12;15;26;2;20;25;16;8;11;6;21;22;10;14;1;18;2;6028012
3;6028012;5;4;7;19;13;9;17;23;24;3;12;15;26;2;20;25;16;8;11;6;21;22;10;14;1;18
5;4;7;19;13;9;17;23;24;3;12;15;26;16;20;25;2;8;11;6;21;22;10;14;1;18;3;6014168
3;6014168;5;4;7;19;13;9;17;23;24;3;12;15;26;16;20;25;2;8;11;6;21;22;10;14;1;18
5;4;7;19;21;9;17;23;24;3;12;15;26;16;20;25;2;8;11;6;13;22;10;14;1;18;3;6031342
3;6031342;5;4;7;19;21;9;17;23;24;3;12;15;26;16;20;25;2;8;11;6;13;22;10;14;1;18
5;4;7;19;21;9;17;23;12;3;24;15;26;16;20;25;2;8;11;6;13;22;10;14;1;18;3;6034649
3;6034649;5;4;7;19;21;9;17;23;12;3;24;15;26;16;20;25;2;8;11;6;13;22;10;14;1;18
5;4;7;19;21;9;17;23;12;11;24;15;26;16;20;25;2;8;3;6;13;22;10;14;1;18;3;6024998
3;6024998;5;4;7;19;21;9;17;23;12;11;24;15;26;16;20;25;2;8;3;6;13;22;10;14;1;18
5;17;7;19;21;9;4;23;12;11;24;15;26;16;20;25;2;8;3;6;13;22;10;14;1;18;3;6014931
3;6014931;5;17;7;19;21;9;4;23;12;11;24;15;26;16;20;25;2;8;3;6;13;22;10;14;1;18
5;17;7;19;21;9;4;23;12;11;24;15;26;16;20;6;2;8;3;25;13;22;10;14;1;18;3;5998494
3;5998494;5;17;7;19;21;9;4;23;12;11;24;15;26;16;20;6;2;8;3;25;13;22;10;14;1;18
5;17;7;19;21;9;4;23;24;11;12;15;26;16;20;6;2;8;3;25;13;22;10;14;1;18;3;5989331
3;5989331;5;17;7;19;21;9;4;23;24;11;12;15;26;16;20;6;2;8;3;25;13;22;10;14;1;18
5;17;7;21;19;9;4;23;24;11;12;15;26;16;20;6;2;8;3;25;13;22;10;14;1;18;3;5984891
3;5984891;5;17;7;21;19;9;4;23;24;11;12;15;26;16;20;6;2;8;3;25;13;22;10;14;1;18
5;17;7;21;19;9;4;23;24;11;12;15;26;16;20;6;14;8;3;25;13;22;10;2;1;18;3;5879955
3;5879955;5;17;7;21;19;9;4;23;24;11;12;15;26;16;20;6;14;8;3;25;13;22;10;2;1;18
5;17;7;21;19;25;4;23;24;11;12;15;26;16;20;6;14;8;3;9;13;22;10;2;1;18;3;6021275
3;6021275;5;17;7;21;19;25;4;23;24;11;12;15;26;16;20;6;14;8;3;9;13;22;10;2;1;18
5;17;7;21;19;25;4;23;24;11;12;15;26;16;20;6;14;8;3;9;22;13;10;2;1;18;3;6026942
3;6026942;5;17;7;21;19;25;4;23;24;11;12;15;26;16;20;6;14;8;3;9;22;13;10;2;1;18
5;17;7;21;19;25;4;23;24;11;12;15;26;16;20;6;14;22;3;9;8;13;10;2;1;18;3;6035387
3;6035387;5;17;7;21;19;25;4;23;24;11;12;15;26;16;20;6;14;22;3;9;8;13;10;2;1;18
5;17;7;21;19;25;4;23;24;11;12;15;26;16;20;6;14;8;3;9;22;13;10;2;1;18;3;6026942
3;6026942;5;17;7;21;19;25;4;23;24;11;12;15;26;16;20;6;14;8;3;9;22;13;10;2;1;18
5;17;7;21;19;10;4;23;24;11;12;15;26;16;20;6;14;8;3;9;22;13;25;2;1;18;3;6032042
3;6032042;5;17;7;21;19;10;4;23;24;11;12;15;26;16;20;6;14;8;3;9;22;13;25;2;1;18
5;17;7;21;6;10;4;23;24;11;12;15;26;16;20;19;14;8;3;9;22;13;25;2;1;18;3;5955592
3;5955592;5;17;7;21;6;10;4;23;24;11;12;15;26;16;20;19;14;8;3;9;22;13;25;2;1;18
5;17;7;21;6;10;4;23;24;11;12;16;26;15;20;19;14;8;3;9;22;13;25;2;1;18;3;5950436
3;5950436;5;17;7;21;6;10;4;23;24;11;12;16;26;15;20;19;14;8;3;9;22;13;25;2;1;18
5;17;7;21;6;10;4;23;24;11;12;16;26;15;20;19;14;1;3;9;22;13;25;2;8;18;3;5946816
3;5946816;5;17;7;21;6;10;4;23;24;11;12;16;26;15;20;19;14;1;3;9;22;13;25;2;8;18
5;17;7;21;6;18;4;23;24;11;12;16;26;15;20;19;14;1;3;9;22;13;25;2;8;10;3;5949268
3;5949268;5;17;7;21;6;18;4;23;24;11;12;16;26;15;20;19;14;1;3;9;22;13;25;2;8;10
5;17;7;21;6;1;4;23;24;11;12;16;26;15;20;19;14;18;3;9;22;13;25;2;8;10;3;5988551
3;5988551;5;17;7;21;6;1;4;23;24;11;12;16;26;15;20;19;14;18;3;9;22;13;25;2;8;10
5;17;7;21;6;16;4;23;24;11;12;1;26;15;20;19;14;18;3;9;22;13;25;2;8;10;3;5930852
4;5930852;5;17;7;21;6;16;4;23;24;11;12;1;26;15;20;19;14;18;3;9;22;13;25;2;8;10
5;17;24;21;6;16;4;23;7;11;12;1;26;15;20;19;14;18;3;9;22;13;25;2;8;10;4;5901382
4;5901382;5;17;24;21;6;16;4;23;7;11;12;1;26;15;20;19;14;18;3;9;22;13;25;2;8;10
10;17;24;21;6;16;4;23;7;11;12;1;26;15;20;19;14;18;3;9;22;13;25;2;8;5;4;5967407
4;5967407;10;17;24;21;6;16;4;23;7;11;12;1;26;15;20;19;14;18;3;9;22;13;25;2;8;5
10;17;24;21;6;16;4;23;7;11;12;1;26;15;20;19;22;18;3;9;14;13;25;2;8;5;4;5988183
4;5988183;10;17;24;21;6;16;4;23;7;11;12;1;26;15;20;19;22;18;3;9;14;13;25;2;8;5
10;17;24;21;6;16;13;23;7;11;12;1;26;15;20;19;22;18;3;9;14;4;25;2;8;5;4;5953311
4;5953311;10;17;24;21;6;16;13;23;7;11;12;1;26;15;20;19;22;18;3;9;14;4;25;2;8;5
10;17;24;21;6;16;13;23;7;11;12;1;18;15;20;19;22;26;3;9;14;4;25;2;8;5;4;5951964
4;5951964;10;17;24;21;6;16;13;23;7;11;12;1;18;15;20;19;22;26;3;9;14;4;25;2;8;5
10;2;24;21;6;16;13;23;7;11;12;1;18;15;20;19;22;26;3;9;14;4;25;17;8;5;4;5945769
4;5945769;10;2;24;21;6;16;13;23;7;11;12;1;18;15;20;19;22;26;3;9;14;4;25;17;8;5
10;2;20;21;6;16;13;23;7;11;12;1;18;15;24;19;22;26;3;9;14;4;25;17;8;5;4;5946987
4;5946987;10;2;20;21;6;16;13;23;7;11;12;1;18;15;24;19;22;26;3;9;14;4;25;17;8;5
10;2;20;21;6;16;13;23;7;11;8;1;18;15;24;19;22;26;3;9;14;4;25;17;12;5;4;5877581
4;5877581;10;2;20;21;6;16;13;23;7;11;8;1;18;15;24;19;22;26;3;9;14;4;25;17;12;5
10;2;20;21;6;16;13;23;7;11;8;1;15;18;24;19;22;26;3;9;14;4;25;17;12;5;4;5882821
4;5882821;10;2;20;21;6;16;13;23;7;11;8;1;15;18;24;19;22;26;3;9;14;4;25;17;12;5
10;2;20;21;6;16;13;23;7;11;8;1;19;18;24;15;22;26;3;9;14;4;25;17;12;5;4;5882866
4;5882866;10;2;20;21;6;16;13;23;7;11;8;1;19;18;24;15;22;26;3;9;14;4;25;17;12;5
10;2;20;17;6;16;13;23;7;11;8;1;19;18;24;15;22;26;3;9;14;4;25;21;12;5;4;5903706
4;5903706;10;2;20;17;6;16;13;23;7;11;8;1;19;18;24;15;22;26;3;9;14;4;25;21;12;5
10;2;20;17;6;16;13;23;7;11;8;1;19;3;24;15;22;26;18;9;14;4;25;21;12;5;4;5901623
4;5901623;10;2;20;17;6;16;13;23;7;11;8;1;19;3;24;15;22;26;18;9;14;4;25;21;12;5
10;2;8;17;6;16;13;23;7;11;20;1;19;3;24;15;22;26;18;9;14;4;25;21;12;5;4;5892275
4;5892275;10;2;8;17;6;16;13;23;7;11;20;1;19;3;24;15;22;26;18;9;14;4;25;21;12;5
10;2;8;17;6;16;20;23;7;11;13;1;19;3;24;15;22;26;18;9;14;4;25;21;12;5;4;5958072
4;5958072;10;2;8;17;6;16;20;23;7;11;13;1;19;3;24;15;22;26;18;9;14;4;25;21;12;5
10;2;8;17;6;16;20;23;7;11;12;1;19;3;24;15;22;26;18;9;14;4;25;21;13;5;4;5939469
4;5939469;10;2;8;17;6;16;20;23;7;11;12;1;19;3;24;15;22;26;18;9;14;4;25;21;13;5
10;2;8;17;6;16;20;23;7;11;12;21;19;3;24;15;22;26;18;9;14;4;25;1;13;5;4;5956603
4;5956603;10;2;8;17;6;16;20;23;7;11;12;21;19;3;24;15;22;26;18;9;14;4;25;1;13;5
10;2;8;17;6;16;20;23;19;11;12;21;7;3;24;15;22;26;18;9;14;4;25;1;13;5;4;5966814
4;5966814;10;2;8;17;6;16;20;23;19;11;12;21;7;3;24;15;22;26;18;9;14;4;25;1;13;5
10;2;8;17;6;16;20;23;19;11;12;1;7;3;24;15;22;26;18;9;14;4;25;21;13;5;4;5951540
4;5951540;10;2;8;17;6;16;20;23;19;11;12;1;7;3;24;15;22;26;18;9;14;4;25;21;13;5
10;2;8;17;6;16;20;23;19;11;12;1;7;3;24;15;22;26;21;9;14;4;25;18;13;5;4;5909870
4;5909870;10;2;8;17;6;16;20;23;19;11;12;1;7;3;24;15;22;26;21;9;14;4;25;18;13;5
10;2;8;17;6;16;20;23;19;11;12;1;7;3;22;15;24;26;21;9;14;4;25;18;13;5;4;5896507
5;5896507;10;2;8;17;6;16;20;23;19;11;12;1;7;3;22;15;24;26;21;9;14;4;25;18;13;5
10;25;8;17;6;16;20;23;19;11;12;1;7;3;22;15;24;26;21;9;14;4;2;18;13;5;5;5894844
5;5894844;10;25;8;17;6;16;20;23;19;11;12;1;7;3;22;15;24;26;21;9;14;4;2;18;13;5
10;25;8;18;6;16;20;23;19;11;12;1;7;3;22;15;24;26;21;9;14;4;2;17;13;5;5;5883364
5;5883364;10;25;8;18;6;16;20;23;19;11;12;1;7;3;22;15;24;26;21;9;14;4;2;17;13;5
10;25;8;18;6;16;20;15;19;11;12;1;7;3;22;23;24;26;21;9;14;4;2;17;13;5;5;5884456
5;5884456;10;25;8;18;6;16;20;15;19;11;12;1;7;3;22;23;24;26;21;9;14;4;2;17;13;5
10;25;8;18;6;16;23;15;19;11;12;1;7;3;22;20;24;26;21;9;14;4;2;17;13;5;5;5855881
5;5855881;10;25;8;18;6;16;23;15;19;11;12;1;7;3;22;20;24;26;21;9;14;4;2;17;13;5
10;25;8;18;6;16;23;15;19;11;20;1;7;3;22;12;24;26;21;9;14;4;2;17;13;5;5;5813723
5;5813723;10;25;8;18;6;16;23;15;19;11;20;1;7;3;22;12;24;26;21;9;14;4;2;17;13;5
10;25;8;18;6;16;23;15;19;11;20;1;7;3;22;12;24;2;21;9;14;4;26;17;13;5;5;5824042
5;5824042;10;25;8;18;6;16;23;15;19;11;20;1;7;3;22;12;24;2;21;9;14;4;26;17;13;5
10;25;8;2;6;16;23;15;19;11;20;1;7;3;22;12;24;18;21;9;14;4;26;17;13;5;5;5798343
5;5798343;10;25;8;2;6;16;23;15;19;11;20;1;7;3;22;12;24;18;21;9;14;4;26;17;13;5
10;25;8;2;6;16;23;15;18;11;20;1;7;3;22;12;24;19;21;9;14;4;26;17;13;5;5;5838154
5;5838154;10;25;8;2;6;16;23;15;18;11;20;1;7;3;22;12;24;19;21;9;14;4;26;17;13;5
10;25;8;2;18;16;23;15;6;11;20;1;7;3;22;12;24;19;21;9;14;4;26;17;13;5;5;5786175
5;5786175;10;25;8;2;18;16;23;15;6;11;20;1;7;3;22;12;24;19;21;9;14;4;26;17;13;5
10;25;8;2;18;16;23;15;6;11;20;1;7;3;4;12;24;19;21;9;14;22;26;17;13;5;5;5775062
5;5775062;10;25;8;2;18;16;23;15;6;11;20;1;7;3;4;12;24;19;21;9;14;22;26;17;13;5
10;25;8;2;18;16;23;24;6;11;20;1;7;3;4;12;15;19;21;9;14;22;26;17;13;5;5;5764668
5;5764668;10;25;8;2;18;16;23;24;6;11;20;1;7;3;4;12;15;19;21;9;14;22;26;17;13;5
10;25;8;2;18;16;23;24;6;11;20;1;7;3;4;12;15;19;21;9;14;26;22;17;13;5;5;5763911
5;5763911;10;25;8;2;18;16;23;24;6;11;20;1;7;3;4;12;15;19;21;9;14;26;22;17;13;5
10;25;8;2;18;24;23;16;6;11;20;1;7;3;4;12;15;19;21;9;14;26;22;17;13;5;5;5757810
5;5757810;10;25;8;2;18;24;23;16;6;11;20;1;7;3;4;12;15;19;21;9;14;26;22;17;13;5
10;25;14;2;18;24;23;16;6;11;20;1;7;3;4;12;15;19;21;9;8;26;22;17;13;5;5;5783736
5;5783736;10;25;14;2;18;24;23;16;6;11;20;1;7;3;4;12;15;19;21;9;8;26;22;17;13;5
10;25;14;2;18;24;23;16;6;11;20;1;19;3;4;12;15;7;21;9;8;26;22;17;13;5;5;5798142
