"X1";"X6048922";"X11";"X7";"X23";"X12";"X20";"X4";"X18";"X13";"X8";"X9";"X24";"X6";"X22";"X25";"X5";"X3";"X2";"X15";"X26";"X19";"X14";"X1.1";"X10";"X17";"X21";"X16"
1;6048922;11;7;23;12;20;4;18;13;8;9;24;6;22;25;5;3;2;15;26;19;14;1;10;17;21;16
11;7;23;12;20;4;18;13;21;9;24;6;22;25;5;3;2;15;26;19;14;1;10;17;8;16;1;6062267
1;6062267;11;7;23;12;20;4;18;13;21;9;24;6;22;25;5;3;2;15;26;19;14;1;10;17;8;16
11;7;23;12;4;20;18;13;21;9;24;6;22;25;5;3;2;15;26;19;14;1;10;17;8;16;1;6075516
1;6075516;11;7;23;12;4;20;18;13;21;9;24;6;22;25;5;3;2;15;26;19;14;1;10;17;8;16
11;7;23;12;4;26;18;13;21;9;24;6;22;25;5;3;2;15;20;19;14;1;10;17;8;16;1;6037125
1;6037125;11;7;23;12;4;26;18;13;21;9;24;6;22;25;5;3;2;15;20;19;14;1;10;17;8;16
11;7;23;12;4;26;18;13;21;9;24;6;22;25;5;3;2;15;14;19;20;1;10;17;8;16;1;5966493
1;5966493;11;7;23;12;4;26;18;13;21;9;24;6;22;25;5;3;2;15;14;19;20;1;10;17;8;16
11;7;23;12;4;26;18;13;21;9;24;6;22;25;5;3;2;15;14;20;19;1;10;17;8;16;1;5969299
1;5969299;11;7;23;12;4;26;18;13;21;9;24;6;22;25;5;3;2;15;14;20;19;1;10;17;8;16
11;7;23;12;4;26;18;13;21;9;24;6;22;25;5;3;15;2;14;20;19;1;10;17;8;16;1;5975956
1;5975956;11;7;23;12;4;26;18;13;21;9;24;6;22;25;5;3;15;2;14;20;19;1;10;17;8;16
11;18;23;12;4;26;7;13;21;9;24;6;22;25;5;3;15;2;14;20;19;1;10;17;8;16;1;6016212
1;6016212;11;18;23;12;4;26;7;13;21;9;24;6;22;25;5;3;15;2;14;20;19;1;10;17;8;16
11;18;23;12;4;26;17;13;21;9;24;6;22;25;5;3;15;2;14;20;19;1;10;7;8;16;1;6056500
1;6056500;11;18;23;12;4;26;17;13;21;9;24;6;22;25;5;3;15;2;14;20;19;1;10;7;8;16
11;18;23;12;4;26;17;13;21;9;24;6;22;25;5;3;20;2;14;15;19;1;10;7;8;16;1;5995294
1;5995294;11;18;23;12;4;26;17;13;21;9;24;6;22;25;5;3;20;2;14;15;19;1;10;7;8;16
11;18;23;12;4;26;17;13;21;24;9;6;22;25;5;3;20;2;14;15;19;1;10;7;8;16;1;6019458
1;6019458;11;18;23;12;4;26;17;13;21;24;9;6;22;25;5;3;20;2;14;15;19;1;10;7;8;16
