"X1";"X5902731";"X11";"X16";"X13";"X8";"X17";"X20";"X3";"X5";"X12";"X15";"X23";"X19";"X18";"X1.1";"X10";"X25";"X24";"X7";"X9";"X2";"X26";"X6";"X21";"X22";"X14";"X4"
1;5902731;11;16;13;8;17;20;3;5;12;15;23;19;18;1;10;25;24;7;9;2;26;6;21;22;14;4
11;16;13;8;17;20;3;5;12;15;23;19;18;1;10;25;2;7;9;24;26;6;21;22;14;4;1;5906031
1;5906031;11;16;13;8;17;20;3;5;12;15;23;19;18;1;10;25;2;7;9;24;26;6;21;22;14;4
12;16;13;8;17;20;3;5;11;15;23;19;18;1;10;25;2;7;9;24;26;6;21;22;14;4;1;5882000
1;5882000;12;16;13;8;17;20;3;5;11;15;23;19;18;1;10;25;2;7;9;24;26;6;21;22;14;4
12;16;13;8;17;20;3;5;11;15;23;19;18;1;10;25;2;7;9;24;26;6;4;22;14;21;1;5833425
1;5833425;12;16;13;8;17;20;3;5;11;15;23;19;18;1;10;25;2;7;9;24;26;6;4;22;14;21
12;24;13;8;17;20;3;5;11;15;23;19;18;1;10;25;2;7;9;16;26;6;4;22;14;21;1;5838172
1;5838172;12;24;13;8;17;20;3;5;11;15;23;19;18;1;10;25;2;7;9;16;26;6;4;22;14;21
12;24;13;8;17;20;3;5;11;15;22;19;18;1;10;25;2;7;9;16;26;6;4;23;14;21;1;5846657
1;5846657;12;24;13;8;17;20;3;5;11;15;22;19;18;1;10;25;2;7;9;16;26;6;4;23;14;21
12;24;13;8;17;20;3;5;11;15;22;19;18;1;10;25;2;21;9;16;26;6;4;23;14;7;1;5861567
1;5861567;12;24;13;8;17;20;3;5;11;15;22;19;18;1;10;25;2;21;9;16;26;6;4;23;14;7
12;21;13;8;17;20;3;5;11;15;22;19;18;1;10;25;2;24;9;16;26;6;4;23;14;7;1;5881412
1;5881412;12;21;13;8;17;20;3;5;11;15;22;19;18;1;10;25;2;24;9;16;26;6;4;23;14;7
12;21;13;8;17;20;3;5;11;15;6;19;18;1;10;25;2;24;9;16;26;22;4;23;14;7;1;5865999
1;5865999;12;21;13;8;17;20;3;5;11;15;6;19;18;1;10;25;2;24;9;16;26;22;4;23;14;7
12;18;13;8;17;20;3;5;11;15;6;19;21;1;10;25;2;24;9;16;26;22;4;23;14;7;1;5855449
1;5855449;12;18;13;8;17;20;3;5;11;15;6;19;21;1;10;25;2;24;9;16;26;22;4;23;14;7
12;18;13;8;17;20;3;5;11;15;16;19;21;1;10;25;2;24;9;6;26;22;4;23;14;7;1;5860670
1;5860670;12;18;13;8;17;20;3;5;11;15;16;19;21;1;10;25;2;24;9;6;26;22;4;23;14;7
19;18;13;8;17;20;3;5;11;15;16;12;21;1;10;25;2;24;9;6;26;22;4;23;14;7;1;5864656
1;5864656;19;18;13;8;17;20;3;5;11;15;16;12;21;1;10;25;2;24;9;6;26;22;4;23;14;7
10;18;13;8;17;20;3;5;11;15;16;12;21;1;19;25;2;24;9;6;26;22;4;23;14;7;1;5860040
1;5860040;10;18;13;8;17;20;3;5;11;15;16;12;21;1;19;25;2;24;9;6;26;22;4;23;14;7
10;9;13;8;17;20;3;5;11;15;16;12;21;1;19;25;2;24;18;6;26;22;4;23;14;7;1;5826866
1;5826866;10;9;13;8;17;20;3;5;11;15;16;12;21;1;19;25;2;24;18;6;26;22;4;23;14;7
10;9;13;8;6;20;3;5;11;15;16;12;21;1;19;25;2;24;18;17;26;22;4;23;14;7;1;5821746
1;5821746;10;9;13;8;6;20;3;5;11;15;16;12;21;1;19;25;2;24;18;17;26;22;4;23;14;7
10;9;13;8;6;20;3;5;11;15;16;2;21;1;19;25;12;24;18;17;26;22;4;23;14;7;1;5806700
1;5806700;10;9;13;8;6;20;3;5;11;15;16;2;21;1;19;25;12;24;18;17;26;22;4;23;14;7
10;9;13;8;6;20;3;5;11;15;12;2;21;1;19;25;16;24;18;17;26;22;4;23;14;7;1;5800233
1;5800233;10;9;13;8;6;20;3;5;11;15;12;2;21;1;19;25;16;24;18;17;26;22;4;23;14;7
8;9;13;10;6;20;3;5;11;15;12;2;21;1;19;25;16;24;18;17;26;22;4;23;14;7;1;5794399
1;5794399;8;9;13;10;6;20;3;5;11;15;12;2;21;1;19;25;16;24;18;17;26;22;4;23;14;7
8;9;13;10;6;24;3;5;11;15;12;2;21;1;19;25;16;20;18;17;26;22;4;23;14;7;1;5757161
1;5757161;8;9;13;10;6;24;3;5;11;15;12;2;21;1;19;25;16;20;18;17;26;22;4;23;14;7
8;6;13;10;9;24;3;5;11;15;12;2;21;1;19;25;16;20;18;17;26;22;4;23;14;7;1;5792665
1;5792665;8;6;13;10;9;24;3;5;11;15;12;2;21;1;19;25;16;20;18;17;26;22;4;23;14;7
8;6;13;10;9;24;3;5;11;18;12;2;21;1;19;25;16;20;15;17;26;22;4;23;14;7;1;5859591
2;5859591;8;6;13;10;9;24;3;5;11;18;12;2;21;1;19;25;16;20;15;17;26;22;4;23;14;7
8;6;13;23;9;24;3;5;11;18;12;2;21;1;19;25;16;20;15;17;26;22;4;10;14;7;2;5850084
2;5850084;8;6;13;23;9;24;3;5;11;18;12;2;21;1;19;25;16;20;15;17;26;22;4;10;14;7
8;6;13;23;9;24;3;5;1;18;12;2;21;11;19;25;16;20;15;17;26;22;4;10;14;7;2;5858760
2;5858760;8;6;13;23;9;24;3;5;1;18;12;2;21;11;19;25;16;20;15;17;26;22;4;10;14;7
8;6;13;23;9;24;3;21;1;18;12;2;5;11;19;25;16;20;15;17;26;22;4;10;14;7;2;5739114
2;5739114;8;6;13;23;9;24;3;21;1;18;12;2;5;11;19;25;16;20;15;17;26;22;4;10;14;7
8;6;13;23;9;24;3;2;1;18;12;21;5;11;19;25;16;20;15;17;26;22;4;10;14;7;2;5701011
2;5701011;8;6;13;23;9;24;3;2;1;18;12;21;5;11;19;25;16;20;15;17;26;22;4;10;14;7
8;6;13;23;9;24;3;2;1;18;12;21;5;11;19;25;16;20;15;17;26;4;22;10;14;7;2;5708634
2;5708634;8;6;13;23;9;24;3;2;1;18;12;21;5;11;19;25;16;20;15;17;26;4;22;10;14;7
8;6;13;23;9;24;3;2;1;18;12;21;5;25;19;11;16;20;15;17;26;4;22;10;14;7;2;5723513
2;5723513;8;6;13;23;9;24;3;2;1;18;12;21;5;25;19;11;16;20;15;17;26;4;22;10;14;7
8;11;13;23;9;24;3;2;1;18;12;21;5;25;19;6;16;20;15;17;26;4;22;10;14;7;2;5716371
2;5716371;8;11;13;23;9;24;3;2;1;18;12;21;5;25;19;6;16;20;15;17;26;4;22;10;14;7
8;22;13;23;9;24;3;2;1;18;12;21;5;25;19;6;16;20;15;17;26;4;11;10;14;7;2;5716304
2;5716304;8;22;13;23;9;24;3;2;1;18;12;21;5;25;19;6;16;20;15;17;26;4;11;10;14;7
5;22;13;23;9;24;3;2;1;18;12;21;8;25;19;6;16;20;15;17;26;4;11;10;14;7;2;5806974
2;5806974;5;22;13;23;9;24;3;2;1;18;12;21;8;25;19;6;16;20;15;17;26;4;11;10;14;7
5;22;13;23;20;24;3;2;1;18;12;21;8;25;19;6;16;9;15;17;26;4;11;10;14;7;2;5816407
2;5816407;5;22;13;23;20;24;3;2;1;18;12;21;8;25;19;6;16;9;15;17;26;4;11;10;14;7
5;22;13;19;20;24;3;2;1;18;12;21;8;25;23;6;16;9;15;17;26;4;11;10;14;7;2;5815935
2;5815935;5;22;13;19;20;24;3;2;1;18;12;21;8;25;23;6;16;9;15;17;26;4;11;10;14;7
5;22;13;19;20;25;3;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;11;10;14;7;2;5815405
2;5815405;5;22;13;19;20;25;3;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;11;10;14;7
5;22;13;19;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;11;10;14;3;2;5838580
2;5838580;5;22;13;19;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;11;10;14;3
5;22;13;10;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;11;19;14;3;2;5886726
2;5886726;5;22;13;10;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;11;19;14;3
5;22;13;11;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;10;19;14;3;2;5882554
2;5882554;5;22;13;11;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;10;19;14;3
11;22;13;5;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;10;19;14;3;2;5905785
2;5905785;11;22;13;5;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;26;4;10;19;14;3
11;22;26;5;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;13;4;10;19;14;3;2;5903703
2;5903703;11;22;26;5;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;13;4;10;19;14;3
11;22;26;4;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;13;5;10;19;14;3;2;5948735
2;5948735;11;22;26;4;20;25;7;2;1;18;12;21;8;24;23;6;16;9;15;17;13;5;10;19;14;3
11;22;26;4;20;6;7;2;1;18;12;21;8;24;23;25;16;9;15;17;13;5;10;19;14;3;2;5950803
2;5950803;11;22;26;4;20;6;7;2;1;18;12;21;8;24;23;25;16;9;15;17;13;5;10;19;14;3
11;22;26;4;20;6;7;2;1;18;12;17;8;24;23;25;16;9;15;21;13;5;10;19;14;3;2;5990870
3;5990870;11;22;26;4;20;6;7;2;1;18;12;17;8;24;23;25;16;9;15;21;13;5;10;19;14;3
11;22;21;4;20;6;7;2;1;18;12;17;8;24;23;25;16;9;15;26;13;5;10;19;14;3;3;5979771
3;5979771;11;22;21;4;20;6;7;2;1;18;12;17;8;24;23;25;16;9;15;26;13;5;10;19;14;3
11;22;21;4;20;6;19;2;1;18;12;17;8;24;23;25;16;9;15;26;13;5;10;7;14;3;3;5947093
3;5947093;11;22;21;4;20;6;19;2;1;18;12;17;8;24;23;25;16;9;15;26;13;5;10;7;14;3
25;22;21;4;20;6;19;2;1;18;12;17;8;24;23;11;16;9;15;26;13;5;10;7;14;3;3;5949336
3;5949336;25;22;21;4;20;6;19;2;1;18;12;17;8;24;23;11;16;9;15;26;13;5;10;7;14;3
