"X1";"X5913023";"X25";"X5";"X2";"X22";"X16";"X20";"X19";"X8";"X1.1";"X6";"X18";"X23";"X14";"X10";"X17";"X12";"X7";"X3";"X13";"X4";"X11";"X26";"X9";"X21";"X15";"X24"
1;5913023;25;5;2;22;16;20;19;8;1;6;18;23;14;10;17;12;7;3;13;4;11;26;9;21;15;24
11;5;2;22;16;20;19;8;1;6;18;23;14;10;17;12;7;3;13;4;25;26;9;21;15;24;1;5903587
1;5903587;11;5;2;22;16;20;19;8;1;6;18;23;14;10;17;12;7;3;13;4;25;26;9;21;15;24
7;5;2;22;16;20;19;8;1;6;18;23;14;10;17;12;11;3;13;4;25;26;9;21;15;24;1;5952617
1;5952617;7;5;2;22;16;20;19;8;1;6;18;23;14;10;17;12;11;3;13;4;25;26;9;21;15;24
7;5;2;22;23;20;19;8;1;6;18;16;14;10;17;12;11;3;13;4;25;26;9;21;15;24;1;5957202
1;5957202;7;5;2;22;23;20;19;8;1;6;18;16;14;10;17;12;11;3;13;4;25;26;9;21;15;24
7;5;2;22;23;20;19;8;1;21;18;16;14;10;17;12;11;3;13;4;25;26;9;6;15;24;1;5948306
1;5948306;7;5;2;22;23;20;19;8;1;21;18;16;14;10;17;12;11;3;13;4;25;26;9;6;15;24
7;5;2;22;23;20;19;8;1;3;18;16;14;10;17;12;11;21;13;4;25;26;9;6;15;24;1;5951556
1;5951556;7;5;2;22;23;20;19;8;1;3;18;16;14;10;17;12;11;21;13;4;25;26;9;6;15;24
7;5;2;22;23;20;19;8;1;3;18;16;14;10;17;12;11;13;21;4;25;26;9;6;15;24;1;5964076
1;5964076;7;5;2;22;23;20;19;8;1;3;18;16;14;10;17;12;11;13;21;4;25;26;9;6;15;24
7;5;2;22;23;18;19;8;1;3;20;16;14;10;17;12;11;13;21;4;25;26;9;6;15;24;1;5974308
1;5974308;7;5;2;22;23;18;19;8;1;3;20;16;14;10;17;12;11;13;21;4;25;26;9;6;15;24
7;5;3;22;23;18;19;8;1;2;20;16;14;10;17;12;11;13;21;4;25;26;9;6;15;24;1;5916482
1;5916482;7;5;3;22;23;18;19;8;1;2;20;16;14;10;17;12;11;13;21;4;25;26;9;6;15;24
7;5;3;22;23;18;19;8;14;2;20;16;1;10;17;12;11;13;21;4;25;26;9;6;15;24;1;5822966
1;5822966;7;5;3;22;23;18;19;8;14;2;20;16;1;10;17;12;11;13;21;4;25;26;9;6;15;24
7;5;21;22;23;18;19;8;14;2;20;16;1;10;17;12;11;13;3;4;25;26;9;6;15;24;1;5861193
1;5861193;7;5;21;22;23;18;19;8;14;2;20;16;1;10;17;12;11;13;3;4;25;26;9;6;15;24
7;5;21;22;23;18;19;8;14;2;25;16;1;10;17;12;11;13;3;4;20;26;9;6;15;24;1;5961622
1;5961622;7;5;21;22;23;18;19;8;14;2;25;16;1;10;17;12;11;13;3;4;20;26;9;6;15;24
