"X3";"X5";"X9";"X11";"X1";"X10";"X6";"X7";"X12";"X2";"X8";"X4";"generation"
3;5;9;11;1;10;6;7;12;2;8;4;1
7;12;1;4;10;8;6;9;2;11;5;3;1
12;11;8;1;4;10;6;7;9;3;2;5;1
12;11;1;4;10;8;6;7;9;3;2;5;1
9;11;1;4;10;8;6;7;12;5;3;2;1
10;7;9;11;2;3;12;6;8;4;5;1;1
10;7;9;12;2;3;11;6;8;4;5;1;1
10;7;9;11;2;3;12;6;8;4;5;1;1
9;11;1;4;2;3;12;6;8;5;10;7;1
10;8;9;11;4;3;6;7;12;5;2;1;1
12;4;9;10;11;6;8;7;5;3;2;1;1
5;11;8;1;7;10;6;4;9;3;2;12;1
10;12;9;11;2;3;6;7;8;4;5;1;1
9;11;1;2;10;7;12;6;8;4;5;3;1
9;10;1;4;11;6;8;7;5;3;12;2;1
1;4;9;11;10;8;6;7;12;3;5;2;1
8;7;9;11;2;3;12;6;10;4;5;1;1
10;7;9;11;2;3;12;6;8;4;5;1;1
9;11;1;2;10;12;6;7;3;4;5;8;1
10;12;9;11;2;8;6;3;7;4;5;1;1
12;11;8;1;2;10;6;4;9;5;7;3;1
11;5;8;1;7;10;6;4;9;12;2;3;1
8;11;1;12;7;10;6;4;9;3;2;5;1
11;5;12;1;7;10;6;4;9;3;2;8;1
9;11;1;4;10;8;6;7;12;5;2;3;1
9;11;1;4;10;8;6;7;12;5;2;3;1
1;7;9;4;8;10;6;11;12;5;2;3;1
10;8;9;11;2;3;6;7;12;4;5;1;1
9;11;1;4;10;8;6;7;12;5;2;3;1
9;11;1;4;10;8;6;7;12;5;2;3;1
6;5;1;12;7;10;3;9;11;2;8;4;1
4;1;6;12;10;5;3;9;11;2;8;7;1
9;11;1;4;10;8;6;7;12;3;2;5;1
9;11;10;1;4;8;6;7;12;5;2;3;1
9;11;1;8;7;10;6;4;12;3;2;5;1
12;11;1;7;8;10;6;4;9;3;2;5;1
10;7;9;11;2;3;12;6;8;4;5;1;1
10;3;9;2;11;6;8;7;5;4;12;1;1
2;3;1;4;10;8;6;7;12;11;5;9;1
9;11;3;2;10;12;6;7;8;4;5;1;1
9;11;1;4;10;8;6;7;12;5;2;3;1
9;10;7;11;2;3;12;6;8;4;5;1;1
9;11;1;4;10;8;6;7;12;3;2;5;1
12;11;1;7;10;8;6;4;9;5;2;3;1
9;11;1;4;10;12;7;6;8;5;2;3;1
2;7;9;11;10;8;5;6;3;4;12;1;1
7;6;8;11;2;10;5;9;3;12;1;4;1
9;8;6;11;1;10;12;7;4;5;2;3;1
7;1;9;11;2;3;12;6;8;4;5;10;1
3;7;6;11;2;10;5;9;4;8;12;1;1
9;11;1;4;10;8;6;7;12;5;2;3;1
9;11;1;4;10;8;6;7;12;5;2;3;1
9;8;6;11;1;10;4;7;12;5;2;3;1
7;8;6;11;2;10;5;9;4;12;1;3;1
9;8;6;11;2;10;5;1;4;12;7;3;1
7;8;6;11;2;10;5;4;9;12;1;3;1
12;11;8;1;7;10;6;4;9;3;2;5;1
2;11;8;1;7;10;6;4;5;3;12;9;1
12;11;8;1;7;10;6;4;9;3;2;5;1
