"X1";"X38010";"X10";"X8";"X7";"X9";"X2";"X3";"X5";"X12";"X4";"X6";"X11";"X1.1"
1;38010;10;8;7;9;2;3;5;12;4;6;11;1
10;1;7;9;2;3;5;12;4;6;11;8;1;35540
1;35540;10;1;7;9;2;3;5;12;4;6;11;8
10;8;7;9;2;3;5;12;4;6;11;1;1;38010
1;38010;10;8;7;9;2;3;5;12;4;6;11;1
10;8;7;9;2;3;12;5;4;6;11;1;1;44410
1;44410;10;8;7;9;2;3;12;5;4;6;11;1
10;8;7;9;2;3;12;5;6;4;11;1;1;42782
1;42782;10;8;7;9;2;3;12;5;6;4;11;1
10;8;7;9;2;12;3;5;6;4;11;1;1;46212
1;46212;10;8;7;9;2;12;3;5;6;4;11;1
10;8;7;9;2;12;3;5;1;4;11;6;1;47966
1;47966;10;8;7;9;2;12;3;5;1;4;11;6
10;8;6;9;2;12;3;5;1;4;11;7;1;55258
1;55258;10;8;6;9;2;12;3;5;1;4;11;7
10;8;6;9;2;12;3;5;1;11;4;7;1;37942
1;37942;10;8;6;9;2;12;3;5;1;11;4;7
10;4;6;9;2;12;3;5;1;11;8;7;1;45766
1;45766;10;4;6;9;2;12;3;5;1;11;8;7
9;4;6;10;2;12;3;5;1;11;8;7;1;42692
1;42692;9;4;6;10;2;12;3;5;1;11;8;7
9;4;6;10;2;12;3;5;1;7;8;11;1;42692
1;42692;9;4;6;10;2;12;3;5;1;7;8;11
9;8;6;10;2;12;3;5;1;7;4;11;1;42608
1;42608;9;8;6;10;2;12;3;5;1;7;4;11
9;8;6;10;11;12;3;5;1;7;4;2;1;41028
1;41028;9;8;6;10;11;12;3;5;1;7;4;2
9;8;12;10;11;6;3;5;1;7;4;2;1;35098
1;35098;9;8;12;10;11;6;3;5;1;7;4;2
1;8;12;10;11;6;3;5;9;7;4;2;1;33548
1;33548;1;8;12;10;11;6;3;5;9;7;4;2
1;8;11;10;12;6;3;5;9;7;4;2;1;34042
1;34042;1;8;11;10;12;6;3;5;9;7;4;2
1;8;11;10;12;6;9;5;3;7;4;2;1;32452
1;32452;1;8;11;10;12;6;9;5;3;7;4;2
1;8;12;10;11;6;9;5;3;7;4;2;1;31178
1;31178;1;8;12;10;11;6;9;5;3;7;4;2
1;8;7;10;11;6;9;5;3;12;4;2;1;41366
1;31178;1;8;12;10;11;6;9;5;3;7;4;2
1;2;12;10;11;6;9;5;3;7;4;8;1;35988
2;35988;1;2;12;10;11;6;9;5;3;7;4;8
1;2;3;10;11;6;9;5;12;7;4;8;2;38514
2;38514;1;2;3;10;11;6;9;5;12;7;4;8
1;2;4;10;11;6;9;5;12;7;3;8;2;37670
2;37670;1;2;4;10;11;6;9;5;12;7;3;8
1;2;4;10;11;6;9;12;5;7;3;8;2;40544
2;40544;1;2;4;10;11;6;9;12;5;7;3;8
1;2;5;10;11;6;9;12;4;7;3;8;2;43478
2;43478;1;2;5;10;11;6;9;12;4;7;3;8
3;2;5;10;11;6;9;12;4;7;1;8;2;52160
2;52160;3;2;5;10;11;6;9;12;4;7;1;8
3;2;5;10;11;6;9;1;4;7;12;8;2;49662
2;49662;3;2;5;10;11;6;9;1;4;7;12;8
3;2;5;10;11;12;9;1;4;7;6;8;2;41702
2;41702;3;2;5;10;11;12;9;1;4;7;6;8
3;2;10;5;11;12;9;1;4;7;6;8;2;38408
2;38408;3;2;10;5;11;12;9;1;4;7;6;8
3;2;8;5;11;12;9;1;4;7;6;10;2;32684
2;32684;3;2;8;5;11;12;9;1;4;7;6;10
3;2;8;5;11;4;9;1;12;7;6;10;2;33784
2;33784;3;2;8;5;11;4;9;1;12;7;6;10
3;2;8;5;11;4;9;1;12;6;7;10;2;49236
2;49236;3;2;8;5;11;4;9;1;12;6;7;10
3;2;8;5;11;9;4;1;12;6;7;10;2;48924
2;48924;3;2;8;5;11;9;4;1;12;6;7;10
3;1;8;5;11;9;4;2;12;6;7;10;2;51968
2;51968;3;1;8;5;11;9;4;2;12;6;7;10
3;1;10;5;11;9;4;2;12;6;7;8;2;51270
2;51270;3;1;10;5;11;9;4;2;12;6;7;8
11;1;10;5;3;9;4;2;12;6;7;8;2;49780
2;49780;11;1;10;5;3;9;4;2;12;6;7;8
11;9;10;5;3;1;4;2;12;6;7;8;2;48644
2;48644;11;9;10;5;3;1;4;2;12;6;7;8
11;9;5;10;3;1;4;2;12;6;7;8;2;54146
2;54146;11;9;5;10;3;1;4;2;12;6;7;8
11;5;9;10;3;1;4;2;12;6;7;8;2;40514
2;40514;11;5;9;10;3;1;4;2;12;6;7;8
5;11;9;10;3;1;4;2;12;6;7;8;2;32698
2;32698;5;11;9;10;3;1;4;2;12;6;7;8
5;11;9;10;3;1;4;2;12;7;6;8;2;29220
3;29220;5;11;9;10;3;1;4;2;12;7;6;8
5;11;9;12;3;1;4;2;10;7;6;8;3;32984
3;32984;5;11;9;12;3;1;4;2;10;7;6;8
8;11;9;12;3;1;4;2;10;7;6;5;3;33372
3;33372;8;11;9;12;3;1;4;2;10;7;6;5
8;11;9;12;3;1;4;2;5;7;6;10;3;34480
3;34480;8;11;9;12;3;1;4;2;5;7;6;10
8;11;3;12;9;1;4;2;5;7;6;10;3;33412
3;33412;8;11;3;12;9;1;4;2;5;7;6;10
8;11;3;12;7;1;4;2;5;9;6;10;3;41648
3;41648;8;11;3;12;7;1;4;2;5;9;6;10
8;11;6;12;7;1;4;2;5;9;3;10;3;37348
3;37348;8;11;6;12;7;1;4;2;5;9;3;10
8;11;6;12;7;1;2;4;5;9;3;10;3;38652
3;38652;8;11;6;12;7;1;2;4;5;9;3;10
8;3;6;12;7;1;2;4;5;9;11;10;3;48950
3;48950;8;3;6;12;7;1;2;4;5;9;11;10
8;3;6;1;7;12;2;4;5;9;11;10;3;48452
3;48452;8;3;6;1;7;12;2;4;5;9;11;10
8;3;6;1;7;12;2;5;4;9;11;10;3;61276
3;61276;8;3;6;1;7;12;2;5;4;9;11;10
8;3;6;1;7;12;2;5;4;10;11;9;3;49756
3;49756;8;3;6;1;7;12;2;5;4;10;11;9
8;3;6;1;10;12;2;5;4;7;11;9;3;39392
3;39392;8;3;6;1;10;12;2;5;4;7;11;9
8;6;3;1;10;12;2;5;4;7;11;9;3;31580
3;31580;8;6;3;1;10;12;2;5;4;7;11;9
8;6;3;1;10;12;4;5;2;7;11;9;3;29416
3;29416;8;6;3;1;10;12;4;5;2;7;11;9
2;6;3;1;10;12;4;5;8;7;11;9;3;29316
3;29316;2;6;3;1;10;12;4;5;8;7;11;9
2;10;3;1;6;12;4;5;8;7;11;9;3;37152
3;37152;2;10;3;1;6;12;4;5;8;7;11;9
2;10;3;5;6;12;4;1;8;7;11;9;3;41812
3;41812;2;10;3;5;6;12;4;1;8;7;11;9
2;10;3;5;4;12;6;1;8;7;11;9;3;43786
3;43786;2;10;3;5;4;12;6;1;8;7;11;9
2;10;3;5;4;12;6;1;9;7;11;8;3;48636
3;48636;2;10;3;5;4;12;6;1;9;7;11;8
2;10;3;5;6;12;4;1;9;7;11;8;3;46662
4;46662;2;10;3;5;6;12;4;1;9;7;11;8
2;10;12;5;6;3;4;1;9;7;11;8;4;46234
4;46234;2;10;12;5;6;3;4;1;9;7;11;8
2;4;12;5;6;3;10;1;9;7;11;8;4;37626
4;37626;2;4;12;5;6;3;10;1;9;7;11;8
2;10;12;5;6;3;4;1;9;7;11;8;4;46234
4;37626;2;4;12;5;6;3;10;1;9;7;11;8
2;4;12;5;8;3;10;1;9;7;11;6;4;40308
4;40308;2;4;12;5;8;3;10;1;9;7;11;6
2;4;12;5;10;3;8;1;9;7;11;6;4;37072
4;37072;2;4;12;5;10;3;8;1;9;7;11;6
2;4;6;5;10;3;8;1;9;7;11;12;4;31110
4;31110;2;4;6;5;10;3;8;1;9;7;11;12
2;4;7;5;10;3;8;1;9;6;11;12;4;41864
4;41864;2;4;7;5;10;3;8;1;9;6;11;12
2;4;7;5;11;3;8;1;9;6;10;12;4;46324
4;46324;2;4;7;5;11;3;8;1;9;6;10;12
2;4;7;5;11;8;3;1;9;6;10;12;4;48318
4;48318;2;4;7;5;11;8;3;1;9;6;10;12
4;2;7;5;11;8;3;1;9;6;10;12;4;54518
4;54518;4;2;7;5;11;8;3;1;9;6;10;12
4;2;7;5;6;8;3;1;9;11;10;12;4;43526
4;43526;4;2;7;5;6;8;3;1;9;11;10;12
3;2;7;5;6;8;4;1;9;11;10;12;4;53474
4;53474;3;2;7;5;6;8;4;1;9;11;10;12
3;7;2;5;6;8;4;1;9;11;10;12;4;52246
4;52246;3;7;2;5;6;8;4;1;9;11;10;12
3;7;2;6;5;8;4;1;9;11;10;12;4;48766
4;48766;3;7;2;6;5;8;4;1;9;11;10;12
3;7;2;6;5;4;8;1;9;11;10;12;4;44476
4;44476;3;7;2;6;5;4;8;1;9;11;10;12
3;7;5;6;2;4;8;1;9;11;10;12;4;46822
4;46822;3;7;5;6;2;4;8;1;9;11;10;12
3;7;12;6;2;4;8;1;9;11;10;5;4;50724
4;50724;3;7;12;6;2;4;8;1;9;11;10;5
3;7;11;6;2;4;8;1;9;12;10;5;4;60258
4;60258;3;7;11;6;2;4;8;1;9;12;10;5
3;10;11;6;2;4;8;1;9;12;7;5;4;59468
4;59468;3;10;11;6;2;4;8;1;9;12;7;5
3;1;11;6;2;4;8;10;9;12;7;5;4;53376
5;53376;3;1;11;6;2;4;8;10;9;12;7;5
5;1;11;6;2;4;8;10;9;12;7;3;5;52278
5;52278;5;1;11;6;2;4;8;10;9;12;7;3
