"X19";"X8";"X17";"X15";"X2";"X6";"X20";"X1";"X12";"X3";"X25";"X10";"X14";"X22";"X13";"X24";"X9";"X5";"X26";"X18";"X7";"X11";"X16";"X23";"X21";"X4";"generation"
19;8;17;15;2;6;20;1;12;3;25;10;14;22;13;24;9;5;26;18;7;11;16;23;21;4;1
11;15;2;4;19;6;20;8;12;3;25;16;14;22;13;24;9;5;26;18;7;23;10;1;17;21;1
14;20;2;18;19;9;21;15;8;25;12;23;13;1;4;11;7;16;5;6;24;22;10;26;17;3;1
14;20;2;18;19;9;21;15;8;25;11;23;13;1;4;12;7;16;5;6;24;22;10;26;17;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;13;15;26;4;19;17;22;11;16;23;18;3;1
8;12;18;20;2;15;9;23;13;22;3;11;10;21;7;19;6;5;1;24;16;14;25;26;17;4;1
14;20;2;18;11;1;9;23;13;22;3;26;10;21;7;19;4;16;5;6;24;25;8;15;17;12;1
14;20;2;17;19;9;21;15;8;25;12;26;13;1;4;11;7;16;5;6;24;18;10;23;22;3;1
1;26;12;10;9;21;24;8;2;14;19;25;17;20;15;11;7;16;5;6;22;13;4;23;18;3;1
1;11;12;10;9;21;24;8;2;14;5;25;6;4;15;19;26;20;22;16;13;7;17;23;18;3;1
18;14;7;3;10;21;24;12;9;1;2;25;6;20;15;13;26;4;19;17;22;11;16;23;8;5;1
14;20;2;18;11;9;21;15;8;25;12;23;13;1;7;19;4;16;5;6;24;22;10;26;17;3;1
8;12;18;20;2;15;9;23;13;14;3;26;25;21;7;19;17;5;1;6;24;22;10;11;16;4;1
23;1;8;18;19;20;21;4;2;14;5;25;6;9;15;13;7;16;12;11;24;22;10;26;17;3;1
20;7;5;10;9;21;24;2;8;25;12;23;13;1;4;6;26;15;19;17;22;11;16;14;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;19;21;24;8;2;14;5;25;6;20;15;13;26;4;9;17;22;11;16;23;18;3;1
13;15;12;6;9;20;22;8;2;11;3;26;10;21;7;19;17;5;1;24;16;14;25;23;18;4;1
8;12;18;20;2;15;9;11;13;22;3;26;10;21;7;19;17;5;1;24;25;14;16;23;6;4;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;23;21;24;8;2;14;5;25;6;20;15;13;9;4;19;18;22;11;16;26;17;3;1
14;1;2;18;5;9;21;16;8;23;12;25;6;20;15;13;26;4;19;17;22;24;10;7;11;3;1
1;7;12;10;25;21;24;8;2;14;5;9;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
8;19;18;20;21;15;9;10;13;22;3;5;23;2;7;12;17;26;1;24;16;14;25;11;6;4;1
23;15;12;9;8;13;20;2;18;22;3;26;10;21;7;19;17;5;1;24;16;14;25;11;6;4;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;16;9;21;24;8;2;14;5;25;6;20;15;13;23;4;19;22;11;18;10;26;17;3;1
14;1;2;18;19;9;21;4;8;25;12;23;6;20;15;13;26;16;5;11;24;22;10;7;17;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
19;7;12;10;9;21;26;8;2;23;3;22;18;20;15;13;17;5;1;24;16;14;25;11;6;4;1
9;12;10;7;1;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;26;6;4;15;13;25;20;22;16;19;11;17;23;18;3;1
19;26;7;3;10;21;15;12;9;1;4;14;5;2;24;8;25;20;13;17;22;11;16;23;18;6;1
8;12;18;20;2;15;9;23;13;22;3;26;10;21;7;19;17;5;1;24;16;14;25;11;6;4;1
8;22;11;3;10;21;15;12;9;23;4;14;5;13;7;19;17;2;1;24;16;26;25;18;6;20;1
20;26;12;10;9;21;22;8;2;14;19;25;17;1;4;11;7;16;5;6;24;13;15;23;18;3;1
14;20;2;18;5;9;21;22;8;25;12;23;13;1;16;24;7;4;19;17;15;11;10;26;6;3;1
18;26;11;3;10;21;15;12;9;14;4;23;13;1;24;8;25;20;22;16;5;7;17;2;19;6;1
14;20;2;18;19;9;21;15;11;7;12;23;13;1;24;8;25;16;5;6;4;22;10;26;17;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
1;7;12;10;9;21;24;8;2;14;5;25;6;20;15;13;26;4;19;17;22;11;16;23;18;3;1
