"X12";"X4";"X16";"X3";"X10";"X9";"X8";"X19";"X7";"X21";"X14";"X5";"X18";"X13";"X25";"X11";"X17";"X22";"X1";"X2";"X24";"X23";"X20";"X6";"X26";"X15";"generation"
12;4;16;3;10;9;8;19;7;21;14;5;2;13;25;11;17;22;1;18;24;23;20;6;26;15;1
4;19;26;12;15;20;3;10;24;21;14;5;18;13;25;11;6;22;1;2;7;23;16;17;9;8;1
26;3;4;10;16;15;19;21;7;5;8;14;18;13;25;11;17;22;1;2;24;23;20;6;9;12;1
4;19;26;8;23;20;3;10;7;6;14;5;18;9;25;11;17;22;1;2;24;15;16;21;13;12;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
4;19;13;12;21;16;14;25;7;15;5;18;11;26;10;3;17;22;1;2;24;23;20;6;9;8;1
12;24;20;14;25;1;8;19;4;15;11;5;18;13;10;3;6;21;9;2;7;23;16;17;26;22;1
4;19;26;12;15;16;3;10;7;21;14;5;18;13;25;11;17;22;1;2;24;23;20;6;9;8;1
4;19;26;12;15;16;3;10;7;21;14;5;18;13;25;11;17;22;1;2;24;23;20;6;9;8;1
26;3;25;11;24;2;19;6;7;5;9;23;20;17;22;10;8;4;14;15;18;1;16;21;13;12;1
26;3;25;11;24;2;19;6;7;5;9;23;20;17;22;10;8;4;14;15;18;1;16;21;13;12;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
4;19;26;12;15;16;3;10;7;2;14;5;18;13;25;11;17;22;1;21;24;23;20;6;9;8;1
4;19;26;23;15;16;3;10;7;21;14;5;18;13;25;11;17;22;1;2;24;12;20;6;9;8;1
12;24;20;14;25;1;13;17;22;15;5;18;7;26;16;3;6;21;9;2;11;8;10;19;23;4;1
9;2;1;5;22;20;18;24;13;17;12;21;14;26;10;3;6;7;25;16;11;8;15;19;23;4;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
4;24;20;12;15;16;3;10;1;21;14;5;18;13;25;11;17;22;7;2;19;23;26;6;9;8;1
12;24;20;14;25;9;8;19;4;15;5;18;3;26;10;11;17;22;1;2;7;23;16;6;13;21;1
4;19;26;13;15;16;1;10;18;23;7;21;14;12;17;11;25;22;3;2;24;5;20;6;9;8;1
11;19;15;8;4;18;25;16;26;23;7;21;14;12;17;13;22;2;5;24;1;3;20;6;9;10;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;7;16;14;10;13;21;19;4;15;5;18;3;26;25;11;17;22;1;2;24;23;20;6;9;8;1
24;22;13;12;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;20;17;16;14;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;3;6;21;9;2;7;23;16;17;13;22;1
12;24;21;14;25;1;8;19;4;15;5;18;11;26;10;3;6;20;9;2;7;23;16;17;13;22;1
12;24;20;14;25;1;8;19;4;15;5;18;11;26;10;16;6;21;9;2;7;23;3;17;13;22;1
12;24;20;3;10;1;8;19;4;21;14;5;18;13;25;11;6;15;9;2;7;23;16;17;26;22;1
4;10;13;12;15;16;5;25;24;22;14;18;11;26;19;3;6;21;9;2;7;23;20;17;1;8;1
12;24;20;11;25;1;8;10;7;21;14;5;18;13;19;3;6;15;9;2;4;23;16;17;26;22;1
