"X1";"X50366";"X5";"X6";"X3";"X2";"X11";"X1.1";"X4";"X12";"X7";"X8";"X9";"X10"
1;50366;5;6;3;2;11;1;4;12;7;8;9;10
5;6;3;2;11;1;4;12;7;9;8;10;1;47974
1;47974;5;6;3;2;11;1;4;12;7;9;8;10
5;6;3;2;11;12;4;1;7;9;8;10;1;49886
1;49886;5;6;3;2;11;12;4;1;7;9;8;10
5;6;3;2;11;1;4;12;7;9;8;10;1;47974
1;47974;5;6;3;2;11;1;4;12;7;9;8;10
5;6;3;8;11;1;4;12;7;9;2;10;1;42094
1;42094;5;6;3;8;11;1;4;12;7;9;2;10
5;6;3;9;11;1;4;12;7;8;2;10;1;49432
1;49432;5;6;3;9;11;1;4;12;7;8;2;10
5;6;3;9;2;1;4;12;7;8;11;10;1;58250
1;58250;5;6;3;9;2;1;4;12;7;8;11;10
5;6;3;9;12;1;4;2;7;8;11;10;1;56982
1;56982;5;6;3;9;12;1;4;2;7;8;11;10
5;6;3;9;1;12;4;2;7;8;11;10;1;48888
1;48888;5;6;3;9;1;12;4;2;7;8;11;10
2;6;3;9;1;12;4;5;7;8;11;10;1;33780
1;33780;2;6;3;9;1;12;4;5;7;8;11;10
2;6;3;9;1;12;8;5;7;4;11;10;1;51072
1;51072;2;6;3;9;1;12;8;5;7;4;11;10
2;6;3;9;1;12;8;5;7;11;4;10;1;35224
1;35224;2;6;3;9;1;12;8;5;7;11;4;10
2;6;3;9;1;12;10;5;7;11;4;8;1;30894
1;30894;2;6;3;9;1;12;10;5;7;11;4;8
2;6;3;9;5;12;10;1;7;11;4;8;1;44818
1;44818;2;6;3;9;5;12;10;1;7;11;4;8
2;6;3;10;5;12;9;1;7;11;4;8;1;45648
1;45648;2;6;3;10;5;12;9;1;7;11;4;8
7;6;3;10;5;12;9;1;2;11;4;8;1;42720
1;42720;7;6;3;10;5;12;9;1;2;11;4;8
7;6;3;2;5;12;9;1;10;11;4;8;1;44448
1;44448;7;6;3;2;5;12;9;1;10;11;4;8
7;6;3;2;5;4;9;1;10;11;12;8;1;42704
1;42704;7;6;3;2;5;4;9;1;10;11;12;8
7;6;3;2;5;8;9;1;10;11;12;4;1;54122
1;54122;7;6;3;2;5;8;9;1;10;11;12;4
7;6;2;3;5;8;9;1;10;11;12;4;1;52506
1;52506;7;6;2;3;5;8;9;1;10;11;12;4
2;6;7;3;5;8;9;1;10;11;12;4;1;52802
2;52802;2;6;7;3;5;8;9;1;10;11;12;4
2;6;7;3;8;5;9;1;10;11;12;4;2;53362
2;53362;2;6;7;3;8;5;9;1;10;11;12;4
2;6;7;3;8;12;9;1;10;11;5;4;2;44162
2;44162;2;6;7;3;8;12;9;1;10;11;5;4
2;10;7;3;8;12;9;1;6;11;5;4;2;53474
2;53474;2;10;7;3;8;12;9;1;6;11;5;4
2;10;7;3;8;12;4;1;6;11;5;9;2;51900
2;51900;2;10;7;3;8;12;4;1;6;11;5;9
2;10;7;12;8;3;4;1;6;11;5;9;2;45924
2;45924;2;10;7;12;8;3;4;1;6;11;5;9
5;10;7;12;8;3;4;1;6;11;2;9;2;37662
2;37662;5;10;7;12;8;3;4;1;6;11;2;9
5;10;7;12;8;3;11;1;6;4;2;9;2;34194
2;34194;5;10;7;12;8;3;11;1;6;4;2;9
5;10;7;3;8;12;11;1;6;4;2;9;2;35432
2;35432;5;10;7;3;8;12;11;1;6;4;2;9
5;10;7;3;8;12;11;1;2;4;6;9;2;35436
2;35436;5;10;7;3;8;12;11;1;2;4;6;9
5;10;7;3;8;1;11;12;2;4;6;9;2;35516
2;35516;5;10;7;3;8;1;11;12;2;4;6;9
5;8;7;3;10;1;11;12;2;4;6;9;2;39730
2;39730;5;8;7;3;10;1;11;12;2;4;6;9
5;8;7;3;12;1;11;10;2;4;6;9;2;36954
2;36954;5;8;7;3;12;1;11;10;2;4;6;9
5;8;7;3;6;1;11;10;2;4;12;9;2;34646
2;34646;5;8;7;3;6;1;11;10;2;4;12;9
6;8;7;3;5;1;11;10;2;4;12;9;2;45148
