"X1";"X5897570";"X12";"X5";"X24";"X22";"X10";"X11";"X2";"X18";"X19";"X16";"X4";"X6";"X20";"X13";"X9";"X17";"X15";"X1.1";"X14";"X25";"X7";"X26";"X23";"X21";"X3";"X8"
1;5897570;12;5;24;22;10;11;2;18;19;16;4;6;20;13;9;17;15;1;14;25;7;26;23;21;3;8
12;5;24;22;10;11;2;8;19;16;4;6;20;13;9;17;15;1;14;25;7;26;23;21;3;18;1;5924650
1;5924650;12;5;24;22;10;11;2;8;19;16;4;6;20;13;9;17;15;1;14;25;7;26;23;21;3;18
12;5;17;22;10;11;2;8;19;16;4;6;20;13;9;24;15;1;14;25;7;26;23;21;3;18;1;5924302
1;5924302;12;5;17;22;10;11;2;8;19;16;4;6;20;13;9;24;15;1;14;25;7;26;23;21;3;18
12;5;17;6;10;11;2;8;19;16;4;22;20;13;9;24;15;1;14;25;7;26;23;21;3;18;1;5936735
1;5936735;12;5;17;6;10;11;2;8;19;16;4;22;20;13;9;24;15;1;14;25;7;26;23;21;3;18
12;5;17;20;10;11;2;8;19;16;4;22;6;13;9;24;15;1;14;25;7;26;23;21;3;18;1;5967420
1;5967420;12;5;17;20;10;11;2;8;19;16;4;22;6;13;9;24;15;1;14;25;7;26;23;21;3;18
12;5;17;20;19;11;2;8;10;16;4;22;6;13;9;24;15;1;14;25;7;26;23;21;3;18;1;6021072
1;6021072;12;5;17;20;19;11;2;8;10;16;4;22;6;13;9;24;15;1;14;25;7;26;23;21;3;18
12;5;17;20;19;11;2;8;10;26;4;22;6;13;9;24;15;1;14;25;7;16;23;21;3;18;1;6001702
1;6001702;12;5;17;20;19;11;2;8;10;26;4;22;6;13;9;24;15;1;14;25;7;16;23;21;3;18
12;5;17;20;19;11;4;8;10;26;2;22;6;13;9;24;15;1;14;25;7;16;23;21;3;18;1;5993298
1;5993298;12;5;17;20;19;11;4;8;10;26;2;22;6;13;9;24;15;1;14;25;7;16;23;21;3;18
12;5;17;20;19;11;4;8;10;26;2;22;6;13;9;24;15;1;14;25;7;23;16;21;3;18;1;5995240
1;5995240;12;5;17;20;19;11;4;8;10;26;2;22;6;13;9;24;15;1;14;25;7;23;16;21;3;18
12;5;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;1;14;25;7;23;16;21;3;18;1;5930667
1;5930667;12;5;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;1;14;25;7;23;16;21;3;18
12;5;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;1;18;25;7;23;16;21;3;14;1;5945583
1;5945583;12;5;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;1;18;25;7;23;16;21;3;14
12;14;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;1;18;25;7;23;16;21;3;5;1;5923850
1;5923850;12;14;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;1;18;25;7;23;16;21;3;5
12;14;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;5;18;25;7;23;16;21;3;1;1;5794002
1;5794002;12;14;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;5;18;25;7;23;16;21;3;1
12;14;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;5;18;25;23;7;16;21;3;1;1;5781282
1;5781282;12;14;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;5;18;25;23;7;16;21;3;1
12;1;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;5;18;25;23;7;16;21;3;14;1;5874573
1;5874573;12;1;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;5;18;25;23;7;16;21;3;14
12;18;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;5;1;25;23;7;16;21;3;14;1;5865520
1;5865520;12;18;17;24;19;11;4;8;10;26;2;22;6;13;9;20;15;5;1;25;23;7;16;21;3;14
12;18;17;24;19;11;4;8;22;26;2;10;6;13;9;20;15;5;1;25;23;7;16;21;3;14;1;5862969
1;5862969;12;18;17;24;19;11;4;8;22;26;2;10;6;13;9;20;15;5;1;25;23;7;16;21;3;14
12;18;17;24;19;11;4;8;22;26;2;13;6;10;9;20;15;5;1;25;23;7;16;21;3;14;1;5857707
1;5857707;12;18;17;24;19;11;4;8;22;26;2;13;6;10;9;20;15;5;1;25;23;7;16;21;3;14
12;18;17;24;19;11;4;8;22;26;5;13;6;10;9;20;15;2;1;25;23;7;16;21;3;14;1;5855830
1;5855830;12;18;17;24;19;11;4;8;22;26;5;13;6;10;9;20;15;2;1;25;23;7;16;21;3;14
12;18;17;24;19;11;4;8;22;26;5;13;6;10;9;25;15;2;1;20;23;7;16;21;3;14;1;5970711
1;5970711;12;18;17;24;19;11;4;8;22;26;5;13;6;10;9;25;15;2;1;20;23;7;16;21;3;14
12;18;17;24;19;11;4;8;22;26;5;13;6;10;9;25;15;2;1;20;7;23;16;21;3;14;1;5976061
2;5976061;12;18;17;24;19;11;4;8;22;26;5;13;6;10;9;25;15;2;1;20;7;23;16;21;3;14
12;18;17;24;15;11;4;8;22;26;5;13;6;10;9;25;19;2;1;20;7;23;16;21;3;14;2;5895452
2;5895452;12;18;17;24;15;11;4;8;22;26;5;13;6;10;9;25;19;2;1;20;7;23;16;21;3;14
12;18;17;24;15;11;4;8;22;26;5;13;6;10;9;25;19;2;1;20;7;16;23;21;3;14;2;5896007
2;5896007;12;18;17;24;15;11;4;8;22;26;5;13;6;10;9;25;19;2;1;20;7;16;23;21;3;14
12;18;17;24;15;11;4;8;22;26;5;13;6;10;7;25;19;2;1;20;9;16;23;21;3;14;2;5935284
2;5935284;12;18;17;24;15;11;4;8;22;26;5;13;6;10;7;25;19;2;1;20;9;16;23;21;3;14
12;18;17;24;15;11;4;8;22;26;5;13;6;10;7;25;19;2;1;3;9;16;23;21;20;14;2;5846055
2;5846055;12;18;17;24;15;11;4;8;22;26;5;13;6;10;7;25;19;2;1;3;9;16;23;21;20;14
12;18;17;24;15;11;8;4;22;26;5;13;6;10;7;25;19;2;1;3;9;16;23;21;20;14;2;5831524
2;5831524;12;18;17;24;15;11;8;4;22;26;5;13;6;10;7;25;19;2;1;3;9;16;23;21;20;14
12;18;17;24;26;11;8;4;22;15;5;13;6;10;7;25;19;2;1;3;9;16;23;21;20;14;2;5854884
2;5854884;12;18;17;24;26;11;8;4;22;15;5;13;6;10;7;25;19;2;1;3;9;16;23;21;20;14
12;26;17;24;18;11;8;4;22;15;5;13;6;10;7;25;19;2;1;3;9;16;23;21;20;14;2;5850517
2;5850517;12;26;17;24;18;11;8;4;22;15;5;13;6;10;7;25;19;2;1;3;9;16;23;21;20;14
12;26;17;24;18;11;8;4;22;15;5;2;6;10;7;25;19;13;1;3;9;16;23;21;20;14;2;5843679
2;5843679;12;26;17;24;18;11;8;4;22;15;5;2;6;10;7;25;19;13;1;3;9;16;23;21;20;14
12;26;17;24;18;5;8;4;22;15;11;2;6;10;7;25;19;13;1;3;9;16;23;21;20;14;2;6071782
2;6071782;12;26;17;24;18;5;8;4;22;15;11;2;6;10;7;25;19;13;1;3;9;16;23;21;20;14
12;26;17;24;18;5;2;4;22;15;11;8;6;10;7;25;19;13;1;3;9;16;23;21;20;14;2;6054033
2;6054033;12;26;17;24;18;5;2;4;22;15;11;8;6;10;7;25;19;13;1;3;9;16;23;21;20;14
12;26;17;24;18;8;2;4;22;15;11;5;6;10;7;25;19;13;1;3;9;16;23;21;20;14;2;5855947
2;5855947;12;26;17;24;18;8;2;4;22;15;11;5;6;10;7;25;19;13;1;3;9;16;23;21;20;14
12;26;17;24;18;8;13;4;22;15;11;5;6;10;7;25;19;2;1;3;9;16;23;21;20;14;2;5857557
2;5857557;12;26;17;24;18;8;13;4;22;15;11;5;6;10;7;25;19;2;1;3;9;16;23;21;20;14
12;26;17;24;18;8;13;14;22;15;11;5;6;10;7;25;19;2;1;3;9;16;23;21;20;4;2;5849785
