"X1";"X6162991";"X1.1";"X20";"X16";"X19";"X4";"X10";"X13";"X7";"X18";"X11";"X15";"X2";"X22";"X9";"X5";"X25";"X12";"X8";"X17";"X3";"X26";"X6";"X14";"X21";"X23";"X24"
1;6162991;1;20;16;19;4;10;13;7;18;11;15;2;22;9;5;25;12;8;17;3;26;6;14;21;23;24
1;20;16;19;4;10;13;7;18;11;15;2;22;9;5;25;12;8;17;21;26;6;14;3;23;24;1;6184673
1;6184673;1;20;16;19;4;10;13;7;18;11;15;2;22;9;5;25;12;8;17;21;26;6;14;3;23;24
1;20;16;19;4;10;13;7;18;11;15;2;22;9;5;25;12;8;17;21;26;6;14;23;3;24;1;6139576
1;6139576;1;20;16;19;4;10;13;7;18;11;15;2;22;9;5;25;12;8;17;21;26;6;14;23;3;24
1;20;16;23;4;10;13;7;18;11;15;2;22;9;5;25;12;8;17;21;26;6;14;19;3;24;1;6152690
1;6152690;1;20;16;23;4;10;13;7;18;11;15;2;22;9;5;25;12;8;17;21;26;6;14;19;3;24
1;20;16;23;4;12;13;7;18;11;15;2;22;9;5;25;10;8;17;21;26;6;14;19;3;24;1;6161578
1;6161578;1;20;16;23;4;12;13;7;18;11;15;2;22;9;5;25;10;8;17;21;26;6;14;19;3;24
1;20;16;23;4;5;13;7;18;11;15;2;22;9;12;25;10;8;17;21;26;6;14;19;3;24;1;5997905
1;5997905;1;20;16;23;4;5;13;7;18;11;15;2;22;9;12;25;10;8;17;21;26;6;14;19;3;24
1;20;16;23;4;5;13;7;18;21;15;2;22;9;12;25;10;8;17;11;26;6;14;19;3;24;1;5922216
1;5922216;1;20;16;23;4;5;13;7;18;21;15;2;22;9;12;25;10;8;17;11;26;6;14;19;3;24
1;20;16;23;4;5;13;7;18;21;15;6;22;9;12;25;10;8;17;11;26;2;14;19;3;24;1;5924130
1;5924130;1;20;16;23;4;5;13;7;18;21;15;6;22;9;12;25;10;8;17;11;26;2;14;19;3;24
1;20;16;23;4;5;13;7;18;21;15;6;22;9;12;25;10;19;17;11;26;2;14;8;3;24;1;5885933
1;5885933;1;20;16;23;4;5;13;7;18;21;15;6;22;9;12;25;10;19;17;11;26;2;14;8;3;24
1;20;16;23;4;5;13;7;18;25;15;6;22;9;12;21;10;19;17;11;26;2;14;8;3;24;1;5888893
