"X1";"X43916";"X3";"X12";"X8";"X5";"X1.1";"X7";"X6";"X9";"X10";"X2";"X4";"X11"
1;43916;3;12;8;5;1;7;6;9;10;2;4;11
3;11;8;5;1;7;6;9;10;2;4;12;1;42458
1;42458;3;11;8;5;1;7;6;9;10;2;4;12
3;11;4;5;1;7;6;9;10;2;8;12;1;37010
1;37010;3;11;4;5;1;7;6;9;10;2;8;12
3;11;4;5;1;10;6;9;7;2;8;12;1;43592
1;43592;3;11;4;5;1;10;6;9;7;2;8;12
3;9;4;5;1;10;6;11;7;2;8;12;1;54676
1;54676;3;9;4;5;1;10;6;11;7;2;8;12
3;9;4;5;1;10;6;11;7;2;12;8;1;55116
1;55116;3;9;4;5;1;10;6;11;7;2;12;8
3;6;4;5;1;10;9;11;7;2;12;8;1;59696
1;59696;3;6;4;5;1;10;9;11;7;2;12;8
3;5;4;6;1;10;9;11;7;2;12;8;1;41350
1;41350;3;5;4;6;1;10;9;11;7;2;12;8
3;5;10;6;1;4;9;11;7;2;12;8;1;57240
1;57240;3;5;10;6;1;4;9;11;7;2;12;8
3;5;1;6;10;4;9;11;7;2;12;8;1;57714
1;57714;3;5;1;6;10;4;9;11;7;2;12;8
11;5;1;6;10;4;9;3;7;2;12;8;1;52070
1;52070;11;5;1;6;10;4;9;3;7;2;12;8
11;5;1;6;10;4;9;3;7;2;8;12;1;51630
1;51630;11;5;1;6;10;4;9;3;7;2;8;12
11;5;1;6;2;4;9;3;7;10;8;12;1;53800
1;53800;11;5;1;6;2;4;9;3;7;10;8;12
11;5;10;6;2;4;9;3;7;1;8;12;1;53046
1;53046;11;5;10;6;2;4;9;3;7;1;8;12
11;5;8;6;2;4;9;3;7;1;10;12;1;46890
1;46890;11;5;8;6;2;4;9;3;7;1;10;12
1;5;8;6;2;4;9;3;7;11;10;12;1;50906
1;50906;1;5;8;6;2;4;9;3;7;11;10;12
1;5;8;6;2;4;12;3;7;11;10;9;1;54332
1;54332;1;5;8;6;2;4;12;3;7;11;10;9
1;5;11;6;2;4;12;3;7;8;10;9;1;53638
1;53638;1;5;11;6;2;4;12;3;7;8;10;9
1;5;12;6;2;4;11;3;7;8;10;9;1;54906
1;54906;1;5;12;6;2;4;11;3;7;8;10;9
1;5;12;6;9;4;11;3;7;8;10;2;1;61120
1;61120;1;5;12;6;9;4;11;3;7;8;10;2
1;5;12;6;8;4;11;3;7;9;10;2;1;54644
2;54644;1;5;12;6;8;4;11;3;7;9;10;2
1;6;12;5;8;4;11;3;7;9;10;2;2;42130
2;42130;1;6;12;5;8;4;11;3;7;9;10;2
1;6;12;5;10;4;11;3;7;9;8;2;2;44844
2;44844;1;6;12;5;10;4;11;3;7;9;8;2
1;6;5;12;10;4;11;3;7;9;8;2;2;43408
2;43408;1;6;5;12;10;4;11;3;7;9;8;2
1;6;4;12;10;5;11;3;7;9;8;2;2;55446
2;55446;1;6;4;12;10;5;11;3;7;9;8;2
1;6;4;12;10;5;11;3;8;9;7;2;2;55494
2;55494;1;6;4;12;10;5;11;3;8;9;7;2
6;1;4;12;10;5;11;3;8;9;7;2;2;54710
2;54710;6;1;4;12;10;5;11;3;8;9;7;2
6;1;10;12;4;5;11;3;8;9;7;2;2;53322
2;53322;6;1;10;12;4;5;11;3;8;9;7;2
